InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004121,1107079048176.0,20.55,0.39,222.70217,7.57163,53556.20439,0.0
1004121,1107079048176.0,20.89,0.54,222.7017,7.573819999999999,55626.46244,0.0
1004121,1107079048176.0,21.17,0.56,222.70247,7.57378,55647.36457000001,0.0
1004121,1107079048176.0,21.26,0.58,222.70198,7.57337,56013.43402000001,0.0
1004121,1107079048176.0,18.36,0.13,222.7001,7.57205,56328.49261,0.0
1004121,1107079048176.0,20.66,0.43,222.69994,7.57362,56428.40071,0.0
1004121,1107079048456.0,21.13,0.51,222.69887000000003,7.58564,53466.32957,0.0
1004121,1107079048456.0,20.61,0.4,222.70039,7.58369,53767.44399,0.0
1004121,1107079048456.0,21.04,0.5,222.7004,7.58355,53788.50828,0.0
1004121,1107079048456.0,20.89,0.4,222.7003,7.58386,53881.29655,0.0
1004121,1107079048456.0,21.33,0.51,222.7009,7.58395,53881.30774,0.0
1004121,1107079048456.0,20.08,0.3,222.70041,7.58358,54240.32384,0.0
1004121,1107079048456.0,21.25,0.55,222.70142,7.58353,54563.44277,0.0
1004121,1107079048456.0,20.2,0.31,222.70027,7.58372,54580.41341,0.0
1004121,1107079048456.0,20.73,0.4,222.70049,7.58385,54498.49325,0.0
1004121,1107079048456.0,20.18,0.29,222.70026,7.583639999999999,54506.47092000001,0.0
1004121,1107079048456.0,20.43,0.34,222.70075,7.58397,54506.4793,0.0
1004121,1107079048456.0,20.28,0.31,222.70045,7.58405,54555.39798,0.0
1004121,1107079048456.0,20.29,0.32,222.70086,7.584219999999997,54587.28424,0.0
1004121,1107079048456.0,20.73,0.42,222.70136,7.58448,54599.26979,0.0
1004121,1107079048456.0,19.74,0.24,222.69993,7.58387,54924.35239,0.0
1004121,1107079048456.0,20.37,0.33,222.70026,7.584039999999999,54924.35711,0.0
1004121,1107079048456.0,20.17,0.3,222.70072,7.5842399999999985,54949.40477000001,0.0
1004121,1107079048456.0,20.88,0.54,222.70143,7.583939999999999,54867.50873,0.0
1004121,1107079048456.0,20.96,0.46,222.70038,7.58405,54886.50061,0.0
1004121,1107079048456.0,21.39,0.58,222.70045,7.58436,54886.51262,0.0
1004121,1107079048456.0,20.63,0.37,222.70053,7.584110000000001,54886.51865,0.0
1004121,1107079048456.0,20.34,0.35,222.70067000000003,7.58529,55001.29768,0.0
1004121,1107079048456.0,20.19,0.3,222.70026,7.58356,54908.45762000001,0.0
1004121,1107079048456.0,20.27,0.32,222.70039,7.583989999999999,54974.21513,0.0
1004121,1107079048456.0,20.74,0.41,222.70067000000003,7.58418,54974.23146,0.0
1004121,1107079048456.0,21.19,0.53,222.70156,7.584189999999999,55271.41506,0.0
1004121,1107079048456.0,20.44,0.35,222.70051,7.58353,55321.37413,0.0
1004121,1107079048456.0,20.55,0.37,222.70046,7.584060000000001,55329.37514,0.0
1004121,1107079048456.0,19.71,0.23,222.70085,7.58431,55329.38214,0.0
1004121,1107079048456.0,21.37,0.52,222.70058,7.5843,55663.38937999999,0.0
1004121,1107079048456.0,20.28,0.39,222.70054,7.58453,55675.30568,0.0
1004121,1107079048456.0,20.67,0.44,222.70082,7.584119999999999,55717.31397999999,0.0
1004121,1107079048456.0,20.36,0.37,222.70097,7.58427,55717.32322000001,0.0
1004121,1107079048456.0,20.59,0.4,222.70032,7.58375,55647.3588,0.0
1004121,1107079048456.0,20.78,0.43,222.70008,7.58369,56003.36427000001,0.0
1004121,1107079048456.0,20.08,0.29,222.70081,7.584219999999997,56003.37282999999,0.0
1004121,1107079048456.0,20.81,0.45,222.70047,7.584119999999999,56013.42374,0.0
1004121,1107079048456.0,20.54,0.39,222.70076,7.58444,56013.4288,0.0
1004121,1107079048456.0,19.95,0.28,222.70008,7.5841,56013.43402000001,0.0
1004121,1107079048456.0,20.47,0.36,222.7008,7.58409,56328.4994,0.0
1004121,1107079048456.0,20.53,0.37,222.70008,7.5842800000000015,56363.47878,0.0
1004121,1107079048456.0,20.65,0.42,222.70079,7.58395,56428.37995,0.0
1004121,1107079048456.0,20.67,0.42,222.70007,7.58443,56443.28803,0.0
1004121,1107079048456.0,20.28,0.35,222.70047,7.58387,56457.25529,0.0
1004121,1107079048736.0,16.89,0.08,222.70667000000003,7.58673,53466.32957,0.0
1004121,1107079048736.0,16.87,0.08,222.70676,7.58674,53466.33851,0.0
1004121,1107079048736.0,16.9,0.08,222.70676,7.58672,53466.34749,0.0
1004121,1107079048736.0,16.9,0.08,222.7067,7.586760000000001,53466.35646,0.0
1004121,1107079048736.0,16.93,0.08,222.70675,7.58677,53480.33542,0.0
1004121,1107079048736.0,16.94,0.08,222.70678,7.586760000000001,53480.3442,0.0
