InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004181,1126073027007.0,18.34,0.14,225.04538,26.61821,53470.35791,0.0
1004181,1126073027007.0,18.31,0.14,225.04526,26.61815,53470.36518,0.0
1004181,1126073027007.0,18.15,0.13,225.04542,26.61808,53470.37245,0.0
1004181,1126073027007.0,18.29,0.13,225.04534,26.61825,53470.37978,0.0
1004181,1126073027007.0,18.31,0.13,225.04524,26.61811,53479.34698,0.0
1004181,1126073027007.0,18.17,0.12,225.04525,26.61807,53479.35513,0.0
1004181,1126073027007.0,18.1,0.12,225.04531,26.61845,53479.36338,0.0
1004181,1126073027007.0,18.23,0.12,225.04526,26.61836,53479.37162,0.0
1004181,1126073027007.0,18.35,0.13,225.0453,26.61817000000001,53558.24011,0.0
1004181,1126073027007.0,18.36,0.13,225.04518,26.61813,53558.24546000001,0.0
1004181,1126073027007.0,18.52,0.14,225.04505,26.61822,53558.25081000001,0.0
1004181,1126073027007.0,18.31,0.13,225.0452,26.61806,53558.25617,0.0
1004181,1126073027007.0,18.31,0.13,225.04524,26.61818,53551.23382,0.0
1004181,1126073027007.0,18.25,0.13,225.04521,26.61806,53551.24149,0.0
1004181,1126073027007.0,18.46,0.14,225.04525,26.61809,53551.24907,0.0
1004181,1126073027007.0,18.32,0.13,225.04534,26.6182,53551.25666,0.0
1004181,1126073027007.0,18.41,0.14,225.04527,26.61799,53506.32411,0.0
1004181,1126073027007.0,18.26,0.14,225.04528,26.61808,53506.33186000001,0.0
1004181,1126073027007.0,18.08,0.13,225.04542,26.61809,53506.33971,0.0
1004181,1126073027007.0,18.17,0.13,225.0454,26.61833,53506.34749,0.0
1004181,1126073027007.0,18.47,0.14,225.0452,26.61807,53851.33838,0.0
1004181,1126073027007.0,18.36,0.13,225.0453,26.61816,53851.34817999999,0.0
1004181,1126073027007.0,18.34,0.13,225.0451,26.61813,53851.35793,0.0
1004181,1126073027007.0,18.53,0.14,225.04536,26.61821,53851.36771000001,0.0
1004181,1126073027007.0,18.45,0.14,225.04527,26.61819,53793.51337000001,0.0
1004181,1126073027007.0,18.41,0.13,225.0452,26.61815,53793.51825,0.0
1004181,1126073027007.0,18.41,0.13,225.04522000000003,26.618140000000004,53793.52311,0.0
1004181,1126073027007.0,18.37,0.13,225.04545,26.61821,53793.52796,0.0
1004181,1126073027007.0,18.11,0.36,225.04507,26.61785,53900.35774,0.0
1004181,1126073027007.0,18.21,0.17,225.04519,26.618140000000004,53817.48016,0.0
1004181,1126073027007.0,18.29,0.18,225.04546,26.61812,53817.48617999999,0.0
1004181,1126073027007.0,18.46,0.19,225.04514,26.61835,53817.49221,0.0
1004181,1126073027007.0,18.6,0.21,225.04536,26.61813,53817.49832000001,0.0
1004181,1126073027007.0,18.46,0.14,225.04509,26.61817000000001,53857.39262000001,0.0
1004181,1126073027007.0,18.44,0.14,225.04532000000003,26.61807,53857.40034,0.0
1004181,1126073027007.0,18.5,0.14,225.04535,26.61813,53857.40807000001,0.0
1004181,1126073027007.0,18.45,0.14,225.04534,26.61811,53857.41581000001,0.0
1004181,1126073027007.0,18.36,0.36,225.04517,26.61799,53866.33777000001,0.0
1004181,1126073027007.0,18.28,0.13,225.04516,26.61819,53878.37557,0.0
1004181,1126073027007.0,18.29,0.13,225.04515,26.61819,53878.38046,0.0
1004181,1126073027007.0,18.31,0.13,225.04531,26.6181,53878.38543,0.0
1004181,1126073027007.0,18.46,0.14,225.04521,26.61804,53878.39033,0.0
1004181,1126073027007.0,18.26,0.13,225.04538,26.61803,53886.30058,0.0
1004181,1126073027007.0,18.15,0.12,225.04539,26.61823,53886.30864,0.0
1004181,1126073027007.0,18.42,0.14,225.04536,26.6182,53886.31674,0.0
1004181,1126073027007.0,18.31,0.13,225.04533,26.61809,53886.3248,0.0
1004181,1126073027007.0,18.37,0.14,225.04521,26.61829,54000.10273,0.0
1004181,1126073027007.0,18.08,0.12,225.04533,26.61825,54000.10699,0.0
1004181,1126073027007.0,18.35,0.14,225.0453,26.61808,54000.11129,0.0
1004181,1126073027007.0,18.42,0.14,225.04513,26.61797,54000.11558,0.0
1004181,1126073027007.0,18.37,0.13,225.04542,26.61807,54213.26779,0.0
1004181,1126073027007.0,18.17,0.12,225.04534,26.61808,54213.27745,0.0
1004181,1126073027007.0,18.27,0.13,225.04523,26.61803,54213.28722000001,0.0
1004181,1126073027007.0,18.23,0.13,225.04531,26.618140000000004,54213.29716,0.0
1004181,1126073027007.0,18.12,0.33,225.04525,26.61856,54140.5217,0.0
1004181,1126073027007.0,18.6,0.44,225.04555,26.61772,54140.52372999999,0.0
1004181,1126073027007.0,18.29,0.12,225.04536,26.61819,54156.3915,0.0
1004181,1126073027007.0,18.37,0.13,225.0453,26.61813,54156.40437,0.0
1004181,1126073027007.0,18.3,0.12,225.04545,26.61826,54156.41728,0.0
1004181,1126073027007.0,18.26,0.12,225.04531,26.61801,54156.4302,0.0
1004181,1126073027007.0,18.23,0.15,225.04548,26.6183,54257.18486,0.0
1004181,1126073027007.0,18.23,0.13,225.04536,26.61806,54257.18938,0.0
1004181,1126073027007.0,18.12,0.12,225.04528,26.61815,54257.19392000001,0.0
1004181,1126073027007.0,18.35,0.13,225.04521,26.61821,54257.19844,0.0
1004181,1126073027007.0,18.17,0.13,225.04527,26.61823,54268.25729,0.0
1004181,1126073027007.0,18.39,0.14,225.0452,26.61815,54268.2659,0.0
1004181,1126073027007.0,17.98,0.13,225.04523,26.61804,54268.27445,0.0
1004181,1126073027007.0,18.65,0.22,225.04537,26.61817000000001,54268.282999999996,0.0
1004181,1126073027007.0,18.15,0.12,225.04527,26.61829,54176.34138,0.0
1004181,1126073027007.0,18.29,0.13,225.04531,26.61812,54176.34892,0.0
1004181,1126073027007.0,18.29,0.13,225.0454,26.61811,54176.35652,0.0
1004181,1126073027007.0,18.35,0.13,225.04523,26.6183,54176.36406,0.0
1004181,1126073027007.0,18.38,0.13,225.04528,26.61811,54230.36291,0.0
1004181,1126073027007.0,18.41,0.14,225.04532000000003,26.61802,54236.31673,0.0
1004181,1126073027007.0,18.4,0.14,225.04531,26.61821,54236.32336,0.0
1004181,1126073027007.0,18.31,0.13,225.04519,26.6182,54236.33002,0.0
1004181,1126073027007.0,18.11,0.12,225.04531,26.61802,54236.3367,0.0
1004181,1126073027007.0,18.23,0.12,225.04536,26.618240000000004,54244.35234,0.0
1004181,1126073027007.0,18.21,0.12,225.04515,26.61801,54244.35679,0.0
1004181,1126073027007.0,18.1,0.12,225.04531,26.61811,54244.36132,0.0
1004181,1126073027007.0,18.25,0.13,225.04529,26.61807,54244.36579,0.0
1004181,1126073027007.0,18.47,0.12,225.04525,26.61838,54347.12349,0.0
1004181,1126073027007.0,18.52,0.12,225.04533,26.61822,54347.13143,0.0
1004181,1126073027007.0,18.28,0.11,225.04528,26.61832,54347.13935,0.0
1004181,1126073027007.0,18.56,0.13,225.04544,26.61835,54347.1473,0.0
1004181,1126073027007.0,18.22,0.12,225.04536,26.61808,54559.3344,0.0
1004181,1126073027007.0,18.47,0.13,225.04523,26.61825,54559.34357000001,0.0
1004181,1126073027007.0,18.29,0.12,225.04541,26.61819,54559.35274,0.0
1004181,1126073027007.0,18.36,0.13,225.04539,26.61813,54559.36192999999,0.0
