InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004201,1121076037773.0,20.99,0.51,225.81569,21.3203,53557.22398,0.0
1004201,1121076037773.0,21.18,0.56,225.81442,21.32049,53550.17603,0.0
1004201,1121076037773.0,20.47,0.41,225.81415,21.31962,53506.32125,0.0
1004201,1121076037773.0,21.15,0.57,225.81393,21.32031,53859.33767000001,0.0
1004201,1121076037773.0,20.45,0.38,225.81396,21.32027,53886.29684,0.0
1004201,1121076037773.0,21.13,0.56,225.81489,21.32006,53886.32106,0.0
1004201,1121076037773.0,20.49,0.39,225.81379,21.320220000000006,54257.26916,0.0
1004201,1121076037773.0,20.95,0.52,225.81432,21.32021,54267.25701,0.0
1004201,1121076037773.0,21.12,0.55,225.81438,21.31982,54242.334720000006,0.0
1004201,1121076037773.0,20.38,0.34,225.8143,21.31984,54559.30206,0.0
1004201,1121076037773.0,20.43,0.35,225.81444,21.32019,54564.45384,0.0
1004201,1121076037773.0,20.46,0.36,225.81437000000003,21.32014,54564.46002000001,0.0
1004201,1121076037773.0,20.45,0.35,225.81419,21.32021,54564.4662,0.0
1004201,1121076037773.0,21.27,0.56,225.8149,21.32037,54539.42663,0.0
1004201,1121076037773.0,21.35,0.59,225.81439,21.32026,54539.43487000001,0.0
1004201,1121076037773.0,20.63,0.39,225.81407,21.31999,54588.37357,0.0
1004201,1121076037773.0,20.87,0.44,225.81295,21.32043,54588.37851,0.0
1004201,1121076037773.0,21.2,0.54,225.81449,21.31985,54588.38347000001,0.0
1004201,1121076037773.0,20.93,0.46,225.81441,21.32043,54588.38841,0.0
1004201,1121076037773.0,20.43,0.35,225.81417,21.32004,54593.31929,0.0
1004201,1121076037773.0,20.96,0.47,225.8138,21.32016,54944.39212,0.0
1004201,1121076037773.0,20.14,0.29,225.8144,21.32026,54884.4262,0.0
1004201,1121076037773.0,20.37,0.33,225.81436,21.32051,54888.45259,0.0
1004201,1121076037773.0,20.86,0.45,225.8132,21.32051,54998.24404,0.0
1004201,1121076037773.0,21.33,0.59,225.81347,21.32029,54912.31386,0.0
1004201,1121076037773.0,21.26,0.56,225.81453,21.32032,54912.32826,0.0
1004201,1121076037773.0,21.27,0.55,225.81495,21.32035,54919.35264,0.0
1004201,1121076037773.0,20.51,0.42,225.81435,21.32043,54964.39995,0.0
1004201,1121076037773.0,19.4,0.21,225.81413,21.3207,55097.09724,0.0
1004201,1121076037773.0,20.49,0.38,225.81455,21.31993,55303.36238,0.0
1004201,1121076037773.0,21.3,0.59,225.81424,21.31987,55381.18985,0.0
1004201,1121076037773.0,21.21,0.56,225.81444,21.32008,55357.27441000001,0.0
1004201,1121076037773.0,20.31,0.33,225.81447000000003,21.32006,55357.28704,0.0
1004201,1121076037773.0,20.37,0.34,225.81425,21.32031,55274.38312000001,0.0
1004201,1121076037773.0,20.47,0.36,225.81438,21.32014,55332.288,0.0
1004201,1121076037773.0,19.93,0.27,225.81432,21.31982,55332.29493,0.0
1004201,1121076037773.0,21.04,0.43,225.81527000000003,21.32086,55631.47017000001,0.0
1004201,1121076037773.0,20.45,0.31,225.81473,21.32091,55631.48268,0.0
1004201,1121076037773.0,21.3,0.5,225.8143,21.32055,55683.37234,0.0
1004201,1121076037773.0,21.26,0.49,225.81438,21.31996,55683.40392,0.0
1004201,1121076037773.0,20.99,0.51,225.81433,21.320220000000006,55706.34786,0.0
1004201,1121076037773.0,20.89,0.48,225.8142,21.32019,55706.36639,0.0
1004201,1121076037773.0,21.26,0.49,225.81436,21.31996,55683.40392,0.0
1004201,1121076037773.0,21.19,0.54,225.81428,21.31993,55944.52318,0.0
1004201,1121076037773.0,20.58,0.38,225.81476,21.32077,55981.52129,0.0
1004201,1121076037773.0,20.23,0.32,225.81421,21.31998,56009.37667000001,0.0
1004201,1121076037773.0,21.02,0.49,225.81499,21.320220000000006,56009.38447999999,0.0
