InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004341,1101083024485.0,20.4,0.36,232.65658,0.90382,53509.18698,0.0
1004341,1101083024485.0,20.99,0.48,232.65734,0.90328,54567.33787,0.0
1004341,1101083024485.0,20.42,0.34,232.65756,0.90325,54881.50205,0.0
1004341,1101083024485.0,19.97,0.28,232.65715,0.90317,54996.28562,0.0
1004341,1101083024485.0,20.57,0.37,232.65795,0.90335,54911.42013,0.0
1004341,1101083024485.0,20.74,0.43,232.65738,0.90303,54974.20259,0.0
1004341,1101083024485.0,20.27,0.33,232.65769,0.90302,55242.4853,0.0
1004341,1101083024485.0,20.04,0.31,232.65728,0.90303,55743.25987,0.0
1004341,1101083024485.0,21.17,0.57,232.65721,0.90289,55734.23623,0.0
1004341,1101083024485.0,20.94,0.43,232.65724,0.90286,55705.37309,0.0
1004341,1101083024485.0,20.95,0.49,232.65774,0.90291,56034.40878,0.0
1004341,1101083024485.0,20.34,0.33,232.65648,0.90339,56059.34826,0.0
1004341,1101083024485.0,21.0,0.5,232.6575,0.90321,56328.54132,0.0
1004341,1101083024485.0,21.2,0.56,232.65733,0.90363,56365.4918,0.0
1004341,1101083024485.0,20.25,0.34,232.65724,0.90298,56424.31282000001,0.0
1004341,1101083024485.0,20.21,0.33,232.65753,0.90363,56424.32019,0.0
1004341,1101083024485.0,20.75,0.45,232.65755,0.9028,56443.30219,0.0
1004341,1101083024485.0,20.84,0.5,232.65723,0.90339,56455.19871,0.0
1004341,1101083024515.0,20.96,0.48,232.6681,0.90351,53494.36136,0.0
1004341,1101083024515.0,20.28,0.34,232.66745,0.90429,53509.18056,0.0
1004341,1101083024515.0,21.05,0.53,232.66819,0.9039,53846.3075,0.0
1004341,1101083024515.0,20.32,0.35,232.66756,0.90366,53846.32719,0.0
1004341,1101083024515.0,20.83,0.47,232.66808,0.904,53856.27804,0.0
1004341,1101083024515.0,19.35,0.63,232.66687,0.90373,53863.41305,0.0
1004341,1101083024515.0,20.62,0.41,232.66807000000003,0.90415,54206.37709,0.0
1004341,1101083024515.0,20.24,0.31,232.66803,0.90449,54503.52907,0.0
1004341,1101083024515.0,20.74,0.41,232.66786,0.90417,54881.50205,0.0
1004341,1101083024515.0,21.06,0.49,232.66801,0.90427,54881.51521000001,0.0
1004341,1101083024515.0,20.69,0.41,232.66767,0.90424,55004.28312000001,0.0
1004341,1101083024515.0,20.43,0.34,232.66793,0.90399,54911.42013,0.0
1004341,1101083024515.0,20.68,0.41,232.66798,0.90416,54974.20259,0.0
1004341,1101083024515.0,20.1,0.29,232.66735,0.90409,55295.34757000001,0.0
1004341,1101083024515.0,20.52,0.37,232.66776,0.90417,55295.35912000001,0.0
1004341,1101083024515.0,21.1,0.52,232.66785,0.90423,55364.24415,0.0
1004341,1101083024515.0,20.11,0.3,232.66813,0.9038,55338.36452999999,0.0
1004341,1101083024515.0,20.05,0.32,232.66779,0.90423,55713.23556,0.0
1004341,1101083024515.0,20.77,0.45,232.66776,0.90447,55734.23623,0.0
1004341,1101083024515.0,20.49,0.39,232.66735,0.90408,55734.25445,0.0
1004341,1101083024515.0,20.43,0.37,232.66763,0.90425,55634.46551,0.0
1004341,1101083024515.0,21.02,0.52,232.66816,0.90376,55647.44051,0.0
1004341,1101083024515.0,19.29,0.2,232.66744,0.90489,55701.30011,0.0
1004341,1101083024515.0,20.73,0.44,232.66817000000003,0.9045,55618.45606,0.0
1004341,1101083024515.0,20.71,0.51,232.6663,0.90485,55928.54122000001,0.0
1004341,1101083024515.0,21.09,0.52,232.66847,0.90419,56003.47433,0.0
1004341,1101083024515.0,20.41,0.36,232.66792,0.90431,56038.42515,0.0
1004341,1101083024515.0,20.52,0.39,232.66767,0.90407,56038.43247000001,0.0
1004341,1101083024515.0,20.67,0.4,232.66774,0.90381,56059.34157,0.0
1004341,1101083024515.0,20.2,0.27,232.66764,0.90398,56064.284170000006,0.0
1004341,1101083024515.0,20.13,0.26,232.66835,0.90422,56064.30037999999,0.0
1004341,1101083024515.0,20.53,0.38,232.66769,0.90414,56093.23186,0.0
1004341,1101083024515.0,20.69,0.46,232.66752,0.90394,56152.16766,0.0
1004341,1101083024515.0,20.4,0.37,232.66796,0.90442,56417.38375,0.0
1004341,1101083024515.0,20.96,0.51,232.66846,0.90412,56417.40434,0.0
1004341,1101083024515.0,21.11,0.46,232.66729,0.90411,56430.27543,0.0
1004341,1101083024515.0,20.8,0.46,232.66781,0.90405,56470.23692,0.0
1004341,1101083024515.0,20.22,0.34,232.66769,0.90468,56470.24479,0.0
1004341,1101083024517.0,17.75,0.1,232.66,0.8924,53464.43989,0.0
1004341,1101083024517.0,17.71,0.1,232.66013,0.8924,53464.44801,0.0
1004341,1101083024517.0,17.75,0.1,232.66003,0.89233,53464.45626,0.0
1004341,1101083024517.0,17.68,0.1,232.6602,0.8923700000000001,53464.46443,0.0
1004341,1101083024517.0,17.62,0.1,232.66012,0.89233,53556.25918,0.0
1004341,1101083024517.0,17.96,0.12,232.66008,0.89233,53556.26741,0.0
1004341,1101083024517.0,17.89,0.11,232.66003,0.8924200000000001,53556.2757,0.0
1004341,1101083024517.0,17.79,0.11,232.66011,0.8923200000000001,53556.28392,0.0
1004341,1101083024517.0,17.78,0.12,232.66015,0.89238,53537.22545,0.0
1004341,1101083024517.0,17.76,0.12,232.66014,0.89231,53537.23267,0.0
1004341,1101083024517.0,17.65,0.11,232.66012,0.89236,53537.23979,0.0
1004341,1101083024517.0,17.81,0.12,232.66011,0.8923700000000001,53537.24688,0.0
1004341,1101083024517.0,17.74,0.1,232.66011,0.8922399999999999,53494.36136,0.0
1004341,1101083024517.0,17.8,0.11,232.66002000000003,0.89235,53494.37094,0.0
1004341,1101083024517.0,17.73,0.1,232.66004,0.89239,53494.38051,0.0
1004341,1101083024517.0,17.65,0.1,232.66004,0.89233,53494.39006000001,0.0
1004341,1101083024517.0,17.81,0.11,232.66014,0.89231,53509.16772,0.0
1004341,1101083024517.0,17.64,0.1,232.66016,0.89239,53509.17413,0.0
1004341,1101083024517.0,17.49,0.1,232.66007,0.89238,53509.18056,0.0
1004341,1101083024517.0,17.57,0.1,232.65998,0.8925299999999999,53509.18698,0.0
1004341,1101083024517.0,17.83,0.11,232.66006,0.89233,53521.29934,0.0
1004341,1101083024517.0,17.72,0.1,232.66005,0.8923399999999999,53521.30738,0.0
1004341,1101083024517.0,17.75,0.1,232.66012,0.89231,53521.31544,0.0
1004341,1101083024517.0,17.8,0.11,232.66008,0.8923,53521.32352,0.0
1004341,1101083024517.0,17.65,0.11,232.65995,0.89235,53834.33807000001,0.0
1004341,1101083024517.0,17.96,0.13,232.66007,0.89235,53834.34587000001,0.0
1004341,1101083024517.0,17.67,0.11,232.66018,0.89236,53834.35736,0.0
1004341,1101083024517.0,17.77,0.12,232.66002000000003,0.8922700000000001,53834.37565,0.0
1004341,1101083024517.0,17.76,0.11,232.6601,0.8922899999999999,53846.29754,0.0
1004341,1101083024517.0,17.68,0.1,232.66011,0.8923399999999999,53846.3075,0.0
1004341,1101083024517.0,17.75,0.11,232.66,0.8923700000000001,53846.31731000001,0.0
1004341,1101083024517.0,17.76,0.11,232.66011,0.89243,53846.32719,0.0
1004341,1101083024517.0,17.76,0.11,232.66007,0.8924,53768.4793,0.0
1004341,1101083024517.0,17.83,0.11,232.66013,0.8922899999999999,53768.48587999999,0.0
1004341,1101083024517.0,17.71,0.1,232.66004,0.8922700000000001,53768.49246,0.0
1004341,1101083024517.0,17.68,0.1,232.66009,0.89245,53768.49902999999,0.0
1004341,1101083024517.0,17.6,0.24,232.66019,0.89226,53904.28812999999,0.0
1004341,1101083024517.0,17.61,0.24,232.66011,0.89231,53904.2892,0.0
1004341,1101083024517.0,17.59,0.24,232.66011,0.89241,53904.29025,0.0
1004341,1101083024517.0,17.77,0.26,232.65996,0.89228,53904.29134,0.0
1004341,1101083024517.0,17.82,0.11,232.66012,0.89236,53799.4525,0.0
1004341,1101083024517.0,17.84,0.11,232.66007,0.89238,53799.4613,0.0
1004341,1101083024517.0,17.7,0.11,232.66012,0.89251,53799.46999,0.0
1004341,1101083024517.0,17.77,0.11,232.65999,0.8923700000000001,53799.47854,0.0
1004341,1101083024517.0,17.77,0.11,232.65998,0.8924200000000001,53856.27804,0.0
1004341,1101083024517.0,17.73,0.11,232.66008,0.8924200000000001,53856.28547,0.0
1004341,1101083024517.0,17.73,0.11,232.66005,0.89239,53856.29292000001,0.0
1004341,1101083024517.0,17.68,0.1,232.66002000000003,0.89244,53856.30036,0.0
1004341,1101083024517.0,17.78,0.26,232.66004,0.89238,53863.4108,0.0
1004341,1101083024517.0,17.35,0.21,232.65982,0.8923399999999999,53863.41154,0.0
1004341,1101083024517.0,17.59,0.24,232.66,0.89246,53863.4123,0.0
1004341,1101083024517.0,17.77,0.26,232.65969,0.89254,53863.41305,0.0
1004341,1101083024517.0,17.77,0.11,232.66007,0.8922899999999999,53876.31298,0.0
1004341,1101083024517.0,17.67,0.11,232.66007,0.8923200000000001,53876.32145,0.0
1004341,1101083024517.0,17.72,0.11,232.66011,0.89245,53876.32992,0.0
1004341,1101083024517.0,17.8,0.11,232.66003,0.8923700000000001,53876.34446,0.0
1004341,1101083024517.0,17.64,0.1,232.66016,0.89255,53882.23059,0.0
1004341,1101083024517.0,17.73,0.11,232.66013,0.89241,53882.23914,0.0
1004341,1101083024517.0,17.77,0.11,232.66009,0.89236,53882.24769,0.0
1004341,1101083024517.0,17.61,0.11,232.66012,0.89239,53882.25622,0.0
1004341,1101083024517.0,17.76,0.11,232.66009,0.89223,54206.37709,0.0
1004341,1101083024517.0,17.86,0.11,232.66012,0.8923,54206.38367999999,0.0
1004341,1101083024517.0,17.82,0.11,232.66006,0.89223,54206.39025,0.0
1004341,1101083024517.0,17.82,0.11,232.66012,0.89231,54206.39686,0.0
1004341,1101083024517.0,17.73,0.1,232.66011,0.89225,54129.49045,0.0
1004341,1101083024517.0,17.65,0.1,232.66015,0.89235,54129.49648,0.0
1004341,1101083024517.0,17.77,0.1,232.66009,0.8923399999999999,54129.50256,0.0
1004341,1101083024517.0,17.82,0.1,232.66011,0.89235,54129.50863,0.0
1004341,1101083024517.0,17.33,0.12,232.66003,0.8924200000000001,54256.21803,0.0
1004341,1101083024517.0,17.8,0.14,232.66018,0.8923,54256.22444,0.0
1004341,1101083024517.0,18.17,0.24,232.65847,0.89343,54256.23092,0.0
1004341,1101083024517.0,17.83,0.2,232.66022,0.89344,54256.23092,1.0
1004341,1101083024517.0,17.55,0.14,232.66001,0.89238,54256.23736,0.0
1004341,1101083024517.0,17.7,0.11,232.66009,0.89236,54263.29346,0.0
1004341,1101083024517.0,17.71,0.11,232.66004,0.89233,54263.2988,0.0
1004341,1101083024517.0,17.73,0.11,232.66002000000003,0.89236,54263.30414,0.0
1004341,1101083024517.0,17.66,0.11,232.66,0.8922899999999999,54263.30951,0.0
1004341,1101083024517.0,17.74,0.1,232.66,0.89228,54269.22599,0.0
1004341,1101083024517.0,17.76,0.11,232.6601,0.89239,54269.23447999999,0.0
1004341,1101083024517.0,17.7,0.1,232.66008,0.8924700000000001,54269.24301000001,0.0
1004341,1101083024517.0,17.78,0.11,232.66012,0.8922899999999999,54269.25153,0.0
1004341,1101083024517.0,17.76,0.1,232.66015,0.89233,54172.40001000001,0.0
1004341,1101083024517.0,17.66,0.1,232.66017,0.89239,54172.40652,0.0
1004341,1101083024517.0,17.78,0.1,232.66011,0.89236,54172.41305,0.0
1004341,1101083024517.0,17.73,0.1,232.66014,0.89239,54172.41958,0.0
1004341,1101083024517.0,17.77,0.11,232.66004,0.8922899999999999,54229.40871,0.0
1004341,1101083024517.0,17.79,0.11,232.66008,0.8923399999999999,54229.41748,0.0
1004341,1101083024517.0,17.76,0.11,232.66006,0.8922899999999999,54229.42625,0.0
1004341,1101083024517.0,17.79,0.11,232.66007,0.8923700000000001,54229.43502,0.0
1004341,1101083024517.0,17.6,0.1,232.66006,0.89235,54244.32657999999,0.0
1004341,1101083024517.0,17.7,0.1,232.66007,0.89231,54244.33258,0.0
1004341,1101083024517.0,17.74,0.1,232.66009,0.89239,54244.3386,0.0
1004341,1101083024517.0,17.86,0.11,232.66001,0.89231,54244.34462,0.0
1004341,1101083024517.0,17.76,0.1,232.66001,0.89236,54567.33787,0.0
1004341,1101083024517.0,17.73,0.1,232.6601,0.89238,54567.34504,0.0
1004341,1101083024517.0,17.76,0.1,232.66008,0.89236,54567.35385,0.0
1004341,1101083024517.0,17.63,0.1,232.65999,0.89238,54567.36222,0.0
1004341,1101083024517.0,17.72,0.1,232.66008,0.89212,54573.3046,0.0
1004341,1101083024517.0,17.82,0.11,232.66002000000003,0.89244,54573.31106,0.0
