InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004401,1129074062338.0,20.73,0.42,235.36673,30.75937,53560.2536,0.0
1004401,1129074062338.0,21.12,0.52,235.36496,30.75914,53527.32951,0.0
1004401,1129074062338.0,19.73,0.25,235.36548,30.76076,53886.35737000001,0.0
1004401,1129074062338.0,21.33,0.56,235.36373,30.76155,54176.46845,0.0
1004401,1129074062338.0,20.36,0.33,235.36539,30.75982,54566.48485,0.0
1004401,1129074062338.0,21.08,0.5,235.36471,30.76013,55328.41753,0.0
1004401,1129074062338.0,20.09,0.29,235.36565,30.76025,56064.36776,0.0
1004401,1129074062338.0,21.0,0.47,235.36535,30.76052,56072.26182000001,0.0
1004401,1129074062338.0,21.25,0.58,235.36542000000003,30.76026,56404.47895,0.0
1004401,1129074062338.0,20.01,0.28,235.3649,30.7603,56568.11688,0.0
1004401,1129074062376.0,17.88,0.11,235.38003,30.75078,53470.38598,0.0
1004401,1129074062376.0,17.86,0.11,235.38013,30.75078,53470.39322,0.0
1004401,1129074062376.0,17.77,0.11,235.38003,30.75081,53470.4005,0.0
1004401,1129074062376.0,17.82,0.11,235.37999,30.750840000000004,53470.40776,0.0
1004401,1129074062376.0,17.77,0.1,235.38006,30.75088,53479.34486000001,0.0
1004401,1129074062376.0,17.82,0.1,235.38,30.7508,53479.35299,0.0
1004401,1129074062376.0,17.77,0.1,235.38012,30.75081,53479.36123,0.0
1004401,1129074062376.0,17.93,0.11,235.38005,30.7508,53479.36948,0.0
1004401,1129074062376.0,17.91,0.11,235.38,30.75085,53560.23003,0.0
1004401,1129074062376.0,17.99,0.11,235.38003,30.75087000000001,53560.23786,0.0
1004401,1129074062376.0,17.91,0.11,235.37992000000003,30.75085,53560.24577,0.0
1004401,1129074062376.0,17.95,0.11,235.37996,30.75081,53560.2536,0.0
1004401,1129074062376.0,17.99,0.11,235.37994,30.75076,53527.32951,0.0
1004401,1129074062376.0,17.96,0.11,235.37999,30.75085,53527.33895,0.0
1004401,1129074062376.0,17.92,0.11,235.38,30.750840000000004,53527.34822,0.0
1004401,1129074062376.0,17.82,0.11,235.37999,30.75087000000001,53527.35738,0.0
1004401,1129074062376.0,17.74,0.1,235.38002000000003,30.75082,53551.26298,0.0
1004401,1129074062376.0,17.81,0.11,235.37992000000003,30.7508,53551.27051,0.0
1004401,1129074062376.0,17.74,0.1,235.37993,30.750840000000004,53551.27805,0.0
1004401,1129074062376.0,17.9,0.11,235.37999,30.750840000000004,53551.28562,0.0
1004401,1129074062376.0,17.79,0.1,235.37994,30.75095,53496.27312,0.0
1004401,1129074062376.0,17.94,0.11,235.37994,30.75088,53496.28145,0.0
1004401,1129074062376.0,17.74,0.1,235.37996,30.75079,53496.28985,0.0
1004401,1129074062376.0,17.94,0.11,235.38005,30.75096,53496.29825,0.0
