InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004421,1135070002717.0,21.25,0.59,236.12473,33.97429,53886.34492,0.0
1004421,1135070002717.0,20.77,0.44,236.12524,33.97319,54272.29384,0.0
1004421,1135070002717.0,20.59,0.44,236.12546,33.97307,54392.08939,0.0
1004421,1135070002717.0,20.43,0.34,236.12487,33.97345,54559.45761000001,0.0
1004421,1135070002717.0,21.33,0.57,236.12524,33.9732,54531.41799,0.0
1004421,1135070002717.0,20.84,0.43,236.12496,33.97372,54941.46124,0.0
1004421,1135070002717.0,20.36,0.43,236.1268,33.972970000000004,55017.25707000001,0.0
1004421,1135070002717.0,19.26,0.23,236.12514,33.97413,55017.27081,0.0
1004421,1135070002717.0,21.17,0.53,236.1249,33.97428,54953.44429,0.0
1004421,1135070002717.0,20.03,0.27,236.12555,33.9747,55273.40727,0.0
1004421,1135070002717.0,20.79,0.42,236.12544,33.97364,55273.41309,0.0
1004421,1135070002717.0,20.76,0.43,236.12526,33.97396,55659.41632999999,0.0
1004421,1135070002717.0,20.65,0.4,236.12512,33.97375,55719.32435,0.0
1004421,1135070002717.0,21.05,0.42,236.12469,33.9736,56188.11479,0.0
1004421,1135070002717.0,20.99,0.41,236.12532,33.97398,56188.11965,0.0
1004421,1135070002717.0,19.52,0.2,236.12601,33.97448,56195.16193,0.0
1004421,1135070002717.0,20.98,0.41,236.12477,33.97414000000001,56390.46891,0.0
1004421,1135070002717.0,20.36,0.34,236.12506,33.97385,56419.40521,0.0
1004421,1135070002717.0,21.36,0.63,236.12573,33.974059999999994,56453.31346000001,0.0
1004421,1135070002717.0,20.34,0.34,236.12517000000003,33.97446,56461.30473,0.0
1004421,1135070002862.0,21.09,0.51,236.09677,33.97948,53562.19248,0.0
1004421,1135070002862.0,21.18,0.54,236.09744,33.9792,53526.31676,0.0
1004421,1135070002862.0,20.75,0.42,236.09649,33.97905,53534.30852,0.0
1004421,1135070002862.0,20.45,0.37,236.09746,33.97922,53549.22312,0.0
1004421,1135070002862.0,20.05,0.29,236.09668,33.97948,53852.41776,0.0
1004421,1135070002862.0,20.49,0.37,236.09613,33.97935,53862.35472999999,0.0
1004421,1135070002862.0,21.02,0.48,236.09652000000003,33.97968,54209.44562000001,0.0
1004421,1135070002862.0,19.64,0.29,236.09666,33.97974,54295.22137000001,0.0
1004421,1135070002862.0,21.27,0.55,236.09686,33.978790000000004,54258.29338,0.0
1004421,1135070002862.0,20.69,0.39,236.09621,33.979209999999995,54559.4474,0.0
1004421,1135070002862.0,21.29,0.55,236.09726,33.979240000000004,54559.46272999999,0.0
1004421,1135070002862.0,21.31,0.56,236.09677,33.97881,54567.43444,0.0
1004421,1135070002862.0,20.34,0.35,236.09659,33.97946,54627.35634,0.0
1004421,1135070002862.0,20.56,0.37,236.09648,33.97996,54531.3983,0.0
1004421,1135070002862.0,19.63,0.22,236.09651,33.97964,54531.41799,0.0
1004421,1135070002862.0,20.85,0.43,236.09659,33.97965,54594.4376,0.0
1004421,1135070002862.0,21.16,0.51,236.09669,33.97952,54594.44467,0.0
1004421,1135070002862.0,20.77,0.42,236.09642,33.97937,54594.45171,0.0
1004421,1135070002862.0,20.56,0.38,236.09688,33.97946,54890.48932000001,0.0
1004421,1135070002862.0,19.96,0.27,236.0969,33.97937,54997.36497,0.0
1004421,1135070002862.0,20.79,0.42,236.09706,33.97937,54997.37102000001,0.0
1004421,1135070002862.0,20.46,0.35,236.09706,33.97961,54920.36967000001,0.0
1004421,1135070002862.0,20.41,0.34,236.09659,33.97935,54953.42979,0.0
1004421,1135070002862.0,21.07,0.51,236.09687,33.97926,54976.37879,0.0
1004421,1135070002862.0,19.82,0.26,236.09744,33.97894,55095.12462,0.0
1004421,1135070002862.0,21.09,0.53,236.09733,33.98041,55095.1353,0.0
1004421,1135070002862.0,19.76,0.24,236.09618,33.97946,55365.33705,0.0
1004421,1135070002862.0,20.82,0.43,236.09724,33.97925,55365.34234,0.0
1004421,1135070002862.0,20.36,0.33,236.09573,33.97938,55273.41891,0.0
1004421,1135070002862.0,20.47,0.35,236.09686,33.97922,55328.4129,0.0
1004421,1135070002862.0,20.3,0.33,236.09686,33.97947,55659.40864,0.0
1004421,1135070002862.0,19.8,0.33,236.09684,33.979820000000004,55676.27861,0.0
1004421,1135070002862.0,20.48,0.36,236.09683,33.97935,55648.38981,0.0
1004421,1135070002862.0,20.28,0.33,236.09653,33.97967,55648.40704,0.0
1004421,1135070002862.0,20.71,0.42,236.09696,33.97947,55688.37387999999,0.0
1004421,1135070002862.0,20.26,0.33,236.09612,33.97979,55688.38002,0.0
1004421,1135070002862.0,20.49,0.38,236.09746,33.97934,55688.39231,0.0
1004421,1135070002862.0,19.94,0.26,236.09703,33.979409999999994,56018.44512999999,0.0
1004421,1135070002862.0,20.89,0.45,236.09719,33.97878,56018.46594,0.0
1004421,1135070002862.0,20.55,0.49,236.09694,33.97925,56046.40552000001,0.0
1004421,1135070002862.0,20.71,0.33,236.09669,33.97922,56071.32379,0.0
1004421,1135070002862.0,20.95,0.46,236.09556,33.9793,56094.28107999999,0.0
1004421,1135070002862.0,21.0,0.47,236.09687,33.97848,56094.29798,0.0
1004421,1135070002862.0,20.58,0.33,236.09717,33.980290000000004,56188.10999,0.0
1004421,1135070002862.0,21.07,0.43,236.09705,33.97926,56188.12451,0.0
1004421,1135070002862.0,18.56,0.13,236.09674,33.98014000000001,56195.16193,0.0
1004421,1135070002862.0,20.29,0.28,236.09725,33.97965,56390.45788,0.0
1004421,1135070002862.0,20.21,0.27,236.09712,33.97974,56390.46891,0.0
1004421,1135070002862.0,21.31,0.5,236.09687,33.97923,56390.48005,0.0
1004421,1135070002862.0,20.89,0.46,236.097,33.97959,56419.41097,0.0
1004421,1135070002862.0,21.26,0.58,236.09745,33.97948,56446.30734,0.0
1004421,1135070002862.0,21.02,0.5,236.09715,33.97971,56461.29964,0.0
1004421,1135070002880.0,21.0,0.47,236.10664,33.98205,54941.45053,0.0
1004421,1135070002880.0,19.72,0.39,236.10767,33.98219,54976.37941,0.0
1004421,1135070002880.0,19.99,0.27,236.10744,33.98172,55365.33177999999,0.0
1004421,1135070002880.0,20.54,0.36,236.10686,33.98185,55320.28641,0.0
1004421,1135070002880.0,21.38,0.59,236.10687,33.98217,55328.4129,0.0
1004421,1135070002880.0,21.02,0.5,236.1069,33.98226,55659.39423,0.0
1004421,1135070002880.0,20.44,0.36,236.10675,33.98234,55719.31513,0.0
1004421,1135070002880.0,20.56,0.38,236.10665,33.98255,55648.38981,0.0
1004421,1135070002880.0,20.7,0.42,236.10655,33.9824,55688.38002,0.0
1004421,1135070002880.0,20.5,0.37,236.10661,33.98277,56560.12262,0.0
1004421,1135070003102.0,16.16,0.07,236.11485,33.97775,53480.29914,0.0
1004421,1135070003102.0,16.19,0.07,236.11496,33.97782,53480.3076,0.0
1004421,1135070003102.0,16.14,0.07,236.11484,33.9778,53480.3161,0.0
1004421,1135070003102.0,16.16,0.07,236.11492,33.9778,53480.32452,0.0
1004421,1135070003102.0,16.18,0.07,236.11492,33.9778,53562.19248,0.0
1004421,1135070003102.0,16.17,0.07,236.11492,33.97775,53562.199,0.0
1004421,1135070003102.0,16.16,0.07,236.11488,33.97777,53562.20551,0.0
1004421,1135070003102.0,16.16,0.07,236.11493,33.97778,53562.21208000001,0.0
1004421,1135070003102.0,16.19,0.07,236.11491,33.97779,53526.30613,0.0
1004421,1135070003102.0,16.17,0.07,236.11492,33.97779,53526.31676,0.0
1004421,1135070003102.0,16.19,0.07,236.1149,33.97779,53526.32711000001,0.0
1004421,1135070003102.0,16.16,0.07,236.11494,33.97779,53526.33739,0.0
1004421,1135070003102.0,16.15,0.07,236.11493,33.97776,53534.27918,0.0
1004421,1135070003102.0,16.17,0.07,236.11495,33.97777,53534.28902,0.0
1004421,1135070003102.0,16.18,0.07,236.11496,33.97776,53534.29882,0.0
1004421,1135070003102.0,16.2,0.07,236.11483,33.97781,53534.30852,0.0
1004421,1135070003102.0,16.17,0.07,236.11496,33.97775,53549.22312,0.0
1004421,1135070003102.0,16.19,0.07,236.1149,33.97777,53549.23098,0.0
1004421,1135070003102.0,16.17,0.07,236.11492,33.97777,53549.2388,0.0
1004421,1135070003102.0,16.14,0.07,236.11494,33.97779,53549.24666,0.0
1004421,1135070003102.0,16.15,0.07,236.11492,33.977740000000004,53509.27176,0.0
1004421,1135070003102.0,16.16,0.07,236.11488,33.97776,53509.27955,0.0
1004421,1135070003102.0,16.16,0.07,236.11491,33.97775,53509.28731,0.0
1004421,1135070003102.0,16.13,0.07,236.11476,33.97783,53509.29511,0.0
1004421,1135070003102.0,16.16,0.07,236.11491,33.97777,53852.41776,0.0
1004421,1135070003102.0,16.15,0.07,236.11496,33.97782,53852.42539,0.0
1004421,1135070003102.0,16.21,0.07,236.11487,33.97778,53852.43331,0.0
1004421,1135070003102.0,16.16,0.07,236.11489,33.97779,53852.44097,0.0
1004421,1135070003102.0,16.08,0.13,236.11482,33.97775,53900.25754,0.0
1004421,1135070003102.0,16.35,0.15,236.11462000000003,33.97789,53900.25852,0.0
1004421,1135070003102.0,16.15,0.14,236.11449,33.9779,53900.2595,0.0
1004421,1135070003102.0,16.3,0.15,236.11459,33.9778,53900.26049,0.0
1004421,1135070003102.0,16.19,0.07,236.11493,33.97777,53796.43592999999,0.0
1004421,1135070003102.0,16.22,0.07,236.11492,33.97776,53796.44338,0.0
1004421,1135070003102.0,16.18,0.07,236.11493,33.97775,53796.45086,0.0
1004421,1135070003102.0,16.2,0.07,236.11489,33.97775,53796.45837000001,0.0
1004421,1135070003102.0,16.2,0.07,236.11485,33.97779,53862.34555,0.0
1004421,1135070003102.0,16.24,0.07,236.11487,33.97778,53862.35472999999,0.0
1004421,1135070003102.0,16.19,0.07,236.1149,33.97778,53862.36361,0.0
1004421,1135070003102.0,16.19,0.07,236.11488,33.977740000000004,53862.37175,0.0
1004421,1135070003102.0,16.2,0.07,236.1149,33.97778,53886.33684,0.0
1004421,1135070003102.0,16.18,0.07,236.11491,33.9778,53886.34492,0.0
1004421,1135070003102.0,16.22,0.07,236.11487,33.97779,53886.352999999996,0.0
1004421,1135070003102.0,16.22,0.07,236.11489,33.97775,53886.36113,0.0
1004421,1135070003102.0,16.16,0.07,236.1149,33.97781,53994.13111,0.0
1004421,1135070003102.0,16.15,0.07,236.11492,33.97781,53994.1359,0.0
1004421,1135070003102.0,16.19,0.07,236.1149,33.97777,53994.14071,0.0
1004421,1135070003102.0,16.17,0.07,236.11483,33.97781,53994.14554,0.0
1004421,1135070003102.0,16.18,0.08,236.1149,33.97779,54003.10181,0.0
1004421,1135070003102.0,16.2,0.08,236.1148,33.977740000000004,54003.10608,0.0
1004421,1135070003102.0,16.14,0.08,236.11497000000003,33.97778,54003.11035,0.0
1004421,1135070003102.0,16.05,0.08,236.115,33.977740000000004,54003.11461,0.0
1004421,1135070003102.0,16.18,0.07,236.1149,33.97779,54209.4348,0.0
1004421,1135070003102.0,16.19,0.07,236.11493,33.97778,54209.4402,0.0
1004421,1135070003102.0,16.19,0.07,236.11489,33.97777,54209.44562000001,0.0
1004421,1135070003102.0,16.19,0.07,236.11487,33.97779,54209.45113,0.0
1004421,1135070003102.0,16.29,0.07,236.11462000000003,33.97784,54157.35118,0.0
1004421,1135070003102.0,16.19,0.07,236.115,33.97779,54157.36102,0.0
1004421,1135070003102.0,16.15,0.07,236.11491,33.97777,54157.37079,0.0
1004421,1135070003102.0,16.11,0.07,236.115,33.97775,54157.38055,0.0
1004421,1135070003102.0,16.2,0.07,236.11488,33.97783,54295.20849,0.0
1004421,1135070003102.0,16.18,0.07,236.11492,33.97782,54295.2128,0.0
1004421,1135070003102.0,16.2,0.07,236.11485,33.97776,54295.2171,0.0
1004421,1135070003102.0,16.14,0.07,236.11484,33.97779,54295.22137000001,0.0
1004421,1135070003102.0,16.15,0.07,236.11498,33.97779,54258.2814,0.0
1004421,1135070003102.0,16.18,0.07,236.11491,33.97778,54258.28739,0.0
1004421,1135070003102.0,16.2,0.07,236.11494,33.97776,54258.29338,0.0
1004421,1135070003102.0,16.17,0.07,236.11495,33.97779,54258.29934,0.0
1004421,1135070003102.0,16.15,0.07,236.11486,33.977740000000004,54272.27751,0.0
1004421,1135070003102.0,16.13,0.07,236.11487,33.97779,54272.28297000001,0.0
1004421,1135070003102.0,16.15,0.07,236.11493,33.9778,54272.2884,0.0
1004421,1135070003102.0,16.17,0.07,236.115,33.97779,54272.29384,0.0
1004421,1135070003102.0,16.27,0.07,236.11461,33.97783,54177.36517000001,0.0
1004421,1135070003102.0,16.27,0.07,236.11454,33.9778,54177.37631,0.0
1004421,1135070003102.0,16.3,0.07,236.11452000000003,33.97781,54177.38752999999,0.0
1004421,1135070003102.0,16.18,0.07,236.11487,33.97779,54177.39872000001,0.0
1004421,1135070003102.0,16.15,0.07,236.11492,33.977740000000004,54232.39269,0.0
1004421,1135070003102.0,16.14,0.07,236.11496,33.97779,54232.3997,0.0
1004421,1135070003102.0,16.23,0.07,236.11491,33.97776,54232.40671,0.0
1004421,1135070003102.0,16.17,0.07,236.11492,33.97778,54232.41374,0.0
1004421,1135070003102.0,16.14,0.07,236.11493,33.97778,54240.23404,0.0
1004421,1135070003102.0,16.13,0.07,236.11496,33.97776,54240.24227,0.0
1004421,1135070003102.0,16.14,0.07,236.11498,33.97776,54240.25054,0.0
1004421,1135070003102.0,16.26,0.07,236.11451,33.97781,54240.25893,0.0
1004421,1135070003102.0,16.12,0.07,236.11493,33.97777,54392.08939,0.0
1004421,1135070003102.0,16.16,0.07,236.11478,33.97779,54392.09277,0.0
1004421,1135070003102.0,16.28,0.07,236.11441,33.9779,54392.09613,0.0
1004421,1135070003102.0,16.17,0.07,236.11482,33.97781,54392.09952,0.0
1004421,1135070003102.0,16.16,0.07,236.11492,33.97778,54348.14803,0.0
1004421,1135070003102.0,16.16,0.07,236.11488,33.9778,54348.15592999999,0.0
1004421,1135070003102.0,16.26,0.07,236.11445,33.97787,54348.16391,0.0
1004421,1135070003102.0,16.28,0.07,236.11452000000003,33.9779,54348.17211,0.0
1004421,1135070003102.0,16.2,0.07,236.1149,33.9778,54559.4474,0.0
1004421,1135070003102.0,16.17,0.07,236.1149,33.97783,54559.45249,0.0
