InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004521,1009086046455.0,20.7,0.47,242.25923,-10.03616,54212.39257999999,0.0
1004521,1009086046455.0,20.33,0.44,242.25971,-10.03554,55320.40639,0.0
1004521,1009086046455.0,20.93,0.46,242.25893,-10.03599,55602.53582999999,0.0
1004521,1009086046455.0,20.85,0.44,242.25782,-10.03619,55602.54211,0.0
1004521,1009086046455.0,20.18,0.31,242.25889,-10.03658,55648.4608,0.0
1004521,1009086046455.0,21.06,0.49,242.25867,-10.03594,56009.48108,0.0
1004521,1009086046455.0,20.69,0.46,242.25883,-10.03608,56066.39114,0.0
1004521,1009086046455.0,19.89,0.3,242.25999,-10.03613,56086.28373,0.0
1004521,1009086046851.0,19.86,0.3,242.28932000000003,-10.02579,53499.36239,0.0
1004521,1009086046851.0,20.63,0.49,242.2893,-10.02574,53855.36948,0.0
1004521,1009086046851.0,20.64,0.49,242.28897,-10.02631,53855.38537,0.0
1004521,1009086046851.0,20.61,0.46,242.28921,-10.02645,53791.47064,0.0
1004521,1009086046851.0,20.47,0.42,242.28952,-10.0254,53766.53189,0.0
1004521,1009086046851.0,19.88,0.34,242.2893,-10.0262,53889.37874,0.0
1004521,1009086046851.0,19.88,0.32,242.28977000000003,-10.02601,53883.33001000001,0.0
1004521,1009086046851.0,20.55,0.46,242.2897,-10.0261,53883.33396,0.0
1004521,1009086046851.0,20.21,0.38,242.29008,-10.02578,53883.3379,0.0
1004521,1009086046851.0,20.35,0.39,242.28974,-10.0255,54205.42951,0.0
1004521,1009086046851.0,19.59,0.26,242.28925,-10.02552,54205.43434,0.0
1004521,1009086046851.0,19.97,0.34,242.28967000000003,-10.02587,54237.34871000001,0.0
1004521,1009086046851.0,20.58,0.44,242.28794,-10.02598,54530.4796,0.0
1004521,1009086046851.0,19.99,0.31,242.28925,-10.02615,54940.40689,0.0
1004521,1009086046851.0,19.59,0.25,242.28936,-10.02589,54940.42691,0.0
1004521,1009086046851.0,19.76,0.3,242.28948,-10.02632,55058.16277,0.0
1004521,1009086046851.0,19.85,0.33,242.28974,-10.02579,54863.53472,0.0
1004521,1009086046851.0,19.92,0.31,242.28947,-10.02551,54983.25107000001,0.0
1004521,1009086046851.0,19.88,0.31,242.28954,-10.02529,54911.49585,0.0
1004521,1009086046851.0,19.85,0.29,242.28916,-10.02563,54921.42477000001,0.0
1004521,1009086046851.0,19.49,0.24,242.28952,-10.02639,54921.44319,0.0
1004521,1009086046851.0,19.8,0.29,242.2895,-10.02534,54921.45232999999,0.0
1004521,1009086046851.0,19.83,0.3,242.28938,-10.02592,55383.23426000001,0.0
1004521,1009086046851.0,20.1,0.29,242.28965,-10.02571,55358.25372000001,0.0
1004521,1009086046851.0,19.37,0.23,242.28912000000003,-10.02631,55347.24251,0.0
1004521,1009086046851.0,20.67,0.48,242.28963,-10.02611,55655.48553,0.0
1004521,1009086046851.0,20.06,0.34,242.28962,-10.02568,55655.49022000001,0.0
1004521,1009086046851.0,20.52,0.37,242.28936,-10.02585,55602.52958,0.0
1004521,1009086046851.0,19.99,0.27,242.28904,-10.02567,55602.53582999999,0.0
1004521,1009086046851.0,18.66,0.17,242.28948,-10.02603,55629.48816,0.0
1004521,1009086046851.0,19.56,0.22,242.2891,-10.02585,55648.4608,0.0
1004521,1009086046851.0,19.29,0.19,242.28907,-10.02608,55648.47051,0.0
1004521,1009086046851.0,20.47,0.36,242.28927,-10.02558,55648.4802,0.0
1004521,1009086046851.0,20.21,0.37,242.2894,-10.02567,55689.37465,0.0
1004521,1009086046851.0,19.82,0.3,242.2891,-10.02578,55689.38154,0.0
1004521,1009086046851.0,20.29,0.39,242.29019,-10.02564,55689.38835,0.0
