InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004541,1101087077794.0,20.85,0.48,243.61238,2.26405,53532.33473,0.0
1004541,1101087077794.0,20.23,0.34,243.61168,2.26385,53856.32149,0.0
1004541,1101087077794.0,20.22,0.34,243.61261,2.2641400000000003,53856.35128,0.0
1004541,1101087077794.0,20.5,0.4,243.61226,2.26417,53878.32777,0.0
1004541,1101087077794.0,20.64,0.43,243.6122,2.2642900000000004,53882.26663,0.0
1004541,1101087077794.0,20.49,0.4,243.61266,2.26401,53882.27383,0.0
1004541,1101087077794.0,20.15,0.32,243.61206,2.26399,54269.23768,0.0
1004541,1101087077794.0,20.26,0.33,243.6122,2.26399,54175.50139,0.0
1004541,1101087077794.0,20.61,0.45,243.61252,2.26481,54239.34945,0.0
1004541,1101087077794.0,19.95,0.28,243.61205,2.26417,54506.50891,0.0
1004541,1101087077794.0,20.22,0.32,243.61224,2.26401,54506.51722,0.0
1004541,1101087077794.0,20.83,0.45,243.61206,2.26402,54529.5223,0.0
1004541,1101087077794.0,20.52,0.38,243.6121,2.2638700000000003,54555.4488,0.0
1004541,1101087077794.0,18.8,0.16,243.61315,2.26411,54601.40878,0.0
1004541,1101087077794.0,19.45,0.22,243.61184,2.26499,55040.21955,0.0
1004541,1101087077794.0,20.08,0.29,243.61279,2.2644,54911.45402000001,0.0
1004541,1101087077794.0,19.85,0.26,243.61228,2.26416,54982.29265,0.0
1004541,1101087077794.0,20.51,0.38,243.61183,2.2642,55295.40699,0.0
1004541,1101087077794.0,19.91,0.27,243.61224,2.2638700000000003,55295.41434,0.0
1004541,1101087077794.0,20.62,0.42,243.612,2.26421,55356.28872,0.0
1004541,1101087077794.0,20.14,0.32,243.61187,2.2639,55363.27501000001,0.0
1004541,1101087077794.0,20.38,0.36,243.61249,2.26396,55363.27952,0.0
1004541,1101087077794.0,20.0,0.3,243.61207,2.26413,55656.48898,0.0
1004541,1101087077794.0,20.19,0.33,243.61268,2.26528,55664.44942,0.0
1004541,1101087077794.0,20.09,0.31,243.61284,2.26463,55603.53917999999,0.0
1004541,1101087077794.0,20.18,0.34,243.6127,2.26404,55650.45707,0.0
1004541,1101087077794.0,19.56,0.23,243.61277,2.26386,56002.49864,0.0
1004541,1101087077794.0,19.88,0.27,243.61213,2.2642,56010.50322000001,0.0
1004541,1101087077794.0,19.79,0.26,243.61224,2.2642,56010.50992999999,0.0
1004541,1101087077794.0,19.6,0.24,243.61251,2.2641400000000003,56036.43334,0.0
1004541,1101087077794.0,20.41,0.35,243.61246,2.26432,56066.36569,0.0
1004541,1101087077794.0,19.9,0.27,243.61253,2.26406,56087.34942000001,0.0
1004541,1101087077794.0,20.38,0.31,243.61228,2.2640000000000002,56167.14133,0.0
1004541,1101087077794.0,20.32,0.35,243.61231,2.26425,56366.44861,0.0
1004541,1101087077794.0,20.95,0.51,243.61241,2.26403,56366.45593,0.0
1004541,1101087077794.0,21.15,0.57,243.61257,2.2643,56393.42878,0.0
1004541,1101087077794.0,21.14,0.58,243.61237000000003,2.26422,56424.34487000001,0.0
1004541,1101087077794.0,20.68,0.45,243.61222,2.26409,56424.35389,0.0
1004541,1101087077794.0,20.29,0.36,243.61239,2.2641400000000003,56424.37211,0.0
1004541,1101087077794.0,20.04,0.33,243.61244,2.26461,56450.29283,0.0
1004541,1101087077918.0,20.43,0.38,243.60352000000003,2.26618,53532.33473,0.0
1004541,1101087077918.0,19.52,0.23,243.6029,2.26581,53494.41185,0.0
1004541,1101087077918.0,20.73,0.46,243.60324,2.26606,53846.38134,0.0
1004541,1101087077918.0,19.61,0.29,243.60307000000003,2.26594,53976.17362,0.0
1004541,1101087077918.0,20.55,0.41,243.60308,2.26562,53856.33141,0.0
1004541,1101087077918.0,20.22,0.34,243.60328,2.2661,53878.32777,0.0
1004541,1101087077918.0,20.9,0.5,243.60343,2.26598,53878.34249,0.0
1004541,1101087077918.0,19.9,0.29,243.60325,2.2660400000000003,53882.26663,0.0
1004541,1101087077918.0,19.54,0.24,243.60304,2.26576,53882.27383,0.0
1004541,1101087077918.0,20.33,0.36,243.60324,2.26635,53882.28821,0.0
1004541,1101087077918.0,20.61,0.39,243.60301,2.26553,53994.11726,0.0
1004541,1101087077918.0,19.55,0.24,243.60312,2.26562,54256.31814,0.0
1004541,1101087077918.0,20.26,0.34,243.60352000000003,2.26586,54269.24618,0.0
1004541,1101087077918.0,20.5,0.39,243.60298,2.26587,54269.25471,0.0
1004541,1101087077918.0,20.98,0.49,243.60262000000003,2.26582,54175.49481,0.0
1004541,1101087077918.0,20.23,0.32,243.60314,2.26607,54175.50139,0.0
1004541,1101087077918.0,20.56,0.42,243.60335,2.26576,54239.3386,0.0
1004541,1101087077918.0,19.77,0.27,243.60361,2.26576,54246.32856,0.0
1004541,1101087077918.0,21.04,0.51,243.60305,2.26631,54567.40833,0.0
1004541,1101087077918.0,20.06,0.29,243.60375,2.26618,54567.41266,0.0
1004541,1101087077918.0,20.22,0.32,243.60335,2.2659700000000003,54506.50891,0.0
1004541,1101087077918.0,20.44,0.36,243.60313,2.26626,54506.51722,0.0
1004541,1101087077918.0,20.09,0.3,243.60365,2.26582,54515.545999999995,0.0
1004541,1101087077918.0,20.19,0.4,243.60338,2.26611,54496.51245,0.0
1004541,1101087077918.0,20.54,0.49,243.60336,2.26615,54496.5253,0.0
1004541,1101087077918.0,20.38,0.38,243.60326,2.26578,54648.20637000001,0.0
1004541,1101087077918.0,19.97,0.28,243.60298,2.26596,54529.50461,0.0
1004541,1101087077918.0,19.94,0.27,243.6033,2.26586,54529.51355,0.0
1004541,1101087077918.0,20.22,0.32,243.60339,2.2658,54529.5223,0.0
1004541,1101087077918.0,20.96,0.49,243.60308,2.2658,54555.42755,0.0
1004541,1101087077918.0,20.58,0.39,243.60351,2.2656,54555.4417,0.0
1004541,1101087077918.0,20.48,0.39,243.60306,2.26652,54601.41331,0.0
1004541,1101087077918.0,20.32,0.35,243.60334,2.26599,54945.45157999999,0.0
1004541,1101087077918.0,20.71,0.44,243.60324,2.26601,55040.21412999999,0.0
1004541,1101087077918.0,20.46,0.39,243.60346,2.26644,55001.32227,0.0
1004541,1101087077918.0,20.23,0.32,243.60303,2.26619,54911.44196,0.0
1004541,1101087077918.0,19.89,0.26,243.60321,2.26615,54911.45402000001,0.0
1004541,1101087077918.0,20.38,0.36,243.60331,2.2660400000000003,54953.39534,0.0
1004541,1101087077918.0,20.91,0.47,243.60309,2.26649,54982.29753,0.0
1004541,1101087077918.0,20.27,0.33,243.60301,2.26643,54982.30715,0.0
1004541,1101087077918.0,19.91,0.27,243.60288,2.26602,55295.40699,0.0
1004541,1101087077918.0,19.71,0.25,243.60301,2.26603,55295.4218,0.0
1004541,1101087077918.0,20.18,0.33,243.60309,2.26593,55348.34379,0.0
1004541,1101087077918.0,19.43,0.22,243.60264,2.26576,55356.28129,0.0
1004541,1101087077918.0,20.64,0.42,243.60308,2.26594,55363.26587999999,0.0
1004541,1101087077918.0,19.96,0.29,243.60349,2.26614,55363.27041000001,0.0
1004541,1101087077918.0,20.14,0.32,243.60345,2.2658,55363.27501000001,0.0
1004541,1101087077918.0,20.11,0.31,243.60348,2.26619,55368.1602,0.0
1004541,1101087077918.0,20.1,0.3,243.6032,2.26573,55271.51157,0.0
1004541,1101087077918.0,20.96,0.49,243.60347,2.26576,55271.51638,0.0
1004541,1101087077918.0,20.3,0.39,243.6036,2.26667,55320.44297999999,0.0
1004541,1101087077918.0,19.93,0.32,243.60332,2.2664,55320.44875,0.0
1004541,1101087077918.0,20.97,0.51,243.60321,2.26637,55656.47968,0.0
1004541,1101087077918.0,20.72,0.44,243.60317,2.26626,55656.48434,0.0
1004541,1101087077918.0,19.99,0.3,243.60311,2.26648,55664.44942,0.0
1004541,1101087077918.0,20.69,0.45,243.60342000000003,2.26662,55664.45469,0.0
1004541,1101087077918.0,20.67,0.43,243.60321,2.26649,55664.45994,0.0
1004541,1101087077918.0,19.84,0.32,243.60279,2.26606,55675.43792999999,0.0
1004541,1101087077918.0,20.34,0.37,243.60338,2.26634,55715.22598,0.0
