InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004561,1112086018377.0,20.61,0.4,245.04308,11.89793,53561.16799,0.0
1004561,1112086018377.0,20.78,0.46,245.0424,11.89824,53845.44991,0.0
1004561,1112086018377.0,20.27,0.34,245.04276,11.89772,53818.47733,0.0
1004561,1112086018377.0,21.02,0.53,245.0426,11.89817,53859.37587999999,0.0
1004561,1112086018377.0,20.48,0.38,245.04323,11.89823,53879.34776,0.0
1004561,1112086018377.0,20.99,0.4,245.04295,11.89806,54623.31352999999,0.0
1004561,1112086018377.0,20.95,0.5,245.04315,11.89771,55039.27327000001,0.0
1004561,1112086018377.0,20.18,0.31,245.04287,11.89763,54996.30067999999,0.0
1004561,1112086018377.0,20.49,0.36,245.0431,11.89732,55295.46909,0.0
1004561,1112086018377.0,20.82,0.44,245.04278,11.89766,55363.31707999999,0.0
1004561,1112086018377.0,21.27,0.56,245.0413,11.89766,55272.50497,0.0
1004561,1112086018377.0,21.06,0.52,245.04327,11.89755,55590.52005,0.0
1004561,1112086018377.0,20.03,0.3,245.0427,11.89807,55650.41303,0.0
1004561,1112086018377.0,20.47,0.38,245.04318,11.89795,55650.42896000001,0.0
1004561,1112086018377.0,20.98,0.41,245.04306,11.8976,55684.35856,0.0
1004561,1112086018377.0,21.16,0.63,245.04236,11.89748,56369.50463,0.0
1004561,1112086018377.0,21.03,0.59,245.04294,11.89817,56369.50769,0.0
1004561,1112086018377.0,19.28,0.2,245.04292,11.89741,55946.53601,0.0
1004561,1112086018377.0,20.93,0.41,245.04274,11.89763,56388.45684,0.0
1004561,1112086018377.0,20.81,0.46,245.04346,11.8976,56414.44666,0.0
1004561,1112086018377.0,21.15,0.58,245.04278,11.89778,56450.33027000001,0.0
1004561,1112086018439.0,19.92,0.3,245.05793,11.89968,53639.12741,0.0
1004561,1112086018439.0,21.13,0.53,245.05886,11.899000000000001,54264.29984,0.0
1004561,1112086018439.0,20.7,0.34,245.05922,11.90004,54623.28665,0.0
1004561,1112086018439.0,21.36,0.5,245.05919,11.89959,54623.29602,0.0
1004561,1112086018439.0,20.97,0.48,245.05842,11.89954,54996.30067999999,0.0
1004561,1112086018439.0,20.55,0.38,245.05915,11.89945,54981.35382,0.0
1004561,1112086018439.0,20.28,0.33,245.05955,11.89937,55090.11293,0.0
1004561,1112086018439.0,21.23,0.56,245.05897,11.8998,55356.33512999999,0.0
1004561,1112086018439.0,20.54,0.38,245.05883,11.89962,55363.31187000001,0.0
1004561,1112086018439.0,20.73,0.44,245.05838,11.89966,55716.35879,0.0
1004561,1112086018439.0,21.15,0.56,245.05878,11.8996,56012.47419,0.0
1004561,1112086018439.0,20.64,0.31,245.05871,11.89935,56187.13312000001,0.0
1004561,1112086018439.0,19.72,0.25,245.05811,11.8998,56393.44393,0.0
1004561,1112086018439.0,20.22,0.33,245.0586,11.89944,56431.28623,0.0
1004561,1112086018660.0,20.74,0.41,245.04886,11.90613,53466.40133,0.0
1004561,1112086018660.0,21.02,0.51,245.04922,11.90669,53550.25087,0.0
1004561,1112086018660.0,20.55,0.47,245.04927,11.90655,53939.25439,0.0
1004561,1112086018660.0,20.43,0.38,245.04914,11.90568,53859.36667,0.0
1004561,1112086018660.0,19.7,0.35,245.04801,11.90696,54381.08071,0.0
1004561,1112086018660.0,19.42,0.21,245.04734,11.90801,54346.17445,0.0
1004561,1112086018660.0,20.17,0.3,245.04803,11.90595,54557.4743,0.0
1004561,1112086018660.0,20.88,0.58,245.04883,11.9062,54476.54007,0.0
1004561,1112086018660.0,20.69,0.34,245.0491,11.90686,54623.28665,0.0
1004561,1112086018660.0,20.55,0.5,245.04835,11.90657,54737.13139,0.0
1004561,1112086018660.0,20.9,0.46,245.04903,11.90682,54924.40084,0.0
1004561,1112086018660.0,21.27,0.57,245.04858,11.90669,54924.40635,0.0
1004561,1112086018660.0,21.07,0.51,245.04853,11.90667,54947.47897999999,0.0
1004561,1112086018660.0,20.39,0.33,245.04828,11.90692,54864.55309,0.0
1004561,1112086018660.0,20.34,0.35,245.04875,11.90643,55039.24972000001,0.0
1004561,1112086018660.0,21.13,0.52,245.0488,11.90684,54996.30067999999,0.0
1004561,1112086018660.0,20.35,0.32,245.04918,11.9064,54891.49636000001,0.0
