InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004581,1115085049860.0,19.89,0.26,246.30762,15.69678,53998.12047,0.0
1004581,1115085049860.0,20.41,0.34,246.30791,15.69735,54566.45008,0.0
1004581,1115085049860.0,20.45,0.35,246.30767000000003,15.697729999999998,55004.32531,0.0
1004581,1115085049860.0,20.82,0.43,246.30791,15.69742,54918.46159,0.0
1004581,1115085049860.0,20.9,0.45,246.30694,15.69683,55339.29315,0.0
1004581,1115085049860.0,19.38,0.21,246.30613,15.69709,55590.51361,0.0
1004581,1115085049860.0,20.23,0.33,246.3082,15.69765,55716.36534,0.0
1004581,1115085049860.0,20.54,0.39,246.30726,15.69771,55716.38235,0.0
1004581,1115085049860.0,19.98,0.24,246.30804,15.69815,56574.10781,0.0
1004581,1115085049875.0,21.19,0.54,246.31641,15.69901,53469.42686,0.0
1004581,1115085049875.0,19.83,0.25,246.31636,15.69888,53469.43655,0.0
1004581,1115085049875.0,20.19,0.31,246.31633,15.69877,53469.44626,0.0
1004581,1115085049875.0,20.19,0.32,246.31686,15.699129999999998,53558.2854,0.0
1004581,1115085049875.0,19.32,0.21,246.31615,15.69887,53558.30622,0.0
1004581,1115085049875.0,19.96,0.28,246.31615,15.69893,53561.1589,0.0
1004581,1115085049875.0,19.86,0.26,246.31624,15.69919,53561.1637,0.0
1004581,1115085049875.0,20.97,0.49,246.31652000000003,15.69873,53525.36721,0.0
1004581,1115085049875.0,20.21,0.32,246.31643,15.699129999999998,53525.37536000001,0.0
1004581,1115085049875.0,20.96,0.49,246.3159,15.69878,53525.39166,0.0
1004581,1115085049875.0,19.98,0.3,246.31623,15.69894,53639.12847,0.0
1004581,1115085049875.0,20.03,0.29,246.31609,15.69874,53827.47507000001,0.0
1004581,1115085049875.0,20.36,0.36,246.31617000000003,15.69892,53827.47849,0.0
1004581,1115085049875.0,20.06,0.29,246.3165,15.69899,53827.48172,0.0
1004581,1115085049875.0,20.0,0.29,246.31649,15.69894,53827.48496,0.0
1004581,1115085049875.0,21.05,0.51,246.31661,15.69876,53850.32377,0.0
1004581,1115085049875.0,20.72,0.43,246.3165,15.69891,53850.329820000006,0.0
1004581,1115085049875.0,20.03,0.33,246.31608,15.699229999999998,53917.3028,0.0
1004581,1115085049875.0,19.19,0.59,246.31591,15.69856,53925.32656,0.0
1004581,1115085049875.0,19.99,0.32,246.31623,15.69895,53940.23495,0.0
1004581,1115085049875.0,20.64,0.42,246.31639,15.69929,53859.35269,0.0
1004581,1115085049875.0,20.65,0.42,246.31653,15.69871,53859.36186000001,0.0
1004581,1115085049875.0,20.03,0.3,246.31667,15.69863,53859.37107000001,0.0
1004581,1115085049875.0,20.07,0.3,246.3164,15.69879,53879.32783,0.0
1004581,1115085049875.0,20.28,0.33,246.31645,15.69882,53879.33805,0.0
1004581,1115085049875.0,20.19,0.3,246.31623,15.69861,53998.10608,0.0
1004581,1115085049875.0,19.81,0.24,246.31624,15.69871,53998.11087999999,0.0
1004581,1115085049875.0,20.1,0.3,246.31678,15.699129999999998,54201.37774,0.0
1004581,1115085049875.0,20.3,0.33,246.31615,15.69917,54201.38699,0.0
1004581,1115085049875.0,20.23,0.32,246.31667,15.698479999999998,54201.39627999999,0.0
1004581,1115085049875.0,20.55,0.37,246.31618,15.6985,54214.45524,0.0
1004581,1115085049875.0,19.96,0.27,246.31668,15.69904,54117.53278,0.0
