InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004661,1012088038311.0,20.9,0.47,251.34597,-13.31359,53524.29894,0.0
1004661,1012088038311.0,20.79,0.44,251.34609,-13.31395,53524.30666,0.0
1004661,1012088038311.0,20.84,0.48,251.34584,-13.31354,53848.3607,0.0
1004661,1012088038311.0,20.9,0.45,251.34596,-13.31337,54174.49421,0.0
1004661,1012088038311.0,19.71,0.27,251.34609,-13.31381,54650.22495,0.0
1004661,1012088038311.0,20.24,0.33,251.34612,-13.31354,54597.3592,0.0
1004661,1012088038311.0,20.04,0.3,251.34639,-13.31332,54597.36717000001,0.0
1004661,1012088038311.0,20.02,0.29,251.34568,-13.31349,54597.38312000001,0.0
1004661,1012088038311.0,20.23,0.32,251.34587,-13.3137,54940.43893,0.0
1004661,1012088038311.0,20.03,0.28,251.34566,-13.31333,54940.4466,0.0
1004661,1012088038311.0,19.64,0.23,251.34626,-13.3135,54940.46214,0.0
1004661,1012088038311.0,20.58,0.38,251.34631,-13.3132,54951.38277999999,0.0
1004661,1012088038311.0,19.97,0.28,251.34597,-13.31381,54921.46137999999,0.0
1004661,1012088038311.0,20.02,0.28,251.34608,-13.313620000000002,55294.43952000001,0.0
1004661,1012088038311.0,19.76,0.25,251.34607000000003,-13.313770000000002,55294.44478,0.0
1004661,1012088038311.0,18.94,0.17,251.3457,-13.313670000000002,55294.450070000006,0.0
1004661,1012088038311.0,19.94,0.28,251.34616,-13.313529999999998,55357.3204,0.0
1004661,1012088038311.0,19.96,0.28,251.3464,-13.31345,55270.4969,0.0
1004661,1012088038311.0,20.17,0.31,251.34611,-13.31357,55270.51437,0.0
1004661,1012088038311.0,19.9,0.27,251.34595,-13.313620000000002,55323.37271,0.0
1004661,1012088038311.0,19.64,0.23,251.34605,-13.31355,55323.39352000001,0.0
1004661,1012088038311.0,19.95,0.24,251.3455,-13.31349,55678.39913,0.0
1004661,1012088038311.0,20.18,0.27,251.34599,-13.3137,55678.40744,0.0
1004661,1012088038311.0,19.99,0.3,251.34629,-13.31334,55715.31597,0.0
1004661,1012088038311.0,20.79,0.47,251.34596,-13.313529999999998,55715.33029,0.0
1004661,1012088038311.0,19.98,0.29,251.34556,-13.31394,55649.46015,0.0
1004661,1012088038311.0,20.13,0.32,251.34624,-13.31366,55689.37309,0.0
1004661,1012088038311.0,20.89,0.49,251.34652000000003,-13.3133,55708.34645,0.0
1004661,1012088038311.0,20.02,0.3,251.34608,-13.31371,55708.36413,0.0
1004661,1012088038311.0,20.16,0.32,251.34592,-13.313629999999998,55708.37296,0.0
1004661,1012088038311.0,20.82,0.47,251.34624,-13.31376,56033.4434,0.0
1004661,1012088038311.0,19.49,0.21,251.34617000000003,-13.31344,56074.28363,0.0
1004661,1012088038311.0,19.31,0.21,251.34585,-13.313479999999998,56404.41132000001,0.0
1004661,1012088038311.0,19.94,0.29,251.3466,-13.31388,56404.41932000001,0.0
1004661,1012088038311.0,19.19,0.2,251.34617000000003,-13.31366,56404.43541000001,0.0
1004661,1012088038311.0,20.55,0.41,251.34599,-13.31365,56444.31503,0.0
1004661,1012088038505.0,17.07,0.08,251.33927000000003,-13.31955,53480.40868,0.0
1004661,1012088038505.0,17.2,0.09,251.33917,-13.31951,53480.41466,0.0
1004661,1012088038505.0,17.11,0.09,251.33932,-13.31974,53480.42061,0.0
1004661,1012088038505.0,17.13,0.09,251.33933,-13.319579999999998,53480.42661,0.0
1004661,1012088038505.0,17.01,0.08,251.33924,-13.31969,53555.28346000001,0.0
1004661,1012088038505.0,17.06,0.09,251.33932,-13.31951,53555.28989,0.0
