InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004841,1004094078948.0,19.33,0.25,263.84216000000004,-4.3832,53530.39145,0.0
1004841,1004094078948.0,20.35,0.46,263.84193,-4.38322,53855.42718,0.0
1004841,1004094078948.0,20.01,0.38,263.84214,-4.38312,55680.42902999999,0.0
1004841,1004094078948.0,19.95,0.38,263.84239,-4.38314,56101.30121000001,0.0
1004841,1004094078948.0,19.85,0.36,263.84231,-4.38314,56368.4702,0.0
1004841,1004094078948.0,20.28,0.48,263.8424,-4.3825400000000005,56457.30349,0.0
1004841,1004094079091.0,18.66,0.18,263.85754,-4.38445,53530.37963,0.0
1004841,1004094079091.0,19.15,0.23,263.85811,-4.38417,53530.3974,0.0
1004841,1004094079091.0,18.5,0.17,263.85774,-4.3844,53499.42707,0.0
1004841,1004094079091.0,19.17,0.24,263.85813,-4.3848400000000005,53855.41987000001,0.0
1004841,1004094079091.0,19.42,0.27,263.85809,-4.38459,55358.31496,0.0
1004841,1004094079091.0,19.62,0.29,263.8581,-4.384519999999998,55323.42214,0.0
1004841,1004094079091.0,19.03,0.22,263.85804,-4.38449,55323.44302000001,0.0
1004841,1004094079091.0,18.68,0.18,263.85819,-4.38443,56090.34883,0.0
1004841,1004094079091.0,18.96,0.22,263.85719,-4.38448,56101.30121000001,0.0
1004841,1004094079091.0,18.75,0.2,263.85777,-4.38415,56368.45134,0.0
1004841,1004094079091.0,19.63,0.32,263.85849,-4.38433,56368.4702,0.0
1004841,1004094079091.0,19.28,0.26,263.85634,-4.38384,56424.38227,0.0
1004841,1004094079091.0,19.1,0.24,263.8584,-4.384519999999998,56424.38227,1.0
1004841,1004094079091.0,18.97,0.22,263.85837000000004,-4.3844,56424.38848,0.0
1004841,1004094079091.0,18.72,0.2,263.85779,-4.3845800000000015,56424.39475,0.0
1004841,1004094079091.0,20.22,0.44,263.85856,-4.38438,56444.35155,0.0
1004841,1004094079091.0,19.58,0.32,263.85805,-4.38476,56457.31028,0.0
1004841,1004094079091.0,18.82,0.22,263.85864,-4.38499,56457.31707999999,0.0
1004841,1004094079417.0,18.01,0.14,263.84589,-4.37893,53480.43079,0.0
1004841,1004094079417.0,18.14,0.14,263.8458,-4.37907,53480.43804,0.0
1004841,1004094079417.0,18.24,0.15,263.84581000000003,-4.37904,53480.44538000001,0.0
1004841,1004094079417.0,18.17,0.14,263.84587,-4.37902,53480.45267,0.0
1004841,1004094079417.0,18.25,0.16,263.84597,-4.37907,53553.27725,0.0
1004841,1004094079417.0,18.1,0.15,263.84591,-4.37912,53553.28522,0.0
1004841,1004094079417.0,18.49,0.17,263.84583,-4.37894,53553.29324,0.0
1004841,1004094079417.0,18.3,0.16,263.84591,-4.37898,53553.30123000001,0.0
1004841,1004094079417.0,18.34,0.16,263.84571,-4.37915,53523.31702,0.0
1004841,1004094079417.0,18.19,0.15,263.84587,-4.37892,53523.32514,0.0
1004841,1004094079417.0,18.24,0.16,263.84584,-4.3789099999999985,53523.33328,0.0
1004841,1004094079417.0,18.06,0.14,263.84611,-4.3789099999999985,53523.34138,0.0
1004841,1004094079417.0,18.09,0.14,263.84584,-4.37899,53530.37963,0.0
1004841,1004094079417.0,18.13,0.14,263.84596,-4.37898,53530.38553,0.0
1004841,1004094079417.0,18.13,0.14,263.84584,-4.3789099999999985,53530.39145,0.0
1004841,1004094079417.0,17.96,0.13,263.84611,-4.37897,53530.3974,0.0
1004841,1004094079417.0,18.12,0.14,263.8459,-4.37889,53496.40165,0.0
1004841,1004094079417.0,18.22,0.15,263.84594,-4.3789,53496.40918,0.0
1004841,1004094079417.0,18.33,0.16,263.84591,-4.37898,53496.41672,0.0
1004841,1004094079417.0,18.28,0.15,263.84583,-4.3789099999999985,53499.42707,0.0
1004841,1004094079417.0,18.21,0.15,263.84577,-4.3791,53499.43313,0.0
1004841,1004094079417.0,18.08,0.14,263.84592999999995,-4.37892,53499.4392,0.0
1004841,1004094079417.0,18.27,0.15,263.84574,-4.3789,53499.44523000001,0.0
1004841,1004094079417.0,18.21,0.17,263.84588,-4.37893,53649.0945,0.0
1004841,1004094079417.0,18.36,0.18,263.84613,-4.37894,53649.09882,0.0
1004841,1004094079417.0,18.15,0.16,263.84568,-4.37896,53649.10319,0.0
1004841,1004094079417.0,18.04,0.15,263.84574,-4.379,53649.10754,0.0
1004841,1004094079417.0,18.25,0.16,263.84592999999995,-4.37885,53628.16527,0.0
1004841,1004094079417.0,18.05,0.15,263.84577,-4.37913,53628.17165,0.0
1004841,1004094079417.0,18.17,0.15,263.84589,-4.379,53855.40525,0.0
1004841,1004094079417.0,18.34,0.16,263.84584,-4.379,53855.41259,0.0
1004841,1004094079417.0,18.13,0.15,263.84583,-4.37901,53855.41987000001,0.0
1004841,1004094079417.0,18.48,0.17,263.84581000000003,-4.37902,53855.42718,0.0
1004841,1004094079417.0,18.27,0.16,263.84578,-4.37884,55097.14611,0.0
1004841,1004094079417.0,18.09,0.14,263.84577,-4.37911,55097.15101,0.0
1004841,1004094079417.0,18.28,0.16,263.84584,-4.3789,55097.15575,0.0
1004841,1004094079417.0,18.68,0.19,263.84625,-4.37911,55097.16056,0.0
1004841,1004094079417.0,18.31,0.16,263.84587,-4.37909,55358.30864,0.0
1004841,1004094079417.0,18.26,0.16,263.84588,-4.37902,55358.31496,0.0
1004841,1004094079417.0,18.12,0.15,263.84572000000003,-4.37906,55358.32131,0.0
1004841,1004094079417.0,18.02,0.14,263.8459,-4.37892,55358.32766,0.0
1004841,1004094079417.0,18.22,0.15,263.84579,-4.37902,55358.33401000001,0.0
