InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004881,1138077048465.0,20.39,0.34,268.53201,37.97219000000001,53561.24578000001,0.0
1004881,1138077048465.0,20.4,0.35,268.53191,37.97235,53561.25722,0.0
1004881,1138077048465.0,20.42,0.34,268.53198,37.97263,53526.3967,0.0
1004881,1138077048465.0,20.19,0.3,268.53217,37.97244,53526.4064,0.0
1004881,1138077048465.0,20.98,0.47,268.53196,37.97255,53526.41617,0.0
1004881,1138077048465.0,19.64,0.23,268.53182000000004,37.97241,53526.42595,0.0
1004881,1138077048465.0,19.96,0.27,268.53212,37.97213,53534.39052,0.0
1004881,1138077048465.0,20.04,0.28,268.53188,37.97248,53534.39761,0.0
1004881,1138077048465.0,20.04,0.28,268.53195,37.97249,53534.40477,0.0
1004881,1138077048465.0,20.44,0.36,268.5321,37.97224,53669.1053,0.0
1004881,1138077048465.0,19.89,0.27,268.53104,37.97267,53669.10959,0.0
1004881,1138077048465.0,20.02,0.29,268.53183,37.9725,53833.45471000001,0.0
1004881,1138077048465.0,19.83,0.26,268.53215,37.97223,53833.4679,0.0
1004881,1138077048465.0,19.8,0.26,268.53221,37.97255,53833.47467999999,0.0
1004881,1138077048465.0,20.06,0.29,268.5321,37.97237,53855.44099,0.0
1004881,1138077048465.0,20.3,0.33,268.53191,37.9724,53855.44849,0.0
1004881,1138077048465.0,20.54,0.38,268.53219,37.97234,53855.45567999999,0.0
1004881,1138077048465.0,19.9,0.27,268.53199,37.97236,53855.46226,0.0
1004881,1138077048465.0,20.18,0.33,268.53213,37.97238,53796.5045,0.0
1004881,1138077048465.0,19.63,0.23,268.53206,37.97214,53796.51181,0.0
1004881,1138077048465.0,20.13,0.3,268.53212,37.97241,53796.51912999999,0.0
1004881,1138077048465.0,20.64,0.4,268.5323,37.97246,53796.52644,0.0
1004881,1138077048465.0,19.77,0.25,268.53167,37.97217,53884.40099,0.0
1004881,1138077048465.0,20.42,0.36,268.53227000000004,37.97231,53884.40704,0.0
1004881,1138077048465.0,20.05,0.29,268.53229,37.97256,53884.41305,0.0
1004881,1138077048465.0,20.39,0.35,268.532,37.97261,53884.41903,0.0
1004881,1138077048465.0,20.8,0.4,268.53206,37.97252,54037.1219,0.0
1004881,1138077048465.0,19.8,0.37,268.53166,37.9723,54007.15181,0.0
1004881,1138077048465.0,20.57,0.58,268.53178,37.97223,54007.15472000001,0.0
1004881,1138077048465.0,19.97,0.27,268.53233,37.97227,54208.44857000001,0.0
1004881,1138077048465.0,20.04,0.28,268.53206,37.97233,54208.45857,0.0
1004881,1138077048465.0,20.25,0.31,268.53208,37.97244,54208.46804,0.0
1004881,1138077048465.0,20.07,0.28,268.53214,37.97235,54208.47785,0.0
1004881,1138077048465.0,20.18,0.3,268.5323,37.97267,54216.40295,0.0
1004881,1138077048465.0,20.1,0.29,268.53186,37.97234,54216.41056,0.0
1004881,1138077048465.0,19.99,0.27,268.53184,37.97248,54216.41817,0.0
1004881,1138077048465.0,20.04,0.29,268.53205,37.97256,54295.31438,0.0
1004881,1138077048465.0,19.8,0.26,268.53175,37.97248,54295.32163,0.0
1004881,1138077048465.0,19.81,0.26,268.53235,37.9723,54295.32885,0.0
1004881,1138077048465.0,20.07,0.52,268.5318,37.97145,54295.33613,0.0
1004881,1138077048465.0,19.81,0.26,268.53193,37.97238,54265.31534,0.0
1004881,1138077048465.0,20.31,0.33,268.53195,37.97228,54265.32317,0.0
1004881,1138077048465.0,20.35,0.34,268.53241,37.97255,54265.33176,0.0
1004881,1138077048465.0,19.17,0.2,268.53229,37.97262,54276.32212999999,0.0
1004881,1138077048465.0,20.88,0.51,268.53233,37.97234,54276.33288,0.0
1004881,1138077048465.0,20.47,0.35,268.53209,37.97241,54177.47866,0.0
1004881,1138077048465.0,19.73,0.23,268.53208,37.97252,54177.48799,0.0
1004881,1138077048465.0,20.8,0.41,268.53214,37.97237,54177.49827,0.0
1004881,1138077048465.0,20.77,0.48,268.53197,37.9726,54228.430770000006,0.0
1004881,1138077048465.0,20.03,0.31,268.5321,37.97261,54228.44582000001,0.0
1004881,1138077048465.0,20.08,0.3,268.53195,37.97264000000001,54235.30827,0.0
1004881,1138077048465.0,20.01,0.29,268.53196,37.97248,54235.31367,0.0
1004881,1138077048465.0,20.12,0.3,268.53236,37.97215,54235.3191,0.0
1004881,1138077048465.0,20.11,0.3,268.53208,37.97243,54235.32449,0.0
1004881,1138077048465.0,19.99,0.28,268.53203,37.97247,54246.35831,0.0
1004881,1138077048465.0,19.9,0.27,268.53185,37.97242,54246.37677,0.0
1004881,1138077048465.0,20.07,0.29,268.53213,37.97252,54246.38531000001,0.0
1004881,1138077048465.0,20.13,0.37,268.53228,37.97228,54408.09266,0.0
1004881,1138077048465.0,20.29,0.41,268.5317,37.97241,54408.09647,0.0
1004881,1138077048465.0,19.88,0.32,268.53202000000005,37.97232,54408.1003,0.0
1004881,1138077048465.0,20.37,0.32,268.5318,37.97276,54384.12824,0.0
1004881,1138077048465.0,20.1,0.28,268.53213,37.97259,54384.13473,0.0
1004881,1138077048465.0,20.33,0.27,268.53209,37.97226,54390.13169,0.0
1004881,1138077048465.0,20.11,0.24,268.53283,37.97248,54390.13903,0.0
1004881,1138077048465.0,18.91,0.14,268.53215,37.97225,54390.15364,0.0
1004881,1138077048465.0,20.61,0.38,268.5321,37.97253,54568.350999999995,0.0
1004881,1138077048465.0,20.16,0.29,268.53178,37.97245,54568.36083,0.0
1004881,1138077048465.0,19.87,0.25,268.53202000000005,37.9724,54568.38042,0.0
1004881,1138077048465.0,20.29,0.32,268.53225,37.9723,54584.29366,0.0
