InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004921,1015105096873.0,19.09,0.19,302.61389,-14.7274,53532.36139,0.0
1004921,1015105096873.0,18.88,0.18,302.61398,-14.727529999999998,53532.36905,0.0
1004921,1015105096873.0,19.52,0.24,302.61385,-14.72766,53532.37663,0.0
1004921,1015105096873.0,19.05,0.19,302.61366,-14.72744,53550.33178,0.0
1004921,1015105096873.0,19.67,0.26,302.61383,-14.727529999999998,53550.33822,0.0
1004921,1015105096873.0,19.29,0.21,302.61385,-14.7277,53674.09055,0.0
1004921,1015105096873.0,18.49,0.16,302.61376,-14.72786,53618.15943,0.0
1004921,1015105096873.0,19.63,0.28,302.61434,-14.727479999999998,53618.17868000001,0.0
1004921,1015105096873.0,18.47,0.15,302.61387,-14.727479999999998,53638.13543,0.0
1004921,1015105096873.0,18.28,0.14,302.6140000000001,-14.727479999999998,53857.4457,0.0
1004921,1015105096873.0,19.57,0.26,302.6138,-14.72771,53857.45171,0.0
1004921,1015105096873.0,19.35,0.23,302.6140000000001,-14.727479999999998,53857.45774,0.0
1004921,1015105096873.0,20.14,0.35,302.61373,-14.72785,53857.46376000001,0.0
1004921,1015105096873.0,19.47,0.22,302.61385,-14.727,54052.06462999999,0.0
1004921,1015105096873.0,18.48,0.14,302.61388,-14.72747,54052.07442999999,0.0
1004921,1015105096873.0,19.21,0.19,302.6133700000001,-14.72758,53992.16344,0.0
1004921,1015105096873.0,19.67,0.24,302.6139,-14.727479999999998,53992.16984,0.0
1004921,1015105096873.0,18.63,0.15,302.61352,-14.72758,53992.17624,0.0
1004921,1015105096873.0,19.6,0.24,302.61373,-14.72707,53992.18265,0.0
1004921,1015105096873.0,19.49,0.33,302.61387,-14.727670000000002,54286.36596,0.0
1004921,1015105096873.0,18.92,0.21,302.61441,-14.72699,54768.0793,0.0
1004921,1015105096873.0,18.76,0.19,302.61342,-14.72744,54768.09096,0.0
1004921,1015105096873.0,19.1,0.19,302.6140000000001,-14.727570000000002,54715.19459,0.0
1004921,1015105096873.0,19.11,0.19,302.61386,-14.72758,54715.20116,0.0
1004921,1015105096873.0,19.27,0.2,302.61381,-14.72739,54715.20772000001,0.0
1004921,1015105096873.0,19.13,0.19,302.61407,-14.727670000000002,54715.21427,0.0
1004921,1015105096873.0,19.07,0.24,302.61363,-14.72724,55041.26372,0.0
1004921,1015105096873.0,19.17,0.25,302.61394,-14.72713,55041.26887000001,0.0
1004921,1015105096873.0,19.57,0.31,302.61408,-14.72711,55041.27402999999,0.0
1004921,1015105096873.0,18.96,0.18,302.61387,-14.72734,54952.44787,0.0
1004921,1015105096873.0,18.83,0.17,302.61389,-14.7276,54952.45522,0.0
1004921,1015105096873.0,18.92,0.18,302.61363,-14.72789,54952.46254,0.0
1004921,1015105096873.0,19.45,0.29,302.6138,-14.7273,55153.06414,0.0
1004921,1015105096873.0,19.02,0.22,302.61388,-14.72716,55153.06906,0.0
1004921,1015105096873.0,19.14,0.25,302.61364,-14.72729,55088.14044,0.0
1004921,1015105096873.0,19.44,0.29,302.61378,-14.72787,55088.14438,0.0
1004921,1015105096873.0,18.42,0.18,302.6137700000001,-14.72765,55088.1521,0.0
1004921,1015105096873.0,19.56,0.25,302.61385,-14.72736,55353.35925,0.0
1004921,1015105096873.0,19.29,0.22,302.61379,-14.7274,55353.36688,0.0
1004921,1015105096873.0,19.56,0.25,302.61398,-14.72765,55353.37486,0.0
1004921,1015105096873.0,19.2,0.2,302.61368,-14.72732,55480.0873,0.0
1004921,1015105096873.0,19.0,0.18,302.61355,-14.72742,55480.09764,0.0
1004921,1015105096873.0,19.25,0.21,302.61381,-14.72755,55480.10283,0.0
1004921,1015105096873.0,18.58,0.16,302.61404,-14.72711,55733.40949,0.0
1004921,1015105096873.0,19.21,0.21,302.61372,-14.7273,55733.42102,0.0
1004921,1015105096873.0,19.34,0.23,302.61409,-14.72727,55683.43851,0.0
1004921,1015105096873.0,18.6,0.16,302.61372,-14.72717,55683.44047,0.0
1004921,1015105096873.0,19.27,0.22,302.6138,-14.72725,55683.44222999999,0.0
1004921,1015105096873.0,18.76,0.17,302.61365,-14.72723,55683.44404,0.0
1004921,1015105096873.0,19.28,0.21,302.61411,-14.72739,55857.15682999999,0.0
1004921,1015105096873.0,19.23,0.21,302.61365,-14.727520000000002,55857.16483,0.0
1004921,1015105096873.0,19.37,0.18,302.61397,-14.7276,55827.10504,0.0
1004921,1015105096873.0,19.52,0.2,302.61413,-14.7275,55827.11377999999,0.0
1004921,1015105096873.0,19.42,0.19,302.61404,-14.72761,55827.12262,0.0
1004921,1015105096873.0,19.99,0.25,302.6141,-14.727520000000002,55827.13131,0.0
1004921,1015105096873.0,19.37,0.23,302.61355,-14.72732,56425.43976,0.0
1004921,1015105096873.0,20.24,0.37,302.61386,-14.72728,56425.45111,0.0
1004921,1015105096873.0,18.33,0.14,302.61378,-14.72728,56425.45674,0.0
1004921,1015105096873.0,18.5,0.15,302.61404,-14.7271,56444.38646,0.0
1004921,1015105096873.0,19.0,0.19,302.61379,-14.72734,56444.39374,0.0
1004921,1015105096873.0,19.3,0.22,302.61386,-14.726920000000002,56444.40847,0.0
1004921,1015105096873.0,19.65,0.28,302.61362,-14.72709,56457.36577999999,0.0
1004921,1015105096873.0,18.91,0.19,302.61375,-14.72747,56457.37375,0.0
1004921,1015105096873.0,19.05,0.2,302.6134,-14.72706,56457.38173,0.0
1004921,1015105096873.0,18.83,0.18,302.61388,-14.72747,56457.38972000001,0.0
1004921,1015105096873.0,19.18,0.21,302.61373,-14.72725,56547.13787000001,0.0
1004921,1015105096873.0,18.9,0.19,302.6140000000001,-14.72729,56547.16127,0.0
1004921,1015105096873.0,18.73,0.16,302.6139100000001,-14.72746,56559.13334,0.0
1004921,1015105096873.0,19.17,0.2,302.61384,-14.72727,56559.14176000001,0.0
1004921,1015105096873.0,19.43,0.22,302.6139100000001,-14.72736,56559.15015,0.0
1004921,1015105096873.0,19.23,0.18,302.61424,-14.72717,56564.12425,0.0
1004921,1015105096873.0,19.01,0.16,302.61396,-14.72735,56564.13086000001,0.0
1004921,1015105096873.0,19.09,0.16,302.6138,-14.72721,56564.13695,0.0
1004921,1015105096873.0,19.21,0.17,302.61433,-14.72729,56564.14338,0.0
1004921,1015105096873.0,19.17,0.2,302.61372,-14.72771,56581.14404,0.0
1004921,1015105097176.0,19.18,0.2,302.60976,-14.72221,53532.35294,0.0
