InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004941,1012109090014.0,19.62,0.25,308.83807,-11.82608,53563.32344,0.0
1004941,1012109090014.0,19.27,0.21,308.83825,-11.82591,53563.33003000001,0.0
1004941,1012109090014.0,19.0,0.18,308.83819,-11.82586,53563.33661000001,0.0
1004941,1012109090014.0,19.52,0.23,308.83789,-11.82591,53563.34315,0.0
1004941,1012109090014.0,19.13,0.19,308.83813,-11.82588,53525.40261000001,0.0
1004941,1012109090014.0,19.04,0.18,308.83834,-11.82587,53525.41147,0.0
1004941,1012109090014.0,19.08,0.18,308.83815,-11.82588,53525.42032,0.0
1004941,1012109090014.0,18.58,0.15,308.8378600000001,-11.82587,53525.42918,0.0
1004941,1012109090014.0,18.94,0.17,308.83808,-11.82581,53532.35672,0.0
1004941,1012109090014.0,18.99,0.18,308.83811000000014,-11.82591,53532.36521,0.0
1004941,1012109090014.0,19.19,0.19,308.83815,-11.825999999999999,53532.37281,0.0
1004941,1012109090014.0,18.62,0.15,308.83772,-11.82555,53532.38038,0.0
1004941,1012109090014.0,18.95,0.17,308.8379700000001,-11.82606,53550.38011000001,0.0
1004941,1012109090014.0,18.99,0.17,308.83825,-11.82587,53550.38657,0.0
1004941,1012109090014.0,19.3,0.2,308.8379700000001,-11.82582,53550.39303,0.0
1004941,1012109090014.0,18.97,0.17,308.8381,-11.82583,53550.39952,0.0
1004941,1012109090014.0,19.12,0.18,308.83814,-11.82575,53695.06148,0.0
1004941,1012109090014.0,19.0,0.17,308.83802000000014,-11.8261,53695.06676,0.0
1004941,1012109090014.0,19.05,0.18,308.83804,-11.82593,53695.07204,0.0
1004941,1012109090014.0,18.79,0.16,308.83794,-11.82585,53695.07732,0.0
1004941,1012109090014.0,19.05,0.18,308.83821,-11.82591,53704.06139,0.0
1004941,1012109090014.0,18.48,0.14,308.83805,-11.82583,53704.06567,0.0
1004941,1012109090014.0,18.97,0.17,308.8377700000001,-11.82597,53704.06996,0.0
1004941,1012109090014.0,18.96,0.17,308.8379700000001,-11.82584,53704.07447000001,0.0
1004941,1012109090014.0,18.52,0.15,308.8377700000001,-11.82582,53651.12177,0.0
1004941,1012109090014.0,19.09,0.19,308.83809,-11.82593,53651.1294,0.0
1004941,1012109090014.0,19.02,0.19,308.83813,-11.82605,53651.13722,0.0
1004941,1012109090014.0,19.37,0.22,308.83816,-11.82577,53651.14485,0.0
1004941,1012109090014.0,18.88,0.17,308.83787,-11.82592,53674.09216,0.0
1004941,1012109090014.0,19.07,0.18,308.83796,-11.82603,53674.09642,0.0
1004941,1012109090014.0,18.92,0.17,308.83802000000014,-11.82579,53674.10071,0.0
1004941,1012109090014.0,19.26,0.2,308.83784,-11.82597,53674.105,0.0
1004941,1012109090014.0,19.16,0.2,308.83813,-11.82603,53618.1616,0.0
1004941,1012109090014.0,19.05,0.19,308.83783,-11.82577,53618.16892,0.0
1004941,1012109090014.0,19.48,0.24,308.8381,-11.82583,53618.17489,0.0
1004941,1012109090014.0,19.06,0.2,308.83789,-11.82582,53618.18081000001,0.0
1004941,1012109090014.0,18.59,0.18,308.83796,-11.82612,53637.14411,0.0
1004941,1012109090014.0,19.53,0.25,308.83818,-11.82578,53637.15053,0.0
1004941,1012109090014.0,19.2,0.2,308.83799,-11.82606,53637.15697,0.0
1004941,1012109090014.0,18.95,0.24,308.83795,-11.82624,53637.16341,0.0
1004941,1012109090014.0,18.86,0.15,308.83785,-11.82597,53976.19497,0.0
1004941,1012109090014.0,19.13,0.17,308.83801,-11.82591,53976.1998,0.0
1004941,1012109090014.0,19.16,0.18,308.83821,-11.82608,53976.20462999999,0.0
1004941,1012109090014.0,19.07,0.17,308.83809,-11.82574,53976.20948,0.0
1004941,1012109090014.0,18.42,0.14,308.83799,-11.82587,53905.34256000001,0.0
1004941,1012109090014.0,18.7,0.16,308.83803,-11.82607,53905.35017000001,0.0
1004941,1012109090014.0,19.41,0.23,308.83793,-11.82566,53905.35777,0.0
1004941,1012109090014.0,19.27,0.21,308.83812,-11.82573,53905.36542,0.0
1004941,1012109090014.0,19.26,0.21,308.83804,-11.82603,53875.41268,0.0
1004941,1012109090014.0,19.55,0.24,308.83792,-11.82608,53875.41857,0.0
1004941,1012109090014.0,19.15,0.2,308.8383100000001,-11.82552,53875.42441,0.0
1004941,1012109090014.0,19.57,0.25,308.83807,-11.82594,53875.4303,0.0
1004941,1012109090014.0,18.87,0.16,308.8382200000001,-11.82591,53881.39133,0.0
1004941,1012109090014.0,18.95,0.16,308.83799,-11.82589,53881.4017,0.0
1004941,1012109090014.0,18.7,0.15,308.83796,-11.82563,53881.41207000001,0.0
1004941,1012109090014.0,18.57,0.14,308.83819,-11.82597,53881.42241,0.0
1004941,1012109090014.0,19.68,0.23,308.83782,-11.82587,54052.05757999999,0.0
