InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005121,1012116063463.0,20.69,0.43,328.95453,-11.33944,53705.09952999999,0.0
1005121,1012116063463.0,20.2,0.33,328.95499,-11.33882,53705.1082,0.0
1005121,1012116063463.0,20.05,0.3,328.95496,-11.33945,53705.11255,0.0
1005121,1012116063463.0,19.45,0.22,328.95463,-11.33944,53561.34485,0.0
1005121,1012116063463.0,19.79,0.26,328.95481,-11.33954,53561.35787,0.0
1005121,1012116063463.0,19.8,0.27,328.95468,-11.3396,53561.36433,0.0
1005121,1012116063463.0,18.85,0.16,328.95532000000014,-11.33969,53528.42365,0.0
1005121,1012116063463.0,19.29,0.2,328.95534,-11.33948,53528.43138,0.0
1005121,1012116063463.0,19.58,0.23,328.95531,-11.33914,53528.43906,0.0
1005121,1012116063463.0,18.41,0.14,328.95491,-11.33861,53550.45461,0.0
1005121,1012116063463.0,19.31,0.2,328.95483,-11.33929,53550.45979,0.0
1005121,1012116063463.0,18.92,0.17,328.95495,-11.33905,53550.46497,0.0
1005121,1012116063463.0,19.83,0.27,328.95486,-11.3397,53699.09264,0.0
1005121,1012116063463.0,19.58,0.24,328.95478,-11.3397,53699.09901000001,0.0
1005121,1012116063463.0,18.93,0.17,328.95478,-11.33928,53699.10537000001,0.0
1005121,1012116063463.0,19.92,0.3,328.95461,-11.33949,53618.24005,0.0
1005121,1012116063463.0,19.87,0.3,328.95474,-11.33883,53618.25876,0.0
1005121,1012116063463.0,19.31,0.21,328.95506,-11.33959,53636.17868000001,0.0
1005121,1012116063463.0,19.48,0.23,328.9547,-11.33944,53636.18522,0.0
1005121,1012116063463.0,20.01,0.31,328.95454,-11.33975,53636.19819,0.0
1005121,1012116063463.0,19.67,0.23,328.95499,-11.33981,53975.23737,0.0
1005121,1012116063463.0,19.66,0.23,328.95508,-11.34012,53975.24621000001,0.0
1005121,1012116063463.0,20.23,0.31,328.95475,-11.33947,53975.25505,0.0
1005121,1012116063463.0,19.86,0.25,328.95479,-11.33933,53975.26388,0.0
1005121,1012116063463.0,19.3,0.22,328.95492,-11.3398,53905.38057,0.0
1005121,1012116063463.0,19.84,0.29,328.95453,-11.33971,53905.38978,0.0
1005121,1012116063463.0,19.33,0.22,328.95526,-11.33954,53905.39895,0.0
1005121,1012116063463.0,20.64,0.45,328.95477,-11.33973,53905.40815,0.0
1005121,1012116063463.0,20.04,0.28,328.95512,-11.33935,54050.1248,0.0
1005121,1012116063463.0,19.8,0.24,328.95491,-11.33982,54050.13345,0.0
1005121,1012116063463.0,19.29,0.19,328.9549,-11.33894,54050.14209,0.0
1005121,1012116063463.0,19.46,0.21,328.95469,-11.33924,54057.12806,0.0
1005121,1012116063463.0,19.44,0.2,328.95498,-11.33963,54057.13349,0.0
1005121,1012116063463.0,19.53,0.21,328.95483,-11.33982,54057.14433,0.0
1005121,1012116063463.0,18.53,0.14,328.9548,-11.33872,54011.14724,0.0
1005121,1012116063463.0,19.14,0.18,328.95499,-11.33943,54023.20518,0.0
1005121,1012116063463.0,19.51,0.21,328.95491,-11.33884,53992.24119,0.0
1005121,1012116063463.0,19.29,0.19,328.95496,-11.33917,53992.24766,0.0
1005121,1012116063463.0,19.58,0.22,328.95513,-11.33922,53992.25415,0.0
1005121,1012116063463.0,20.23,0.34,328.95501,-11.33974,54243.44927999999,0.0
1005121,1012116063463.0,19.12,0.19,328.9552700000001,-11.33964,54243.45311,0.0
1005121,1012116063463.0,20.7,0.42,328.95406,-11.34128,54411.12308,0.0
1005121,1012116063463.0,19.99,0.28,328.95512,-11.3392,54411.12308,1.0
1005121,1012116063463.0,19.25,0.19,328.9552,-11.33895,54411.14557000001,0.0
1005121,1012116063463.0,19.98,0.27,328.95511,-11.33913,54377.16927000001,0.0
1005121,1012116063463.0,20.23,0.31,328.95495,-11.33945,54377.17578,0.0
1005121,1012116063463.0,20.53,0.37,328.95468,-11.33946,54377.18231,0.0
1005121,1012116063463.0,19.44,0.21,328.95505,-11.33978,54377.18879,0.0
1005121,1012116063463.0,20.27,0.32,328.95483,-11.3392,54388.14072,0.0
1005121,1012116063463.0,19.41,0.2,328.95526,-11.33946,54388.15246000001,0.0
1005121,1012116063463.0,19.69,0.24,328.95522,-11.33992,54346.23076000001,0.0
1005121,1012116063463.0,20.08,0.28,328.95504,-11.33861,54801.08075,0.0
1005121,1012116063463.0,19.81,0.25,328.95498,-11.33962,54801.08888,0.0
1005121,1012116063463.0,19.63,0.22,328.95502,-11.33943,54801.09692,0.0
1005121,1012116063463.0,19.59,0.22,328.95465,-11.34007,54801.10496,0.0
1005121,1012116063463.0,19.63,0.22,328.95543,-11.33915,54768.15549,0.0
1005121,1012116063463.0,19.5,0.21,328.95524,-11.33882,54768.16327999999,0.0
1005121,1012116063463.0,19.36,0.2,328.95485,-11.34016,54715.21965,0.0
1005121,1012116063463.0,21.1,0.51,328.95465,-11.33976,54715.234000000004,0.0
1005121,1012116063463.0,19.73,0.24,328.9552700000001,-11.33936,54715.24109,0.0
1005121,1012116063463.0,18.88,0.16,328.95517,-11.33864,54729.20208,0.0
1005121,1012116063463.0,19.71,0.24,328.955,-11.33938,54729.22155,0.0
1005121,1012116063463.0,19.69,0.23,328.95514,-11.33922,54738.25355,0.0
1005121,1012116063463.0,19.69,0.23,328.95509,-11.33937,54738.27681,0.0
1005121,1012116063463.0,19.94,0.28,328.95521,-11.33952,55070.30032,0.0
1005121,1012116063463.0,19.31,0.2,328.95454,-11.33952,55070.31464,0.0
1005121,1012116063463.0,21.05,0.52,328.95486,-11.3394,55039.36485,0.0
1005121,1012116063463.0,19.03,0.18,328.95472,-11.33956,55039.37333,0.0
1005121,1012116063463.0,19.2,0.19,328.95425,-11.33929,55039.38181,0.0
1005121,1012116063463.0,19.11,0.18,328.9545700000001,-11.33959,55152.10104,0.0
