InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005181,1007118051222.0,20.55,0.45,334.23261,-6.23793,53618.29464,0.0
1005181,1007118051222.0,20.4,0.35,334.23028,-6.23768,54093.06565,0.0
1005181,1007118051222.0,20.86,0.43,334.23223,-6.23846,54029.12991,0.0
1005181,1007118051222.0,20.69,0.36,334.23252,-6.23846,55058.34179,0.0
1005181,1007118051222.0,19.79,0.26,334.23306,-6.2381699999999976,55070.26869,0.0
1005181,1007118051222.0,20.68,0.42,334.23131,-6.2382300000000015,55113.18587,0.0
1005181,1007118051222.0,19.9,0.27,334.23269,-6.23869,55124.11866,0.0
1005181,1007118051222.0,20.53,0.39,334.23253,-6.2382800000000005,55095.20567,0.0
1005181,1007118051222.0,20.94,0.47,334.23304,-6.2374800000000015,55822.19876,0.0
1005181,1007118051222.0,20.94,0.48,334.23251,-6.23844,56092.437999999995,0.0
1005181,1007118051222.0,20.76,0.44,334.23265,-6.23847,56126.39878,0.0
1005181,1007118051222.0,20.19,0.28,334.23216,-6.23868,56183.16657,0.0
1005181,1007118051222.0,20.7,0.36,334.23265,-6.2381,56183.17891,0.0
1005181,1007118051222.0,20.2,0.33,334.23219,-6.23835,56189.25255,0.0
1005181,1007118051222.0,18.96,0.17,334.23233,-6.23794,56234.11681,0.0
1005181,1007118051222.0,20.9,0.52,334.23285,-6.23869,56454.43052,0.0
1005181,1007118051222.0,19.55,0.23,334.2319700000001,-6.23865,56570.15192,0.0
1005181,1007118051507.0,20.46,0.38,334.23075,-6.22751,53527.42607,0.0
1005181,1007118051507.0,20.4,0.37,334.23085,-6.22768,53551.42297,0.0
1005181,1007118051507.0,20.13,0.32,334.23084,-6.22741,53551.43052,0.0
1005181,1007118051507.0,20.02,0.31,334.23091,-6.22728,53636.21409,0.0
1005181,1007118051507.0,21.05,0.49,334.23088,-6.22732,53975.2668,0.0
1005181,1007118051507.0,20.09,0.29,334.23119,-6.2274699999999985,53975.28599,0.0
1005181,1007118051507.0,20.87,0.53,334.23025,-6.2272,53937.33309,0.0
1005181,1007118051507.0,20.24,0.37,334.23096,-6.22724,53937.34602999999,0.0
1005181,1007118051507.0,21.02,0.57,334.23037,-6.22701,53937.3525,0.0
1005181,1007118051507.0,19.89,0.26,334.23105,-6.22695,54050.11828,0.0
1005181,1007118051507.0,20.86,0.44,334.23035,-6.22743,54057.12967,0.0
1005181,1007118051507.0,20.71,0.4,334.23059,-6.22756,54057.1351,0.0
1005181,1007118051507.0,20.46,0.35,334.23118,-6.22721,54438.08302000001,0.0
1005181,1007118051507.0,19.86,0.26,334.23133,-6.22706,54438.09623,0.0
1005181,1007118051507.0,19.32,0.2,334.23117,-6.2271199999999975,54406.17273,0.0
1005181,1007118051507.0,20.24,0.31,334.23136,-6.22727,54388.19811000001,0.0
1005181,1007118051507.0,19.89,0.27,334.23089,-6.22705,54346.26887000001,0.0
1005181,1007118051507.0,20.32,0.35,334.23064,-6.22725,54627.42136,0.0
1005181,1007118051507.0,20.21,0.3,334.23074,-6.2274699999999985,54787.09499,0.0
1005181,1007118051507.0,19.47,0.19,334.23045,-6.22731,55058.32007,0.0
1005181,1007118051507.0,20.37,0.35,334.23117,-6.2273,55070.25212000001,0.0
1005181,1007118051507.0,19.97,0.28,334.23115,-6.22731,55070.26869,0.0
1005181,1007118051507.0,20.01,0.3,334.2310700000001,-6.22706,55006.39831,0.0
1005181,1007118051507.0,20.54,0.4,334.23101,-6.22706,54978.4365,0.0
1005181,1007118051507.0,20.23,0.33,334.23028,-6.2274400000000005,54978.45231,0.0
