InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005441,1007124003685,20.59,0.5,351.32528,-8.27609,53729.07731,0
1005441,1007124003685,20.18,0.31,351.32469,-8.27704,53702.10623,0
1005441,1007124003685,20.14,0.29,351.32397000000014,-8.27672,53975.32717,0
1005441,1007124003685,20.06,0.31,351.32401,-8.276589999999999,53744.07738,0
1005441,1007124003685,19.7,0.27,351.32481,-8.276769999999999,53937.39577999999,0
1005441,1007124003685,21.03,0.47,351.32372999999984,-8.27698,54024.19554,0
1005441,1007124003685,20.58,0.37,351.32489,-8.2768,54388.22661000001,0
1005441,1007124003685,19.96,0.26,351.32416,-8.277610000000001,54789.10115,0
1005441,1007124003685,19.44,0.2,351.32383,-8.27705,54716.33282999999,0
1005441,1007124003685,19.89,0.26,351.32448,-8.276639999999999,54716.34765,0
1005441,1007124003685,21.19,0.56,351.32288,-8.2769,55039.43667999999,0
1005441,1007124003685,19.54,0.28,351.32458,-8.27701,55538.08226,0
1005441,1007124003685,20.38,0.34,351.32469,-8.27675,55822.29907000001,0
1005441,1007124003685,20.89,0.47,351.32518,-8.27697,55833.35476,0
1005441,1007124003685,19.77,0.26,351.32438,-8.27693,56164.35636000001,0
1005441,1007124003685,20.83,0.46,351.32335,-8.27782,56164.36238,0
1005441,1007124003685,20.49,0.37,351.32465,-8.277239999999999,56214.19309,0
1005441,1007124003685,20.03,0.29,351.32466,-8.277560000000001,56214.20997999999,0
1005441,1007124003685,21.0,0.41,351.3252,-8.27719,56272.09921,0
1005441,1007124003685,19.66,0.2,351.32496000000015,-8.276869999999999,56272.10464,0
1005441,1007124003685,19.97,0.28,351.32462000000015,-8.276580000000001,56564.29655,0
1005441,1007124003685,19.88,0.26,351.32474,-8.27661,56570.24378,0
1005441,1007124003685,19.89,0.27,351.32446,-8.277239999999999,56570.25384,0
1005441,1007124003794,19.98,0.29,351.34264,-8.26956,53560.40418,0
1005441,1007124003794,20.25,0.33,351.34311,-8.26928,53560.41833,0
1005441,1007124003794,19.52,0.22,351.34306000000015,-8.26908,53560.42538,0
1005441,1007124003794,20.94,0.48,351.34319,-8.26966,53702.09312000001,0
1005441,1007124003794,19.67,0.24,351.34207999999984,-8.26988,53702.10623,0
1005441,1007124003794,19.89,0.25,351.34259,-8.26936,53975.30902000001,0
1005441,1007124003794,19.93,0.26,351.34325,-8.26929,53975.31812,0
1005441,1007124003794,20.05,0.28,351.3426,-8.26994,54081.14438,0
1005441,1007124003794,19.38,0.2,351.34397,-8.26946,54081.1554,0
1005441,1007124003794,20.94,0.45,351.34094,-8.26915,54057.15376,0
1005441,1007124003794,19.75,0.24,351.3433,-8.268880000000001,54024.19554,0
1005441,1007124003794,20.84,0.43,351.3438,-8.26909,53992.33019,0
1005441,1007124003794,20.19,0.3,351.34347,-8.26891,54439.13857999999,0
1005441,1007124003794,19.97,0.27,351.34266,-8.269060000000001,54417.1942,0
1005441,1007124003794,19.88,0.25,351.34242,-8.269039999999999,54388.21852,0
1005441,1007124003794,21.01,0.49,351.3434,-8.26898,54355.23698,0
1005441,1007124003794,20.09,0.28,351.34284,-8.2697,54776.12964,0
1005441,1007124003794,19.72,0.23,351.34216000000015,-8.26858,54776.15138,0
1005441,1007124003794,20.17,0.3,351.34319,-8.26955,54789.08644,0
1005441,1007124003794,19.96,0.26,351.3428,-8.268989999999999,54789.09378,0
1005441,1007124003794,19.6,0.22,351.34233,-8.26948,54738.29159,0
1005441,1007124003794,19.72,0.21,351.34278,-8.26938,55058.38677999999,0
1005441,1007124003794,20.36,0.29,351.343,-8.26985,55058.39474,0
1005441,1007124003794,20.68,0.51,351.342,-8.2677,55182.07641,0
1005441,1007124003794,20.24,0.33,351.34316,-8.26939,55039.41047,0
1005441,1007124003794,20.01,0.29,351.34296,-8.269060000000001,55039.41921,0
1005441,1007124003794,20.05,0.29,351.34327,-8.27068,55151.08172,0
1005441,1007124003794,20.23,0.32,351.34353,-8.2699,55532.12136000001,0
1005441,1007124003794,19.79,0.25,351.34258,-8.269039999999999,55532.1274,0
1005441,1007124003794,19.79,0.32,351.34313,-8.26902,55538.08226,0
1005441,1007124003794,19.22,0.24,351.34258,-8.26931,55538.09721,0
1005441,1007124003794,20.2,0.33,351.34255,-8.26915,55383.37681,0
1005441,1007124003794,20.92,0.49,351.34308,-8.2699,55383.39597000001,0
