InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005501,1021120032092,19.72,0.23,354.59548,-20.81705,54056.13133,0
1005501,1021120032092,19.86,0.25,354.59506,-20.81698,54056.13776000001,0
1005501,1021120032092,20.6,0.38,354.59422,-20.81634,53998.28268,0
1005501,1021120032092,19.87,0.26,354.59502000000015,-20.81643,54385.21555,0
1005501,1021120032092,19.57,0.25,354.59461,-20.81703,54348.3128,0
1005501,1021120032092,19.74,0.24,354.59433,-20.8167,54768.21992999999,0
1005501,1021120032092,20.42,0.3,354.59502000000015,-20.81688,55533.11949,0
1005501,1021120032092,19.9,0.28,354.59545,-20.8165,55483.22001000001,0
1005501,1021120032092,19.26,0.19,354.59488,-20.81664,55827.26337000001,0
1005501,1021120032092,20.07,0.29,354.59463,-20.81688,55855.1915,0
1005501,1021120032092,20.09,0.31,354.59523,-20.81693,56165.36332,0
1005501,1021120032092,20.32,0.36,354.59449,-20.81656,56165.37836,0
1005501,1021120032092,19.79,0.26,354.59509,-20.81669,56189.31647000001,0
1005501,1021120032092,19.66,0.25,354.59454,-20.81723,56189.32057999999,0
1005501,1021120032092,19.48,0.23,354.59463,-20.81651,56549.3195,0
1005501,1021120032179,18.7,0.16,354.59827,-20.81678,53653.23817,0
1005501,1021120032179,18.34,0.14,354.59786,-20.81672,53653.24627,0
1005501,1021120032179,18.25,0.13,354.59871,-20.81666,53653.25433,0
1005501,1021120032179,18.24,0.13,354.59859,-20.81678,53653.26243,0
1005501,1021120032179,18.76,0.16,354.59812,-20.81693,53673.18667,0
1005501,1021120032179,18.88,0.17,354.59851000000015,-20.81662,53673.19148,0
1005501,1021120032179,18.48,0.14,354.5984,-20.81695,53638.26441,0
1005501,1021120032179,18.85,0.17,354.59849,-20.81676,53638.27085,0
1005501,1021120032179,18.19,0.13,354.59855,-20.81663,53638.27732,0
1005501,1021120032179,18.14,0.16,354.59884,-20.81624,54070.13821000001,0
1005501,1021120032179,18.05,0.15,354.59843,-20.8168,54070.14189,0
1005501,1021120032179,17.22,0.11,354.59849,-20.81678,54070.14926000001,0
1005501,1021120032179,18.29,0.12,354.59871,-20.81665,54056.13133,0
1005501,1021120032179,18.24,0.12,354.59854,-20.81681,54056.13776000001,0
