InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000001,1021001010649,19.36,0.20, 0.03016,-21.90088,54066.16434,0
1000001,1021001010649,19.70,0.23, 0.02989,-21.90168,54419.13018,0
1000001,1021001010649,19.34,0.19, 0.03003,-21.90079,54385.21031,0
1000001,1021001010649,18.87,0.16, 0.03049,-21.90115,54358.33342,0
1000001,1021001010649,20.14,0.30, 0.02985,-21.90163,54794.15149,0
1000001,1021001010649,19.67,0.23, 0.02955,-21.90085,54741.30122,0
1000001,1021001010649,19.91,0.26, 0.02848,-21.90292,54768.25020,0
1000001,1021001010649,19.72,0.25, 0.02937,-21.90147,55063.37688,0
1000001,1021001010649,19.44,0.21, 0.03000,-21.90097,55152.19440,0
1000001,1021001010649,19.19,0.19, 0.02967,-21.90102,55119.26589,0
1000001,1021001010649,19.35,0.20, 0.02990,-21.90130,55126.21666,0
1000001,1021001010649,19.37,0.20, 0.02990,-21.90148,55091.29527,0
1000001,1021001010649,20.80,0.45, 0.02979,-21.90099,55098.34950,0
1000001,1021001010649,20.25,0.33, 0.03080,-21.90037,55504.17610,0
1000001,1021001010649,19.31,0.19, 0.02979,-21.90174,55455.34652,0
1000001,1021001010649,19.51,0.21, 0.03004,-21.90115,55830.32119,0
1000001,1021001010649,20.15,0.30, 0.03011,-21.90166,55867.18865,0
1000001,1021001010649,19.56,0.22, 0.03022,-21.90129,55837.31619,0
1000001,1021001010649,19.86,0.26, 0.02833,-21.90224,55895.12213,0
1000001,1021001010649,19.55,0.23, 0.02957,-21.90129,56192.33895,0
1000001,1021001010649,19.42,0.23, 0.02977,-21.90069,56547.36559,0
1000001,1021001010867,19.62,0.22, 0.05966,-21.89083,54057.20331,0
1000001,1021001010867,20.29,0.32, 0.06049,-21.89035,54066.15433,0
1000001,1021001010867,19.79,0.24, 0.06130,-21.89039,54004.32889,0
1000001,1021001010867,19.99,0.27, 0.05973,-21.89051,54004.33628,0
1000001,1021001010867,20.47,0.35, 0.05963,-21.89034,54409.20482,0
1000001,1021001010867,19.91,0.26, 0.05978,-21.89102,54385.20284,0
1000001,1021001010867,20.65,0.38, 0.06072,-21.89149,54385.21777,0
1000001,1021001010867,20.80,0.44, 0.06051,-21.89077,54358.33987,0
1000001,1021001010867,19.90,0.26, 0.06052,-21.89031,54741.28507,0
1000001,1021001010867,19.90,0.26, 0.06028,-21.88999,54741.30122,0
1000001,1021001010867,20.31,0.32, 0.06025,-21.89066,54748.29471,0
1000001,1021001010867,19.70,0.23, 0.06013,-21.89079,54748.30265,0
1000001,1021001010867,20.79,0.42, 0.06065,-21.89048,54768.27366,0
1000001,1021001010867,18.41,0.14, 0.06053,-21.89078,55063.36363,0
1000001,1021001010867,20.10,0.31, 0.06021,-21.89127,55063.37028,0
1000001,1021001010867,19.55,0.22, 0.06060,-21.89021,55152.21001,0
1000001,1021001010867,19.83,0.26, 0.06034,-21.89025,55119.24885,0
1000001,1021001010867,20.53,0.37, 0.06268,-21.89156,55119.25735,0
1000001,1021001010867,20.98,0.48, 0.06081,-21.89013,55119.26589,0
1000001,1021001010867,19.67,0.24, 0.05923,-21.88916,55126.23352,0
1000001,1021001010867,19.84,0.26, 0.06029,-21.89096,55091.29527,0
1000001,1021001010867,20.95,0.48, 0.05944,-21.89049,55091.31270,0
1000001,1021001010867,19.90,0.27, 0.06146,-21.89082,55098.34950,0
1000001,1021001010867,20.09,0.30, 0.05962,-21.89083,55504.17610,0
1000001,1021001010867,20.15,0.31, 0.06034,-21.89096,55504.18122,0
1000001,1021001010867,20.56,0.40, 0.06051,-21.89023,55483.26400,0
1000001,1021001010867,19.88,0.26, 0.06064,-21.89054,55455.33160,0
1000001,1021001010867,20.53,0.37, 0.06085,-21.89074,55455.34652,0
1000001,1021001010867,19.88,0.26, 0.06017,-21.89032,55830.33606,0
1000001,1021001010867,19.07,0.17, 0.06010,-21.88950,55830.34346,0
1000001,1021001010867,19.74,0.24, 0.06123,-21.89117,55867.19539,0
1000001,1021001010867,20.18,0.30, 0.05945,-21.89095,55867.20205,0
1000001,1021001010867,20.38,0.34, 0.06087,-21.89111,55837.29435,0
1000001,1021001010867,20.11,0.29, 0.06057,-21.89141,55837.30160,0
1000001,1021001010867,20.29,0.33, 0.06006,-21.89090,55837.31619,0
1000001,1021001010867,19.74,0.23, 0.05866,-21.89112,55853.24698,0
1000001,1021001010867,20.63,0.38, 0.06002,-21.89099,55853.25938,0
