InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000021,1129001026275,19.83,0.25, 1.85234,29.25975,53709.14499,0
1000021,1129001026275,19.59,0.25, 1.85331,29.26090,53537.38336,0
1000021,1129001026275,19.47,0.23, 1.85237,29.26010,53537.38939,0
1000021,1129001026275,20.25,0.33, 1.85249,29.26059,53678.26830,0
1000021,1129001026275,20.45,0.37, 1.85198,29.26024,53678.27475,0
1000021,1129001026275,19.50,0.22, 1.85186,29.26022,53695.13953,0
1000021,1129001026275,20.37,0.34, 1.85234,29.26017,53695.14549,0
1000021,1129001026275,20.53,0.37, 1.85229,29.26041,53695.15727,0
1000021,1129001026275,19.88,0.28, 1.85287,29.26036,53657.22735,0
1000021,1129001026275,19.90,0.29, 1.85233,29.26044,53642.25490,0
1000021,1129001026275,19.97,0.30, 1.85232,29.25993,53642.26139,0
1000021,1129001026275,20.22,0.27, 1.85229,29.26009,54055.17238,0
1000021,1129001026275,18.95,0.15, 1.85318,29.26067,54055.18396,0
1000021,1129001026275,19.85,0.22, 1.85239,29.25973,54055.19556,0
1000021,1129001026275,19.48,0.19, 1.85291,29.26064,54055.20721,0
1000021,1129001026275,20.19,0.29, 1.85223,29.25993,54061.18329,0
1000021,1129001026275,20.25,0.30, 1.85204,29.26012,54061.19290,0
1000021,1129001026275,20.43,0.33, 1.85229,29.26036,54027.22542,0
1000021,1129001026275,20.68,0.38, 1.85230,29.26037,54027.23455,0
1000021,1129001026275,20.74,0.39, 1.85201,29.26052,54027.24371,0
1000021,1129001026275,19.66,0.22, 1.85262,29.26013,54035.20501,0
1000021,1129001026275,19.82,0.24, 1.85227,29.26052,54035.21285,0
1000021,1129001026275,20.62,0.36, 1.85244,29.26016,54035.22062,0
1000021,1129001026275,19.35,0.19, 1.85236,29.26000,53995.26873,0
1000021,1129001026275,19.91,0.25, 1.85233,29.26032,53995.28808,0
1000021,1129001026275,19.36,0.19, 1.85232,29.26053,53995.29775,0
1000021,1129001026275,19.66,0.27, 1.85258,29.25998,54407.31052,0
1000021,1129001026275,19.62,0.27, 1.85213,29.25970,54407.31598,0
1000021,1129001026275,19.33,0.23, 1.85208,29.26023,54407.32142,0
1000021,1129001026275,19.13,0.21, 1.85287,29.25983,54407.32684,0
1000021,1129001026275,19.77,0.25, 1.85199,29.25996,54423.07050,0
1000021,1129001026275,20.07,0.28, 1.85229,29.26019,54423.08036,0
1000021,1129001026275,19.85,0.25, 1.85207,29.25991,54382.22679,0
1000021,1129001026275,20.08,0.28, 1.85235,29.25981,54394.22062,0
1000021,1129001026275,20.56,0.38, 1.85221,29.26025,54358.26005,0
1000021,1129001026275,20.74,0.40, 1.85233,29.26039,54771.20423,0
1000021,1129001026275,20.12,0.29, 1.85240,29.26007,54777.26640,0
1000021,1129001026275,18.42,0.13, 1.85265,29.25971,54777.28494,0
1000021,1129001026275,20.26,0.32, 1.85244,29.26065,54791.28826,0
1000021,1129001026275,20.20,0.31, 1.85236,29.25991,54791.29556,0
1000021,1129001026275,19.31,0.20, 1.85249,29.26008,54791.31001,0
1000021,1129001026275,19.76,0.24, 1.85222,29.26008,54732.20040,0
1000021,1129001026275,20.37,0.32, 1.85255,29.26038,54732.20922,0
1000021,1129001026275,19.03,0.17, 1.85225,29.26015,55062.40708,0
1000021,1129001026275,19.68,0.24, 1.85301,29.26031,55062.41380,0
1000021,1129001026275,19.75,0.25, 1.85249,29.25995,55062.42068,0
1000021,1129001026275,20.24,0.32, 1.85214,29.26052,55062.42754,0
1000021,1129001026275,19.98,0.27, 1.85209,29.26036,55161.15981,0
1000021,1129001026275,20.29,0.32, 1.85336,29.26032,55161.16676,0
1000021,1129001026275,19.14,0.18, 1.85296,29.26026,55161.18770,0
1000021,1129001026275,20.11,0.30, 1.85196,29.26025,55085.32921,0
1000021,1129001026275,20.57,0.39, 1.85224,29.26033,55505.17236,0
1000021,1129001026275,19.81,0.25, 1.85277,29.25998,55511.17204,0
1000021,1129001026275,19.23,0.19, 1.85230,29.26022,55511.18605,0
1000021,1129001026275,20.59,0.38, 1.85249,29.26256,55511.18605,1
1000021,1129001026275,21.14,0.52, 1.85233,29.25997,55511.19311,0
1000021,1129001026275,18.88,0.16, 1.85242,29.26069,55477.27272,0
1000021,1129001026275,17.19,0.09, 1.85306,29.25954,55477.28661,0
1000021,1129001026275,19.01,0.17, 1.85220,29.26169,55477.29356,0
1000021,1129001026275,19.94,0.35, 1.85273,29.26022,55486.27501,0
1000021,1129001026275,18.91,0.21, 1.85449,29.26142,55486.27501,1
1000021,1129001026275,20.22,0.32, 1.85247,29.26004,53668.19718,0
1000021,1129001026275,19.41,0.21, 1.85235,29.26008,53668.20582,0
1000021,1129001026275,20.39,0.33, 1.85238,29.26004,54771.22695,0
1000021,1129001026275,19.66,0.23, 1.85218,29.26032,54771.23945,0
1000021,1129001026275,20.08,0.29, 1.85256,29.26004,55866.20736,0
1000021,1129001026275,19.71,0.24, 1.85299,29.26013,55866.21217,0
1000021,1129001026275,19.42,0.20, 1.85224,29.26039,55866.21673,0
1000021,1129001026275,19.39,0.20, 1.85321,29.25986,55854.25546,0
1000021,1129001026275,19.93,0.26, 1.85257,29.25987,55854.26108,0
1000021,1129001026275,20.28,0.31, 1.85241,29.25983,55854.26668,0
1000021,1129001026275,20.43,0.34, 1.85258,29.25989,55854.27236,0
1000021,1129001026275,20.19,0.26, 1.85237,29.26004,56186.43887,0
1000021,1129001026275,20.83,0.37, 1.85030,29.26162,56186.44590,0
1000021,1129001026275,20.39,0.29, 1.85233,29.25976,56186.44590,1
1000021,1129001026275,18.77,0.13, 1.85281,29.25985,56186.45300,0
1000021,1129001026275,19.53,0.19, 1.85216,29.26005,56186.46011,0
1000021,1129001026275,20.58,0.39, 1.85225,29.26033,56215.19092,0
1000021,1129001026275,20.52,0.37, 1.85200,29.26014,56215.19946,0
1000021,1129001026275,18.71,0.15, 1.85241,29.25981,56223.14386,0
1000021,1129001026275,20.20,0.29, 1.85230,29.25993,56246.17103,0
1000021,1129001026275,18.77,0.13, 1.85225,29.26008,56246.18599,0
1000021,1129001026275,20.57,0.40, 1.85202,29.26019,56551.25895,0
1000021,1129001026275,14.75,0.57, 1.85297,29.26054,56559.38475,0
1000021,1129001026275,20.61,0.38, 1.85228,29.25996,56568.24788,0
1000021,1129001026275,20.00,0.27, 1.85245,29.25996,56568.26248,0
1000021,1129001026275,19.18,0.18, 1.85252,29.26014,56568.26986,0
1000021,1129001026275,19.17,0.19, 1.85228,29.26043,56578.22358,0
1000021,1129001026275,19.76,0.25, 1.85241,29.26001,56578.23864,0
1000021,1129001026275,19.48,0.22, 1.85259,29.26039,56593.25204,0
1000021,1129001026275,19.83,0.26, 1.85303,29.26250,56593.25204,1
1000021,1129001026275,19.60,0.23, 1.85234,29.26022,56593.27010,0
1000021,1129001026333,18.61,0.14, 1.86636,29.25848,53709.13288,0
1000021,1129001026333,18.41,0.13, 1.86611,29.25855,53709.13896,0
1000021,1129001026333,18.22,0.12, 1.86612,29.25804,53709.14499,0
1000021,1129001026333,18.47,0.13, 1.86621,29.25841,53709.15101,0
1000021,1129001026333,18.98,0.17, 1.86624,29.25863,53733.06996,0
1000021,1129001026333,18.29,0.13, 1.86607,29.25833,53733.07742,0
1000021,1129001026333,18.73,0.15, 1.86592,29.25853,53733.08490,0
1000021,1129001026333,19.20,0.19, 1.86629,29.25854,53733.09237,0
1000021,1129001026333,19.24,0.21, 1.86654,29.25872,53537.38336,0
1000021,1129001026333,18.96,0.18, 1.86652,29.25879,53537.38939,0
1000021,1129001026333,18.82,0.17, 1.86643,29.25896,53537.39536,0
1000021,1129001026333,18.82,0.17, 1.86650,29.25871,53537.40132,0
1000021,1129001026333,19.01,0.17, 1.86623,29.25872,53678.26830,0
1000021,1129001026333,18.69,0.15, 1.86623,29.25878,53678.27475,0
1000021,1129001026333,19.16,0.19, 1.86633,29.25878,53678.28120,0
1000021,1129001026333,19.06,0.18, 1.86638,29.25873,53678.28766,0
1000021,1129001026333,18.13,0.12, 1.86517,29.25849,53695.13953,0
1000021,1129001026333,18.39,0.13, 1.86652,29.25866,53695.14549,0
1000021,1129001026333,18.86,0.16, 1.86620,29.25873,53695.15139,0
1000021,1129001026333,18.87,0.16, 1.86622,29.25889,53695.15727,0
1000021,1129001026333,19.00,0.18, 1.86625,29.25840,53657.21833,0
1000021,1129001026333,18.10,0.12, 1.86609,29.25875,53657.22285,0
1000021,1129001026333,18.31,0.13, 1.86614,29.25861,53657.22735,0
1000021,1129001026333,18.82,0.17, 1.86640,29.25884,53657.23187,0
1000021,1129001026333,19.07,0.18, 1.86641,29.25867,53668.17828,0
1000021,1129001026333,18.88,0.17, 1.86634,29.25874,53642.24181,0
1000021,1129001026333,18.53,0.15, 1.86602,29.25845,53642.24839,0
1000021,1129001026333,18.84,0.17, 1.86647,29.25875,53642.25490,0
1000021,1129001026333,18.75,0.16, 1.86629,29.25887,53642.26139,0
1000021,1129001026333,19.00,0.18, 1.86637,29.25886,53768.10970,0
1000021,1129001026333,18.53,0.14, 1.86641,29.25885,53768.11453,0
1000021,1129001026333,19.01,0.18, 1.86637,29.25870,53768.11976,0
1000021,1129001026333,18.67,0.15, 1.86618,29.25846,53768.12461,0
1000021,1129001026333,19.37,0.66, 1.86598,29.25864,53902.45327,0
1000021,1129001026333,18.57,0.42, 1.86662,29.25900,53902.45527,0
1000021,1129001026333,18.67,0.13, 1.86652,29.25896,54055.17238,0
1000021,1129001026333,18.45,0.12, 1.86616,29.25857,54055.18396,0
1000021,1129001026333,18.06,0.10, 1.86641,29.25877,54055.19556,0
1000021,1129001026333,18.51,0.12, 1.86596,29.25877,54055.20721,0
1000021,1129001026333,18.48,0.13, 1.86644,29.25869,54061.17365,0
1000021,1129001026333,18.72,0.14, 1.86627,29.25880,54061.18329,0
1000021,1129001026333,18.44,0.13, 1.86626,29.25891,54061.19290,0
1000021,1129001026333,18.54,0.13, 1.86640,29.25886,54061.20249,0
1000021,1129001026333,18.94,0.16, 1.86635,29.25875,54027.21626,0
1000021,1129001026333,18.55,0.13, 1.86641,29.25888,54027.22542,0
1000021,1129001026333,18.71,0.14, 1.86629,29.25896,54027.23455,0
1000021,1129001026333,18.90,0.15, 1.86647,29.25875,54027.24371,0
1000021,1129001026333,18.42,0.13, 1.86609,29.25884,54035.19718,0
1000021,1129001026333,18.68,0.14, 1.86627,29.25868,54035.20501,0
1000021,1129001026333,18.93,0.16, 1.86622,29.25874,54035.21285,0
1000021,1129001026333,19.13,0.17, 1.86644,29.25867,54035.22062,0
1000021,1129001026333,18.60,0.14, 1.86633,29.25885,53995.26873,0
1000021,1129001026333,18.64,0.14, 1.86634,29.25881,53995.27842,0
1000021,1129001026333,18.67,0.14, 1.86628,29.25880,53995.28808,0
1000021,1129001026333,18.74,0.14, 1.86636,29.25877,53995.29775,0
1000021,1129001026333,17.09,0.12, 1.86701,29.25923,54007.17961,0
1000021,1129001026333,18.42,0.23, 1.86666,29.25872,54007.18211,0
1000021,1129001026333,18.13,0.20, 1.86643,29.25901,54007.18461,0
1000021,1129001026333,18.23,0.22, 1.86697,29.25861,54007.18709,0
1000021,1129001026333,18.85,0.18, 1.86614,29.25875,54407.31052,0
1000021,1129001026333,18.66,0.17, 1.86630,29.25883,54407.31598,0
1000021,1129001026333,18.51,0.16, 1.86625,29.25861,54407.32142,0
1000021,1129001026333,18.59,0.16, 1.86642,29.25889,54407.32684,0
1000021,1129001026333,18.29,0.13, 1.86639,29.25870,54423.07050,0
1000021,1129001026333,18.63,0.14, 1.86650,29.25891,54423.08036,0
1000021,1129001026333,17.81,0.11, 1.86683,29.25904,54423.09018,0
1000021,1129001026333,17.05,0.08, 1.86702,29.25857,54423.09998,0
1000021,1129001026333,18.33,0.13, 1.86656,29.25881,54382.20985,0
1000021,1129001026333,18.64,0.14, 1.86639,29.25894,54382.21831,0
1000021,1129001026333,19.01,0.17, 1.86659,29.25889,54382.22679,0
1000021,1129001026333,18.83,0.15, 1.86656,29.25884,54382.23523,0
1000021,1129001026333,18.64,0.14, 1.86657,29.25889,54389.15658,0
1000021,1129001026333,18.92,0.16, 1.86659,29.25885,54389.16463,0
1000021,1129001026333,18.43,0.13, 1.86639,29.25898,54389.17271,0
1000021,1129001026333,18.34,0.13, 1.86663,29.25864,54389.18081,0
1000021,1129001026333,17.53,0.09, 1.86709,29.25949,54394.18816,0
1000021,1129001026333,18.84,0.15, 1.86650,29.25899,54394.19898,0
1000021,1129001026333,18.56,0.14, 1.86665,29.25899,54394.20978,0
1000021,1129001026333,18.52,0.13, 1.86628,29.25901,54394.22062,0
1000021,1129001026333,16.80,0.08, 1.86716,29.25866,54358.24037,0
1000021,1129001026333,18.73,0.15, 1.86659,29.25897,54358.24692,0
1000021,1129001026333,18.51,0.14, 1.86672,29.25898,54358.25348,0
1000021,1129001026333,18.42,0.13, 1.86646,29.25893,54358.26005,0
1000021,1129001026333,18.55,0.14, 1.86631,29.25885,54771.20423,0
1000021,1129001026333,17.03,0.08, 1.86591,29.25942,54777.26640,0
1000021,1129001026333,17.74,0.10, 1.86670,29.25904,54777.27566,0
1000021,1129001026333,18.09,0.11, 1.86623,29.25887,54777.28494,0
1000021,1129001026333,17.95,0.11, 1.86617,29.25920,54777.29410,0
1000021,1129001026333,18.69,0.15, 1.86617,29.25885,54791.28826,0
1000021,1129001026333,18.16,0.12, 1.86589,29.25848,54791.29556,0
1000021,1129001026333,18.73,0.15, 1.86625,29.25869,54791.30273,0
1000021,1129001026333,18.49,0.14, 1.86627,29.25880,54791.31001,0
1000021,1129001026333,19.54,0.21, 1.86635,29.25878,54764.22598,0
1000021,1129001026333,18.13,0.11, 1.86635,29.25871,54764.23747,0
1000021,1129001026333,18.99,0.16, 1.86644,29.25882,54764.24893,0
1000021,1129001026333,18.59,0.14, 1.86591,29.25834,54764.26059,0
1000021,1129001026333,18.42,0.13, 1.86672,29.25876,54732.19155,0
1000021,1129001026333,18.50,0.13, 1.86668,29.25890,54732.20040,0
1000021,1129001026333,17.57,0.09, 1.86647,29.25867,54732.20922,0
1000021,1129001026333,18.58,0.14, 1.86663,29.25888,54732.21791,0
1000021,1129001026333,18.62,0.14, 1.86650,29.25905,55062.40708,0
1000021,1129001026333,18.83,0.16, 1.86638,29.25887,55062.41380,0
1000021,1129001026333,18.83,0.16, 1.86637,29.25891,55062.42068,0
1000021,1129001026333,18.59,0.14, 1.86634,29.25878,55062.42754,0
1000021,1129001026333,18.10,0.12, 1.86713,29.25906,55155.18617,0
