InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000041,1132001025958,19.93,0.27, 2.97871,31.94748,53709.13236,0
1000041,1132001025958,20.65,0.39, 2.97845,31.94721,53709.13843,0
1000041,1132001025958,19.77,0.25, 2.97847,31.94722,53709.14446,0
1000041,1132001025958,19.51,0.22, 2.97853,31.94743,53709.15048,0
1000041,1132001025958,20.09,0.32, 2.98022,31.94710,53537.38831,0
1000041,1132001025958,19.89,0.29, 2.97836,31.94714,53537.39428,0
1000041,1132001025958,20.82,0.48, 2.97821,31.94729,53537.40025,0
1000041,1132001025958,20.04,0.29, 2.97792,31.94710,53679.19100,0
1000041,1132001025958,19.95,0.27, 2.97869,31.94709,53679.20211,0
1000041,1132001025958,19.42,0.21, 2.97898,31.94667,53684.13878,0
1000041,1132001025958,19.32,0.20, 2.97860,31.94678,53684.14369,0
1000041,1132001025958,19.95,0.30, 2.97873,31.94721,53684.14853,0
1000041,1132001025958,20.24,0.34, 2.97897,31.94668,53684.15338,0
1000041,1132001025958,19.43,0.21, 2.97877,31.94715,53695.14005,0
1000041,1132001025958,19.55,0.22, 2.97890,31.94729,53695.14601,0
1000041,1132001025958,19.77,0.25, 2.97868,31.94712,53668.18369,0
1000041,1132001025958,19.86,0.26, 2.97859,31.94720,53668.20094,0
1000041,1132001025958,19.81,0.25, 2.97862,31.94750,53668.20955,0
1000041,1132001025958,19.97,0.30, 2.97892,31.94736,53642.24235,0
1000041,1132001025958,19.67,0.25, 2.97854,31.94731,53642.24892,0
1000041,1132001025958,19.55,0.24, 2.97848,31.94703,53642.25543,0
1000041,1132001025958,19.41,0.22, 2.97878,31.94740,53642.26193,0
1000041,1132001025958,19.48,0.19, 2.97867,31.94737,54055.17297,0
1000041,1132001025958,19.64,0.20, 2.97860,31.94724,54055.18455,0
1000041,1132001025958,19.98,0.24, 2.97909,31.94743,54055.19615,0
1000041,1132001025958,19.71,0.21, 2.97873,31.94675,54055.20780,0
1000041,1132001025958,19.79,0.24, 2.97846,31.94727,54061.17744,0
1000041,1132001025958,19.70,0.23, 2.97918,31.94723,54061.18704,0
1000041,1132001025958,19.44,0.20, 2.97856,31.94702,54061.19666,0
1000041,1132001025958,20.32,0.30, 2.97896,31.94724,54061.20626,0
1000041,1132001025958,20.24,0.30, 2.97868,31.94731,54010.29849,0
1000041,1132001025958,19.94,0.26, 2.97853,31.94705,54010.30689,0
1000041,1132001025958,19.82,0.24, 2.97839,31.94720,54010.31533,0
1000041,1132001025958,19.82,0.24, 2.97815,31.94719,54031.25922,0
1000041,1132001025958,19.88,0.25, 2.97909,31.94737,54031.26787,0
1000041,1132001025958,19.47,0.20, 2.97860,31.94728,54031.27658,0
1000041,1132001025958,19.60,0.22, 2.97873,31.94733,54031.28528,0
1000041,1132001025958,19.62,0.22, 2.97867,31.94721,54037.21779,0
1000041,1132001025958,19.86,0.24, 2.97842,31.94714,54037.22577,0
1000041,1132001025958,19.41,0.20, 2.97900,31.94753,54037.23266,0
1000041,1132001025958,19.46,0.20, 2.97899,31.94702,54037.23931,0
1000041,1132001025958,19.38,0.19, 2.97869,31.94712,53995.26821,0
1000041,1132001025958,19.53,0.21, 2.97846,31.94722,53995.27790,0
1000041,1132001025958,19.99,0.26, 2.97883,31.94723,53995.28755,0
1000041,1132001025958,19.53,0.21, 2.97842,31.94745,53995.29722,0
1000041,1132001025958,19.72,0.23, 2.97875,31.94719,54003.22523,0
1000041,1132001025958,19.74,0.23, 2.97872,31.94724,54003.23337,0
1000041,1132001025958,19.50,0.21, 2.97885,31.94709,54003.24153,0
1000041,1132001025958,19.71,0.23, 2.97841,31.94722,54003.24970,0
1000041,1132001025958,19.56,0.21, 2.97878,31.94727,54452.15179,0
1000041,1132001025958,20.00,0.27, 2.97841,31.94743,54452.15832,0
1000041,1132001025958,20.58,0.43, 2.97952,31.94703,54265.40332,0
1000041,1132001025958,19.82,0.28, 2.97858,31.94683,54265.41336,0
1000041,1132001025958,20.13,0.33, 2.97856,31.94702,54265.42335,0
1000041,1132001025958,19.51,0.23, 2.97874,31.94731,54265.43385,0
1000041,1132001025958,20.25,0.37, 2.97839,31.94755,54407.31007,0
1000041,1132001025958,20.03,0.33, 2.97875,31.94715,54407.31554,0
1000041,1132001025958,19.83,0.30, 2.97871,31.94728,54407.32098,0
1000041,1132001025958,19.60,0.27, 2.97879,31.94721,54407.32640,0
1000041,1132001025958,19.46,0.20, 2.97843,31.94729,54417.22278,0
1000041,1132001025958,20.03,0.27, 2.97860,31.94730,54417.22990,0
1000041,1132001025958,19.56,0.21, 2.97857,31.94709,54417.23704,0
1000041,1132001025958,19.65,0.22, 2.97859,31.94709,54417.24418,0
1000041,1132001025958,20.07,0.28, 2.97884,31.94728,54423.08089,0
1000041,1132001025958,20.39,0.34, 2.97922,31.94743,54382.23914,0
1000041,1132001025958,19.92,0.26, 2.97879,31.94694,54382.24685,0
1000041,1132001025958,20.20,0.30, 2.97888,31.94755,54382.25454,0
1000041,1132001025958,20.31,0.32, 2.97867,31.94732,54389.15281,0
1000041,1132001025958,19.60,0.22, 2.97860,31.94717,54389.16087,0
1000041,1132001025958,19.58,0.22, 2.97918,31.94733,54389.16894,0
1000041,1132001025958,19.63,0.22, 2.97893,31.94721,54389.17703,0
1000041,1132001025958,19.41,0.20, 2.97890,31.94728,54394.18869,0
1000041,1132001025958,19.77,0.24, 2.97935,31.94734,54394.19951,0
1000041,1132001025958,19.28,0.19, 2.97910,31.94750,54394.21032,0
1000041,1132001025958,19.92,0.26, 2.97920,31.94720,54394.22115,0
1000041,1132001025958,19.54,0.22, 2.97869,31.94734,54358.24091,0
1000041,1132001025958,19.73,0.24, 2.97896,31.94731,54358.24745,0
1000041,1132001025958,19.93,0.27, 2.97906,31.94688,54358.25401,0
1000041,1132001025958,19.85,0.26, 2.97804,31.94734,54504.09468,0
1000041,1132001025958,19.33,0.20, 2.97895,31.94700,54504.10006,0
1000041,1132001025958,19.53,0.22, 2.97824,31.94710,54504.10545,0
1000041,1132001025958,20.34,0.33, 2.97868,31.94751,54480.12798,0
1000041,1132001025958,19.58,0.22, 2.97838,31.94738,54480.13795,0
1000041,1132001025958,20.64,0.38, 2.97852,31.94734,54771.22124,0
1000041,1132001025958,19.13,0.17, 2.97842,31.94711,54771.22757,0
1000041,1132001025958,19.39,0.20, 2.97848,31.94719,54771.23389,0
1000041,1132001025958,20.45,0.34, 2.97869,31.94724,54771.24006,0
1000041,1132001025958,19.99,0.26, 2.97878,31.94711,54778.12992,0
1000041,1132001025958,19.79,0.24, 2.97865,31.94738,54778.14219,0
1000041,1132001025958,20.57,0.36, 2.97885,31.94724,54778.15436,0
1000041,1132001025958,20.38,0.32, 2.97818,31.94756,54778.16671,0
1000041,1132001025958,19.82,0.25, 2.97850,31.94762,54788.27178,0
1000041,1132001025958,19.62,0.22, 2.97854,31.94719,54788.27835,0
1000041,1132001025958,19.97,0.27, 2.97814,31.94748,54788.28500,0
1000041,1132001025958,20.19,0.30, 2.97887,31.94714,54788.29172,0
1000041,1132001025958,19.86,0.25, 2.97833,31.94704,54791.28645,0
1000041,1132001025958,20.15,0.30, 2.97850,31.94722,54791.29374,0
1000041,1132001025958,19.77,0.24, 2.97852,31.94730,54791.30091,0
1000041,1132001025958,19.94,0.27, 2.97861,31.94739,54791.30818,0
1000041,1132001025958,20.03,0.27, 2.97869,31.94699,54746.18906,0
1000041,1132001025958,19.73,0.23, 2.97847,31.94726,54746.19578,0
1000041,1132001025958,19.86,0.24, 2.97866,31.94763,54746.20247,0
1000041,1132001025958,20.42,0.33, 2.97816,31.94715,54746.20915,0
1000041,1132001025958,19.69,0.22, 2.97889,31.94736,54767.25808,0
1000041,1132001025958,20.03,0.27, 2.97866,31.94731,54767.26675,0
1000041,1132001025958,19.83,0.24, 2.97915,31.94726,54767.27533,0
1000041,1132001025958,19.71,0.23, 2.97841,31.94703,54767.28375,0
1000041,1132001025958,19.51,0.20, 2.97848,31.94716,54733.19424,0
1000041,1132001025958,20.25,0.30, 2.97933,31.94757,54733.20234,0
1000041,1132001025958,20.22,0.30, 2.97861,31.94730,54733.21042,0
1000041,1132001025958,19.73,0.23, 2.97862,31.94731,54733.21852,0
1000041,1132001025958,19.80,0.29, 2.97878,31.94758,55069.22880,0
1000041,1132001025958,20.31,0.37, 2.97899,31.94748,55069.23370,0
1000041,1132001025958,19.64,0.24, 2.97876,31.94701,55069.23859,0
1000041,1132001025958,18.93,0.23, 2.97842,31.94709,54865.10829,0
1000041,1132001025958,19.95,0.28, 2.97852,31.94693,55009.42338,0
1000041,1132001025958,19.69,0.25, 2.97853,31.94715,55009.42877,0
1000041,1132001025958,19.54,0.24, 2.97861,31.94727,55009.43420,0
1000041,1132001025958,19.76,0.25, 2.97827,31.94726,55141.26270,0
1000041,1132001025958,20.00,0.28, 2.97846,31.94731,55141.27006,0
1000041,1132001025958,19.70,0.24, 2.97826,31.94760,55141.27737,0
1000041,1132001025958,19.25,0.19, 2.97884,31.94714,55141.28465,0
