InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000081,1109002035724,20.07,0.32, 5.17021,10.36606,53677.23355,0
1000081,1109002035724,20.89,0.51, 5.16889,10.36563,53700.21113,0
1000081,1109002035724,19.96,0.28, 5.17013,10.36703,53995.34886,0
1000081,1109002035724,21.07,0.52, 5.17051,10.36668,53995.36103,0
1000081,1109002035724,21.02,0.52, 5.16951,10.36719,54438.13787,0
1000081,1109002035724,19.57,0.23, 5.17051,10.36682,54438.15071,0
1000081,1109002035724,20.96,0.55, 5.17107,10.36667,54351.41808,0
1000081,1109002035724,21.04,0.53, 5.17037,10.36695,54356.31382,0
1000081,1109002035724,20.39,0.37, 5.17047,10.36667,54356.32140,0
1000081,1109002035724,20.52,0.39, 5.17091,10.36638,54822.16351,0
1000081,1109002035724,21.07,0.53, 5.17035,10.36684,54737.37811,0
1000081,1109002035724,19.72,0.33, 5.17047,10.36647,55084.37029,0
1000081,1109002035724,21.00,0.53, 5.17087,10.36667,55478.25428,0
1000081,1109002035724,20.93,0.50, 5.16989,10.36655,55892.17666,0
1000081,1109002035724,20.56,0.42, 5.16948,10.36558,56184.38221,0
1000081,1109002035724,20.03,0.27, 5.17062,10.36719,56195.35613,0
1000081,1109002035724,19.74,0.28, 5.17026,10.36624,56206.20678,0
1000081,1109002035724,20.62,0.43, 5.17020,10.36700,56215.24228,0
1000081,1109002035724,20.21,0.30, 5.17055,10.36676,56221.38976,0
1000081,1109002035724,20.93,0.46, 5.17000,10.36628,56221.39755,0
1000081,1109002035724,20.29,0.36, 5.17071,10.36676,56235.14041,0
1000081,1109002035724,20.15,0.28, 5.17094,10.36728,56272.18786,0
1000081,1109002035724,20.37,0.41, 5.17073,10.36648,56537.38083,0
1000081,1109002035724,20.35,0.39, 5.17030,10.36635,56550.33207,0
1000081,1109002035724,20.18,0.34, 5.17026,10.36736,56595.14978,0
1000081,1109002035804,19.83,0.30, 5.16138,10.37023,53730.12950,0
1000081,1109002035804,19.57,0.26, 5.16134,10.37021,53730.14236,0
1000081,1109002035804,18.96,0.20, 5.16119,10.36982,53520.45485,0
1000081,1109002035804,18.53,0.16, 5.16126,10.36992,53520.45699,0
1000081,1109002035804,19.45,0.23, 5.16116,10.36998,53677.22368,0
1000081,1109002035804,18.98,0.19, 5.16112,10.36996,53677.22863,0
1000081,1109002035804,18.69,0.16, 5.16117,10.36975,53677.23355,0
1000081,1109002035804,18.94,0.18, 5.16077,10.36973,53677.23851,0
1000081,1109002035804,19.89,0.29, 5.16150,10.36989,53700.17885,0
1000081,1109002035804,19.14,0.20, 5.16152,10.36988,53700.20257,0
