InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000101,1132003040626,20.31,0.34, 6.71619,32.64069,53708.21337,0
1000101,1132003040626,20.12,0.30, 6.71612,32.64055,53708.21914,0
1000101,1132003040626,19.97,0.28, 6.71616,32.64069,53708.22493,0
1000101,1132003040626,20.59,0.39, 6.71621,32.64069,53735.12562,0
1000101,1132003040626,20.12,0.32, 6.71607,32.64065,53735.13203,0
1000101,1132003040626,20.62,0.43, 6.71622,32.64065,53537.40478,0
1000101,1132003040626,20.39,0.36, 6.71595,32.64092,53676.26686,0
1000101,1132003040626,20.90,0.50, 6.71627,32.64056,53676.27340,0
1000101,1132003040626,20.38,0.35, 6.71617,32.64049,53684.15971,0
1000101,1132003040626,20.19,0.32, 6.71592,32.64043,53684.17337,0
1000101,1132003040626,19.86,0.26, 6.71593,32.64083,53684.18026,0
1000101,1132003040626,19.91,0.27, 6.71618,32.64033,53695.17140,0
1000101,1132003040626,20.08,0.29, 6.71624,32.64041,53695.17794,0
1000101,1132003040626,20.48,0.36, 6.71631,32.64089,53695.18444,0
1000101,1132003040626,20.56,0.38, 6.71615,32.64064,53668.18262,0
1000101,1132003040626,20.58,0.39, 6.71629,32.64051,53668.19124,0
1000101,1132003040626,20.63,0.43, 6.71629,32.64056,53642.28032,0
1000101,1132003040626,20.14,0.32, 6.71606,32.64050,53642.28902,0
1000101,1132003040626,20.72,0.43, 6.71633,32.64087,53768.11342,0
1000101,1132003040626,20.40,0.36, 6.71603,32.64070,53768.12832,0
1000101,1132003040626,19.69,0.21, 6.71648,32.64054,54055.17536,0
1000101,1132003040626,19.98,0.24, 6.71623,32.64044,54055.18693,0
1000101,1132003040626,20.25,0.28, 6.71650,32.64077,54055.19853,0
1000101,1132003040626,20.87,0.39, 6.71612,32.64069,54055.21017,0
1000101,1132003040626,20.45,0.34, 6.71665,32.64070,54061.17636,0
1000101,1132003040626,19.62,0.22, 6.71601,32.64043,54061.19559,0
1000101,1132003040626,21.15,0.50, 6.71622,32.64055,54061.20519,0
1000101,1132003040626,19.73,0.23, 6.71637,32.64073,54010.29957,0
1000101,1132003040626,21.14,0.51, 6.71606,32.64057,54010.31641,0
1000101,1132003040626,19.91,0.25, 6.71583,32.64083,54031.26896,0
1000101,1132003040626,20.72,0.39, 6.71614,32.64089,54037.22685,0
1000101,1132003040626,20.48,0.34, 6.71619,32.64112,54037.23375,0
1000101,1132003040626,21.05,0.47, 6.71617,32.64089,53997.27204,0
1000101,1132003040626,19.67,0.22, 6.71597,32.64036,53997.28257,0
1000101,1132003040626,20.43,0.33, 6.71647,32.64065,53997.30374,0
1000101,1132003040626,19.86,0.25, 6.71616,32.64042,54003.22969,0
1000101,1132003040626,20.39,0.33, 6.71632,32.64072,54003.23784,0
1000101,1132003040626,20.41,0.33, 6.71588,32.64007,54003.24599,0
1000101,1132003040626,20.72,0.39, 6.71595,32.64101,54003.25418,0
1000101,1132003040626,20.70,0.39, 6.71600,32.64032,54452.13989,0
1000101,1132003040626,19.79,0.24, 6.71621,32.64066,54452.15941,0
1000101,1132003040626,19.85,0.27, 6.71595,32.64073,54299.38357,0
1000101,1132003040626,20.06,0.21, 6.71635,32.64012,54271.42339,0
1000101,1132003040626,20.48,0.26, 6.71656,32.64048,54271.43325,0
1000101,1132003040626,20.53,0.26, 6.71628,32.64041,54271.45289,0
1000101,1132003040626,19.83,0.30, 6.71615,32.64076,54407.30919,0
1000101,1132003040626,20.55,0.45, 6.71585,32.64070,54407.32009,0
1000101,1132003040626,19.83,0.30, 6.71604,32.64055,54407.32552,0
1000101,1132003040626,20.44,0.34, 6.71631,32.64099,54417.22387,0
1000101,1132003040626,20.20,0.30, 6.71596,32.64098,54417.23100,0
1000101,1132003040626,20.39,0.33, 6.71590,32.64052,54417.23813,0
1000101,1132003040626,19.89,0.25, 6.71604,32.64074,54417.24526,0
1000101,1132003040626,20.59,0.37, 6.71625,32.64051,54423.08197,0
1000101,1132003040626,19.67,0.24, 6.71612,32.64076,54423.10160,0
1000101,1132003040626,20.23,0.31, 6.71628,32.64055,54382.24022,0
1000101,1132003040626,20.03,0.28, 6.71633,32.64104,54382.24793,0
1000101,1132003040626,20.02,0.27, 6.71545,32.64042,54382.25562,0
1000101,1132003040626,20.43,0.34, 6.71619,32.64104,54382.26334,0
1000101,1132003040626,20.60,0.38, 6.71621,32.64077,54389.15390,0
1000101,1132003040626,19.90,0.26, 6.71624,32.64092,54389.16195,0
1000101,1132003040626,20.62,0.38, 6.71631,32.64054,54389.17004,0
1000101,1132003040626,20.65,0.39, 6.71664,32.64104,54389.17812,0
1000101,1132003040626,20.25,0.32, 6.71627,32.64057,54358.24201,0
1000101,1132003040626,20.35,0.34, 6.71649,32.64045,54358.24854,0
1000101,1132003040626,20.25,0.32, 6.71619,32.64052,54358.25512,0
1000101,1132003040626,19.60,0.22, 6.71605,32.64060,54504.09897,0
1000101,1132003040626,20.47,0.36, 6.71625,32.64055,54504.10976,0
1000101,1132003040626,20.77,0.44, 6.71582,32.64050,54478.21356,0
1000101,1132003040626,20.43,0.34, 6.71671,32.64084,54772.21909,0
1000101,1132003040626,20.13,0.29, 6.71620,32.64071,54772.22559,0
1000101,1132003040626,19.88,0.25, 6.71626,32.64056,54772.23213,0
1000101,1132003040626,20.36,0.32, 6.71623,32.64062,54772.23859,0
1000101,1132003040626,20.01,0.27, 6.71649,32.64064,54778.13114,0
1000101,1132003040626,20.72,0.39, 6.71572,32.64122,54778.15559,0
1000101,1132003040626,19.49,0.20, 6.71575,32.64052,54778.16794,0
1000101,1132003040626,20.54,0.36, 6.71549,32.64084,54788.27720,0
1000101,1132003040626,20.29,0.31, 6.71553,32.64067,54788.28378,0
1000101,1132003040626,19.99,0.27, 6.71642,32.64062,54788.29050,0
1000101,1132003040626,20.17,0.29, 6.71629,32.64089,54745.24470,0
1000101,1132003040626,20.53,0.35, 6.71667,32.64096,54745.25136,0
1000101,1132003040626,19.84,0.24, 6.71635,32.64076,54745.25798,0
1000101,1132003040626,20.43,0.33, 6.71634,32.64074,54767.25931,0
1000101,1132003040626,20.74,0.39, 6.71617,32.64069,54767.26796,0
1000101,1132003040626,20.21,0.29, 6.71638,32.64071,54767.27650,0
1000101,1132003040626,19.92,0.25, 6.71646,32.64068,54767.28498,0
1000101,1132003040626,20.77,0.41, 6.71635,32.64059,54733.19546,0
1000101,1132003040626,20.07,0.28, 6.71591,32.64076,54733.20356,0
1000101,1132003040626,19.77,0.24, 6.71655,32.64055,54733.21159,0
1000101,1132003040626,20.19,0.30, 6.71652,32.64070,54733.21975,0
1000101,1132003040626,19.80,0.25, 6.71599,32.64061,55185.11774,0
1000101,1132003040626,21.02,0.49, 6.71595,32.64019,55185.12975,0
1000101,1132003040626,20.21,0.46, 6.71562,32.64026,54865.10410,0
1000101,1132003040626,19.66,0.34, 6.71602,32.64033,54865.11419,0
1000101,1132003040626,19.81,0.25, 6.71630,32.64085,55141.27855,0
1000101,1132003040626,19.79,0.25, 6.71641,32.64082,55141.28587,0
1000101,1132003040626,20.30,0.32, 6.71600,32.64031,55155.27020,0
1000101,1132003040626,19.40,0.20, 6.71645,32.64095,55155.27622,0
1000101,1132003040626,19.90,0.25, 6.71632,32.64062,55155.28215,0
1000101,1132003040626,20.55,0.37, 6.71604,32.64085,55155.28826,0
1000101,1132003040626,20.31,0.33, 6.71596,32.64078,55122.25452,0
1000101,1132003040626,20.56,0.38, 6.71641,32.64022,55122.25931,0
1000101,1132003040626,20.51,0.37, 6.71609,32.64047,55122.26418,0
1000101,1132003040626,19.97,0.27, 6.71607,32.64074,55122.26909,0
1000101,1132003040626,20.15,0.27, 6.71610,32.64075,55097.35804,0
1000101,1132003040626,19.75,0.22, 6.71642,32.64067,55097.36487,0
1000101,1132003040626,19.77,0.22, 6.71606,32.64047,55097.37171,0
1000101,1132003040626,20.33,0.30, 6.71649,32.64073,55097.37855,0
1000101,1132003040626,20.54,0.38, 6.71676,32.64085,55542.06998,0
1000101,1132003040626,20.10,0.30, 6.71607,32.64071,55542.07630,0
1000101,1132003040626,19.95,0.27, 6.71608,32.64066,55511.17262,0
1000101,1132003040626,20.00,0.28, 6.71640,32.64078,55511.18662,0
1000101,1132003040626,20.29,0.32, 6.71632,32.64090,55511.19368,0
1000101,1132003040626,19.86,0.26, 6.71670,32.64091,55478.24059,0
1000101,1132003040626,20.30,0.33, 6.71656,32.64053,55478.25943,0
1000101,1132003040626,19.92,0.26, 6.71598,32.64043,55478.26897,0
1000101,1132003040626,19.22,0.19, 6.71653,32.64063,55500.29998,0
1000101,1132003040626,20.15,0.31, 6.71551,32.64120,55500.30691,0
1000101,1132003040626,20.45,0.43, 6.71662,32.64071,55449.41435,0
1000101,1132003040626,20.20,0.38, 6.71605,32.64065,55449.42451,0
1000101,1132003040626,19.67,0.19, 6.71611,32.64106,55597.09082,0
1000101,1132003040626,19.87,0.21, 6.71607,32.64080,55597.09827,0
1000101,1132003040626,19.87,0.21, 6.71603,32.64107,55597.10577,0
1000101,1132003040626,19.84,0.21, 6.71611,32.64088,55597.11322,0
1000101,1132003040626,19.81,0.32, 6.71606,32.64075,55576.20686,0
1000101,1132003040626,19.50,0.23, 6.71680,32.64089,55723.45071,0
1000101,1132003040626,20.23,0.33, 6.71571,32.64046,55723.45771,0
1000101,1132003040626,20.77,0.33, 6.71596,32.64058,55858.28457,0
1000101,1132003040626,20.20,0.25, 6.71607,32.64044,55858.29576,0
1000101,1132003040626,20.42,0.27, 6.71625,32.64071,55858.30693,0
1000101,1132003040626,20.39,0.27, 6.71572,32.64068,55858.31811,0
1000101,1132003040626,20.73,0.34, 6.71643,32.64063,55826.26755,0
1000101,1132003040626,19.75,0.20, 6.71608,32.64071,55826.28389,0
1000101,1132003040626,20.76,0.34, 6.71651,32.64031,55826.29205,0
1000101,1132003040626,20.06,0.28, 6.71624,32.64069,55866.22348,0
1000101,1132003040626,19.76,0.24, 6.71629,32.64046,55866.22910,0
1000101,1132003040626,19.94,0.27, 6.71602,32.64073,55866.23477,0
1000101,1132003040626,19.90,0.26, 6.71590,32.64082,55866.24038,0
1000101,1132003040626,19.38,0.20, 6.71627,32.64086,55833.32775,0
1000101,1132003040626,20.05,0.28, 6.71609,32.64037,55833.33170,0
1000101,1132003040626,20.23,0.31, 6.71651,32.64051,55833.33565,0
1000101,1132003040626,19.77,0.24, 6.71629,32.64067,55833.33962,0
1000101,1132003040626,20.74,0.40, 6.71590,32.64052,55852.21264,0
1000101,1132003040626,19.86,0.25, 6.71609,32.64097,55852.21827,0
1000101,1132003040626,19.47,0.20, 6.71626,32.64047,55852.22395,0
1000101,1132003040626,20.19,0.30, 6.71597,32.64053,55852.22960,0
1000101,1132003040626,20.38,0.34, 6.71612,32.64050,55889.24439,0
1000101,1132003040626,20.74,0.41, 6.71591,32.64068,55889.26107,0
1000101,1132003040626,20.01,0.28, 6.71624,32.64045,55889.26949,0
1000101,1132003040626,20.25,0.33, 6.71668,32.64007,56206.30647,0
1000101,1132003040626,19.94,0.27, 6.71617,32.64062,56206.31435,0
1000101,1132003040626,20.38,0.35, 6.71599,32.64057,56206.32794,0
1000101,1132003040626,20.96,0.48, 6.71634,32.64067,56223.15536,0
1000101,1132003040626,20.23,0.32, 6.71593,32.64046,56223.16036,0
1000101,1132003040626,20.04,0.24, 6.71631,32.64075,56237.28189,0
