InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000121,1115003024969,21.16,0.56, 7.35348,15.30756,53677.18135,0
1000121,1115003024969,20.21,0.33, 7.35290,15.30789,53677.19221,0
1000121,1115003024969,20.30,0.34, 7.35194,15.30750,53700.21272,0
1000121,1115003024969,19.67,0.26, 7.35311,15.30750,53648.27023,0
1000121,1115003024969,20.63,0.44, 7.35280,15.30763,53648.27663,0
1000121,1115003024969,20.56,0.39, 7.35277,15.30796,53670.24861,0
1000121,1115003024969,20.59,0.40, 7.35325,15.30738,53670.25338,0
1000121,1115003024969,19.74,0.25, 7.35288,15.30782,53670.25815,0
1000121,1115003024969,20.88,0.51, 7.35301,15.30812,54079.21193,0
1000121,1115003024969,20.81,0.44, 7.35269,15.30749,54095.16496,0
1000121,1115003024969,20.16,0.30, 7.35286,15.30786,54053.18460,0
1000121,1115003024969,20.29,0.32, 7.35265,15.30733,54053.19111,0
1000121,1115003024969,19.92,0.26, 7.35215,15.30776,54053.19761,0
1000121,1115003024969,20.20,0.30, 7.35298,15.30784,54053.20411,0
1000121,1115003024969,21.02,0.48, 7.35235,15.30796,54064.18508,0
1000121,1115003024969,20.24,0.31, 7.35275,15.30794,54064.20143,0
1000121,1115003024969,20.06,0.29, 7.35265,15.30771,54025.39083,0
1000121,1115003024969,20.24,0.32, 7.35294,15.30778,54025.40576,0
1000121,1115003024969,19.94,0.26, 7.35231,15.30772,54030.26805,0
1000121,1115003024969,20.35,0.33, 7.35347,15.30774,53994.31586,0
1000121,1115003024969,20.33,0.33, 7.35286,15.30770,54110.10953,0
1000121,1115003024969,20.26,0.35, 7.35308,15.30757,54275.41774,0
1000121,1115003024969,20.58,0.42, 7.35261,15.30770,54275.42464,0
1000121,1115003024969,20.99,0.53, 7.35281,15.30764,54275.43150,0
1000121,1115003024969,19.76,0.25, 7.35280,15.30758,54405.17618,0
1000121,1115003024969,20.68,0.40, 7.35266,15.30796,54381.27460,0
1000121,1115003024969,19.96,0.27, 7.35325,15.30809,54381.28349,0
1000121,1115003024969,20.24,0.31, 7.35263,15.30748,54387.26143,0
1000121,1115003024969,21.16,0.53, 7.35296,15.30814,54387.27118,0
1000121,1115003024969,20.24,0.31, 7.35307,15.30802,54387.28093,0
1000121,1115003024969,19.83,0.26, 7.35288,15.30800,54355.29737,0
1000121,1115003024969,21.02,0.50, 7.35296,15.30756,54361.40864,0
1000121,1115003024969,20.12,0.30, 7.35354,15.30750,54361.42255,0
1000121,1115003024969,20.24,0.31, 7.35310,15.30745,54822.15507,0
1000121,1115003024969,20.95,0.40, 7.35262,15.30784,54498.10337,0
1000121,1115003024969,21.05,0.50, 7.35255,15.30773,54476.12053,0
1000121,1115003024969,20.86,0.44, 7.35291,15.30775,54800.17278,0
1000121,1115003024969,20.05,0.27, 7.35338,15.30731,54763.24851,0
1000121,1115003024969,20.80,0.42, 7.35275,15.30783,54737.38629,0
1000121,1115003024969,20.27,0.33, 7.35319,15.30784,55061.37285,0
1000121,1115003024969,21.35,0.61, 7.35277,15.30790,55061.37953,0
1000121,1115003024969,20.53,0.37, 7.35254,15.30777,55176.10991,0
1000121,1115003024969,19.87,0.26, 7.35283,15.30730,54833.14635,0
1000121,1115003024969,20.99,0.49, 7.35271,15.30796,55141.11822,0
1000121,1115003024969,20.12,0.30, 7.35279,15.30811,55141.12494,0
1000121,1115003024969,20.52,0.37, 7.35304,15.30780,55158.13247,0
1000121,1115003024969,19.70,0.25, 7.35347,15.30804,55113.33966,0
1000121,1115003024969,20.92,0.40, 7.35293,15.30776,55120.30024,0
1000121,1115003024969,20.32,0.29, 7.35262,15.30793,55096.35837,0
1000121,1115003024969,20.76,0.37, 7.35280,15.30753,55096.36705,0
1000121,1115003024969,19.94,0.28, 7.35296,15.30774,55099.21886,0
1000121,1115003024969,19.75,0.25, 7.35265,15.30789,55539.17567,0
1000121,1115003024969,20.03,0.29, 7.35310,15.30773,55539.19917,0
1000121,1115003024969,20.99,0.48, 7.35316,15.30737,55209.07944,0
1000121,1115003024969,20.48,0.36, 7.35262,15.30743,55209.08633,0
1000121,1115003024969,20.49,0.37, 7.35297,15.30759,55212.12903,0
1000121,1115003024969,19.84,0.26, 7.35291,15.30775,55212.14391,0
1000121,1115003024969,20.71,0.42, 7.35277,15.30796,55511.14486,0
1000121,1115003024969,20.85,0.47, 7.35331,15.30795,55469.28983,0
1000121,1115003024969,20.49,0.49, 7.35254,15.30792,55589.08282,0
1000121,1115003024969,19.11,0.23, 7.35373,15.30767,55589.10189,0
1000121,1115003024969,20.53,0.31, 7.35285,15.30809,55825.26824,0
1000121,1115003024969,20.97,0.40, 7.35309,15.30787,55825.27585,0
1000121,1115003024969,20.30,0.33, 7.35359,15.30744,55831.32163,0
1000121,1115003024969,20.51,0.38, 7.35281,15.30893,55919.07460,0
1000121,1115003024969,21.06,0.52, 7.35319,15.30889,55919.09270,0
1000121,1115003024969,20.12,0.27, 7.35459,15.30799,56186.20554,0
1000121,1115003024969,20.47,0.32, 7.35347,15.30735,56195.37156,0
1000121,1115003024969,20.73,0.44, 7.35291,15.30782,56215.22649,0
1000121,1115003024969,20.30,0.34, 7.35289,15.30765,56222.21538,0
1000121,1115003024969,20.72,0.43, 7.35289,15.30792,56222.22548,0
1000121,1115003024969,20.62,0.34, 7.35261,15.30778,56243.12927,0
1000121,1115003024969,20.66,0.34, 7.35287,15.30800,56243.13535,0
1000121,1115003024969,20.05,0.25, 7.35302,15.30765,56243.14152,0
1000121,1115003024969,19.91,0.24, 7.35248,15.30793,56266.22411,0
1000121,1115003024969,19.32,0.18, 7.35297,15.30704,56266.23156,0
1000121,1115003024969,20.38,0.35, 7.35295,15.30778,56298.10241,0
1000121,1115003024969,20.02,0.29, 7.35274,15.30768,56298.10857,0
1000121,1115003024969,19.84,0.27, 7.35315,15.30784,56298.12091,0
1000121,1115003024969,20.23,0.34, 7.35279,15.30765,56550.36814,0
1000121,1115003024969,20.27,0.35, 7.35268,15.30796,56550.37320,0
1000121,1115003024969,20.04,0.37, 7.35275,15.30770,56566.37507,0
1000121,1115003024969,20.32,0.43, 7.35273,15.30820,56566.37984,0
1000121,1115003024969,20.89,0.60, 7.35284,15.30778,56566.38959,0
1000121,1115003024969,20.15,0.31, 7.35330,15.30778,56574.29491,0
1000121,1115003024969,20.36,0.34, 7.35327,15.30718,56574.31020,0
1000121,1115003024969,20.77,0.44, 7.35415,15.30612,56579.21149,0
1000121,1115003024969,20.67,0.41, 7.35280,15.30837,56587.25414,0
1000121,1115003024969,20.22,0.33, 7.35302,15.30781,56593.17743,0
1000121,1115003024969,20.19,0.32, 7.35299,15.30761,56593.18250,0
1000121,1115003024969,20.95,0.49, 7.35255,15.30784,56593.18754,0
1000121,1115003025222,20.89,0.47, 7.36715,15.32031,53733.07681,0
1000121,1115003025222,20.92,0.48, 7.36682,15.31991,53733.08429,0
1000121,1115003025222,19.44,0.22, 7.36669,15.32018,53733.09177,0
1000121,1115003025222,20.94,0.49, 7.36751,15.32075,53733.09934,0
1000121,1115003025222,21.01,0.52, 7.36702,15.32056,53677.17586,0
1000121,1115003025222,20.18,0.32, 7.36675,15.32058,53677.19221,0
1000121,1115003025222,20.19,0.34, 7.36770,15.32012,53700.18044,0
1000121,1115003025222,20.97,0.50, 7.36699,15.32090,53702.14532,0
1000121,1115003025222,21.06,0.57, 7.36705,15.32033,53648.27663,0
1000121,1115003025222,20.67,0.42, 7.36689,15.32068,53670.25338,0
1000121,1115003025222,19.64,0.23, 7.36696,15.32050,54095.17439,0
1000121,1115003025222,20.14,0.29, 7.36654,15.32032,54053.19111,0
1000121,1115003025222,21.06,0.49, 7.36701,15.32062,54053.19761,0
1000121,1115003025222,20.63,0.39, 7.36679,15.32044,54064.19600,0
1000121,1115003025222,19.68,0.23, 7.36660,15.32033,54064.20143,0
1000121,1115003025222,17.40,0.09, 7.36792,15.32156,54025.39833,0
1000121,1115003025222,17.54,0.10, 7.36652,15.32068,54025.40576,0
1000121,1115003025222,17.65,0.10, 7.36529,15.31997,54025.41323,0
1000121,1115003025222,20.44,0.34, 7.36708,15.32059,53994.30931,0
1000121,1115003025222,20.41,0.34, 7.36695,15.32029,53994.31586,0
1000121,1115003025222,21.02,0.47, 7.36670,15.32012,53994.32881,0
1000121,1115003025222,20.68,0.40, 7.36733,15.32055,54005.26958,0
1000121,1115003025222,20.97,0.47, 7.36743,15.32020,54005.28026,0
1000121,1115003025222,20.26,0.31, 7.36714,15.32078,54005.28559,0
1000121,1115003025222,20.37,0.35, 7.36721,15.32085,54117.15758,0
1000121,1115003025222,20.02,0.31, 7.36658,15.32008,54275.41774,0
1000121,1115003025222,20.99,0.53, 7.36676,15.32037,54275.42464,0
1000121,1115003025222,20.23,0.34, 7.36681,15.32018,54275.43832,0
1000121,1115003025222,17.63,0.10, 7.36662,15.31843,54405.17618,0
1000121,1115003025222,20.69,0.40, 7.36707,15.32084,54381.27460,0
1000121,1115003025222,20.71,0.40, 7.36710,15.32085,54381.29243,0
1000121,1115003025222,21.24,0.55, 7.36750,15.32021,54387.26143,0
1000121,1115003025222,20.21,0.31, 7.36745,15.32066,54355.30491,0
1000121,1115003025222,20.68,0.41, 7.36682,15.32017,54361.40864,0
1000121,1115003025222,20.60,0.40, 7.36696,15.32052,54361.41561,0
1000121,1115003025222,21.15,0.52, 7.36666,15.32044,54822.16839,0
1000121,1115003025222,19.87,0.22, 7.36665,15.32024,54498.09812,0
1000121,1115003025222,19.75,0.21, 7.36675,15.32045,54498.10337,0
1000121,1115003025222,20.64,0.39, 7.36661,15.32030,54476.11457,0
1000121,1115003025222,19.92,0.27, 7.36688,15.32113,54476.12053,0
1000121,1115003025222,20.36,0.34, 7.36628,15.32068,54476.12652,0
1000121,1115003025222,19.54,0.22, 7.36672,15.32107,54800.15325,0
1000121,1115003025222,20.25,0.31, 7.36703,15.32053,54800.17278,0
