InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000141,1132003009347,19.92,0.28, 8.26450,31.41116,53768.12349,0
1000141,1132003009347,19.55,0.76, 8.26488,31.41091,53889.46236,0
1000141,1132003009347,21.14,0.51, 8.26478,31.41095,54382.24793,0
1000141,1132003009347,19.75,0.23, 8.26508,31.41107,54745.25136,0
1000141,1132003009347,20.40,0.35, 8.26346,31.41220,55141.27128,0
1000141,1132003009347,21.33,0.59, 8.26424,31.41105,55122.26418,0
1000141,1132003009347,20.89,0.41, 8.26499,31.41142,55097.36487,0
1000141,1132003009347,20.13,0.24, 8.26453,31.41112,55597.09082,0
1000141,1132003009347,21.17,0.42, 8.26445,31.41078,55597.09827,0
1000141,1132003009347,21.49,0.52, 8.26494,31.41101,55826.28389,0
1000141,1132003009347,21.20,0.54, 8.26405,31.41090,55889.25270,0
1000141,1132003009347,20.87,0.47, 8.26462,31.41044,56206.30647,0
1000141,1132003009347,20.66,0.34, 8.26408,31.41174,56237.28189,0
1000141,1132003009347,20.04,0.28, 8.26482,31.41233,56568.24958,0
1000141,1132003009347,21.17,0.54, 8.26513,31.41117,56593.29168,0
1000141,1132003009538,20.38,0.36, 8.26704,31.41886,53676.26686,0
1000141,1132003009538,21.24,0.57, 8.26657,31.41822,53695.18444,0
1000141,1132003009538,19.59,0.25, 8.26737,31.41858,53657.18750,0
1000141,1132003009538,20.93,0.48, 8.26623,31.41862,53768.11342,0
1000141,1132003009538,19.70,0.25, 8.26702,31.41805,53768.12832,0
1000141,1132003009538,21.09,0.49, 8.26664,31.41842,54010.30797,0
1000141,1132003009538,20.25,0.31, 8.26639,31.41867,54010.32485,0
1000141,1132003009538,20.33,0.31, 8.26707,31.41891,53997.30374,0
1000141,1132003009538,20.81,0.42, 8.26728,31.41873,54382.24022,0
1000141,1132003009538,21.19,0.52, 8.26648,31.41822,54772.22559,0
1000141,1132003009538,21.16,0.50, 8.26683,31.41816,54767.27650,0
