InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000161,1140003040618,20.62,0.42, 9.29656,40.67730,53684.15705,0
1000161,1140003040618,21.12,0.50, 9.29657,40.67786,54389.23523,0
1000161,1140003040618,20.58,0.39, 9.29652,40.67759,55507.26543,0
1000161,1140003041045,18.05,0.11, 9.30572,40.68033,53708.14241,0
1000161,1140003041045,18.08,0.11, 9.30568,40.68028,53708.15213,0
1000161,1140003041045,18.16,0.12, 9.30568,40.68036,53708.16142,0
1000161,1140003041045,18.04,0.11, 9.30571,40.68019,53708.17036,0
1000161,1140003041045,18.10,0.12, 9.30568,40.68030,53714.15467,0
1000161,1140003041045,18.12,0.12, 9.30553,40.68036,53714.16275,0
1000161,1140003041045,18.14,0.12, 9.30562,40.68040,53714.17054,0
1000161,1140003041045,18.31,0.13, 9.30574,40.68043,53714.17816,0
1000161,1140003041045,17.99,0.11, 9.30591,40.68012,53734.14247,0
1000161,1140003041045,18.04,0.11, 9.30583,40.68021,53734.14998,0
1000161,1140003041045,18.11,0.12, 9.30573,40.68036,53734.15750,0
1000161,1140003041045,18.01,0.11, 9.30554,40.68029,53734.16503,0
1000161,1140003041045,17.92,0.11, 9.30570,40.68029,53678.35103,0
1000161,1140003041045,18.11,0.12, 9.30572,40.68027,53678.35608,0
1000161,1140003041045,18.12,0.12, 9.30570,40.68020,53678.36113,0
1000161,1140003041045,17.96,0.11, 9.30569,40.68032,53678.36616,0
1000161,1140003041045,17.78,0.11, 9.30552,40.68035,53684.15705,0
1000161,1140003041045,18.03,0.11, 9.30560,40.68044,53684.16392,0
1000161,1140003041045,17.96,0.11, 9.30572,40.68021,53684.17069,0
1000161,1140003041045,17.94,0.11, 9.30572,40.68026,53684.17750,0
1000161,1140003041045,18.19,0.12, 9.30569,40.68018,53686.21248,0
1000161,1140003041045,18.14,0.12, 9.30568,40.68033,53686.21963,0
1000161,1140003041045,17.83,0.11, 9.30566,40.68047,53686.22678,0
1000161,1140003041045,17.40,0.09, 9.30553,40.68036,53686.23334,0
1000161,1140003041045,17.91,0.11, 9.30582,40.68036,53694.16749,0
1000161,1140003041045,18.05,0.11, 9.30550,40.68045,53694.17727,0
1000161,1140003041045,17.98,0.11, 9.30578,40.68023,53694.18658,0
1000161,1140003041045,18.21,0.12, 9.30575,40.68030,53694.19512,0
1000161,1140003041045,17.96,0.12, 9.30582,40.68042,53657.22160,0
1000161,1140003041045,18.50,0.14, 9.30582,40.68029,53657.22608,0
1000161,1140003041045,17.95,0.12, 9.30579,40.68035,53657.23059,0
1000161,1140003041045,18.28,0.13, 9.30562,40.68043,53657.23515,0
1000161,1140003041045,18.10,0.12, 9.30591,40.68023,53672.21516,0
1000161,1140003041045,18.06,0.11, 9.30573,40.68036,53672.22009,0
1000161,1140003041045,18.05,0.11, 9.30566,40.68029,53672.22494,0
1000161,1140003041045,18.02,0.11, 9.30565,40.68036,53672.22947,0
1000161,1140003041045,18.03,0.12, 9.30565,40.68029,53643.29169,0
1000161,1140003041045,18.05,0.12, 9.30574,40.68020,53643.30065,0
1000161,1140003041045,18.01,0.12, 9.30564,40.68029,53643.30986,0
1000161,1140003041045,18.03,0.12, 9.30592,40.68024,53643.31948,0
1000161,1140003041045,18.33,0.13, 9.30574,40.68028,53744.15685,0
1000161,1140003041045,18.12,0.12, 9.30567,40.68055,53744.16541,0
1000161,1140003041045,17.92,0.12, 9.30584,40.68033,53744.17395,0
1000161,1140003041045,17.74,0.11, 9.30572,40.68040,53744.18249,0
1000161,1140003041045,18.83,0.48, 9.30588,40.68090,53902.46059,0
1000161,1140003041045,18.72,0.45, 9.30590,40.68011,53902.46164,0
1000161,1140003041045,18.94,0.51, 9.30544,40.68030,53902.46369,0
1000161,1140003041045,18.02,0.11, 9.30565,40.68038,54040.18757,0
1000161,1140003041045,18.07,0.11, 9.30552,40.68033,54040.19317,0
1000161,1140003041045,18.14,0.11, 9.30563,40.68029,54040.19877,0
1000161,1140003041045,18.12,0.11, 9.30569,40.68030,54040.20453,0
1000161,1140003041045,18.08,0.11, 9.30582,40.68031,54059.12225,0
1000161,1140003041045,18.12,0.11, 9.30574,40.68034,54059.12723,0
1000161,1140003041045,18.06,0.11, 9.30596,40.68023,54059.13213,0
1000161,1140003041045,18.01,0.11, 9.30582,40.68031,54059.13706,0
1000161,1140003041045,18.01,0.11, 9.30564,40.68036,54452.14366,0
1000161,1140003041045,18.07,0.11, 9.30567,40.68027,54452.15014,0
1000161,1140003041045,17.76,0.10, 9.30584,40.68032,54452.15668,0
1000161,1140003041045,17.93,0.11, 9.30565,40.68020,54452.16317,0
