InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000181,1126004047932,20.18,0.31,10.35939,27.29138,53708.22074,0
1000181,1126004047932,19.63,0.23,10.35912,27.29131,53728.08255,0
1000181,1126004047932,20.31,0.33,10.35963,27.29168,53735.12297,0
1000181,1126004047932,20.25,0.33,10.35937,27.29159,53561.43538,0
1000181,1126004047932,20.22,0.32,10.35916,27.29090,53561.45734,0
1000181,1126004047932,20.59,0.39,10.35940,27.29171,53678.32513,0
1000181,1126004047932,20.14,0.31,10.35917,27.29174,53678.33048,0
1000181,1126004047932,20.14,0.30,10.35964,27.29185,53695.16766,0
1000181,1126004047932,21.21,0.55,10.35939,27.29147,53695.17420,0
1000181,1126004047932,20.28,0.33,10.35939,27.29163,53695.18073,0
1000181,1126004047932,20.38,0.34,10.35914,27.29144,53702.18558,0
1000181,1126004047932,20.71,0.45,10.35988,27.29235,53656.33382,0
1000181,1126004047932,19.90,0.27,10.35911,27.29177,53672.23634,0
1000181,1126004047932,20.25,0.32,10.35954,27.29152,53672.24580,0
1000181,1126004047932,20.07,0.29,10.35980,27.29201,53672.26487,0
1000181,1126004047932,20.67,0.43,10.35961,27.29195,53639.34381,0
1000181,1126004047932,20.17,0.33,10.35977,27.29179,53642.27654,0
1000181,1126004047932,21.13,0.57,10.35937,27.29129,53642.28528,0
1000181,1126004047932,20.17,0.33,10.35984,27.29139,53642.29393,0
1000181,1126004047932,21.10,0.48,10.35968,27.29175,54054.16062,0
1000181,1126004047932,20.13,0.28,10.35983,27.29157,54054.17364,0
1000181,1126004047932,20.42,0.33,10.35949,27.29157,54061.17153,0
1000181,1126004047932,20.42,0.33,10.35943,27.29202,54061.19076,0
1000181,1126004047932,20.51,0.35,10.35943,27.29167,54061.20036,0
1000181,1126004047932,20.45,0.33,10.35975,27.29139,54027.22107,0
1000181,1126004047932,20.41,0.33,10.35965,27.29178,54027.23934,0
1000181,1126004047932,19.73,0.23,10.35961,27.29163,54027.24851,0
1000181,1126004047932,19.99,0.26,10.35935,27.29137,54035.22837,0
1000181,1126004047932,20.12,0.28,10.35965,27.29133,54035.24784,0
1000181,1126004047932,20.09,0.27,10.35969,27.29131,53995.41518,0
1000181,1126004047932,20.27,0.30,10.35941,27.29140,53995.42701,0
1000181,1126004047932,19.81,0.24,10.35959,27.29155,53995.43880,0
1000181,1126004047932,20.09,0.28,10.35961,27.29173,53995.45066,0
