InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000221,1104005049049,19.28,0.20,12.30151, 5.39606,53727.09517,0
1000221,1104005049049,20.57,0.40,12.30108, 5.39596,53727.09994,0
1000221,1104005049049,19.45,0.22,12.30119, 5.39577,53727.10474,0
1000221,1104005049049,19.43,0.22,12.30107, 5.39611,53727.10952,0
1000221,1104005049049,19.16,0.20,12.30107, 5.39592,53563.43722,0
1000221,1104005049049,19.46,0.23,12.30145, 5.39592,53563.44318,0
1000221,1104005049049,19.57,0.24,12.30111, 5.39586,53563.44919,0
1000221,1104005049049,19.64,0.25,12.30112, 5.39594,53563.45514,0
1000221,1104005049049,19.80,0.26,12.30108, 5.39608,53703.09502,0
1000221,1104005049049,18.96,0.17,12.30136, 5.39601,53703.10160,0
1000221,1104005049049,18.81,0.16,12.30124, 5.39595,53703.10810,0
1000221,1104005049049,19.01,0.17,12.30140, 5.39565,53703.11455,0
1000221,1104005049049,19.50,0.24,12.30117, 5.39598,53650.27813,0
1000221,1104005049049,19.22,0.21,12.30141, 5.39604,53650.28514,0
1000221,1104005049049,19.29,0.21,12.30103, 5.39569,53650.29215,0
1000221,1104005049049,18.95,0.18,12.30114, 5.39597,53650.29916,0
1000221,1104005049049,19.52,0.24,12.30136, 5.39613,53671.22084,0
1000221,1104005049049,19.28,0.21,12.30098, 5.39596,53671.22583,0
1000221,1104005049049,19.14,0.19,12.30115, 5.39586,53671.23060,0
1000221,1104005049049,18.99,0.18,12.30083, 5.39625,53671.23537,0
1000221,1104005049049,19.14,0.19,12.30147, 5.39597,53628.26804,0
1000221,1104005049049,17.99,0.12,12.30093, 5.39575,53628.27604,0
1000221,1104005049049,19.74,0.26,12.30154, 5.39618,53636.30471,0
1000221,1104005049049,19.48,0.23,12.30099, 5.39570,53636.31595,0
1000221,1104005049049,20.67,0.43,12.30102, 5.39568,53636.32719,0
1000221,1104005049049,19.04,0.18,12.30109, 5.39577,53636.33847,0
1000221,1104005049049,19.41,0.20,12.30121, 5.39600,53975.37233,0
1000221,1104005049049,19.51,0.21,12.30106, 5.39589,53975.38039,0
1000221,1104005049049,19.72,0.23,12.30134, 5.39596,53975.38844,0
1000221,1104005049049,19.56,0.21,12.30108, 5.39597,53975.39652,0
1000221,1104005049049,19.48,0.21,12.30086, 5.39610,54080.21817,0
1000221,1104005049049,19.65,0.23,12.30105, 5.39583,54080.23833,0
1000221,1104005049049,18.96,0.16,12.30108, 5.39601,54094.08430,0
1000221,1104005049049,19.43,0.20,12.30136, 5.39598,54094.09352,0
1000221,1104005049049,19.17,0.18,12.30122, 5.39555,54094.10264,0
1000221,1104005049049,19.95,0.26,12.30120, 5.39602,54094.11183,0
1000221,1104005049049,19.60,0.24,12.30122, 5.39611,53767.08558,0
1000221,1104005049049,19.25,0.20,12.30118, 5.39622,53767.08980,0
1000221,1104005049049,19.88,0.27,12.30145, 5.39563,53767.09402,0
1000221,1104005049049,20.31,0.35,12.30127, 5.39593,53767.09826,0
1000221,1104005049049,19.74,0.25,12.30092, 5.39572,53756.10615,0
