InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000241,1126005044149,18.08,0.12,12.94525,27.12734,53708.21184,0
1000241,1126005044149,17.89,0.11,12.94535,27.12718,53708.21764,0
1000241,1126005044149,18.07,0.12,12.94508,27.12712,53708.22342,0
1000241,1126005044149,17.99,0.11,12.94505,27.12705,53708.22919,0
1000241,1126005044149,17.94,0.11,12.94501,27.12734,53728.07568,0
1000241,1126005044149,17.92,0.11,12.94524,27.12714,53728.08309,0
1000241,1126005044149,17.94,0.11,12.94527,27.12727,53728.09047,0
1000241,1126005044149,18.01,0.12,12.94507,27.12719,53728.09785,0
1000241,1126005044149,17.85,0.11,12.94521,27.12714,53735.15125,0
1000241,1126005044149,17.80,0.11,12.94504,27.12715,53735.15768,0
1000241,1126005044149,18.21,0.13,12.94549,27.12736,53735.16408,0
1000241,1126005044149,17.98,0.11,12.94522,27.12731,53735.17055,0
1000241,1126005044149,18.00,0.11,12.94507,27.12720,53561.43593,0
1000241,1126005044149,17.90,0.11,12.94508,27.12725,53561.44327,0
1000241,1126005044149,18.01,0.11,12.94514,27.12730,53561.45058,0
1000241,1126005044149,17.76,0.11,12.94517,27.12725,53561.45789,0
1000241,1126005044149,17.95,0.11,12.94530,27.12715,53678.32670,0
1000241,1126005044149,18.03,0.12,12.94530,27.12731,53678.33207,0
1000241,1126005044149,17.92,0.11,12.94517,27.12704,53678.33745,0
1000241,1126005044149,17.99,0.11,12.94525,27.12713,53678.34282,0
1000241,1126005044149,17.68,0.10,12.94531,27.12722,53695.16165,0
1000241,1126005044149,17.71,0.10,12.94528,27.12713,53695.16820,0
1000241,1126005044149,17.84,0.11,12.94535,27.12721,53695.17475,0
1000241,1126005044149,18.04,0.11,12.94520,27.12724,53695.18127,0
1000241,1126005044149,17.67,0.10,12.94515,27.12720,53702.17420,0
1000241,1126005044149,17.99,0.11,12.94494,27.12722,53702.18018,0
1000241,1126005044149,18.05,0.12,12.94539,27.12723,53702.18612,0
1000241,1126005044149,18.09,0.12,12.94535,27.12728,53702.19205,0
1000241,1126005044149,17.84,0.11,12.94528,27.12732,53652.26473,0
1000241,1126005044149,17.72,0.11,12.94509,27.12717,53656.32871,0
1000241,1126005044149,17.98,0.12,12.94530,27.12732,53656.33437,0
1000241,1126005044149,18.14,0.13,12.94513,27.12704,53656.34002,0
1000241,1126005044149,17.83,0.11,12.94531,27.12726,53656.34570,0
1000241,1126005044149,17.83,0.11,12.94520,27.12716,53672.23688,0
1000241,1126005044149,17.92,0.11,12.94518,27.12712,53672.24634,0
1000241,1126005044149,18.07,0.12,12.94504,27.12719,53672.25585,0
1000241,1126005044149,17.97,0.11,12.94504,27.12719,53672.26548,0
1000241,1126005044149,17.98,0.12,12.94518,27.12717,53642.26844,0
1000241,1126005044149,17.97,0.12,12.94515,27.12725,53642.27709,0
1000241,1126005044149,18.03,0.12,12.94525,27.12719,53642.28582,0
1000241,1126005044149,17.96,0.12,12.94525,27.12719,53642.29448,0
1000241,1126005044149,17.89,0.12,12.94531,27.12713,54085.07642,0
1000241,1126005044149,18.09,0.12,12.94528,27.12720,54085.08473,0
1000241,1126005044149,17.93,0.12,12.94521,27.12730,54085.09295,0
1000241,1126005044149,18.02,0.12,12.94520,27.12729,54085.10119,0
1000241,1126005044149,17.96,0.30,12.94513,27.12783,53903.43111,0
1000241,1126005044149,18.00,0.11,12.94524,27.12718,54054.18553,0
1000241,1126005044149,17.96,0.11,12.94513,27.12722,54054.19207,0
1000241,1126005044149,17.93,0.11,12.94514,27.12716,54054.19859,0
1000241,1126005044149,17.92,0.10,12.94517,27.12719,54054.20514,0
1000241,1126005044149,18.00,0.11,12.94516,27.12719,54061.21159,0
1000241,1126005044149,18.06,0.11,12.94528,27.12719,54061.22026,0
1000241,1126005044149,18.04,0.11,12.94529,27.12723,54061.22890,0
1000241,1126005044149,17.89,0.10,12.94505,27.12712,54061.23753,0
1000241,1126005044149,17.74,0.10,12.94521,27.12717,54027.22373,0
1000241,1126005044149,18.01,0.11,12.94521,27.12712,54027.23285,0
1000241,1126005044149,17.93,0.11,12.94520,27.12707,54027.24199,0
1000241,1126005044149,17.97,0.11,12.94511,27.12706,54027.25117,0
1000241,1126005044149,18.03,0.11,12.94515,27.12716,54035.22999,0
1000241,1126005044149,17.90,0.10,12.94513,27.12706,54035.23647,0
1000241,1126005044149,17.98,0.11,12.94515,27.12723,54035.24297,0
1000241,1126005044149,18.01,0.11,12.94518,27.12717,54035.24946,0
1000241,1126005044149,18.05,0.11,12.94520,27.12714,53995.41678,0
1000241,1126005044149,17.99,0.11,12.94520,27.12709,53995.42861,0
1000241,1126005044149,17.95,0.11,12.94503,27.12716,53995.44041,0
1000241,1126005044149,17.84,0.10,12.94526,27.12719,53995.45228,0
1000241,1126005044149,18.00,0.11,12.94524,27.12727,54006.31350,0
1000241,1126005044149,17.96,0.11,12.94528,27.12725,54006.32055,0
1000241,1126005044149,17.99,0.11,12.94540,27.12730,54006.32766,0
1000241,1126005044149,17.80,0.10,12.94510,27.12725,54006.33476,0
1000241,1126005044149,18.06,0.11,12.94542,27.12715,54119.08061,0
1000241,1126005044149,17.93,0.11,12.94508,27.12696,54119.08659,0
