InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000261,1018005035422,20.02,0.29,13.94699,-17.74011,53705.17027,0
1000261,1018005035422,20.52,0.38,13.94765,-17.74031,53705.17830,0
1000261,1018005035422,19.46,0.22,13.94743,-17.74029,53705.18635,0
1000261,1018005035422,19.39,0.21,13.94748,-17.74061,53705.19440,0
1000261,1018005035422,20.21,0.32,13.94738,-17.74035,53712.09154,0
1000261,1018005035422,20.60,0.39,13.94699,-17.73981,53680.19061,0
1000261,1018005035422,20.17,0.31,13.94752,-17.73965,53680.19714,0
1000261,1018005035422,19.84,0.26,13.94765,-17.74022,53680.21024,0
1000261,1018005035422,20.36,0.37,13.94766,-17.74004,53648.30575,0
1000261,1018005035422,20.27,0.33,13.94721,-17.73974,53673.22259,0
1000261,1018005035422,19.79,0.26,13.94769,-17.74046,53673.22857,0
1000261,1018005035422,19.64,0.24,13.94734,-17.74033,53673.23460,0
1000261,1018005035422,20.74,0.40,13.94761,-17.73996,54093.14251,0
1000261,1018005035422,20.32,0.32,13.94751,-17.74002,54057.22159,0
1000261,1018005035422,19.71,0.23,13.94717,-17.73982,54057.22808,0
1000261,1018005035422,20.76,0.41,13.94730,-17.73968,54066.19310,0
1000261,1018005035422,19.58,0.21,13.94738,-17.74019,54039.21186,0
1000261,1018005035422,20.12,0.28,13.94916,-17.73954,54039.22479,0
1000261,1018005035422,20.48,0.35,13.94724,-17.74018,54000.37592,0
1000261,1018005035422,19.83,0.25,13.94746,-17.74036,54000.38178,0
1000261,1018005035422,19.86,0.25,13.94742,-17.73997,54000.38764,0
1000261,1018005035422,21.04,0.47,13.94539,-17.74067,54005.29874,0
1000261,1018005035422,20.34,0.32,13.94790,-17.73991,54005.29874,1
1000261,1018005035422,20.49,0.35,13.94721,-17.74005,54005.30515,0
1000261,1018005035422,19.85,0.25,13.94757,-17.74001,54005.31158,0
1000261,1018005035422,20.19,0.30,13.94716,-17.74021,54005.31803,0
1000261,1018005035422,19.62,0.22,13.94706,-17.74024,54409.23390,0
1000261,1018005035422,19.78,0.24,13.94734,-17.73993,54409.24587,0
1000261,1018005035422,19.76,0.24,13.94730,-17.73993,54385.23324,0
1000261,1018005035422,20.38,0.33,13.94775,-17.74016,54385.24073,0
1000261,1018005035422,20.18,0.30,13.94761,-17.74005,54385.24823,0
1000261,1018005035422,20.15,0.29,13.94751,-17.73997,54385.25568,0
1000261,1018005035422,20.08,0.29,13.94773,-17.74015,54357.37577,0
1000261,1018005035422,20.26,0.32,13.94735,-17.74017,54357.38110,0
1000261,1018005035422,19.86,0.26,13.94765,-17.74028,54357.38644,0
1000261,1018005035422,21.02,0.49,13.94777,-17.74004,54357.39182,0
1000261,1018005035422,19.39,0.20,13.94774,-17.73993,54794.15851,0
1000261,1018005035422,19.23,0.18,13.94753,-17.74031,54794.16454,0
1000261,1018005035422,19.22,0.18,13.94738,-17.73941,54794.17967,0
1000261,1018005035422,20.70,0.44,13.94734,-17.74013,54834.09096,0
1000261,1018005035422,20.09,0.29,13.94801,-17.74026,55145.19866,0
1000261,1018005035422,19.86,0.26,13.94769,-17.74034,55145.22383,0
1000261,1018005035422,19.41,0.21,13.94771,-17.74006,55152.22888,0
1000261,1018005035422,20.05,0.29,13.94776,-17.74018,55152.23552,0
1000261,1018005035422,19.59,0.22,13.94760,-17.74039,55119.25491,0
1000261,1018005035422,20.04,0.28,13.94732,-17.73961,55119.26342,0
1000261,1018005035422,19.63,0.23,13.94732,-17.74025,55091.34520,0
1000261,1018005035422,19.93,0.27,13.94773,-17.74026,55091.35216,0
1000261,1018005035422,19.68,0.24,13.94753,-17.74030,55099.36092,0
1000261,1018005035422,20.50,0.37,13.94705,-17.74025,55099.36765,0
1000261,1018005035422,19.32,0.22,13.94696,-17.74048,55543.10384,0
1000261,1018005035422,20.94,0.47,13.94748,-17.73996,55502.25932,0
