InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000301,1018006027396,18.93,0.17,16.21657,-18.10494,53705.17080,0
1000301,1018006027396,19.09,0.18,16.21618,-18.10516,53705.17884,0
1000301,1018006027396,19.00,0.17,16.21629,-18.10503,53705.18689,0
1000301,1018006027396,18.91,0.17,16.21635,-18.10517,53705.19493,0
1000301,1018006027396,19.15,0.18,16.21640,-18.10469,53712.09101,0
1000301,1018006027396,18.91,0.17,16.21639,-18.10473,53712.09631,0
1000301,1018006027396,18.86,0.16,16.21624,-18.10509,53712.10163,0
1000301,1018006027396,18.89,0.16,16.21607,-18.10494,53712.10695,0
1000301,1018006027396,18.88,0.16,16.21630,-18.10514,53680.19008,0
1000301,1018006027396,18.69,0.15,16.21649,-18.10503,53680.19661,0
1000301,1018006027396,19.17,0.19,16.21632,-18.10512,53680.20316,0
1000301,1018006027396,18.68,0.15,16.21605,-18.10526,53680.20971,0
1000301,1018006027396,18.86,0.16,16.21625,-18.10512,53673.22205,0
1000301,1018006027396,18.87,0.16,16.21638,-18.10522,53673.22804,0
1000301,1018006027396,18.56,0.14,16.21646,-18.10512,53673.23406,0
1000301,1018006027396,18.83,0.16,16.21628,-18.10498,53673.24005,0
1000301,1018006027396,18.76,0.15,16.21626,-18.10517,54093.12269,0
1000301,1018006027396,18.66,0.14,16.21633,-18.10487,54093.12908,0
1000301,1018006027396,18.85,0.15,16.21642,-18.10489,54093.13555,0
1000301,1018006027396,18.70,0.14,16.21616,-18.10526,54093.14198,0
1000301,1018006027396,19.21,0.18,16.21651,-18.10518,54057.20908,0
1000301,1018006027396,18.81,0.15,16.21630,-18.10494,54057.21560,0
1000301,1018006027396,19.02,0.17,16.21628,-18.10487,54057.22863,0
1000301,1018006027396,18.80,0.15,16.21642,-18.10485,54058.18433,0
1000301,1018006027396,19.39,0.20,16.21627,-18.10521,54058.19085,0
1000301,1018006027396,19.15,0.17,16.21632,-18.10528,54058.19742,0
1000301,1018006027396,18.77,0.15,16.21658,-18.10501,54058.20393,0
1000301,1018006027396,19.06,0.17,16.21604,-18.10495,54066.16182,0
1000301,1018006027396,18.83,0.16,16.21630,-18.10501,54066.17181,0
1000301,1018006027396,18.80,0.15,16.21610,-18.10511,54066.19365,0
1000301,1018006027396,19.10,0.17,16.21649,-18.10485,54066.21129,0
1000301,1018006027396,18.41,0.13,16.21632,-18.10505,54039.20485,0
1000301,1018006027396,18.61,0.14,16.21637,-18.10504,54039.21133,0
1000301,1018006027396,19.22,0.18,16.21646,-18.10520,54039.21780,0
1000301,1018006027396,18.84,0.15,16.21629,-18.10521,54039.22426,0
1000301,1018006027396,18.91,0.16,16.21620,-18.10520,54000.37058,0
1000301,1018006027396,18.95,0.16,16.21637,-18.10496,54000.37646,0
1000301,1018006027396,18.97,0.16,16.21628,-18.10519,54000.38231,0
1000301,1018006027396,19.22,0.18,16.21664,-18.10504,54000.38816,0
1000301,1018006027396,19.15,0.18,16.21629,-18.10487,54005.29928,0
1000301,1018006027396,18.95,0.16,16.21628,-18.10498,54005.30568,0
1000301,1018006027396,19.09,0.17,16.21634,-18.10507,54005.31212,0
1000301,1018006027396,18.95,0.16,16.21626,-18.10487,54005.31857,0
1000301,1018006027396,19.11,0.18,16.21604,-18.10473,54409.23443,0
1000301,1018006027396,19.00,0.17,16.21631,-18.10498,54409.24042,0
1000301,1018006027396,18.84,0.16,16.21610,-18.10493,54409.24641,0
1000301,1018006027396,18.60,0.14,16.21607,-18.10493,54409.25239,0
1000301,1018006027396,18.61,0.14,16.21647,-18.10496,54385.26386,0
1000301,1018006027396,18.84,0.15,16.21656,-18.10475,54385.27122,0
1000301,1018006027396,18.88,0.16,16.21627,-18.10498,54385.27859,0
1000301,1018006027396,18.78,0.15,16.21609,-18.10493,54385.28600,0
1000301,1018006027396,19.05,0.17,16.21657,-18.10484,54357.37631,0
1000301,1018006027396,18.79,0.16,16.21627,-18.10476,54357.38163,0
1000301,1018006027396,18.94,0.17,16.21638,-18.10471,54357.38698,0
1000301,1018006027396,18.91,0.16,16.21630,-18.10487,54357.39236,0
1000301,1018006027396,18.95,0.18,16.21636,-18.10484,54794.20287,0
1000301,1018006027396,18.84,0.17,16.21620,-18.10510,54794.20825,0
1000301,1018006027396,19.09,0.19,16.21624,-18.10505,54794.21364,0
1000301,1018006027396,18.63,0.16,16.21645,-18.10488,54794.21900,0
1000301,1018006027396,18.49,0.14,16.21625,-18.10515,55145.19927,0
1000301,1018006027396,18.58,0.15,16.21606,-18.10518,55145.20867,0
1000301,1018006027396,18.86,0.16,16.21632,-18.10489,55145.22444,0
1000301,1018006027396,18.79,0.16,16.21619,-18.10513,55145.23114,0
1000301,1018006027396,18.82,0.16,16.21615,-18.10519,55152.22287,0
1000301,1018006027396,19.32,0.20,16.21618,-18.10475,55152.22948,0
1000301,1018006027396,19.04,0.17,16.21656,-18.10438,55152.23614,0
1000301,1018006027396,18.69,0.15,16.21623,-18.10491,55152.24281,0
1000301,1018006027396,18.41,0.13,16.21609,-18.10531,55160.19398,0
1000301,1018006027396,18.32,0.13,16.21594,-18.10531,55160.20182,0
1000301,1018006027396,18.89,0.16,16.21639,-18.10492,55160.20969,0
1000301,1018006027396,19.05,0.17,16.21621,-18.10458,55160.21749,0
1000301,1018006027396,18.21,0.12,16.21625,-18.10517,55122.28062,0
1000301,1018006027396,18.89,0.16,16.21639,-18.10474,55122.28803,0
1000301,1018006027396,18.94,0.17,16.21622,-18.10511,55122.29530,0
1000301,1018006027396,18.72,0.15,16.21645,-18.10523,55122.30262,0
1000301,1018006027396,19.26,0.20,16.21657,-18.10495,55133.27234,0
1000301,1018006027396,19.06,0.18,16.21607,-18.10490,55133.27713,0
1000301,1018006027396,19.00,0.17,16.21658,-18.10499,55091.34580,0
1000301,1018006027396,19.08,0.18,16.21622,-18.10501,55091.35276,0
1000301,1018006027396,18.70,0.15,16.21634,-18.10504,55091.35976,0
1000301,1018006027396,19.11,0.18,16.21642,-18.10507,55091.36676,0
1000301,1018006027396,18.82,0.16,16.21637,-18.10484,55099.35476,0
1000301,1018006027396,19.03,0.17,16.21626,-18.10502,55099.36153,0
1000301,1018006027396,19.23,0.19,16.21610,-18.10497,55099.36827,0
1000301,1018006027396,18.43,0.13,16.21638,-18.10481,55099.37507,0
1000301,1018006027396,19.08,0.20,16.21635,-18.10484,55543.08879,0
1000301,1018006027396,18.83,0.18,16.21633,-18.10493,55543.10082,0
1000301,1018006027396,19.48,0.24,16.21589,-18.10486,55543.10689,0
1000301,1018006027396,18.88,0.16,16.21622,-18.10481,55502.25989,0
1000301,1018006027396,18.82,0.16,16.21625,-18.10498,55502.27486,0
