InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000341,1018007037316,19.04,0.18,17.75592,-17.45398,53705.17133,0
1000341,1018007037316,19.70,0.25,17.75592,-17.45366,53705.17938,0
1000341,1018007037316,19.22,0.19,17.75622,-17.45334,53705.18742,0
1000341,1018007037316,19.49,0.22,17.75580,-17.45365,53705.19546,0
1000341,1018007037316,19.20,0.19,17.75572,-17.45356,53711.17863,0
1000341,1018007037316,19.25,0.19,17.75584,-17.45343,53711.18668,0
1000341,1018007037316,19.69,0.24,17.75592,-17.45341,53711.19472,0
1000341,1018007037316,19.21,0.19,17.75565,-17.45331,53711.20275,0
1000341,1018007037316,18.94,0.17,17.75574,-17.45392,53680.18954,0
1000341,1018007037316,19.60,0.23,17.75614,-17.45324,53680.19609,0
1000341,1018007037316,19.27,0.20,17.75568,-17.45341,53680.20263,0
1000341,1018007037316,19.87,0.27,17.75563,-17.45340,53680.20918,0
1000341,1018007037316,19.49,0.22,17.75557,-17.45358,53673.22152,0
1000341,1018007037316,19.08,0.18,17.75587,-17.45357,53673.22751,0
1000341,1018007037316,19.53,0.23,17.75567,-17.45351,53673.23353,0
1000341,1018007037316,19.43,0.21,17.75553,-17.45340,53673.23952,0
1000341,1018007037316,19.32,0.19,17.75564,-17.45295,54093.15801,0
1000341,1018007037316,19.74,0.24,17.75585,-17.45336,54093.16443,0
1000341,1018007037316,19.12,0.18,17.75586,-17.45308,54093.17085,0
1000341,1018007037316,20.36,0.32,17.75617,-17.45347,54040.21083,0
1000341,1018007037316,19.70,0.23,17.75641,-17.45307,54040.21654,0
1000341,1018007037316,19.48,0.21,17.75587,-17.45302,54057.21614,0
1000341,1018007037316,19.20,0.18,17.75568,-17.45356,54057.22265,0
1000341,1018007037316,19.07,0.17,17.75575,-17.45356,54057.22918,0
1000341,1018007037316,19.45,0.20,17.75567,-17.45364,54058.18486,0
1000341,1018007037316,19.65,0.22,17.75561,-17.45341,54058.19139,0
1000341,1018007037316,19.36,0.19,17.75593,-17.45344,54058.19795,0
1000341,1018007037316,19.08,0.17,17.75579,-17.45361,54058.20447,0
1000341,1018007037316,20.01,0.27,17.75525,-17.45311,54039.23643,0
1000341,1018007037316,19.16,0.18,17.75533,-17.45270,54000.37112,0
1000341,1018007037316,19.35,0.19,17.75600,-17.45349,54000.37699,0
1000341,1018007037316,19.02,0.17,17.75609,-17.45350,54000.38285,0
1000341,1018007037316,19.58,0.22,17.75594,-17.45333,54000.38869,0
1000341,1018007037316,19.04,0.17,17.75618,-17.45368,54005.33865,0
1000341,1018007037316,19.13,0.18,17.75590,-17.45350,54005.34730,0
1000341,1018007037316,19.17,0.18,17.75592,-17.45353,54005.35596,0
1000341,1018007037316,19.56,0.22,17.75618,-17.45391,54005.36463,0
1000341,1018007037316,19.61,0.22,17.75581,-17.45298,54409.23497,0
1000341,1018007037316,19.63,0.23,17.75599,-17.45310,54409.24096,0
1000341,1018007037316,20.21,0.31,17.75548,-17.45318,54409.24695,0
1000341,1018007037316,19.55,0.22,17.75599,-17.45312,54409.25293,0
1000341,1018007037316,19.24,0.19,17.75603,-17.45381,54385.26440,0
1000341,1018007037316,19.44,0.20,17.75586,-17.45348,54385.27177,0
1000341,1018007037316,18.88,0.16,17.75570,-17.45330,54385.27914,0
1000341,1018007037316,19.42,0.20,17.75594,-17.45358,54385.28653,0
1000341,1018007037316,19.14,0.18,17.75595,-17.45301,54357.37685,0
1000341,1018007037316,19.27,0.20,17.75553,-17.45321,54357.38217,0
1000341,1018007037316,19.33,0.20,17.75584,-17.45323,54357.38754,0
1000341,1018007037316,19.15,0.18,17.75573,-17.45347,54357.39291,0
1000341,1018007037316,18.71,0.16,17.75594,-17.45359,54794.20341,0
1000341,1018007037316,19.42,0.23,17.75573,-17.45330,54794.21410,0
1000341,1018007037316,19.54,0.24,17.75598,-17.45348,54794.21953,0
1000341,1018007037316,18.70,0.14,17.75605,-17.45301,54748.28135,0
1000341,1018007037316,19.05,0.17,17.75705,-17.45367,54748.28930,0
1000341,1018007037316,19.06,0.17,17.75612,-17.45288,54748.29716,0
1000341,1018007037316,19.06,0.17,17.75627,-17.45364,54748.30511,0
1000341,1018007037316,19.09,0.17,17.75591,-17.45338,54766.22642,0
1000341,1018007037316,19.27,0.19,17.75603,-17.45324,54766.23426,0
1000341,1018007037316,19.67,0.23,17.75556,-17.45321,54766.24216,0
1000341,1018007037316,19.41,0.20,17.75586,-17.45362,54766.25001,0
1000341,1018007037316,20.26,0.33,17.75612,-17.45308,55145.19988,0
1000341,1018007037316,19.84,0.27,17.75612,-17.45361,55145.20928,0
1000341,1018007037316,19.44,0.21,17.75541,-17.45352,55145.22505,0
1000341,1018007037316,19.41,0.21,17.75595,-17.45327,55145.23175,0
1000341,1018007037316,19.47,0.21,17.75571,-17.45331,55152.22705,0
1000341,1018007037316,18.98,0.17,17.75621,-17.45374,55152.23369,0
1000341,1018007037316,19.29,0.19,17.75630,-17.45357,55152.24039,0
1000341,1018007037316,19.32,0.20,17.75586,-17.45371,55152.24701,0
1000341,1018007037316,19.15,0.18,17.75522,-17.45314,55160.19459,0
