InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000361,1126007022125,20.59,0.40,18.71787,26.40422,53708.18892,0
1000361,1126007022125,21.02,0.53,18.71720,26.40406,53708.20278,0
1000361,1126007022125,20.29,0.34,18.71736,26.40423,53729.20055,0
1000361,1126007022125,20.97,0.50,18.71781,26.40400,53735.15233,0
1000361,1126007022125,21.01,0.52,18.71746,26.40389,53735.17163,0
1000361,1126007022125,19.87,0.28,18.71760,26.40376,53678.33851,0
1000361,1126007022125,19.71,0.26,18.71737,26.40361,53678.34389,0
1000361,1126007022125,19.94,0.29,18.71735,26.40439,53696.23218,0
1000361,1126007022125,19.75,0.27,18.71803,26.40387,53696.24611,0
1000361,1126007022125,20.31,0.35,18.71778,26.40381,53702.22915,0
1000361,1126007022125,20.65,0.45,18.71751,26.40411,53656.33545,0
1000361,1126007022125,20.38,0.36,18.71731,26.40364,53672.27770,0
1000361,1126007022125,19.71,0.25,18.71784,26.40376,53672.28361,0
1000361,1126007022125,20.06,0.31,18.71748,26.40388,53761.07971,0
1000361,1126007022125,19.84,0.25,18.71758,26.40405,54054.20622,0
1000361,1126007022125,19.32,0.20,18.71739,26.40371,54061.21052,0
1000361,1126007022125,20.75,0.42,18.71703,26.40370,54061.21919,0
1000361,1126007022125,19.02,0.17,18.71704,26.40358,54061.23645,0
1000361,1126007022125,19.65,0.23,18.71779,26.40395,54027.25982,0
1000361,1126007022125,20.00,0.27,18.71702,26.40380,54027.26839,0
1000361,1126007022125,20.72,0.40,18.71748,26.40381,54027.27699,0
1000361,1126007022125,20.59,0.38,18.71765,26.40384,54035.24024,0
1000361,1126007022125,20.36,0.33,18.71760,26.40416,54035.25324,0
1000361,1126007022125,19.63,0.23,18.71787,26.40391,53995.41998,0
1000361,1126007022125,19.06,0.17,18.71659,26.40452,53995.44361,0
1000361,1126007022125,20.19,0.30,18.71795,26.40423,53995.45551,0
1000361,1126007022125,19.89,0.26,18.71782,26.40356,54006.35059,0
1000361,1126007022125,19.63,0.23,18.71769,26.40378,54006.35791,0
