InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000381,1121007034287,20.56,0.40,19.48142,21.24390,53644.33625,0
1000381,1121007034287,21.11,0.49,19.48003,21.24487,54094.19050,0
1000381,1121007034287,21.01,0.49,19.48265,21.24331,53740.08321,0
1000381,1121007034287,17.92,0.11,19.48034,21.24536,53759.13949,0
1000381,1121007034287,17.89,0.11,19.48201,21.24557,53759.14628,0
1000381,1121007034287,21.20,0.51,19.48130,21.24441,54054.20193,0
1000381,1121007034287,21.06,0.47,19.48104,21.24372,54027.27592,0
1000381,1121007034287,21.17,0.50,19.48146,21.24318,53994.41970,0
1000381,1121007034287,20.56,0.36,19.48124,21.24350,54006.30347,0
1000381,1121007034287,21.09,0.50,19.48215,21.24385,54405.25419,0
1000381,1121007034287,20.90,0.43,19.48198,21.24402,54381.31265,0
1000381,1121007034287,21.24,0.54,19.48065,21.24218,54355.32170,0
1000381,1121007034287,21.28,0.55,19.48176,21.24418,54361.40438,0
1000381,1121007034287,20.77,0.52,19.48342,21.24333,54361.41134,0
1000381,1121007034287,20.48,0.32,19.48177,21.24367,54802.19996,0
1000381,1121007034287,20.49,0.34,19.48158,21.24325,54821.17701,0
1000381,1121007034287,21.13,0.50,19.48132,21.24404,54772.25992,0
1000381,1121007034287,19.88,0.25,19.48165,21.24414,54787.22989,0
1000381,1121007034287,20.53,0.36,19.48144,21.24457,54731.48243,0
1000381,1121007034287,21.08,0.36,19.48117,21.24407,55120.33630,0
1000381,1121007034287,20.18,0.23,19.48154,21.24433,55120.35641,0
1000381,1121007034287,20.46,0.55,19.48190,21.24376,55243.10226,0
1000381,1121007034287,20.50,0.35,19.48112,21.24389,55210.10022,0
1000381,1121007034287,20.20,0.24,19.48109,21.24406,55506.24478,0
1000381,1121007034287,20.94,0.45,19.48289,21.24380,55851.28944,0
1000381,1121007034287,21.09,0.51,19.48184,21.24392,55945.15487,0
1000381,1121007034287,21.07,0.50,19.48132,21.24371,55945.16366,0
1000381,1121007034287,20.55,0.32,19.48086,21.24386,56186.29017,0
1000381,1121007034287,21.23,0.55,19.48184,21.24380,56265.15668,0
1000381,1121007034287,20.70,0.40,19.48080,21.24395,56561.37458,0
1000381,1121007034287,20.63,0.41,19.48138,21.24420,56595.18599,0
1000381,1121007034325,19.59,0.23,19.47495,21.24219,53708.27518,0
1000381,1121007034325,19.23,0.19,19.47497,21.24215,53708.28149,0
1000381,1121007034325,19.39,0.20,19.47494,21.24219,53708.28781,0
1000381,1121007034325,19.47,0.21,19.47501,21.24202,53708.29416,0
1000381,1121007034325,19.07,0.18,19.47475,21.24225,53728.10776,0
1000381,1121007034325,19.30,0.20,19.47495,21.24237,53728.11634,0
1000381,1121007034325,19.39,0.21,19.47521,21.24213,53728.12487,0
1000381,1121007034325,19.14,0.20,19.47516,21.24210,53728.13339,0
1000381,1121007034325,19.30,0.20,19.47503,21.24208,53699.22294,0
1000381,1121007034325,19.29,0.20,19.47510,21.24220,53699.23048,0
1000381,1121007034325,19.29,0.20,19.47509,21.24215,53699.23801,0
1000381,1121007034325,19.24,0.19,19.47494,21.24202,53699.24554,0
1000381,1121007034325,19.38,0.21,19.47514,21.24215,53644.33625,0
1000381,1121007034325,19.54,0.23,19.47498,21.24234,53644.34544,0
1000381,1121007034325,19.54,0.23,19.47499,21.24222,53644.35463,0
1000381,1121007034325,19.37,0.21,19.47506,21.24196,53644.36381,0
1000381,1121007034325,19.55,0.24,19.47512,21.24233,53651.28290,0
1000381,1121007034325,19.25,0.23,19.47500,21.24193,53651.28990,0
1000381,1121007034325,19.48,0.23,19.47482,21.24208,53651.30394,0
1000381,1121007034325,19.59,0.23,19.47512,21.24207,53672.27071,0
1000381,1121007034325,19.86,0.26,19.47522,21.24223,53672.27663,0
1000381,1121007034325,19.37,0.20,19.47505,21.24203,53672.28254,0
1000381,1121007034325,19.08,0.18,19.47529,21.24224,53672.28850,0
1000381,1121007034325,20.53,0.40,19.47477,21.24207,53636.43311,0
1000381,1121007034325,19.56,0.23,19.47485,21.24207,53636.44125,0
1000381,1121007034325,19.73,0.26,19.47485,21.24192,53636.44955,0
1000381,1121007034325,19.48,0.23,19.47476,21.24221,53636.45769,0
1000381,1121007034325,19.66,0.26,19.47504,21.24209,54084.15543,0
1000381,1121007034325,19.52,0.21,19.47510,21.24218,54084.16239,0
1000381,1121007034325,19.30,0.19,19.47500,21.24196,54084.16942,0
1000381,1121007034325,19.31,0.19,19.47493,21.24218,54084.17640,0
1000381,1121007034325,19.23,0.18,19.47487,21.24206,54094.18004,0
1000381,1121007034325,19.23,0.18,19.47507,21.24204,54094.19050,0
1000381,1121007034325,19.97,0.26,19.47499,21.24208,54094.20096,0
1000381,1121007034325,19.54,0.21,19.47513,21.24232,54094.21141,0
1000381,1121007034325,19.87,0.34,19.47466,21.24211,53772.11393,0
1000381,1121007034325,19.16,0.23,19.47430,21.24157,53772.11811,0
1000381,1121007034325,19.08,0.23,19.47447,21.24209,53772.12227,0
1000381,1121007034325,20.30,0.44,19.47443,21.24174,53772.12641,0
1000381,1121007034325,19.34,0.21,19.47501,21.24237,53773.13970,0
1000381,1121007034325,18.94,0.17,19.47464,21.24216,53773.15477,0
1000381,1121007034325,18.95,0.17,19.47502,21.24221,53740.07682,0
1000381,1121007034325,19.77,0.25,19.47504,21.24209,53740.08321,0
1000381,1121007034325,19.45,0.21,19.47521,21.24205,53740.08960,0
1000381,1121007034325,19.47,0.21,19.47516,21.24234,53740.09598,0
1000381,1121007034325,19.02,0.18,19.47517,21.24267,53759.13269,0
1000381,1121007034325,19.46,0.22,19.47496,21.24205,53759.13949,0
1000381,1121007034325,19.22,0.19,19.47521,21.24194,53759.14628,0
1000381,1121007034325,18.85,0.16,19.47487,21.24203,53759.15305,0
1000381,1121007034325,19.12,0.17,19.47505,21.24229,54054.18233,0
1000381,1121007034325,19.48,0.20,19.47497,21.24209,54054.18886,0
