InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000401,1112008016436,18.95,0.17,20.80049,12.15349,53706.28965,0
1000401,1112008016436,19.05,0.18,20.80048,12.15340,53706.29890,0
1000401,1112008016436,19.22,0.19,20.80053,12.15328,53706.30812,0
1000401,1112008016436,19.04,0.18,20.80045,12.15352,53706.31773,0
1000401,1112008016436,19.20,0.19,20.80064,12.15319,53726.16378,0
1000401,1112008016436,18.84,0.16,20.80065,12.15361,53726.17300,0
1000401,1112008016436,19.02,0.18,20.80063,12.15312,53726.18221,0
1000401,1112008016436,19.04,0.18,20.80055,12.15340,53726.19141,0
1000401,1112008016436,20.03,0.33,20.80062,12.15336,53732.07775,0
1000401,1112008016436,19.50,0.22,20.80050,12.15345,53703.15045,0
1000401,1112008016436,19.00,0.17,20.80069,12.15317,53703.15689,0
1000401,1112008016436,19.08,0.18,20.80061,12.15343,53703.16331,0
1000401,1112008016436,18.91,0.17,20.80054,12.15326,53703.16975,0
1000401,1112008016436,19.09,0.19,20.80067,12.15333,53646.32472,0
1000401,1112008016436,18.95,0.18,20.80106,12.15389,53646.33196,0
1000401,1112008016436,19.16,0.20,20.80063,12.15344,53646.33921,0
1000401,1112008016436,18.89,0.17,20.80071,12.15338,53646.34649,0
1000401,1112008016436,19.18,0.19,20.80044,12.15344,53672.27499,0
1000401,1112008016436,18.94,0.17,20.80059,12.15348,53672.28090,0
1000401,1112008016436,18.88,0.17,20.80047,12.15340,53672.28683,0
1000401,1112008016436,19.02,0.18,20.80066,12.15334,53672.29277,0
1000401,1112008016436,19.47,0.23,20.80044,12.15348,53636.38026,0
1000401,1112008016436,19.30,0.21,20.80055,12.15325,53636.38778,0
1000401,1112008016436,19.02,0.18,20.80055,12.15351,53636.39524,0
1000401,1112008016436,18.83,0.17,20.80055,12.15350,53636.40274,0
1000401,1112008016436,19.28,0.19,20.80039,12.15333,53975.37765,0
1000401,1112008016436,19.30,0.19,20.80053,12.15341,53975.38572,0
1000401,1112008016436,18.88,0.16,20.80077,12.15336,53975.39378,0
1000401,1112008016436,19.10,0.17,20.80080,12.15333,53975.40189,0
1000401,1112008016436,19.17,0.18,20.80067,12.15321,54081.21192,0
1000401,1112008016436,19.29,0.19,20.80051,12.15334,54081.21864,0
1000401,1112008016436,18.90,0.16,20.80060,12.15323,54081.22528,0
1000401,1112008016436,18.86,0.16,20.80061,12.15313,54081.23200,0
1000401,1112008016436,20.16,0.40,20.80049,12.15341,53772.09895,0
1000401,1112008016436,20.24,0.42,20.80063,12.15332,53772.11049,0
1000401,1112008016436,19.73,0.33,20.80092,12.15367,53773.08526,0
1000401,1112008016436,19.14,0.19,20.80084,12.15342,53758.11590,0
1000401,1112008016436,18.72,0.15,20.80060,12.15328,53758.12330,0
1000401,1112008016436,19.27,0.20,20.80030,12.15342,53758.13071,0
1000401,1112008016436,19.04,0.18,20.80050,12.15334,53758.13814,0
1000401,1112008016436,19.08,0.17,20.80054,12.15329,54050.23737,0
1000401,1112008016436,19.18,0.18,20.80062,12.15309,54050.24844,0
1000401,1112008016436,18.83,0.15,20.80083,12.15335,54050.25950,0
1000401,1112008016436,19.16,0.18,20.80059,12.15306,54050.27062,0
1000401,1112008016436,19.17,0.18,20.80078,12.15328,54025.29074,0
1000401,1112008016436,19.16,0.18,20.80083,12.15330,54025.29914,0
1000401,1112008016436,19.04,0.17,20.80079,12.15329,54025.30755,0
1000401,1112008016436,19.24,0.18,20.80048,12.15340,54025.31597,0
1000401,1112008016436,18.97,0.16,20.80062,12.15341,53992.40703,0
1000401,1112008016436,18.89,0.16,20.80055,12.15335,53992.41355,0
1000401,1112008016436,18.88,0.16,20.80064,12.15331,53992.42171,0
1000401,1112008016436,18.67,0.14,20.80043,12.15332,53992.42818,0
1000401,1112008016436,18.91,0.16,20.80054,12.15334,54438.15508,0
1000401,1112008016436,19.05,0.17,20.80065,12.15345,54438.16212,0
1000401,1112008016436,19.15,0.18,20.80041,12.15365,54438.16908,0
1000401,1112008016436,18.96,0.16,20.80044,12.15334,54438.17610,0
1000401,1112008016436,19.21,0.18,20.80078,12.15355,54449.13511,0
1000401,1112008016436,19.17,0.18,20.80056,12.15341,54449.14059,0
1000401,1112008016436,19.08,0.17,20.80065,12.15357,54449.14607,0
1000401,1112008016436,18.96,0.16,20.80051,12.15365,54449.15155,0
1000401,1112008016436,18.94,0.16,20.80059,12.15337,54110.12027,0
1000401,1112008016436,18.91,0.16,20.80059,12.15317,54110.12677,0
1000401,1112008016436,19.13,0.18,20.80045,12.15325,54110.13326,0
1000401,1112008016436,19.12,0.19,20.80043,12.15346,54110.13972,0
1000401,1112008016436,19.30,0.19,20.80059,12.15337,54116.16528,0
1000401,1112008016436,18.94,0.16,20.80072,12.15349,54116.17192,0
1000401,1112008016436,18.97,0.17,20.80051,12.15337,54116.17859,0
1000401,1112008016436,19.63,0.23,20.80046,12.15334,54116.18531,0
1000401,1112008016436,18.49,0.13,20.80061,12.15375,54128.09133,0
1000401,1112008016436,18.10,0.11,20.80061,12.15344,54128.09881,0
1000401,1112008016436,18.90,0.16,20.80065,12.15346,54128.10629,0
1000401,1112008016436,19.76,0.30,20.80058,12.15291,54276.44211,0
1000401,1112008016436,19.01,0.20,20.80088,12.15320,54276.44653,0
1000401,1112008016436,18.99,0.20,20.80079,12.15330,54276.45095,0
1000401,1112008016436,19.31,0.23,20.80087,12.15296,54276.45532,0
1000401,1112008016436,18.82,0.15,20.80069,12.15342,54416.17262,0
1000401,1112008016436,19.12,0.18,20.80075,12.15339,54416.17977,0
1000401,1112008016436,18.63,0.14,20.80076,12.15343,54416.18692,0
1000401,1112008016436,18.83,0.15,20.80055,12.15352,54416.19407,0
1000401,1112008016436,18.88,0.16,20.80070,12.15336,54380.31944,0
1000401,1112008016436,19.01,0.17,20.80063,12.15337,54380.32374,0
1000401,1112008016436,19.19,0.18,20.80068,12.15340,54380.32809,0
1000401,1112008016436,18.75,0.15,20.80039,12.15337,54380.33240,0
1000401,1112008016436,19.11,0.17,20.80070,12.15342,54393.27073,0
1000401,1112008016436,18.97,0.16,20.80085,12.15347,54393.27766,0
1000401,1112008016436,19.20,0.18,20.80070,12.15339,54393.28458,0
1000401,1112008016436,18.66,0.14,20.80055,12.15351,54393.29149,0
1000401,1112008016436,19.36,0.20,20.80064,12.15359,54403.23792,0
1000401,1112008016436,19.35,0.20,20.80063,12.15342,54403.24633,0
1000401,1112008016436,18.79,0.15,20.80058,12.15347,54403.25474,0
1000401,1112008016436,19.03,0.17,20.80055,12.15362,54403.26314,0
1000401,1112008016436,18.93,0.16,20.80082,12.15353,54346.45358,0
1000401,1112008016436,19.19,0.18,20.80061,12.15340,54346.45898,0
1000401,1112008016436,19.13,0.18,20.80067,12.15334,54346.46440,0
1000401,1112008016436,18.94,0.16,20.80072,12.15357,54346.46991,0
1000401,1112008016436,18.59,0.14,20.80051,12.15358,54363.32658,0
1000401,1112008016436,18.99,0.17,20.80064,12.15359,54363.33368,0
1000401,1112008016436,19.19,0.18,20.80071,12.15356,54363.34084,0
1000401,1112008016436,18.92,0.16,20.80080,12.15354,54363.34797,0
1000401,1112008016436,19.07,0.17,20.80091,12.15319,54821.16465,0
1000401,1112008016436,18.63,0.14,20.80020,12.15342,54821.17227,0
1000401,1112008016436,18.73,0.15,20.80080,12.15357,54821.17972,0
1000401,1112008016436,18.87,0.16,20.80047,12.15331,54821.18730,0
1000401,1112008016436,18.92,0.16,20.80037,12.15346,54789.15388,0
1000401,1112008016436,18.89,0.16,20.80084,12.15332,54789.16119,0
1000401,1112008016436,19.16,0.18,20.80057,12.15338,54789.16837,0
1000401,1112008016436,19.12,0.17,20.80055,12.15335,54789.17552,0
1000401,1112008016436,18.87,0.16,20.80067,12.15356,54741.35120,0
1000401,1112008016436,18.90,0.16,20.80082,12.15315,54741.35973,0
1000401,1112008016436,18.96,0.16,20.80069,12.15337,54741.36827,0
1000401,1112008016436,18.74,0.15,20.80044,12.15339,54741.37682,0
1000401,1112008016436,18.97,0.16,20.80069,12.15351,54769.23952,0
1000401,1112008016436,19.11,0.17,20.80079,12.15363,54769.24622,0
1000401,1112008016436,18.64,0.14,20.80080,12.15349,54769.25283,0
1000401,1112008016436,18.88,0.16,20.80064,12.15319,54769.25948,0
1000401,1112008016436,18.81,0.19,20.80074,12.15358,55072.40021,0
1000401,1112008016436,19.19,0.23,20.80056,12.15334,55072.40712,0
1000401,1112008016436,18.94,0.20,20.80057,12.15354,55072.41387,0
1000401,1112008016436,19.06,0.21,20.80058,12.15318,55072.42047,0
1000401,1112008016436,19.11,0.17,20.80043,12.15361,54849.10735,0
1000401,1112008016436,19.24,0.19,20.80066,12.15328,54849.11471,0
1000401,1112008016436,18.60,0.14,20.80054,12.15335,54849.12199,0
1000401,1112008016436,19.13,0.18,20.80070,12.15343,54849.12915,0
1000401,1112008016436,18.70,0.19,20.80051,12.15334,55042.37085,0
1000401,1112008016436,18.83,0.20,20.80045,12.15319,55042.37719,0
1000401,1112008016436,19.32,0.26,20.80065,12.15342,55042.38350,0
1000401,1112008016436,19.07,0.23,20.80073,12.15350,55042.38994,0
1000401,1112008016436,19.03,0.15,20.80047,12.15332,55145.23730,0
1000401,1112008016436,18.73,0.13,20.80060,12.15339,55145.24525,0
1000401,1112008016436,18.88,0.14,20.80050,12.15337,55145.25324,0
1000401,1112008016436,19.17,0.16,20.80052,12.15343,55145.26109,0
1000401,1112008016436,19.22,0.19,20.80072,12.15337,55113.36266,0
1000401,1112008016436,19.12,0.18,20.80052,12.15348,55113.37060,0
1000401,1112008016436,19.05,0.18,20.80079,12.15347,55113.37862,0
1000401,1112008016436,19.46,0.21,20.80096,12.15339,55113.38666,0
1000401,1112008016436,19.18,0.19,20.80042,12.15354,55118.23826,0
1000401,1112008016436,18.99,0.17,20.80071,12.15306,55118.24560,0
1000401,1112008016436,19.25,0.20,20.80059,12.15334,55118.25280,0
1000401,1112008016436,18.94,0.19,20.80047,12.15338,55118.26012,0
1000401,1112008016436,18.75,0.15,20.80057,12.15347,55126.31303,0
1000401,1112008016436,18.98,0.17,20.80032,12.15308,55126.32146,0
1000401,1112008016436,19.40,0.21,20.80071,12.15348,55126.32991,0
1000401,1112008016436,19.12,0.18,20.80041,12.15330,55126.33842,0
1000401,1112008016436,19.23,0.19,20.80078,12.15332,55085.30196,0
1000401,1112008016436,19.34,0.20,20.80070,12.15345,55085.30799,0
1000401,1112008016436,19.52,0.22,20.80048,12.15351,55085.31408,0
1000401,1112008016436,19.06,0.18,20.80053,12.15323,55085.32020,0
1000401,1112008016436,19.10,0.18,20.80054,12.15336,55532.23361,0
1000401,1112008016436,19.07,0.18,20.80057,12.15347,55532.24624,0
1000401,1112008016436,18.97,0.17,20.80042,12.15340,55532.25254,0
1000401,1112008016436,18.65,0.15,20.80056,12.15335,55538.12951,0
1000401,1112008016436,19.09,0.18,20.80060,12.15346,55538.14097,0
1000401,1112008016436,18.90,0.16,20.80066,12.15336,55538.14667,0
1000401,1112008016436,18.57,0.17,20.80049,12.15359,55236.08910,0
1000401,1112008016436,19.15,0.18,20.80062,12.15327,55212.13243,0
1000401,1112008016436,18.81,0.15,20.80070,12.15349,55212.13986,0
1000401,1112008016436,19.00,0.17,20.80064,12.15338,55212.14737,0
1000401,1112008016436,18.87,0.16,20.80096,12.15363,55212.15484,0
1000401,1112008016436,19.03,0.19,20.80088,12.15325,55505.28498,0
1000401,1112008016436,19.08,0.18,20.80096,12.15319,55505.29779,0
1000401,1112008016436,18.93,0.19,20.80081,12.15334,55505.30301,0
1000401,1112008016436,18.87,0.16,20.80065,12.15342,55511.20025,0
1000401,1112008016436,19.34,0.20,20.80034,12.15331,55511.21284,0
1000401,1112008016436,18.99,0.17,20.80067,12.15343,55511.21914,0
1000401,1112008016436,19.21,0.23,20.80069,12.15339,55527.22309,0
1000401,1112008016436,18.94,0.20,20.80026,12.15305,55527.23691,0
1000401,1112008016436,18.77,0.19,20.80057,12.15366,55527.24384,0
1000401,1112008016436,18.89,0.16,20.80048,12.15338,55477.33918,0
1000401,1112008016436,19.04,0.17,20.80053,12.15352,55477.35301,0
1000401,1112008016436,18.93,0.17,20.80049,12.15347,55477.35999,0
1000401,1112008016436,19.25,0.20,20.80056,12.15340,55499.23338,0
1000401,1112008016436,18.90,0.17,20.80048,12.15346,55499.25091,0
1000401,1112008016436,19.01,0.17,20.80058,12.15349,55499.25971,0
1000401,1112008016436,18.76,0.16,20.80103,12.15344,55469.32509,0
1000401,1112008016436,19.13,0.18,20.80042,12.15341,55469.34121,0
1000401,1112008016436,19.43,0.21,20.80013,12.15346,55469.34930,0
1000401,1112008016436,18.92,0.17,20.80071,12.15330,55563.19146,0
1000401,1112008016436,19.16,0.19,20.80049,12.15299,55563.19890,0
1000401,1112008016436,19.10,0.19,20.80058,12.15326,55563.20928,0
1000401,1112008016436,18.63,0.15,20.80078,12.15377,55563.21679,0
1000401,1112008016436,19.09,0.20,20.80071,12.15329,55587.11314,0
1000401,1112008016436,19.14,0.21,20.80028,12.15351,55587.11998,0
1000401,1112008016436,19.13,0.23,20.80061,12.15339,55587.12686,0
1000401,1112008016436,19.18,0.20,20.80038,12.15334,55587.13375,0
1000401,1112008016436,19.07,0.18,20.80062,12.15349,53732.11569,0
1000401,1112008016436,18.76,0.15,20.80095,12.15339,53732.12156,0
1000401,1112008016436,18.96,0.17,20.80090,12.15381,53732.12741,0
1000401,1112008016436,19.48,0.22,20.80039,12.15346,53732.13328,0
1000401,1112008016436,19.26,0.19,20.80056,12.15315,55824.47971,0
1000401,1112008016436,18.79,0.15,20.80076,12.15338,55824.48420,0
1000401,1112008016436,18.80,0.16,20.80081,12.15350,55824.48869,0
1000401,1112008016436,18.86,0.16,20.80063,12.15290,55824.49322,0
1000401,1112008016436,19.07,0.17,20.80054,12.15345,55862.20205,0
1000401,1112008016436,19.21,0.19,20.80031,12.15339,55862.21176,0
1000401,1112008016436,18.84,0.16,20.80069,12.15343,55862.22151,0
1000401,1112008016436,18.93,0.16,20.80052,12.15317,55862.23120,0
1000401,1112008016436,18.76,0.22,20.80044,12.15312,55850.36337,0
1000401,1112008016436,18.66,0.21,20.80050,12.15340,55850.37152,0
1000401,1112008016436,18.91,0.24,20.80032,12.15331,55850.37978,0
1000401,1112008016436,19.48,0.32,20.80029,12.15329,55850.38829,0
1000401,1112008016436,18.93,0.17,20.80071,12.15349,55883.13065,0
1000401,1112008016436,18.99,0.17,20.80077,12.15349,55883.13572,0
1000401,1112008016436,19.11,0.18,20.80061,12.15332,55883.14082,0
1000401,1112008016436,18.71,0.15,20.80046,12.15335,55883.14593,0
1000401,1112008016436,19.25,0.19,20.80062,12.15337,55892.20118,0
1000401,1112008016436,18.95,0.16,20.80042,12.15328,55892.20689,0
1000401,1112008016436,19.17,0.18,20.80055,12.15319,55892.21253,0
1000401,1112008016436,19.17,0.18,20.80047,12.15327,55892.21827,0
1000401,1112008016436,18.87,0.16,20.80062,12.15369,55959.13555,0
1000401,1112008016436,18.97,0.17,20.80072,12.15304,55959.14693,0
1000401,1112008016436,18.97,0.17,20.80081,12.15324,55959.15266,0
1000401,1112008016436,18.43,0.12,20.80063,12.15342,55975.09137,0
1000401,1112008016436,19.17,0.17,20.80068,12.15329,55975.09822,0
1000401,1112008016436,18.61,0.13,20.80022,12.15336,55975.10505,0
1000401,1112008016436,18.74,0.14,20.80044,12.15333,55975.11189,0
1000401,1112008016436,19.48,0.24,20.80046,12.15344,56150.46319,0
1000401,1112008016436,19.42,0.23,20.80050,12.15361,56150.46990,0
1000401,1112008016436,19.93,0.39,20.80056,12.15318,56150.47661,0
1000401,1112008016436,18.93,0.21,20.80056,12.15347,56150.48338,0
1000401,1112008016436,19.21,0.19,20.80060,12.15321,56184.41332,0
1000401,1112008016436,18.87,0.16,20.80059,12.15355,56184.42006,0
1000401,1112008016436,19.38,0.21,20.80071,12.15328,56184.42686,0
1000401,1112008016436,18.88,0.16,20.80090,12.15330,56184.43365,0
1000401,1112008016436,18.92,0.15,20.80055,12.15327,56195.42871,0
1000401,1112008016436,18.87,0.14,20.80071,12.15346,56195.43421,0
1000401,1112008016436,19.08,0.16,20.80040,12.15332,56195.43966,0
1000401,1112008016436,19.02,0.16,20.80077,12.15335,56195.44521,0
1000401,1112008016436,19.00,0.17,20.80053,12.15332,56208.32007,0
1000401,1112008016436,19.36,0.21,20.80070,12.15330,56208.32516,0
1000401,1112008016436,19.11,0.18,20.80041,12.15347,56208.33020,0
1000401,1112008016436,18.82,0.16,20.80061,12.15322,56208.33523,0
1000401,1112008016436,18.73,0.15,20.80067,12.15351,56216.29630,0
1000401,1112008016436,18.98,0.17,20.80064,12.15322,56216.30198,0
1000401,1112008016436,18.78,0.16,20.80004,12.15349,56216.30767,0
1000401,1112008016436,18.83,0.16,20.80099,12.15312,56216.31331,0
1000401,1112008016436,19.35,0.20,20.80063,12.15352,56233.16327,0
