InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000421,1001008025818,20.93,0.47,21.73177,-1.33755,53675.24332,0
1000421,1001008025818,20.13,0.29,21.73282,-1.33771,55182.10817,0
1000421,1001008025818,20.65,0.41,21.73332,-1.33702,56191.35107,0
1000421,1001008025818,20.90,0.47,21.73208,-1.33693,56191.36625,0
1000421,1001008025818,21.15,0.53,21.73410,-1.33662,56297.11822,0
1000421,1001008025818,21.21,0.55,21.73298,-1.33708,56570.28596,0
1000421,1001008025818,20.51,0.37,21.73302,-1.33636,56580.27267,0
1000421,1001008025995,20.65,0.41,21.73771,-1.32892,53703.09238,0
1000421,1001008025995,20.83,0.38,21.73743,-1.32917,54055.23500,0
1000421,1001008025995,21.08,0.49,21.73720,-1.32952,54440.08752,0
1000421,1001008025995,20.39,0.37,21.73891,-1.32765,54127.10577,0
1000421,1001008025995,21.13,0.51,21.73811,-1.32886,54411.21928,0
1000421,1001008025995,20.89,0.44,21.73889,-1.32946,54404.24580,0
1000421,1001008025995,21.15,0.52,21.73989,-1.32904,54355.36848,0
1000421,1001008025995,20.94,0.44,21.73790,-1.32894,54789.20171,0
1000421,1001008025995,20.94,0.45,21.73763,-1.32943,54715.37752,0
1000421,1001008025995,20.07,0.42,21.73696,-1.32857,55073.33792,0
1000421,1001008025995,20.12,0.29,21.73848,-1.32830,55498.28209,0
1000421,1001008025995,19.67,0.23,21.73862,-1.32832,55834.28620,0
1000421,1001008025995,20.12,0.30,21.73807,-1.32848,55834.29365,0
1000421,1001008025995,20.62,0.38,21.73815,-1.32702,55882.22409,0
1000421,1001008025995,20.55,0.38,21.73807,-1.32900,56223.21617,0
1000421,1001008026031,18.46,0.13,21.75607,-1.33181,53710.13280,0
1000421,1001008026031,18.46,0.13,21.75590,-1.33184,53710.13928,0
1000421,1001008026031,18.26,0.12,21.75614,-1.33178,53710.14575,0
1000421,1001008026031,18.25,0.12,21.75594,-1.33190,53710.15224,0
1000421,1001008026031,18.31,0.13,21.75601,-1.33192,53729.13346,0
1000421,1001008026031,18.37,0.13,21.75603,-1.33183,53729.13964,0
1000421,1001008026031,18.25,0.12,21.75599,-1.33192,53729.14582,0
1000421,1001008026031,18.50,0.14,21.75604,-1.33197,53729.15201,0
1000421,1001008026031,18.38,0.13,21.75590,-1.33190,53675.24332,0
1000421,1001008026031,18.48,0.14,21.75596,-1.33183,53675.24920,0
1000421,1001008026031,18.49,0.14,21.75581,-1.33189,53675.25505,0
1000421,1001008026031,18.33,0.13,21.75596,-1.33192,53675.26093,0
1000421,1001008026031,18.32,0.13,21.75594,-1.33190,53703.09238,0
1000421,1001008026031,18.27,0.13,21.75599,-1.33183,53703.09895,0
1000421,1001008026031,18.11,0.12,21.75621,-1.33191,53703.10545,0
1000421,1001008026031,18.48,0.14,21.75581,-1.33194,53703.11190,0
1000421,1001008026031,18.38,0.14,21.75587,-1.33194,53646.35304,0
1000421,1001008026031,18.35,0.14,21.75590,-1.33188,53646.35962,0
1000421,1001008026031,18.35,0.14,21.75596,-1.33183,53646.36621,0
1000421,1001008026031,18.23,0.13,21.75595,-1.33193,53646.37278,0
1000421,1001008026031,18.01,0.17,21.75599,-1.33183,53651.30967,0
1000421,1001008026031,18.53,0.15,21.75619,-1.33183,53651.32280,0
1000421,1001008026031,18.39,0.14,21.75596,-1.33188,53651.32941,0
1000421,1001008026031,18.18,0.12,21.75586,-1.33188,53667.26289,0
1000421,1001008026031,18.11,0.12,21.75605,-1.33199,53667.27456,0
1000421,1001008026031,18.28,0.13,21.75601,-1.33192,53667.28595,0
1000421,1001008026031,18.39,0.13,21.75597,-1.33187,53667.29747,0
1000421,1001008026031,18.55,0.16,21.75595,-1.33198,53627.28384,0
1000421,1001008026031,18.40,0.15,21.75617,-1.33172,53627.29195,0
1000421,1001008026031,18.65,0.17,21.75602,-1.33216,53627.30002,0
1000421,1001008026031,18.18,0.14,21.75591,-1.33174,53627.30808,0
1000421,1001008026031,18.21,0.13,21.75598,-1.33191,53637.44150,0
1000421,1001008026031,18.38,0.14,21.75595,-1.33203,53637.44988,0
1000421,1001008026031,18.26,0.13,21.75603,-1.33190,53637.45830,0
1000421,1001008026031,18.46,0.14,21.75585,-1.33186,53637.46678,0
1000421,1001008026031,18.43,0.13,21.75583,-1.33191,54090.14963,0
1000421,1001008026031,18.40,0.13,21.75598,-1.33188,54090.15739,0
1000421,1001008026031,18.28,0.12,21.75602,-1.33195,54090.16514,0
1000421,1001008026031,18.23,0.12,21.75612,-1.33178,54090.17290,0
1000421,1001008026031,18.38,0.12,21.75583,-1.33180,54055.23500,0
1000421,1001008026031,18.42,0.12,21.75594,-1.33196,54055.24693,0
1000421,1001008026031,18.36,0.12,21.75604,-1.33184,54055.25889,0
1000421,1001008026031,18.42,0.12,21.75601,-1.33185,54055.27084,0
1000421,1001008026031,18.34,0.12,21.75603,-1.33193,54024.23546,0
1000421,1001008026031,18.29,0.12,21.75584,-1.33182,54024.24351,0
1000421,1001008026031,18.33,0.12,21.75601,-1.33187,54024.25154,0
1000421,1001008026031,18.43,0.13,21.75602,-1.33198,54024.25960,0
1000421,1001008026031,18.21,0.12,21.75612,-1.33198,54030.30728,0
1000421,1001008026031,18.34,0.12,21.75589,-1.33187,54030.31372,0
1000421,1001008026031,18.41,0.13,21.75596,-1.33192,54030.32020,0
1000421,1001008026031,18.42,0.13,21.75576,-1.33178,54030.32670,0
1000421,1001008026031,18.64,0.14,21.75585,-1.33177,53990.47475,0
1000421,1001008026031,18.29,0.12,21.75592,-1.33187,53990.47902,0
1000421,1001008026031,18.06,0.11,21.75611,-1.33235,53990.48328,0
1000421,1001008026031,18.35,0.13,21.75605,-1.33169,53990.48753,0
1000421,1001008026031,18.37,0.12,21.75601,-1.33198,53996.30766,0
1000421,1001008026031,18.37,0.12,21.75592,-1.33201,53996.31409,0
1000421,1001008026031,18.39,0.13,21.75600,-1.33191,53996.32052,0
1000421,1001008026031,18.28,0.12,21.75595,-1.33193,53996.32700,0
1000421,1001008026031,18.40,0.13,21.75587,-1.33196,54004.38474,0
1000421,1001008026031,18.36,0.12,21.75588,-1.33177,54004.39351,0
1000421,1001008026031,18.35,0.12,21.75603,-1.33190,54004.40228,0
1000421,1001008026031,18.28,0.12,21.75597,-1.33184,54004.41106,0
1000421,1001008026031,18.36,0.12,21.75611,-1.33187,54440.08752,0
1000421,1001008026031,18.45,0.13,21.75601,-1.33184,54440.09403,0
1000421,1001008026031,18.43,0.13,21.75599,-1.33183,54440.10054,0
1000421,1001008026031,18.36,0.12,21.75598,-1.33192,54440.10701,0
1000421,1001008026031,18.31,0.13,21.75588,-1.33201,54127.08936,0
1000421,1001008026031,17.96,0.12,21.75603,-1.33190,54127.09756,0
1000421,1001008026031,18.22,0.13,21.75568,-1.33190,54127.10577,0
1000421,1001008026031,18.53,0.15,21.75582,-1.33197,54127.11399,0
1000421,1001008026031,18.13,0.12,21.75622,-1.33184,54411.20210,0
1000421,1001008026031,18.41,0.13,21.75588,-1.33189,54411.21071,0
1000421,1001008026031,18.27,0.12,21.75591,-1.33190,54411.21928,0
1000421,1001008026031,18.30,0.12,21.75601,-1.33183,54411.22786,0
