InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000441,1004009033392,21.05,0.48,22.59985,-3.87979,54801.21648,0
1000441,1004009033392,20.08,0.29,22.60000,-3.87917,55180.20629,0
1000441,1004009033392,20.13,0.25,22.60003,-3.87911,55119.27863,0
1000441,1004009033392,20.60,0.39,22.60071,-3.87870,55501.22703,0
1000441,1004009033392,20.99,0.48,22.60161,-3.87835,55530.18947,0
1000441,1004009033392,21.00,0.48,22.60006,-3.87934,55824.42842,0
1000441,1004009033392,20.08,0.29,22.60191,-3.87921,55827.35695,0
1000441,1004009033392,21.12,0.43,22.60284,-3.87904,55868.23174,0
1000441,1004009033392,21.22,0.55,22.60141,-3.87924,55882.21616,0
1000441,1004009033392,20.50,0.31,22.60056,-3.87954,56238.26622,0
1000441,1004009033392,21.06,0.43,22.59894,-3.87870,56273.22227,0
1000441,1004009033392,21.14,0.53,22.60110,-3.87984,56570.28095,0
1000441,1004009033417,20.27,0.32,22.60544,-3.87859,54355.37281,0
1000441,1004009033417,20.59,0.37,22.60528,-3.87825,54789.21227,0
1000441,1004009033417,19.08,0.18,22.60523,-3.87743,54716.35802,0
1000441,1004009033417,19.53,0.22,22.60482,-3.87767,55180.20629,0
1000441,1004009033417,19.50,0.22,22.60549,-3.87738,55501.22703,0
1000441,1004009033417,19.37,0.21,22.60533,-3.87759,55516.17906,0
1000441,1004009033417,19.51,0.22,22.60536,-3.87806,55476.32307,0
1000441,1004009033417,20.96,0.47,22.60459,-3.87896,55824.42842,0
1000441,1004009033417,20.55,0.33,22.60668,-3.87812,56185.40770,0
1000441,1004009033417,20.68,0.41,22.60449,-3.87735,56215.27259,0
1000441,1004009033417,18.99,0.15,22.60547,-3.87768,56238.24230,0
1000441,1004009033417,19.61,0.20,22.60509,-3.87756,56273.24061,0
1000441,1004009033423,20.01,0.28,22.58191,-3.88180,53710.13066,0
1000441,1004009033423,20.25,0.32,22.58144,-3.88119,53710.13712,0
1000441,1004009033423,20.23,0.32,22.58148,-3.88103,53710.14360,0
1000441,1004009033423,20.07,0.29,22.58136,-3.88131,53710.15009,0
1000441,1004009033423,19.62,0.23,22.58107,-3.88154,53729.16074,0
1000441,1004009033423,19.78,0.25,22.58111,-3.88089,53729.16871,0
1000441,1004009033423,19.46,0.21,22.58127,-3.88124,53729.17671,0
1000441,1004009033423,20.14,0.31,22.58152,-3.88108,53675.24814,0
1000441,1004009033423,20.32,0.34,22.58148,-3.88140,53675.25986,0
1000441,1004009033423,19.70,0.25,22.58135,-3.88138,53704.23156,0
1000441,1004009033423,20.99,0.50,22.58141,-3.88206,53704.24015,0
1000441,1004009033423,19.55,0.23,22.58138,-3.88107,53704.24873,0
1000441,1004009033423,20.43,0.38,22.58138,-3.88134,53646.35472,0
1000441,1004009033423,19.46,0.23,22.58102,-3.88155,53646.36130,0
1000441,1004009033423,19.95,0.30,22.58149,-3.88119,53646.36787,0
1000441,1004009033423,20.21,0.34,22.58095,-3.88108,53646.37445,0
1000441,1004009033423,20.12,0.34,22.58134,-3.88117,53651.31185,0
1000441,1004009033423,20.46,0.40,22.58119,-3.88146,53651.32496,0
1000441,1004009033423,20.15,0.34,22.58129,-3.88129,53651.33157,0
1000441,1004009033423,19.24,0.19,22.58147,-3.88096,53667.26183,0
1000441,1004009033423,19.94,0.28,22.58111,-3.88112,53667.27351,0
1000441,1004009033423,19.65,0.24,22.58142,-3.88115,53667.28489,0
1000441,1004009033423,19.72,0.25,22.58106,-3.88117,53667.29632,0
1000441,1004009033423,20.34,0.41,22.58222,-3.88106,53627.30429,0
1000441,1004009033423,19.37,0.24,22.58173,-3.88145,53627.31236,0
1000441,1004009033423,20.35,0.33,22.58129,-3.88116,54090.15069,0
1000441,1004009033423,19.59,0.22,22.58116,-3.88140,54090.15845,0
1000441,1004009033423,19.46,0.20,22.58171,-3.88168,54090.16621,0
1000441,1004009033423,19.67,0.23,22.58184,-3.88100,54090.17398,0
1000441,1004009033423,19.48,0.19,22.58129,-3.88121,54055.23677,0
1000441,1004009033423,21.25,0.49,22.58139,-3.88121,54055.24870,0
1000441,1004009033423,20.06,0.25,22.58153,-3.88137,54055.26067,0
1000441,1004009033423,19.38,0.18,22.58153,-3.88124,54055.27262,0
1000441,1004009033423,19.46,0.20,22.58152,-3.88098,54024.26382,0
1000441,1004009033423,20.28,0.31,22.58133,-3.88108,54024.27161,0
1000441,1004009033423,19.91,0.26,22.58138,-3.88125,54024.27940,0
1000441,1004009033423,19.72,0.23,22.58161,-3.88126,54024.28720,0
1000441,1004009033423,19.54,0.21,22.58148,-3.88121,54030.30835,0
1000441,1004009033423,19.91,0.26,22.58121,-3.88120,54030.31479,0
1000441,1004009033423,19.50,0.21,22.58153,-3.88098,54030.32127,0
1000441,1004009033423,20.20,0.30,22.58130,-3.88116,54030.32775,0
1000441,1004009033423,19.94,0.26,22.58149,-3.88082,53996.30976,0
1000441,1004009033423,19.71,0.23,22.58156,-3.88116,53996.31621,0
1000441,1004009033423,19.76,0.24,22.58133,-3.88114,53996.32266,0
1000441,1004009033423,19.64,0.22,22.58187,-3.88109,53996.32915,0
1000441,1004009033423,19.81,0.24,22.58135,-3.88114,54004.35107,0
1000441,1004009033423,19.95,0.26,22.58113,-3.88135,54004.35941,0
1000441,1004009033423,19.87,0.25,22.58125,-3.88133,54004.36775,0
1000441,1004009033423,20.10,0.28,22.58118,-3.88137,54004.37611,0
1000441,1004009033423,19.93,0.26,22.58149,-3.88122,54440.15082,0
1000441,1004009033423,19.82,0.25,22.58169,-3.88148,54440.15837,0
1000441,1004009033423,19.31,0.19,22.58123,-3.88092,54440.16589,0
1000441,1004009033423,20.03,0.27,22.58149,-3.88131,54440.17340,0
1000441,1004009033423,20.28,0.32,22.58161,-3.88128,54406.23696,0
1000441,1004009033423,20.19,0.30,22.58127,-3.88084,54406.24349,0
1000441,1004009033423,20.15,0.29,22.58164,-3.88096,54406.25000,0
1000441,1004009033423,19.34,0.19,22.58140,-3.88055,54406.25650,0
1000441,1004009033423,20.15,0.30,22.58127,-3.88153,54415.18400,0
1000441,1004009033423,20.08,0.28,22.58108,-3.88118,54415.19115,0
1000441,1004009033423,19.95,0.27,22.58166,-3.88113,54415.19824,0
1000441,1004009033423,20.06,0.29,22.58203,-3.88123,54421.21585,0
1000441,1004009033423,20.14,0.30,22.58117,-3.88117,54421.22653,0
1000441,1004009033423,20.10,0.29,22.58070,-3.88142,54421.23723,0
1000441,1004009033423,20.24,0.31,22.58129,-3.88133,54421.24795,0
1000441,1004009033423,20.04,0.29,22.58164,-3.88156,54383.27999,0
1000441,1004009033423,21.05,0.51,22.58124,-3.88113,54383.28591,0
1000441,1004009033423,19.34,0.20,22.58120,-3.88162,54383.29188,0
1000441,1004009033423,19.69,0.24,22.58155,-3.88103,54383.29782,0
1000441,1004009033423,19.85,0.25,22.58157,-3.88111,54388.31091,0
1000441,1004009033423,20.23,0.31,22.58138,-3.88140,54388.31900,0
1000441,1004009033423,20.10,0.29,22.58112,-3.88129,54388.32703,0
1000441,1004009033423,19.83,0.25,22.58133,-3.88112,54388.33513,0
1000441,1004009033423,19.72,0.23,22.58163,-3.88132,54392.30875,0
1000441,1004009033423,19.53,0.21,22.58142,-3.88125,54392.31798,0
1000441,1004009033423,19.76,0.24,22.58109,-3.88129,54392.32719,0
1000441,1004009033423,19.97,0.27,22.58129,-3.88109,54392.33645,0
1000441,1004009033423,19.72,0.24,22.58154,-3.88093,54355.35018,0
1000441,1004009033423,19.68,0.23,22.58147,-3.88116,54355.35772,0
1000441,1004009033423,19.70,0.24,22.58131,-3.88128,54355.36527,0
1000441,1004009033423,19.58,0.22,22.58136,-3.88144,54355.37281,0
1000441,1004009033423,19.66,0.23,22.58148,-3.88139,54801.23221,0
1000441,1004009033423,19.80,0.24,22.58150,-3.88161,54801.24011,0
1000441,1004009033423,20.39,0.33,22.58117,-3.88115,54831.11901,0
1000441,1004009033423,19.97,0.26,22.58146,-3.88117,54831.13603,0
1000441,1004009033423,19.63,0.22,22.58130,-3.88094,54831.14449,0
1000441,1004009033423,20.55,0.41,22.58128,-3.88111,54505.08866,0
1000441,1004009033423,20.27,0.36,22.58191,-3.88109,54505.09354,0
1000441,1004009033423,19.76,0.24,22.58134,-3.88118,54466.17777,0
1000441,1004009033423,19.76,0.24,22.58160,-3.88129,54466.18430,0
1000441,1004009033423,20.15,0.30,22.58087,-3.88119,54466.19734,0
1000441,1004009033423,20.47,0.35,22.58111,-3.88125,54773.24451,0
1000441,1004009033423,19.26,0.19,22.58186,-3.88110,54773.25053,0
1000441,1004009033423,19.96,0.27,22.58141,-3.88096,54773.25649,0
1000441,1004009033423,20.01,0.27,22.58158,-3.88121,54773.26242,0
1000441,1004009033423,19.99,0.27,22.58109,-3.88098,54789.18761,0
1000441,1004009033423,19.54,0.21,22.58145,-3.88114,54789.19589,0
1000441,1004009033423,20.30,0.32,22.58136,-3.88131,54789.20415,0
1000441,1004009033423,20.02,0.27,22.58185,-3.88137,54789.21227,0
1000441,1004009033423,19.70,0.24,22.58152,-3.88148,54740.34137,0
1000441,1004009033423,20.00,0.28,22.58155,-3.88071,54740.35065,0
1000441,1004009033423,19.73,0.25,22.58140,-3.88122,54740.35987,0
1000441,1004009033423,20.93,0.47,22.58159,-3.88120,54740.36905,0
1000441,1004009033423,19.76,0.23,22.58164,-3.88149,54747.34960,0
1000441,1004009033423,19.59,0.22,22.58152,-3.88119,54747.35931,0
1000441,1004009033423,19.60,0.22,22.58168,-3.88157,54747.36905,0
1000441,1004009033423,19.46,0.20,22.58080,-3.88072,54747.37880,0
1000441,1004009033423,20.13,0.30,22.58143,-3.88141,54716.35802,0
1000441,1004009033423,20.21,0.31,22.58129,-3.88108,54716.36457,0
1000441,1004009033423,20.03,0.28,22.58167,-3.88115,54716.37110,0
1000441,1004009033423,20.15,0.29,22.58129,-3.88117,54716.37764,0
1000441,1004009033423,20.31,0.32,22.58156,-3.88146,54730.45956,0
1000441,1004009033423,19.58,0.22,22.58099,-3.88087,55060.42926,0
1000441,1004009033423,21.10,0.51,22.58118,-3.88095,55060.43519,0
1000441,1004009033423,20.44,0.35,22.58136,-3.88110,55060.44119,0
