InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000461,1129008073778,21.04,0.50,23.40642,31.00952,53708.30764,0
1000461,1129008073778,19.56,0.29,23.40524,31.00736,53676.30072,0
1000461,1129008073778,19.66,0.25,23.40677,31.00946,53642.31259,0
1000461,1129008073778,20.22,0.32,23.40499,31.00785,53761.08182,0
1000461,1129008073778,20.88,0.49,23.40782,31.00898,53761.09465,0
1000461,1129008073778,20.16,0.29,23.40619,31.00934,54027.27807,0
1000461,1129008073778,19.61,0.21,23.40612,31.00995,53995.37615,0
1000461,1129008073778,20.14,0.28,23.40625,31.00971,53995.39559,0
1000461,1129008073778,19.73,0.23,23.40547,31.00853,54006.34843,0
1000461,1129008073778,19.56,0.22,23.40569,31.00906,54363.29717,0
1000461,1129008073778,19.71,0.24,23.40523,31.00862,54504.13435,0
1000461,1129008073778,20.13,0.29,23.40570,31.00808,54739.40909,0
1000461,1129008073778,19.86,0.25,23.40577,31.00994,54739.40909,1
1000461,1129008073778,18.26,0.11,23.40620,31.01061,55121.36249,0
1000461,1129008073778,19.32,0.20,23.40551,31.00868,55099.33530,0
1000461,1129008073778,19.83,0.26,23.40646,31.00982,55540.16680,0
1000461,1129008073778,20.00,0.28,23.40620,31.00905,55511.27355,0
1000461,1129008073778,19.56,0.22,23.40596,31.00960,55892.29362,0
1000461,1129008073778,19.54,0.22,23.40485,31.00697,55927.22773,0
1000461,1129008073778,19.17,0.18,23.40602,31.00868,55927.23637,0
1000461,1129008073778,20.21,0.32,23.40596,31.00951,56208.43085,0
1000461,1129008073778,19.43,0.21,23.40527,31.00872,56216.38338,0
1000461,1129008073778,19.28,0.20,23.40614,31.00914,56233.40240,0
1000461,1129008073778,19.82,0.21,23.40597,31.01013,56243.24791,0
1000461,1129008073778,19.23,0.22,23.40557,31.00992,56263.17481,0
1000461,1129008073778,19.80,0.25,23.40534,31.00799,55951.11894,0
1000461,1129008073778,19.96,0.27,23.40667,31.00991,55951.12684,0
1000461,1129008073778,19.55,0.24,23.40666,31.01031,56537.43273,0
1000461,1129008073778,20.42,0.36,23.40590,31.00851,56595.20504,0
1000461,1129008073779,15.74,0.10,23.39749,31.01127,53707.24604,0
1000461,1129008073779,15.56,0.09,23.39763,31.01155,53707.25191,0
1000461,1129008073779,16.05,0.11,23.39747,31.01151,53707.25779,0
1000461,1129008073779,15.57,0.06,23.39748,31.01140,53708.29997,0
1000461,1129008073779,15.53,0.06,23.39760,31.01146,53708.30764,0
1000461,1129008073779,15.50,0.06,23.39762,31.01133,53708.31531,0
