InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000501,1104009046550,20.34,0.36,24.71643, 5.40763,54127.13304,0
1000501,1104009046550,19.81,0.24,24.71721, 5.40623,54386.27000,0
1000501,1104009046550,20.65,0.39,24.71804, 5.40689,54354.33756,0
1000501,1104009046550,19.20,0.18,24.71704, 5.40698,55060.43697,0
1000501,1104009046550,19.33,0.24,24.71676, 5.40678,55072.40614,0
1000501,1104009046550,21.36,0.49,24.71627, 5.40470,55144.22536,0
1000501,1104009046550,21.05,0.50,24.71829, 5.40581,55834.28107,0
1000501,1104009046550,19.40,0.20,24.71820, 5.40769,55834.28844,0
1000501,1104009046550,20.93,0.48,24.71577, 5.40719,56164.46451,0
1000501,1104009046550,19.99,0.28,24.71649, 5.40883,56213.33091,0
1000501,1104009046550,19.77,0.21,24.71703, 5.40807,56273.17088,0
1000501,1104009046550,20.40,0.29,24.71682, 5.40693,56273.18924,0
1000501,1104009046867,20.89,0.46,24.71445, 5.41996,53757.13807,0
1000501,1104009046867,18.85,0.19,24.71548, 5.41877,55072.41289,0
1000501,1104009046867,18.94,0.14,24.71687, 5.42034,55144.22536,0
1000501,1104009046867,19.05,0.15,24.71676, 5.42034,55144.23261,0
1000501,1104009046867,20.91,0.47,24.71648, 5.42173,55588.12757,0
1000501,1104009046867,21.08,0.49,24.71664, 5.42133,55881.21133,0
1000501,1104009046867,19.69,0.23,24.71665, 5.42100,55925.09792,0
1000501,1104009046867,20.23,0.32,24.71676, 5.42181,56184.42912,0
1000501,1104009046868,20.33,0.33,24.71965, 5.42299,53710.10158,0
1000501,1104009046868,19.37,0.21,24.71975, 5.42367,53696.25377,0
1000501,1104009046868,20.86,0.50,24.71957, 5.42274,53649.31608,0
1000501,1104009046868,18.98,0.16,24.71991, 5.42422,54023.37654,0
1000501,1104009046868,20.62,0.38,24.72007, 5.42342,54108.15312,0
1000501,1104009046868,20.50,0.35,24.72027, 5.42329,54346.44009,0
1000501,1104009046868,20.63,0.49,24.71976, 5.42303,54506.09648,0
1000501,1104009046868,20.18,0.29,24.71955, 5.42390,54747.35439,0
1000501,1104009046868,19.87,0.26,24.72031, 5.42327,55060.42513,0
1000501,1104009046868,21.03,0.63,24.71965, 5.42307,55072.40614,0
1000501,1104009046868,19.63,0.29,24.71962, 5.42335,55043.42492,0
1000501,1104009046868,19.90,0.22,24.71890, 5.42329,55144.24713,0
1000501,1104009046868,20.51,0.36,24.71943, 5.42301,55208.10728,0
1000501,1104009046868,20.19,0.32,24.71854, 5.42294,55472.37619,0
1000501,1104009046868,21.24,0.55,24.71960, 5.42361,55480.30457,0
1000501,1104009046868,20.73,0.42,24.72022, 5.42394,55499.25322,0
1000501,1104009046868,20.04,0.27,24.71981, 5.42327,55450.36987,0
1000501,1104009046868,21.21,0.53,24.71983, 5.42306,55881.20103,0
1000501,1104009046868,20.23,0.31,24.71942, 5.42292,55925.09792,0
1000501,1104009046868,19.74,0.24,24.71880, 5.42302,55925.11326,0
1000501,1104009046868,21.13,0.52,24.71957, 5.42315,55940.15642,0
1000501,1104009046868,20.83,0.45,24.71938, 5.42303,56164.45652,0
1000501,1104009046868,19.73,0.25,24.71979, 5.42283,56164.46847,0
1000501,1104009046868,19.52,0.22,24.71942, 5.42428,56184.43593,0
1000501,1104009046868,21.05,0.50,24.71990, 5.42372,56213.32183,0
1000501,1104009046868,20.96,0.48,24.71998, 5.42317,56223.18578,0
1000501,1104009046868,19.93,0.27,24.71977, 5.42261,56253.12778,0
1000501,1104009046868,19.94,0.27,24.71937, 5.42288,56253.13791,0
1000501,1104009046868,20.18,0.26,24.71965, 5.42374,56273.17088,0
1000501,1104009046868,20.43,0.29,24.71968, 5.42320,56273.18313,0
1000501,1104009046868,20.42,0.35,24.71970, 5.42367,56297.12326,0
1000501,1104009046868,21.19,0.54,24.71911, 5.42360,56297.12996,0
1000501,1104009046868,20.52,0.37,24.71895, 5.42421,55947.13110,0
1000501,1104009046868,20.74,0.42,24.72021, 5.42365,55947.13567,0
1000501,1104009046868,20.55,0.41,24.71973, 5.42319,56540.39626,0
1000501,1104009046868,20.16,0.32,24.71978, 5.42249,56550.42073,0
1000501,1104009046868,20.34,0.33,24.71924, 5.42298,56560.39161,0
1000501,1104009046868,20.15,0.30,24.72031, 5.42391,56591.29672,0
1000501,1104009049214,12.34,0.05,24.70988, 5.41386,53710.10158,0
1000501,1104009049214,12.34,0.05,24.70988, 5.41383,53710.10797,0
1000501,1104009049214,12.33,0.05,24.70988, 5.41387,53710.11434,0
1000501,1104009049214,12.35,0.05,24.70991, 5.41386,53710.12069,0
1000501,1104009049214,12.38,0.05,24.70990, 5.41384,53725.14648,0
1000501,1104009049214,12.34,0.05,24.70989, 5.41387,53725.15400,0
1000501,1104009049214,12.32,0.05,24.70987, 5.41388,53725.16153,0
1000501,1104009049214,12.34,0.05,24.70988, 5.41386,53725.16904,0
1000501,1104009049214,12.28,0.05,24.70989, 5.41386,53696.25377,0
1000501,1104009049214,12.40,0.05,24.70987, 5.41386,53696.26018,0
1000501,1104009049214,12.35,0.05,24.70989, 5.41385,53696.26657,0
1000501,1104009049214,12.31,0.05,24.70988, 5.41386,53696.27298,0
1000501,1104009049214,12.23,0.05,24.70988, 5.41387,53703.12272,0
1000501,1104009049214,12.23,0.05,24.70988, 5.41388,53703.12916,0
1000501,1104009049214,12.28,0.05,24.70987, 5.41388,53703.13564,0
1000501,1104009049214,12.23,0.05,24.70988, 5.41388,53703.14209,0
1000501,1104009049214,12.12,0.05,24.70988, 5.41390,53649.29954,0
1000501,1104009049214,12.04,0.05,24.70990, 5.41391,53649.30502,0
1000501,1104009049214,12.27,0.05,24.70990, 5.41391,53649.31050,0
1000501,1104009049214,12.30,0.05,24.70988, 5.41388,53649.31608,0
1000501,1104009049214,12.42,0.05,24.70988, 5.41386,53628.30969,0
1000501,1104009049214,12.40,0.05,24.70989, 5.41388,53628.31780,0
1000501,1104009049214,12.44,0.05,24.70989, 5.41387,53628.32588,0
1000501,1104009049214,12.41,0.05,24.70987, 5.41388,53628.33395,0
1000501,1104009049214,12.33,0.05,24.70988, 5.41386,53637.37854,0
1000501,1104009049214,12.36,0.05,24.70988, 5.41385,53637.38503,0
1000501,1104009049214,12.34,0.05,24.70989, 5.41388,53637.39156,0
1000501,1104009049214,12.37,0.05,24.70990, 5.41385,53637.39810,0
1000501,1104009049214,12.32,0.05,24.70990, 5.41385,54080.25170,0
1000501,1104009049214,12.38,0.05,24.70990, 5.41386,54080.25853,0
1000501,1104009049214,12.33,0.05,24.70990, 5.41385,54080.26530,0
1000501,1104009049214,12.33,0.05,24.70990, 5.41386,54080.27202,0
1000501,1104009049214,12.38,0.05,24.70991, 5.41385,53773.09381,0
1000501,1104009049214,12.42,0.05,24.70989, 5.41386,53773.09867,0
1000501,1104009049214,12.37,0.05,24.70990, 5.41386,53773.10353,0
1000501,1104009049214,12.36,0.05,24.70989, 5.41386,53773.10837,0
1000501,1104009049214,12.52,0.05,24.70992, 5.41382,53745.15990,0
1000501,1104009049214,12.47,0.05,24.70990, 5.41384,53745.16527,0
1000501,1104009049214,12.47,0.05,24.70988, 5.41385,53745.17065,0
1000501,1104009049214,12.47,0.05,24.70989, 5.41383,53745.17600,0
1000501,1104009049214,12.32,0.05,24.70990, 5.41388,53757.12237,0
1000501,1104009049214,12.31,0.05,24.70989, 5.41385,53757.13020,0
1000501,1104009049214,12.30,0.05,24.70988, 5.41384,53757.13807,0
1000501,1104009049214,12.29,0.05,24.70989, 5.41386,53757.14593,0
1000501,1104009049214,12.27,0.05,24.70990, 5.41386,54052.18692,0
1000501,1104009049214,12.23,0.05,24.70989, 5.41384,54052.19391,0
1000501,1104009049214,12.24,0.05,24.70989, 5.41387,54052.20088,0
1000501,1104009049214,12.52,0.05,24.70988, 5.41391,54052.20787,0
1000501,1104009049214,12.30,0.05,24.70989, 5.41382,54023.37654,0
1000501,1104009049214,12.27,0.05,24.70988, 5.41384,54023.38291,0
