InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000521,1118009015366,19.11,0.18,26.02389,17.61406,53706.29232,0
1000521,1118009015366,19.27,0.20,26.02376,17.61408,53706.30163,0
1000521,1118009015366,18.81,0.16,26.02355,17.61363,53706.31096,0
1000521,1118009015366,19.24,0.20,26.02358,17.61383,53706.32048,0
1000521,1118009015366,19.51,0.23,26.02318,17.61390,53728.10512,0
1000521,1118009015366,19.30,0.21,26.02341,17.61396,53728.11368,0
1000521,1118009015366,18.61,0.15,26.02411,17.61421,53728.12222,0
1000521,1118009015366,18.61,0.15,26.02360,17.61388,53728.13074,0
1000521,1118009015366,18.94,0.12,26.02358,17.61405,53679.27712,0
1000521,1118009015366,18.52,0.10,26.02371,17.61421,53679.28251,0
1000521,1118009015366,18.34,0.10,26.02406,17.61396,53679.28792,0
1000521,1118009015366,19.15,0.13,26.02361,17.61393,53679.29332,0
1000521,1118009015366,18.69,0.15,26.02392,17.61411,53699.22456,0
1000521,1118009015366,18.97,0.17,26.02357,17.61393,53699.23208,0
1000521,1118009015366,19.12,0.19,26.02380,17.61399,53699.23961,0
1000521,1118009015366,18.83,0.16,26.02399,17.61406,53699.24715,0
1000521,1118009015366,19.12,0.18,26.02331,17.61379,53672.29590,0
1000521,1118009015366,18.73,0.15,26.02335,17.61409,53672.30127,0
1000521,1118009015366,18.83,0.16,26.02356,17.61393,53672.30664,0
1000521,1118009015366,18.87,0.16,26.02390,17.61440,53672.31221,0
1000521,1118009015366,18.90,0.17,26.02314,17.61361,53637.41053,0
1000521,1118009015366,19.09,0.19,26.02367,17.61386,53637.41867,0
1000521,1118009015366,19.26,0.20,26.02347,17.61426,53637.42678,0
1000521,1118009015366,18.97,0.18,26.02348,17.61440,53643.37260,0
1000521,1118009015366,18.84,0.17,26.02354,17.61379,53643.38194,0
1000521,1118009015366,19.44,0.22,26.02358,17.61407,53643.39127,0
1000521,1118009015366,19.04,0.18,26.02326,17.61389,53643.40054,0
1000521,1118009015366,18.96,0.16,26.02357,17.61395,53976.34482,0
1000521,1118009015366,18.99,0.16,26.02359,17.61404,53976.35077,0
1000521,1118009015366,19.31,0.19,26.02368,17.61397,53976.35670,0
1000521,1118009015366,18.79,0.15,26.02358,17.61425,53976.36266,0
1000521,1118009015366,19.16,0.18,26.02348,17.61399,54084.15757,0
1000521,1118009015366,18.82,0.15,26.02385,17.61404,54084.16456,0
1000521,1118009015366,18.83,0.15,26.02367,17.61394,54084.17156,0
1000521,1118009015366,19.26,0.19,26.02368,17.61392,54084.17854,0
1000521,1118009015366,18.69,0.15,26.02297,17.61435,53773.13598,0
1000521,1118009015366,18.75,0.16,26.02295,17.61415,53773.14351,0
1000521,1118009015366,18.82,0.16,26.02348,17.61373,53773.15106,0
1000521,1118009015366,19.13,0.19,26.02377,17.61404,53759.13428,0
1000521,1118009015366,18.51,0.14,26.02340,17.61383,53759.14108,0
1000521,1118009015366,19.61,0.24,26.02378,17.61413,53759.14788,0
1000521,1118009015366,19.05,0.18,26.02366,17.61387,53759.15465,0
1000521,1118009015366,18.87,0.16,26.02445,17.61390,54053.24100,0
1000521,1118009015366,19.53,0.23,26.02341,17.61403,54053.24746,0
1000521,1118009015366,19.94,0.31,26.02387,17.61445,54053.25392,0
1000521,1118009015366,19.47,0.21,26.02303,17.61367,54053.26038,0
1000521,1118009015366,18.88,0.15,26.02349,17.61403,54062.17653,0
1000521,1118009015366,19.00,0.17,26.02327,17.61399,54062.18195,0
1000521,1118009015366,19.48,0.21,26.02332,17.61397,54062.18735,0
1000521,1118009015366,19.32,0.19,26.02362,17.61385,54062.19276,0
1000521,1118009015366,18.74,0.15,26.02354,17.61393,54025.39460,0
1000521,1118009015366,18.81,0.15,26.02365,17.61415,54025.40206,0
1000521,1118009015366,19.28,0.19,26.02358,17.61426,54025.40949,0
1000521,1118009015366,18.97,0.16,26.02336,17.61424,54025.41702,0
1000521,1118009015366,18.91,0.16,26.02355,17.61369,54039.14658,0
1000521,1118009015366,18.80,0.15,26.02359,17.61379,54039.15322,0
1000521,1118009015366,19.15,0.18,26.02350,17.61433,54039.15981,0
1000521,1118009015366,18.77,0.15,26.02377,17.61396,54039.16648,0
1000521,1118009015366,19.27,0.18,26.02355,17.61396,53994.33570,0
1000521,1118009015366,19.13,0.17,26.02336,17.61402,53994.34103,0
1000521,1118009015366,18.98,0.16,26.02352,17.61405,53994.34639,0
1000521,1118009015366,19.50,0.21,26.02331,17.61373,53994.35172,0
1000521,1118009015366,19.09,0.17,26.02386,17.61404,54008.29106,0
1000521,1118009015366,19.02,0.17,26.02358,17.61402,54008.30044,0
1000521,1118009015366,19.02,0.17,26.02354,17.61402,54008.30990,0
1000521,1118009015366,19.12,0.17,26.02379,17.61412,54008.31930,0
1000521,1118009015366,19.54,0.21,26.02377,17.61418,54438.18083,0
1000521,1118009015366,19.42,0.20,26.02369,17.61402,54438.18741,0
1000521,1118009015366,19.08,0.17,26.02357,17.61412,54438.19395,0
1000521,1118009015366,19.00,0.17,26.02390,17.61430,54438.20051,0
1000521,1118009015366,19.20,0.18,26.02347,17.61403,54465.15699,0
1000521,1118009015366,19.26,0.19,26.02351,17.61407,54465.16346,0
1000521,1118009015366,18.92,0.16,26.02351,17.61397,54465.16991,0
1000521,1118009015366,18.87,0.16,26.02360,17.61389,54465.17638,0
1000521,1118009015366,19.09,0.18,26.02374,17.61383,54110.12348,0
1000521,1118009015366,19.44,0.21,26.02350,17.61384,54110.12997,0
1000521,1118009015366,19.03,0.17,26.02386,17.61422,54110.13645,0
1000521,1118009015366,18.97,0.17,26.02371,17.61383,54110.14292,0
1000521,1118009015366,19.11,0.18,26.02343,17.61409,54116.18891,0
1000521,1118009015366,19.39,0.20,26.02342,17.61393,54116.19487,0
1000521,1118009015366,19.28,0.19,26.02347,17.61419,54116.20097,0
1000521,1118009015366,18.89,0.16,26.02325,17.61369,54116.20694,0
1000521,1118009015366,19.68,0.23,26.02353,17.61380,54128.14162,0
1000521,1118009015366,19.47,0.21,26.02329,17.61436,54128.14645,0
1000521,1118009015366,19.07,0.18,26.02341,17.61376,54128.15128,0
1000521,1118009015366,20.00,0.28,26.02351,17.61356,54128.15611,0
1000521,1118009015366,18.69,0.28,26.02355,17.61383,54276.46564,0
1000521,1118009015366,18.83,0.31,26.02355,17.61391,54276.46688,0
1000521,1118009015366,18.69,0.15,26.02355,17.61423,54412.27930,0
1000521,1118009015366,18.74,0.15,26.02389,17.61424,54412.28427,0
1000521,1118009015366,18.63,0.15,26.02365,17.61399,54412.28921,0
1000521,1118009015366,18.88,0.16,26.02333,17.61419,54412.29417,0
1000521,1118009015366,19.10,0.17,26.02361,17.61420,54381.33315,0
1000521,1118009015366,18.90,0.16,26.02375,17.61410,54381.34590,0
1000521,1118009015366,19.16,0.18,26.02350,17.61396,54381.35860,0
1000521,1118009015366,19.14,0.18,26.02331,17.61407,54381.37140,0
1000521,1118009015366,18.66,0.14,26.02355,17.61393,54403.23313,0
1000521,1118009015366,19.80,0.25,26.02313,17.61414,54403.24151,0
1000521,1118009015366,19.14,0.18,26.02391,17.61404,54403.24992,0
1000521,1118009015366,18.97,0.16,26.02391,17.61414,54403.25832,0
1000521,1118009015366,19.16,0.19,26.02388,17.61406,54348.44476,0
1000521,1118009015366,18.80,0.16,26.02337,17.61386,54348.45258,0
1000521,1118009015366,19.16,0.19,26.02359,17.61399,54348.46058,0
1000521,1118009015366,19.01,0.17,26.02341,17.61406,54348.46839,0
1000521,1118009015366,19.18,0.18,26.02370,17.61397,54355.31955,0
1000521,1118009015366,18.96,0.17,26.02369,17.61385,54355.32605,0
1000521,1118009015366,19.07,0.17,26.02405,17.61390,54355.33258,0
1000521,1118009015366,19.03,0.17,26.02339,17.61396,54355.33913,0
1000521,1118009015366,18.75,0.15,26.02353,17.61411,54821.21062,0
1000521,1118009015366,19.00,0.17,26.02351,17.61404,54821.21855,0
1000521,1118009015366,18.84,0.15,26.02361,17.61400,54821.22648,0
1000521,1118009015366,18.66,0.14,26.02396,17.61402,54821.23429,0
1000521,1118009015366,19.09,0.17,26.02393,17.61419,54495.10760,0
1000521,1118009015366,19.27,0.19,26.02362,17.61396,54495.11358,0
1000521,1118009015366,19.05,0.17,26.02354,17.61404,54495.11955,0
1000521,1118009015366,18.96,0.16,26.02346,17.61400,54495.12551,0
1000521,1118009015366,18.88,0.16,26.02408,17.61415,54789.15816,0
1000521,1118009015366,18.69,0.14,26.02352,17.61404,54789.16539,0
1000521,1118009015366,18.99,0.16,26.02348,17.61427,54789.17257,0
1000521,1118009015366,18.88,0.16,26.02368,17.61396,54789.17974,0
1000521,1118009015366,18.80,0.15,26.02341,17.61388,54800.16057,0
1000521,1118009015366,19.00,0.16,26.02367,17.61407,54800.17037,0
1000521,1118009015366,18.99,0.16,26.02403,17.61424,54800.18001,0
1000521,1118009015366,18.96,0.16,26.02358,17.61410,54800.18982,0
1000521,1118009015366,18.69,0.14,26.02365,17.61370,54745.36189,0
1000521,1118009015366,18.95,0.16,26.02399,17.61410,54745.36836,0
1000521,1118009015366,19.13,0.17,26.02358,17.61404,54745.37507,0
1000521,1118009015366,19.23,0.18,26.02358,17.61417,54745.38169,0
1000521,1118009015366,19.40,0.20,26.02413,17.61404,54732.25811,0
1000521,1118009015366,18.84,0.15,26.02376,17.61416,54732.26644,0
1000521,1118009015366,19.00,0.16,26.02386,17.61408,54732.27455,0
1000521,1118009015366,19.16,0.18,26.02382,17.61402,54732.28275,0
1000521,1118009015366,19.06,0.17,26.02370,17.61436,55176.19222,0
1000521,1118009015366,19.03,0.17,26.02348,17.61391,55176.19957,0
1000521,1118009015366,18.83,0.15,26.02379,17.61417,55176.20692,0
1000521,1118009015366,18.66,0.14,26.02350,17.61415,55176.21420,0
1000521,1118009015366,18.84,0.16,26.02350,17.61409,55183.11734,0
1000521,1118009015366,19.00,0.17,26.02357,17.61372,55183.12240,0
1000521,1118009015366,18.88,0.16,26.02354,17.61404,55183.12756,0
1000521,1118009015366,19.17,0.18,26.02335,17.61382,55183.13266,0
1000521,1118009015366,19.34,0.20,26.02356,17.61390,54848.17297,0
1000521,1118009015366,18.91,0.16,26.02362,17.61407,54848.18021,0
1000521,1118009015366,18.87,0.16,26.02341,17.61413,54848.18750,0
1000521,1118009015366,18.82,0.16,26.02354,17.61410,54848.19475,0
1000521,1118009015366,19.55,0.22,26.02361,17.61401,55141.23271,0
1000521,1118009015366,18.70,0.15,26.02359,17.61433,55141.23928,0
1000521,1118009015366,18.95,0.17,26.02375,17.61399,55141.24580,0
1000521,1118009015366,19.08,0.18,26.02385,17.61361,55141.25235,0
1000521,1118009015366,19.10,0.18,26.02382,17.61414,55160.15238,0
1000521,1118009015366,18.79,0.15,26.02366,17.61405,55160.16039,0
1000521,1118009015366,18.96,0.17,26.02376,17.61393,55160.16840,0
1000521,1118009015366,18.72,0.15,26.02338,17.61373,55160.17689,0
1000521,1118009015366,18.96,0.17,26.02359,17.61386,55118.36225,0
1000521,1118009015366,18.91,0.17,26.02336,17.61387,55118.37088,0
1000521,1118009015366,18.91,0.17,26.02339,17.61410,55118.37961,0
1000521,1118009015366,18.84,0.17,26.02363,17.61394,55118.38838,0
1000521,1118009015366,19.16,0.18,26.02384,17.61421,55126.31486,0
1000521,1118009015366,19.23,0.19,26.02396,17.61401,55126.32329,0
1000521,1118009015366,18.87,0.16,26.02346,17.61411,55126.33174,0
1000521,1118009015366,18.99,0.17,26.02373,17.61392,55126.34017,0
1000521,1118009015366,18.97,0.17,26.02365,17.61418,55085.40789,0
1000521,1118009015366,19.13,0.18,26.02360,17.61394,55085.41388,0
1000521,1118009015366,19.07,0.18,26.02308,17.61381,55085.41992,0
1000521,1118009015366,18.64,0.15,26.02341,17.61388,55085.42602,0
1000521,1118009015366,19.27,0.20,26.02354,17.61406,55543.13936,0
1000521,1118009015366,19.07,0.19,26.02368,17.61398,55543.16668,0
1000521,1118009015366,18.83,0.16,26.02330,17.61396,55240.11940,0
1000521,1118009015366,19.66,0.25,26.02358,17.61390,55240.12690,0
1000521,1118009015366,19.08,0.18,26.02349,17.61369,55240.13433,0
1000521,1118009015366,18.70,0.16,26.02358,17.61398,55240.14176,0
1000521,1118009015366,19.04,0.17,26.02330,17.61395,55210.08950,0
1000521,1118009015366,18.88,0.16,26.02358,17.61409,55210.09624,0
1000521,1118009015366,19.11,0.18,26.02356,17.61411,55210.10308,0
1000521,1118009015366,19.01,0.17,26.02346,17.61402,55210.10991,0
1000521,1118009015366,18.85,0.16,26.02366,17.61407,55501.26663,0
1000521,1118009015366,19.02,0.17,26.02369,17.61402,55501.28359,0
1000521,1118009015366,19.18,0.19,26.02367,17.61389,55501.29201,0
1000521,1118009015366,18.73,0.15,26.02354,17.61448,55509.17578,0
1000521,1118009015366,18.94,0.17,26.02399,17.61400,55509.18375,0
1000521,1118009015366,18.90,0.16,26.02376,17.61404,55509.18775,0
1000521,1118009015366,19.53,0.22,26.02383,17.61378,55516.12384,0
1000521,1118009015366,18.96,0.17,26.02353,17.61348,55516.12898,0
1000521,1118009015366,18.77,0.19,26.02374,17.61400,55528.24866,0
1000521,1118009015366,19.20,0.23,26.02348,17.61425,55528.26262,0
1000521,1118009015366,18.62,0.18,26.02355,17.61373,55528.26954,0
1000521,1118009015366,18.84,0.16,26.02367,17.61413,55477.34435,0
1000521,1118009015366,19.04,0.18,26.02355,17.61416,55477.35825,0
1000521,1118009015366,19.05,0.18,26.02370,17.61395,55477.36522,0
1000521,1118009015366,19.27,0.20,26.02415,17.61424,55497.19489,0
1000521,1118009015366,18.91,0.17,26.02353,17.61409,55497.20867,0
1000521,1118009015366,18.85,0.16,26.02357,17.61379,55497.21559,0
1000521,1118009015366,19.00,0.20,26.02368,17.61395,55456.34376,0
1000521,1118009015366,19.02,0.20,26.02382,17.61383,55456.35666,0
1000521,1118009015366,19.11,0.21,26.02341,17.61408,55456.36312,0
1000521,1118009015366,19.17,0.19,26.02357,17.61417,55469.36313,0
