InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000541,1009010001984,20.26,0.32,26.76549,-11.16373,53710.15739,0
1000541,1009010001984,20.95,0.47,26.76574,-11.16406,53710.17512,0
1000541,1009010001984,19.52,0.22,26.76575,-11.16400,53733.11422,0
1000541,1009010001984,19.95,0.28,26.76559,-11.16384,53679.24673,0
1000541,1009010001984,19.91,0.27,26.76549,-11.16422,53679.26155,0
1000541,1009010001984,20.02,0.29,26.76579,-11.16402,53679.26902,0
1000541,1009010001984,20.05,0.30,26.76554,-11.16410,53704.25577,0
1000541,1009010001984,20.64,0.47,26.76581,-11.16475,53651.35372,0
1000541,1009010001984,20.31,0.36,26.76553,-11.16431,53626.33321,0
1000541,1009010001984,20.05,0.31,26.76568,-11.16421,53626.34951,0
1000541,1009010001984,20.46,0.39,26.76578,-11.16402,53626.35762,0
1000541,1009010001984,20.51,0.36,26.76550,-11.16416,54091.16302,0
1000541,1009010001984,20.20,0.30,26.76564,-11.16356,54091.17111,0
1000541,1009010001984,20.18,0.30,26.76560,-11.16379,54091.17921,0
1000541,1009010001984,20.33,0.32,26.76533,-11.16362,54056.22884,0
1000541,1009010001984,19.83,0.24,26.76567,-11.16370,54062.23018,0
1000541,1009010001984,19.78,0.24,26.76572,-11.16401,54062.24306,0
1000541,1009010001984,20.43,0.34,26.76540,-11.16403,54029.27224,0
1000541,1009010001984,19.99,0.26,26.76594,-11.16415,54029.28199,0
1000541,1009010001984,20.05,0.27,26.76600,-11.16320,54003.37006,0
1000541,1009010001984,20.16,0.29,26.76565,-11.16402,54003.38481,0
1000541,1009010001984,19.80,0.24,26.76556,-11.16411,54003.39217,0
1000541,1009010001984,19.66,0.23,26.76568,-11.16387,54406.24181,0
1000541,1009010001984,20.02,0.27,26.76498,-11.16425,54406.24832,0
1000541,1009010001984,20.05,0.28,26.76537,-11.16374,54415.20487,0
1000541,1009010001984,20.07,0.28,26.76568,-11.16389,54415.21189,0
1000541,1009010001984,20.76,0.41,26.76581,-11.16395,54415.21890,0
1000541,1009010001984,21.21,0.53,26.76574,-11.16364,54415.22591,0
1000541,1009010001984,19.70,0.23,26.76585,-11.16395,54385.29391,0
1000541,1009010001984,20.03,0.27,26.76580,-11.16395,54385.30173,0
1000541,1009010001984,20.42,0.34,26.76526,-11.16381,54385.30950,0
1000541,1009010001984,20.12,0.29,26.76554,-11.16393,54385.31734,0
1000541,1009010001984,20.70,0.40,26.76546,-11.16384,54388.31681,0
1000541,1009010001984,19.55,0.22,26.76557,-11.16393,54388.32483,0
1000541,1009010001984,20.32,0.32,26.76559,-11.16398,54388.33291,0
1000541,1009010001984,19.82,0.25,26.76549,-11.16368,54388.34098,0
1000541,1009010001984,19.83,0.25,26.76569,-11.16380,54357.40286,0
1000541,1009010001984,20.05,0.28,26.76528,-11.16381,54357.41191,0
1000541,1009010001984,19.68,0.24,26.76548,-11.16374,54357.42096,0
1000541,1009010001984,19.49,0.22,26.76539,-11.16369,54802.21298,0
1000541,1009010001984,19.72,0.24,26.76552,-11.16380,54802.21907,0
1000541,1009010001984,20.36,0.34,26.76745,-11.16269,54802.22508,0
1000541,1009010001984,20.51,0.36,26.76715,-11.16261,54468.06609,0
1000541,1009010001984,19.69,0.23,26.76594,-11.16427,54468.07145,0
1000541,1009010001984,19.42,0.20,26.76541,-11.16406,54772.27589,0
1000541,1009010001984,19.75,0.24,26.76570,-11.16404,54772.28199,0
1000541,1009010001984,19.90,0.26,26.76567,-11.16409,54772.29419,0
1000541,1009010001984,19.51,0.21,26.76578,-11.16313,54790.26057,0
1000541,1009010001984,19.37,0.19,26.76550,-11.16389,54790.26846,0
1000541,1009010001984,20.30,0.32,26.76581,-11.16397,54743.43056,0
1000541,1009010001984,19.57,0.22,26.76580,-11.16394,54743.44284,0
1000541,1009010001984,18.83,0.16,26.76563,-11.16384,54743.45091,0
1000541,1009010001984,20.12,0.28,26.76518,-11.16402,54765.27966,0
1000541,1009010001984,19.85,0.25,26.76559,-11.16405,54765.29678,0
1000541,1009010001984,19.70,0.23,26.76605,-11.16318,54731.44911,0
1000541,1009010001984,19.50,0.21,26.76537,-11.16369,54731.45644,0
1000541,1009010001984,19.36,0.20,26.76608,-11.16335,55060.44582,0
1000541,1009010001984,19.39,0.20,26.76581,-11.16360,55060.45184,0
1000541,1009010001984,19.32,0.20,26.76559,-11.16373,55060.45794,0
1000541,1009010001984,19.81,0.25,26.76558,-11.16372,55060.46403,0
1000541,1009010001984,19.77,0.24,26.76591,-11.16382,55182.12935,0
1000541,1009010001984,19.64,0.23,26.76606,-11.16482,55182.13456,0
1000541,1009010001984,20.56,0.39,26.76563,-11.16431,55146.20973,0
1000541,1009010001984,19.89,0.27,26.76572,-11.16391,55146.22421,0
1000541,1009010001984,20.09,0.30,26.76514,-11.16389,55146.23145,0
1000541,1009010001984,20.15,0.30,26.76623,-11.16399,55153.20898,0
1000541,1009010001984,20.14,0.30,26.76587,-11.16370,55153.21614,0
1000541,1009010001984,19.81,0.25,26.76565,-11.16397,55153.22347,0
1000541,1009010001984,19.89,0.27,26.76558,-11.16331,55125.29002,0
1000541,1009010001984,19.18,0.19,26.76553,-11.16384,55125.29608,0
1000541,1009010001984,20.50,0.37,26.76548,-11.16405,55125.30804,0
1000541,1009010001984,20.20,0.31,26.76598,-11.16425,55090.43493,0
1000541,1009010001984,19.98,0.28,26.76574,-11.16394,55090.44047,0
1000541,1009010001984,20.36,0.34,26.76538,-11.16406,55090.44605,0
1000541,1009010001984,20.62,0.40,26.76534,-11.16415,55090.45163,0
1000541,1009010001984,19.94,0.28,26.76555,-11.16398,55099.46599,0
1000541,1009010001984,19.95,0.28,26.76535,-11.16372,55536.19510,0
1000541,1009010001984,20.27,0.33,26.76581,-11.16424,55536.20948,0
1000541,1009010001984,19.96,0.28,26.76585,-11.16382,55501.22988,0
1000541,1009010001984,19.89,0.26,26.76596,-11.16385,55508.24870,0
1000541,1009010001984,19.84,0.26,26.76568,-11.16390,55508.26147,0
1000541,1009010001984,19.80,0.25,26.76556,-11.16385,55508.26782,0
1000541,1009010001984,20.64,0.40,26.76507,-11.16416,55516.21565,0
1000541,1009010001984,19.30,0.20,26.76534,-11.16416,55476.31097,0
1000541,1009010001984,20.00,0.28,26.76565,-11.16387,55476.32595,0
1000541,1009010001984,19.33,0.20,26.76589,-11.16385,55476.33349,0
1000541,1009010001984,19.98,0.27,26.76565,-11.16356,55864.23329,0
1000541,1009010001984,19.33,0.20,26.76530,-11.16373,55864.23986,0
1000541,1009010001984,19.76,0.24,26.76590,-11.16398,55864.25307,0
1000541,1009010001984,20.64,0.41,26.76567,-11.16432,55834.34566,0
1000541,1009010001984,19.13,0.18,26.76579,-11.16400,55834.35141,0
1000541,1009010001984,20.36,0.34,26.76487,-11.16409,55882.25372,0
1000541,1009010001984,19.67,0.23,26.76525,-11.16463,55882.25982,0
1000541,1009010001984,19.87,0.25,26.76548,-11.16347,55852.32005,0
1000541,1009010001984,20.11,0.29,26.76541,-11.16403,55852.32571,0
1000541,1009010001984,20.13,0.29,26.76600,-11.16394,55852.33711,0
1000541,1009010001984,19.98,0.28,26.76570,-11.16408,56215.33220,0
1000541,1009010001984,20.80,0.44,26.76585,-11.16365,56215.34070,0
1000541,1009010001984,19.97,0.28,26.76534,-11.16381,56222.32987,0
1000541,1009010001984,19.52,0.22,26.76540,-11.16377,56222.33559,0
1000541,1009010001984,19.81,0.26,26.76542,-11.16373,56222.34181,0
1000541,1009010001984,20.21,0.32,26.76584,-11.16381,56222.34759,0
1000541,1009010001984,20.32,0.40,26.76591,-11.16409,56548.37043,0
1000541,1009010001984,20.26,0.36,26.76590,-11.16405,56548.37719,0
1000541,1009010001984,19.35,0.22,26.76565,-11.16380,56548.38397,0
1000541,1009010001984,19.93,0.30,26.76560,-11.16386,56548.39065,0
1000541,1009010001984,20.55,0.38,26.76534,-11.16396,56565.43170,0
1000541,1009010001984,20.29,0.32,26.76567,-11.16347,56565.44189,0
1000541,1009010001984,19.55,0.22,26.76566,-11.16409,56565.44703,0
1000541,1009010001984,19.62,0.23,26.76563,-11.16405,56596.26021,0
1000541,1009010001984,20.12,0.30,26.76495,-11.16346,56596.27549,0
1000541,1009010001984,20.26,0.32,26.76560,-11.16375,56596.28311,0
1000541,1009010001994,20.32,0.34,26.78244,-11.16099,53704.23855,0
1000541,1009010001994,20.60,0.37,26.78087,-11.16146,54406.26133,0
1000541,1009010001994,20.20,0.30,26.78273,-11.16201,54385.29391,0
1000541,1009010001994,21.22,0.53,26.78243,-11.16128,54385.30173,0
1000541,1009010001994,20.94,0.46,26.78277,-11.16146,54772.28811,0
1000541,1009010001994,20.64,0.38,26.78270,-11.16166,54790.26057,0
1000541,1009010001994,20.68,0.38,26.78349,-11.16022,54765.27113,0
1000541,1009010001994,20.13,0.30,26.78274,-11.16132,55146.21688,0
1000541,1009010001994,20.37,0.34,26.78318,-11.16155,55146.22421,0
1000541,1009010001994,19.95,0.27,26.78302,-11.16135,55153.20898,0
1000541,1009010001994,20.69,0.41,26.78287,-11.16216,55153.23065,0
1000541,1009010001994,19.00,0.17,26.78272,-11.15953,55125.30804,0
1000541,1009010001994,20.69,0.41,26.78164,-11.16240,55090.45163,0
1000541,1009010001994,20.71,0.42,26.78255,-11.16155,55536.20948,0
1000541,1009010001994,20.03,0.29,26.78346,-11.16062,55508.24870,0
1000541,1009010001994,20.54,0.38,26.78259,-11.16157,55508.26782,0
1000541,1009010001994,19.82,0.26,26.78259,-11.16120,55476.33349,0
1000541,1009010001994,19.74,0.25,26.78342,-11.16129,55497.29792,0
1000541,1009010001994,20.66,0.40,26.78252,-11.16127,55864.25307,0
1000541,1009010001994,21.05,0.51,26.78183,-11.16247,55834.33997,0
1000541,1009010001994,20.43,0.35,26.78279,-11.16104,55882.25982,0
1000541,1009010001994,19.57,0.23,26.78327,-11.16100,56209.44746,0
1000541,1009010001994,21.00,0.49,26.78217,-11.16147,56215.33220,0
1000541,1009010001994,19.40,0.21,26.78223,-11.16093,56222.33559,0
1000541,1009010001994,20.05,0.32,26.78068,-11.16106,56548.37719,0
1000541,1009010001994,19.54,0.24,26.78301,-11.15958,56548.39065,0
1000541,1009010001994,20.67,0.40,26.78329,-11.15938,56565.43170,0
1000541,1009010001994,20.59,0.38,26.78445,-11.16047,56565.43675,0
1000541,1009010002012,19.85,0.26,26.77804,-11.16180,53710.16331,0
1000541,1009010002012,20.65,0.41,26.77735,-11.16185,53704.22994,0
1000541,1009010002012,20.68,0.48,26.77785,-11.16196,53651.35372,0
1000541,1009010002012,20.84,0.46,26.77817,-11.16219,53667.33680,0
1000541,1009010002012,19.57,0.22,26.77727,-11.16247,54091.17921,0
1000541,1009010002012,20.99,0.46,26.77791,-11.16158,54056.22241,0
1000541,1009010002012,20.58,0.36,26.77794,-11.16133,54056.24171,0
1000541,1009010002012,19.93,0.26,26.77811,-11.16219,54012.33240,0
1000541,1009010002012,20.55,0.36,26.77716,-11.16225,54029.28199,0
1000541,1009010002012,20.50,0.35,26.77798,-11.16236,54029.30143,0
1000541,1009010002012,20.49,0.35,26.77782,-11.16188,54003.37006,0
1000541,1009010002012,20.73,0.40,26.77821,-11.16243,54003.37747,0
1000541,1009010002012,20.58,0.37,26.77891,-11.16196,54406.25483,0
1000541,1009010002012,19.74,0.24,26.77817,-11.16177,54415.21890,0
1000541,1009010002012,20.70,0.40,26.77790,-11.16179,54415.22591,0
1000541,1009010002012,19.84,0.25,26.77767,-11.16215,54385.29391,0
1000541,1009010002012,20.47,0.35,26.77780,-11.16199,54385.30950,0
1000541,1009010002012,20.04,0.27,26.77813,-11.16164,54385.31734,0
1000541,1009010002012,20.19,0.30,26.77744,-11.16191,54388.32483,0
1000541,1009010002012,20.25,0.32,26.77726,-11.16211,54357.41191,0
1000541,1009010002012,20.23,0.31,26.77816,-11.16164,54357.43004,0
1000541,1009010002012,19.60,0.23,26.77824,-11.16193,54802.21298,0
1000541,1009010002012,21.03,0.50,26.77733,-11.16132,54802.21907,0
1000541,1009010002012,20.39,0.34,26.77874,-11.16231,54802.22508,0
1000541,1009010002012,20.30,0.36,26.77955,-11.16133,54505.10028,0
1000541,1009010002012,19.75,0.24,26.77723,-11.16244,54468.06609,0
1000541,1009010002012,20.99,0.46,26.77800,-11.16140,54790.25273,0
1000541,1009010002012,20.11,0.28,26.77826,-11.16226,54790.27632,0
1000541,1009010002012,20.93,0.45,26.77790,-11.16192,54743.43056,0
1000541,1009010002012,20.42,0.34,26.77783,-11.16242,54748.27283,0
1000541,1009010002012,21.15,0.50,26.77804,-11.16217,54765.27113,0
1000541,1009010002012,19.94,0.26,26.77831,-11.16165,54765.27966,0
1000541,1009010002012,20.89,0.44,26.77820,-11.16189,54731.43468,0
1000541,1009010002012,20.51,0.35,26.77804,-11.16278,54731.44179,0
1000541,1009010002012,19.64,0.23,26.77806,-11.16208,55060.46403,0
1000541,1009010002012,20.59,0.38,26.77764,-11.16217,55182.12935,0
1000541,1009010002012,20.37,0.33,26.77785,-11.16204,55182.13972,0
1000541,1009010002012,19.80,0.26,26.77784,-11.16192,55146.20973,0
1000541,1009010002012,19.59,0.23,26.77774,-11.16239,55146.21688,0
1000541,1009010002012,20.35,0.34,26.77755,-11.16195,55153.21614,0
1000541,1009010002012,20.08,0.29,26.77768,-11.16221,55153.22347,0
1000541,1009010002012,19.50,0.22,26.77829,-11.16192,55125.29608,0
1000541,1009010002012,20.05,0.29,26.77798,-11.16237,55125.30206,0
1000541,1009010002012,21.11,0.52,26.77732,-11.16191,55090.44047,0
1000541,1009010002012,19.76,0.25,26.77739,-11.16215,55090.45163,0
1000541,1009010002012,20.28,0.33,26.77744,-11.16175,55099.44053,0
1000541,1009010002012,20.22,0.32,26.77831,-11.16217,55536.19510,0
1000541,1009010002012,20.02,0.29,26.77799,-11.16211,55536.20948,0
1000541,1009010002012,20.11,0.30,26.77857,-11.16182,55501.22988,0
1000541,1009010002012,19.14,0.18,26.77756,-11.16225,55864.23986,0
1000541,1009010002012,19.96,0.28,26.77770,-11.16273,55834.35141,0
1000541,1009010002012,21.14,0.54,26.77983,-11.16348,55834.35141,1
1000541,1009010002012,19.38,0.21,26.77869,-11.16193,55834.35708,0
1000541,1009010002012,20.78,0.43,26.77689,-11.16180,55882.24753,0
1000541,1009010002012,20.83,0.46,26.77818,-11.16243,56209.45316,0
1000541,1009010002012,20.32,0.34,26.77807,-11.16135,56215.32369,0
