InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000561,1143008011020,18.29,0.12,27.80067,42.64795,53709.20771,0
1000561,1143008011020,18.46,0.13,27.80033,42.64788,53709.21549,0
1000561,1143008011020,18.26,0.12,27.80048,42.64812,53709.22318,0
1000561,1143008011020,18.53,0.14,27.80045,42.64790,53709.23090,0
1000561,1143008011020,18.46,0.13,27.80073,42.64801,53734.20227,0
1000561,1143008011020,18.18,0.12,27.80009,42.64775,53734.20927,0
1000561,1143008011020,18.35,0.13,27.80046,42.64786,53734.21626,0
1000561,1143008011020,18.52,0.14,27.80038,42.64790,53734.22326,0
1000561,1143008011020,18.43,0.13,27.80035,42.64794,53679.22255,0
1000561,1143008011020,18.64,0.14,27.80060,42.64784,53679.22795,0
1000561,1143008011020,18.62,0.14,27.80049,42.64790,53679.23333,0
1000561,1143008011020,18.46,0.13,27.80029,42.64795,53679.23875,0
1000561,1143008011020,18.24,0.13,27.80069,42.64799,53773.16616,0
1000561,1143008011020,18.37,0.13,27.80054,42.64804,53773.17215,0
1000561,1143008011020,18.12,0.12,27.80144,42.64812,53773.17811,0
1000561,1143008011020,18.24,0.13,27.80062,42.64794,53765.08654,0
1000561,1143008011020,18.15,0.13,27.80041,42.64806,53765.09427,0
1000561,1143008011020,18.29,0.13,27.80017,42.64806,53765.10202,0
1000561,1143008011020,18.72,0.16,27.80083,42.64809,53765.10975,0
1000561,1143008011020,18.22,0.12,27.80076,42.64786,54059.16385,0
1000561,1143008011020,18.29,0.12,27.80030,42.64789,54059.16818,0
1000561,1143008011020,18.26,0.12,27.80044,42.64777,54059.17251,0
1000561,1143008011020,18.29,0.12,27.80049,42.64798,54059.17688,0
1000561,1143008011020,18.44,0.13,27.80037,42.64794,54803.11102,0
1000561,1143008011020,18.28,0.12,27.80076,42.64781,54803.11644,0
1000561,1143008011020,18.23,0.12,27.80028,42.64788,54803.12197,0
1000561,1143008011020,18.29,0.12,27.80061,42.64801,54803.12745,0
1000561,1143008011020,18.17,0.12,27.80061,42.64783,54803.13287,0
1000561,1143008011020,18.33,0.12,27.80049,42.64783,54770.33546,0
1000561,1143008011020,18.35,0.12,27.80036,42.64790,54770.34152,0
1000561,1143008011020,18.35,0.12,27.80044,42.64781,54770.34755,0
1000561,1143008011020,18.17,0.12,27.80076,42.64781,54770.35359,0
1000561,1143008011020,18.45,0.13,27.80062,42.64796,55069.39195,0
1000561,1143008011020,18.37,0.13,27.80082,42.64781,55069.39797,0
1000561,1143008011020,18.40,0.13,27.80054,42.64784,55069.40403,0
1000561,1143008011020,18.39,0.13,27.80057,42.64788,55069.41012,0
1000561,1143008011020,18.52,0.14,27.80032,42.64793,55185.24448,0
1000561,1143008011020,18.55,0.14,27.80068,42.64796,55185.24850,0
1000561,1143008011020,18.25,0.12,27.80051,42.64790,55185.25256,0
1000561,1143008011020,18.50,0.13,27.80041,42.64795,55185.25661,0
1000561,1143008011020,18.10,0.12,27.80074,42.64779,55156.21378,0
1000561,1143008011020,18.35,0.13,27.80068,42.64795,55156.22165,0
1000561,1143008011020,18.25,0.12,27.80035,42.64787,55156.22746,0
1000561,1143008011020,18.29,0.12,27.80067,42.64786,55156.23314,0
1000561,1143008011020,18.36,0.13,27.80065,42.64779,55156.23873,0
1000561,1143008011020,18.53,0.14,27.80080,42.64792,55121.21859,0
1000561,1143008011020,18.44,0.13,27.80074,42.64779,55121.22540,0
1000561,1143008011020,18.31,0.13,27.80040,42.64797,55121.23212,0
1000561,1143008011020,18.37,0.13,27.80053,42.64795,55121.23882,0
1000561,1143008011020,18.26,0.12,27.80045,42.64820,55121.24555,0
1000561,1143008011020,18.30,0.13,27.80054,42.64796,55097.44446,0
1000561,1143008011020,18.21,0.12,27.80053,42.64786,55097.44941,0
1000561,1143008011020,18.47,0.13,27.80053,42.64778,55097.45416,0
1000561,1143008011020,18.39,0.13,27.80033,42.64795,55097.45902,0
1000561,1143008011020,18.26,0.11,27.80049,42.64785,55533.21903,0
1000561,1143008011020,18.27,0.11,27.80042,42.64792,55533.23253,0
1000561,1143008011020,18.30,0.11,27.80028,42.64785,55533.23934,0
1000561,1143008011020,18.19,0.12,27.80036,42.64789,55508.31346,0
1000561,1143008011020,18.33,0.13,27.80049,42.64791,55508.32616,0
1000561,1143008011020,18.27,0.12,27.80049,42.64790,55508.33255,0
1000561,1143008011020,18.32,0.13,27.80037,42.64806,55515.19566,0
1000561,1143008011020,18.17,0.12,27.80046,42.64787,55515.20593,0
1000561,1143008011020,18.39,0.13,27.80046,42.64788,55515.21112,0
1000561,1143008011020,18.33,0.13,27.80046,42.64805,55479.28298,0
1000561,1143008011020,18.42,0.13,27.80055,42.64782,55479.29476,0
1000561,1143008011020,18.33,0.13,27.80065,42.64781,55479.30081,0
