InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000581,1101011038081,20.71,0.39,29.14751, 1.82111,54030.30517,0
1000581,1101011038081,20.99,0.55,29.14856, 1.82267,54850.09939,0
1000581,1101011038081,20.34,0.33,29.14738, 1.82163,55120.39268,0
1000581,1101011038081,20.01,0.28,29.14811, 1.82177,55514.25198,0
1000581,1101011038081,21.07,0.49,29.14915, 1.82106,55824.42502,0
1000581,1101011038081,20.58,0.38,29.14877, 1.82274,56233.24185,0
1000581,1101011038316,20.98,0.48,29.15146, 1.83316,53710.19176,0
1000581,1101011038316,18.54,0.14,29.15262, 1.83549,53677.26880,0
1000581,1101011038316,20.35,0.35,29.15182, 1.83368,53671.28268,0
1000581,1101011038316,21.09,0.48,29.15179, 1.83445,54052.19767,0
1000581,1101011038316,20.41,0.33,29.15239, 1.83217,54058.21024,0
1000581,1101011038316,21.20,0.51,29.15085, 1.83310,54058.21686,0
1000581,1101011038316,21.06,0.47,29.15191, 1.83359,54024.28367,0
1000581,1101011038316,21.09,0.50,29.15207, 1.83472,54383.31390,0
1000581,1101011038316,20.43,0.34,29.15112, 1.83336,54392.31261,0
1000581,1101011038316,20.19,0.30,29.15290, 1.83401,54354.36507,0
1000581,1101011038316,21.07,0.48,29.15173, 1.83356,54831.16494,0
1000581,1101011038316,20.00,0.27,29.15334, 1.83449,54477.12134,0
1000581,1101011038316,20.33,0.33,29.15109, 1.83329,55061.40696,0
1000581,1101011038316,19.84,0.25,29.15115, 1.83335,55120.38653,0
1000581,1101011038316,16.71,0.08,29.14937, 1.83424,55534.26686,0
1000581,1101011038316,18.45,0.16,29.15298, 1.83423,55534.26686,1
1000581,1101011038316,20.73,0.35,29.15110, 1.83363,55534.28774,0
1000581,1101011038316,20.42,0.27,29.15103, 1.83360,55506.34309,0
1000581,1101011038316,19.34,0.20,29.15166, 1.83382,55834.29077,0
1000581,1101011038316,19.52,0.21,29.15201, 1.83284,55881.22571,0
1000581,1101011038316,20.50,0.36,29.15108, 1.83301,55893.19692,0
1000581,1101011038316,19.42,0.21,29.15034, 1.83409,56213.34436,0
1000581,1101011038316,21.22,0.46,29.15119, 1.83343,56273.17974,0
1000581,1101011038316,20.54,0.37,29.15122, 1.83361,56297.12046,0
1000581,1101011038316,20.40,0.34,29.15300, 1.83386,56565.46492,0
1000581,1101011038316,21.01,0.49,29.15135, 1.83329,56591.29826,0
1000581,1101011038335,18.03,0.11,29.14687, 1.82604,53710.18424,0
1000581,1101011038335,18.21,0.12,29.14683, 1.82599,53710.19176,0
1000581,1101011038335,17.86,0.11,29.14689, 1.82591,53710.19926,0
1000581,1101011038335,18.04,0.11,29.14697, 1.82607,53710.20674,0
1000581,1101011038335,18.04,0.11,29.14682, 1.82610,53733.16550,0
1000581,1101011038335,18.01,0.11,29.14687, 1.82604,53733.17245,0
1000581,1101011038335,18.00,0.11,29.14672, 1.82601,53733.17943,0
1000581,1101011038335,18.14,0.12,29.14680, 1.82607,53733.18663,0
1000581,1101011038335,18.01,0.11,29.14682, 1.82607,53677.25689,0
1000581,1101011038335,18.06,0.12,29.14682, 1.82594,53677.26283,0
1000581,1101011038335,18.19,0.12,29.14685, 1.82611,53677.26880,0
1000581,1101011038335,17.95,0.11,29.14687, 1.82595,53677.27475,0
1000581,1101011038335,18.00,0.11,29.14677, 1.82606,53696.25641,0
1000581,1101011038335,18.14,0.12,29.14687, 1.82598,53696.26282,0
1000581,1101011038335,17.90,0.11,29.14685, 1.82613,53696.26921,0
1000581,1101011038335,17.92,0.12,29.14684, 1.82609,53696.27564,0
1000581,1101011038335,18.16,0.12,29.14683, 1.82615,53703.12114,0
1000581,1101011038335,18.03,0.12,29.14679, 1.82599,53703.12758,0
1000581,1101011038335,18.06,0.12,29.14686, 1.82615,53703.13406,0
1000581,1101011038335,18.08,0.12,29.14682, 1.82602,53703.14051,0
1000581,1101011038335,17.96,0.12,29.14668, 1.82603,53648.33976,0
1000581,1101011038335,18.01,0.11,29.14682, 1.82608,53671.27197,0
1000581,1101011038335,18.15,0.12,29.14683, 1.82595,53671.27732,0
1000581,1101011038335,18.02,0.12,29.14690, 1.82593,53671.28268,0
1000581,1101011038335,18.02,0.12,29.14678, 1.82599,53671.28805,0
1000581,1101011038335,18.26,0.13,29.14696, 1.82602,53627.38165,0
1000581,1101011038335,18.04,0.12,29.14695, 1.82606,53627.39086,0
1000581,1101011038335,18.10,0.12,29.14683, 1.82596,53627.40014,0
1000581,1101011038335,18.13,0.12,29.14704, 1.82608,53627.40919,0
1000581,1101011038335,18.05,0.12,29.14669, 1.82604,53637.44682,0
1000581,1101011038335,18.01,0.12,29.14673, 1.82594,53637.45523,0
1000581,1101011038335,17.85,0.11,29.14691, 1.82599,53637.46370,0
1000581,1101011038335,18.03,0.12,29.14677, 1.82605,53637.47215,0
1000581,1101011038335,18.03,0.11,29.14680, 1.82606,54080.25289,0
1000581,1101011038335,18.07,0.11,29.14677, 1.82604,54080.25960,0
1000581,1101011038335,18.14,0.12,29.14675, 1.82604,54080.26637,0
1000581,1101011038335,17.98,0.13,29.14670, 1.82606,54080.27309,0
1000581,1101011038335,18.06,0.11,29.14697, 1.82598,54090.15388,0
1000581,1101011038335,18.19,0.12,29.14673, 1.82598,54090.16165,0
1000581,1101011038335,18.04,0.11,29.14686, 1.82600,54090.16941,0
1000581,1101011038335,18.22,0.12,29.14686, 1.82589,54090.17718,0
1000581,1101011038335,18.13,0.12,29.14665, 1.82587,53773.11728,0
1000581,1101011038335,18.03,0.12,29.14684, 1.82622,53773.12267,0
1000581,1101011038335,18.03,0.12,29.14677, 1.82616,53773.12800,0
1000581,1101011038335,17.96,0.11,29.14699, 1.82609,53773.13335,0
1000581,1101011038335,17.88,0.29,29.14698, 1.82584,53741.11359,0
1000581,1101011038335,18.11,0.32,29.14704, 1.82615,53741.12209,0
1000581,1101011038335,17.70,0.26,29.14700, 1.82630,53741.13063,0
1000581,1101011038335,17.75,0.27,29.14675, 1.82588,53741.13914,0
1000581,1101011038335,18.02,0.11,29.14682, 1.82594,53763.09522,0
1000581,1101011038335,18.10,0.12,29.14685, 1.82596,53763.10331,0
1000581,1101011038335,18.09,0.12,29.14680, 1.82602,53763.11138,0
1000581,1101011038335,17.92,0.11,29.14674, 1.82588,53763.11950,0
1000581,1101011038335,17.91,0.10,29.14688, 1.82584,54052.18372,0
1000581,1101011038335,17.96,0.11,29.14678, 1.82605,54052.19069,0
1000581,1101011038335,17.87,0.10,29.14698, 1.82611,54052.19767,0
1000581,1101011038335,18.12,0.11,29.14697, 1.82604,54052.20466,0
1000581,1101011038335,18.00,0.11,29.14683, 1.82609,54058.21024,0
1000581,1101011038335,18.09,0.11,29.14685, 1.82601,54058.21686,0
1000581,1101011038335,18.07,0.11,29.14674, 1.82593,54058.22346,0
1000581,1101011038335,18.09,0.11,29.14680, 1.82605,54058.23007,0
1000581,1101011038335,18.06,0.11,29.14684, 1.82598,54024.26810,0
1000581,1101011038335,18.08,0.11,29.14678, 1.82595,54024.27587,0
1000581,1101011038335,17.98,0.11,29.14693, 1.82601,54024.28367,0
1000581,1101011038335,18.12,0.11,29.14680, 1.82611,54024.29148,0
1000581,1101011038335,18.20,0.12,29.14674, 1.82608,54030.30517,0
1000581,1101011038335,18.08,0.11,29.14682, 1.82599,54030.31160,0
1000581,1101011038335,17.98,0.11,29.14686, 1.82604,54030.31806,0
1000581,1101011038335,17.97,0.11,29.14689, 1.82613,54030.32457,0
1000581,1101011038335,18.03,0.11,29.14694, 1.82597,53996.33348,0
1000581,1101011038335,17.98,0.11,29.14682, 1.82595,53996.34149,0
1000581,1101011038335,17.92,0.11,29.14676, 1.82604,53996.34958,0
1000581,1101011038335,18.04,0.11,29.14680, 1.82611,53996.35764,0
1000581,1101011038335,18.14,0.11,29.14682, 1.82604,54004.38795,0
1000581,1101011038335,17.95,0.11,29.14676, 1.82600,54004.39672,0
1000581,1101011038335,18.02,0.11,29.14687, 1.82595,54004.40549,0
1000581,1101011038335,17.99,0.11,29.14680, 1.82600,54004.41426,0
1000581,1101011038335,17.91,0.11,29.14688, 1.82590,54440.11019,0
1000581,1101011038335,18.19,0.12,29.14698, 1.82605,54440.11659,0
1000581,1101011038335,18.22,0.12,29.14688, 1.82612,54440.12317,0
1000581,1101011038335,18.00,0.11,29.14683, 1.82605,54440.12959,0
1000581,1101011038335,18.04,0.11,29.14690, 1.82620,54411.20428,0
1000581,1101011038335,17.99,0.11,29.14678, 1.82605,54411.21286,0
1000581,1101011038335,17.91,0.11,29.14693, 1.82593,54411.22143,0
1000581,1101011038335,18.14,0.12,29.14690, 1.82612,54411.23000,0
1000581,1101011038335,18.10,0.11,29.14683, 1.82605,54421.26097,0
1000581,1101011038335,18.04,0.11,29.14683, 1.82601,54421.27024,0
1000581,1101011038335,18.11,0.11,29.14683, 1.82606,54421.27941,0
1000581,1101011038335,18.07,0.11,29.14683, 1.82617,54421.28861,0
1000581,1101011038335,18.07,0.11,29.14689, 1.82613,54383.30737,0
1000581,1101011038335,17.99,0.11,29.14675, 1.82608,54383.31390,0
1000581,1101011038335,18.08,0.11,29.14674, 1.82599,54383.32043,0
1000581,1101011038335,18.24,0.12,29.14685, 1.82608,54383.32694,0
1000581,1101011038335,18.17,0.12,29.14691, 1.82619,54392.30341,0
1000581,1101011038335,18.08,0.11,29.14671, 1.82602,54392.31261,0
1000581,1101011038335,18.09,0.11,29.14681, 1.82610,54392.32182,0
1000581,1101011038335,18.13,0.11,29.14678, 1.82603,54392.33106,0
1000581,1101011038335,18.05,0.11,29.14685, 1.82609,54404.26415,0
1000581,1101011038335,18.16,0.12,29.14691, 1.82619,54404.27269,0
1000581,1101011038335,18.07,0.11,29.14681, 1.82609,54404.27914,0
1000581,1101011038335,18.03,0.11,29.14681, 1.82614,54404.28557,0
1000581,1101011038335,17.97,0.11,29.14682, 1.82618,54346.42987,0
1000581,1101011038335,18.17,0.12,29.14675, 1.82606,54346.43633,0
1000581,1101011038335,17.88,0.11,29.14686, 1.82593,54346.44279,0
1000581,1101011038335,17.86,0.10,29.14667, 1.82602,54346.44922,0
1000581,1101011038335,18.06,0.11,29.14684, 1.82606,54354.35204,0
1000581,1101011038335,17.99,0.11,29.14677, 1.82602,54354.35857,0
1000581,1101011038335,18.10,0.12,29.14692, 1.82608,54354.36507,0
1000581,1101011038335,18.02,0.11,29.14680, 1.82612,54354.37159,0
1000581,1101011038335,17.91,0.11,29.14676, 1.82586,54801.22249,0
1000581,1101011038335,17.97,0.11,29.14683, 1.82609,54801.23037,0
1000581,1101011038335,17.96,0.11,29.14692, 1.82600,54801.23829,0
1000581,1101011038335,17.87,0.10,29.14689, 1.82606,54801.24621,0
1000581,1101011038335,17.86,0.10,29.14703, 1.82606,54831.15535,0
1000581,1101011038335,18.03,0.11,29.14676, 1.82602,54831.16494,0
1000581,1101011038335,18.08,0.11,29.14674, 1.82617,54831.17453,0
1000581,1101011038335,18.05,0.11,29.14684, 1.82595,54831.18416,0
1000581,1101011038335,18.02,0.11,29.14685, 1.82598,54477.11490,0
1000581,1101011038335,18.00,0.11,29.14686, 1.82600,54477.12134,0
1000581,1101011038335,17.98,0.11,29.14687, 1.82606,54477.12776,0
1000581,1101011038335,18.06,0.11,29.14680, 1.82599,54477.13420,0
1000581,1101011038335,17.91,0.10,29.14688, 1.82618,54778.24108,0
1000581,1101011038335,18.01,0.11,29.14675, 1.82599,54778.25444,0
1000581,1101011038335,18.05,0.11,29.14669, 1.82607,54778.26790,0
1000581,1101011038335,17.94,0.11,29.14686, 1.82591,54778.28135,0
1000581,1101011038335,17.91,0.11,29.14689, 1.82613,54789.18286,0
1000581,1101011038335,18.00,0.11,29.14692, 1.82601,54789.19102,0
1000581,1101011038335,18.06,0.11,29.14692, 1.82609,54789.19928,0
1000581,1101011038335,17.94,0.11,29.14687, 1.82604,54789.20748,0
1000581,1101011038335,17.90,0.10,29.14695, 1.82613,54768.29063,0
1000581,1101011038335,18.19,0.12,29.14694, 1.82601,54768.29737,0
1000581,1101011038335,18.14,0.11,29.14686, 1.82606,54768.30407,0
1000581,1101011038335,18.09,0.11,29.14692, 1.82606,54768.31063,0
1000581,1101011038335,18.07,0.11,29.14686, 1.82611,54716.39734,0
1000581,1101011038335,18.07,0.11,29.14694, 1.82601,54716.40392,0
1000581,1101011038335,18.15,0.12,29.14699, 1.82604,54716.41043,0
1000581,1101011038335,17.90,0.11,29.14691, 1.82603,54716.41701,0
1000581,1101011038335,18.15,0.11,29.14691, 1.82622,54730.42132,0
1000581,1101011038335,17.98,0.11,29.14694, 1.82599,54730.42780,0
1000581,1101011038335,18.17,0.12,29.14688, 1.82613,54730.43429,0
1000581,1101011038335,18.01,0.11,29.14682, 1.82595,54730.44078,0
1000581,1101011038335,18.00,0.11,29.14690, 1.82601,54738.35115,0
1000581,1101011038335,17.92,0.10,29.14681, 1.82617,54738.36200,0
1000581,1101011038335,18.16,0.11,29.14685, 1.82623,54738.37291,0
1000581,1101011038335,17.90,0.10,29.14695, 1.82609,54738.38377,0
1000581,1101011038335,17.88,0.11,29.14680, 1.82606,55061.39275,0
1000581,1101011038335,18.02,0.11,29.14684, 1.82611,55061.39986,0
1000581,1101011038335,18.19,0.12,29.14684, 1.82615,55061.40696,0
1000581,1101011038335,18.22,0.12,29.14676, 1.82615,55061.41393,0
1000581,1101011038335,18.16,0.16,29.14684, 1.82593,55073.34538,0
1000581,1101011038335,18.07,0.16,29.14685, 1.82614,55073.35126,0
1000581,1101011038335,17.94,0.14,29.14687, 1.82613,55073.35704,0
1000581,1101011038335,17.94,0.15,29.14672, 1.82610,55073.36287,0
1000581,1101011038335,18.03,0.12,29.14688, 1.82616,54850.09939,0
1000581,1101011038335,18.01,0.12,29.14681, 1.82606,54850.10534,0
1000581,1101011038335,18.12,0.13,29.14681, 1.82610,54850.11123,0
1000581,1101011038335,18.12,0.13,29.14680, 1.82596,54850.11716,0
1000581,1101011038335,18.08,0.12,29.14690, 1.82603,55143.31553,0
1000581,1101011038335,17.69,0.10,29.14683, 1.82589,55143.32214,0
1000581,1101011038335,17.71,0.10,29.14670, 1.82595,55143.32884,0
1000581,1101011038335,18.02,0.11,29.14680, 1.82606,55143.33536,0
1000581,1101011038335,18.05,0.11,29.14682, 1.82608,55158.17487,0
1000581,1101011038335,18.14,0.12,29.14686, 1.82602,55158.18081,0
1000581,1101011038335,18.10,0.11,29.14684, 1.82606,55158.18686,0
1000581,1101011038335,18.05,0.11,29.14686, 1.82609,55158.19278,0
1000581,1101011038335,17.93,0.11,29.14687, 1.82601,55158.19877,0
1000581,1101011038335,18.16,0.12,29.14673, 1.82609,55120.38042,0
1000581,1101011038335,18.15,0.12,29.14665, 1.82601,55120.38653,0
1000581,1101011038335,18.06,0.11,29.14674, 1.82594,55120.39268,0
1000581,1101011038335,18.08,0.12,29.14676, 1.82600,55120.39880,0
1000581,1101011038335,17.65,0.11,29.14720, 1.82622,55534.26686,0
1000581,1101011038335,17.96,0.10,29.14685, 1.82602,55534.28074,0
