InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000621,1101011013635,20.13,0.30,30.44984, 0.64799,53710.18424,0
1000621,1101011013635,21.16,0.53,30.45016, 0.64799,53710.19926,0
1000621,1101011013635,20.05,0.29,30.45041, 0.64810,53733.17245,0
1000621,1101011013635,20.49,0.37,30.44992, 0.64820,53677.25689,0
1000621,1101011013635,20.49,0.37,30.45004, 0.64776,53677.27475,0
1000621,1101011013635,20.60,0.40,30.45002, 0.64769,53671.28805,0
1000621,1101011013635,20.22,0.30,30.45009, 0.64812,54080.25960,0
1000621,1101011013635,20.42,0.33,30.44964, 0.64789,54090.16941,0
1000621,1101011013635,20.95,0.44,30.45027, 0.64859,54058.23007,0
1000621,1101011013635,20.71,0.39,30.45055, 0.64857,54024.26810,0
1000621,1101011013635,20.39,0.33,30.45004, 0.64808,54030.31160,0
1000621,1101011013635,20.69,0.38,30.45004, 0.64776,54030.31806,0
1000621,1101011013635,20.47,0.34,30.45037, 0.64764,54004.38795,0
1000621,1101011013635,21.13,0.50,30.45032, 0.64806,54440.12959,0
1000621,1101011013635,21.07,0.49,30.45008, 0.64797,54421.27024,0
1000621,1101011013635,21.06,0.49,30.45005, 0.64708,54421.28861,0
1000621,1101011013635,21.23,0.53,30.45079, 0.64833,54392.32182,0
1000621,1101011013635,20.68,0.40,30.45050, 0.64799,54354.35857,0
1000621,1101011013635,20.20,0.31,30.45000, 0.64753,54354.37159,0
1000621,1101011013635,20.49,0.35,30.45004, 0.64761,54831.17453,0
1000621,1101011013635,20.41,0.33,30.45032, 0.64841,54789.19928,0
1000621,1101011013635,20.57,0.36,30.45048, 0.64827,54716.39734,0
1000621,1101011013635,20.81,0.41,30.45058, 0.64814,54716.41043,0
1000621,1101011013635,20.55,0.56,30.45059, 0.64738,55073.34538,0
1000621,1101011013635,20.14,0.30,30.44989, 0.64779,55143.33536,0
1000621,1101011013635,21.12,0.51,30.45041, 0.64779,55158.19877,0
1000621,1101011013635,21.13,0.52,30.45015, 0.64813,55120.38042,0
1000621,1101011013635,20.05,0.28,30.45045, 0.64779,55208.09820,0
1000621,1101011013635,19.96,0.27,30.45018, 0.64806,55208.12047,0
1000621,1101011013635,20.39,0.34,30.44989, 0.64784,55514.27285,0
1000621,1101011013635,20.51,0.37,30.44996, 0.64796,55480.28770,0
1000621,1101011013635,20.20,0.31,30.45059, 0.64788,55480.30164,0
1000621,1101011013635,20.07,0.29,30.45046, 0.64801,55498.31682,0
1000621,1101011013635,20.69,0.45,30.44989, 0.64840,53648.35312,0
1000621,1101011013635,21.01,0.54,30.45036, 0.64852,53648.36240,0
1000621,1101011013635,20.42,0.38,30.45028, 0.64808,53648.37163,0
1000621,1101011013635,20.39,0.34,30.45012, 0.64817,55861.26829,0
1000621,1101011013635,20.65,0.38,30.45028, 0.64862,55881.22571,0
1000621,1101011013635,19.92,0.26,30.44980, 0.64826,55851.19454,0
1000621,1101011013635,20.05,0.28,30.45004, 0.64771,55851.20135,0
1000621,1101011013635,19.63,0.22,30.45013, 0.64788,55893.19171,0
1000621,1101011013635,20.42,0.36,30.45018, 0.64830,56191.37078,0
1000621,1101011013635,20.93,0.48,30.45054, 0.64805,56191.38079,0
1000621,1101011013635,19.94,0.27,30.44987, 0.64827,56213.34436,0
1000621,1101011013635,20.78,0.47,30.45053, 0.64769,56265.23135,0
1000621,1101011013635,20.54,0.31,30.45050, 0.64820,56273.17362,0
1000621,1101011013635,20.20,0.26,30.44999, 0.64818,56273.18587,0
1000621,1101011013635,21.23,0.55,30.45040, 0.64770,56297.11353,0
1000621,1101011013635,21.19,0.54,30.45005, 0.64803,56297.12718,0
1000621,1101011013635,20.12,0.30,30.45018, 0.64806,56297.13391,0
1000621,1101011013635,19.83,0.27,30.45016, 0.64837,56540.39960,0
1000621,1101011013635,20.12,0.33,30.45020, 0.64843,56541.41724,0
1000621,1101011013635,20.34,0.33,30.45013, 0.64814,56565.45978,0
1000621,1101011013635,20.14,0.30,30.45020, 0.64847,56565.46492,0
1000621,1101011013635,20.09,0.29,30.45013, 0.64866,56571.36269,0
1000621,1101011013635,20.72,0.41,30.45040, 0.64762,56591.29063,0
1000621,1101011013769,18.68,0.15,30.44345, 0.65048,53710.18424,0
1000621,1101011013769,18.77,0.15,30.44319, 0.65032,53710.19176,0
1000621,1101011013769,18.68,0.15,30.44333, 0.65058,53710.19926,0
1000621,1101011013769,18.98,0.17,30.44337, 0.65062,53710.20674,0
1000621,1101011013769,18.69,0.15,30.44330, 0.65039,53733.16550,0
1000621,1101011013769,18.53,0.14,30.44316, 0.65062,53733.17245,0
1000621,1101011013769,18.54,0.14,30.44335, 0.65053,53733.17943,0
1000621,1101011013769,18.73,0.15,30.44328, 0.65040,53733.18663,0
1000621,1101011013769,18.73,0.15,30.44318, 0.65055,53677.25689,0
1000621,1101011013769,18.63,0.15,30.44333, 0.65055,53677.26283,0
1000621,1101011013769,18.87,0.16,30.44327, 0.65058,53677.26880,0
1000621,1101011013769,18.70,0.15,30.44335, 0.65042,53677.27475,0
1000621,1101011013769,18.88,0.16,30.44329, 0.65054,53696.25641,0
1000621,1101011013769,18.81,0.16,30.44323, 0.65060,53696.26282,0
1000621,1101011013769,18.81,0.16,30.44318, 0.65054,53696.26921,0
1000621,1101011013769,18.57,0.15,30.44348, 0.65030,53696.27564,0
1000621,1101011013769,18.76,0.15,30.44341, 0.65050,53703.12114,0
1000621,1101011013769,18.97,0.17,30.44341, 0.65074,53703.12758,0
1000621,1101011013769,18.87,0.16,30.44344, 0.65049,53703.13406,0
1000621,1101011013769,18.78,0.16,30.44351, 0.65057,53703.14051,0
1000621,1101011013769,18.85,0.17,30.44344, 0.65050,53648.33976,0
1000621,1101011013769,18.88,0.16,30.44322, 0.65049,53671.27197,0
1000621,1101011013769,18.79,0.16,30.44328, 0.65063,53671.27732,0
1000621,1101011013769,18.71,0.15,30.44330, 0.65053,53671.28268,0
1000621,1101011013769,18.82,0.16,30.44333, 0.65063,53671.28805,0
1000621,1101011013769,18.67,0.15,30.44324, 0.65041,53627.38165,0
1000621,1101011013769,18.88,0.17,30.44344, 0.65056,53627.39086,0
1000621,1101011013769,18.73,0.16,30.44342, 0.65049,53627.40014,0
1000621,1101011013769,18.52,0.14,30.44330, 0.65060,53627.40919,0
1000621,1101011013769,18.60,0.15,30.44349, 0.65057,53637.44682,0
1000621,1101011013769,18.69,0.15,30.44344, 0.65051,53637.45523,0
1000621,1101011013769,18.73,0.16,30.44351, 0.65059,53637.46370,0
1000621,1101011013769,18.77,0.16,30.44334, 0.65043,53637.47215,0
1000621,1101011013769,18.48,0.13,30.44327, 0.65057,54080.25289,0
1000621,1101011013769,18.75,0.15,30.44337, 0.65053,54080.25960,0
1000621,1101011013769,18.74,0.15,30.44335, 0.65046,54080.26637,0
1000621,1101011013769,18.48,0.16,30.44335, 0.65051,54080.27309,0
1000621,1101011013769,18.41,0.13,30.44322, 0.65095,54090.15388,0
1000621,1101011013769,18.71,0.14,30.44341, 0.65050,54090.16165,0
1000621,1101011013769,18.83,0.15,30.44328, 0.65051,54090.16941,0
1000621,1101011013769,18.61,0.14,30.44355, 0.65080,54090.17718,0
1000621,1101011013769,18.81,0.16,30.44336, 0.65050,53773.11728,0
1000621,1101011013769,18.53,0.14,30.44335, 0.65061,53773.12267,0
1000621,1101011013769,18.75,0.16,30.44346, 0.65085,53773.12800,0
1000621,1101011013769,18.72,0.15,30.44315, 0.65065,53773.13335,0
1000621,1101011013769,18.36,0.37,30.44366, 0.65062,53741.12209,0
1000621,1101011013769,18.53,0.41,30.44364, 0.65043,53741.13914,0
1000621,1101011013769,18.80,0.16,30.44326, 0.65058,53763.09522,0
1000621,1101011013769,18.62,0.15,30.44323, 0.65064,53763.10331,0
1000621,1101011013769,18.72,0.15,30.44320, 0.65055,53763.11138,0
1000621,1101011013769,18.58,0.14,30.44316, 0.65058,53763.11950,0
