InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000661,1018012016670,19.15,0.19,32.32589,-18.79205,53705.20398,0
1000661,1018012016670,18.84,0.16,32.32616,-18.79224,53705.21201,0
1000661,1018012016670,19.18,0.19,32.32588,-18.79230,53705.22010,0
1000661,1018012016670,18.91,0.17,32.32601,-18.79219,53705.22817,0
1000661,1018012016670,19.48,0.22,32.32612,-18.79233,53711.21294,0
1000661,1018012016670,18.67,0.15,32.32637,-18.79218,53711.22099,0
1000661,1018012016670,19.01,0.17,32.32595,-18.79207,53711.22904,0
1000661,1018012016670,19.69,0.24,32.32600,-18.79240,53711.23710,0
1000661,1018012016670,18.90,0.17,32.32611,-18.79192,53680.24436,0
1000661,1018012016670,19.08,0.18,32.32588,-18.79224,53680.24919,0
1000661,1018012016670,19.01,0.17,32.32562,-18.79209,53680.25409,0
1000661,1018012016670,19.01,0.18,32.32585,-18.79233,53680.25897,0
1000661,1018012016670,18.91,0.17,32.32625,-18.79232,53673.29411,0
1000661,1018012016670,19.00,0.18,32.32595,-18.79207,53673.29966,0
1000661,1018012016670,19.00,0.18,32.32560,-18.79227,53673.30526,0
1000661,1018012016670,19.17,0.19,32.32588,-18.79229,53673.31087,0
1000661,1018012016670,19.32,0.19,32.32604,-18.79229,54093.14892,0
1000661,1018012016670,19.29,0.19,32.32601,-18.79212,54093.15534,0
1000661,1018012016670,19.31,0.19,32.32614,-18.79240,54093.16175,0
1000661,1018012016670,19.35,0.20,32.32583,-18.79172,54093.16818,0
1000661,1018012016670,19.44,0.21,32.32561,-18.79267,54040.21316,0
1000661,1018012016670,18.84,0.16,32.32608,-18.79231,54040.21874,0
1000661,1018012016670,18.74,0.15,32.32609,-18.79225,54040.22996,0
1000661,1018012016670,19.16,0.18,32.32604,-18.79224,54057.23330,0
1000661,1018012016670,19.74,0.24,32.32591,-18.79224,54057.24810,0
1000661,1018012016670,19.20,0.18,32.32591,-18.79242,54057.25553,0
1000661,1018012016670,18.56,0.14,32.32620,-18.79223,54058.21355,0
1000661,1018012016670,18.73,0.15,32.32587,-18.79234,54058.22015,0
1000661,1018012016670,19.33,0.19,32.32587,-18.79224,54058.22675,0
1000661,1018012016670,19.56,0.21,32.32601,-18.79210,54058.23337,0
1000661,1018012016670,19.34,0.19,32.32584,-18.79210,54063.27891,0
1000661,1018012016670,18.72,0.15,32.32583,-18.79243,54063.28618,0
1000661,1018012016670,19.14,0.18,32.32587,-18.79216,54063.29345,0
1000661,1018012016670,19.01,0.18,32.32582,-18.79214,54063.30068,0
1000661,1018012016670,19.35,0.20,32.32596,-18.79229,54000.39934,0
1000661,1018012016670,19.37,0.20,32.32597,-18.79236,54000.40557,0
1000661,1018012016670,18.97,0.17,32.32606,-18.79204,54000.41177,0
1000661,1018012016670,19.48,0.22,32.32611,-18.79218,54000.41799,0
1000661,1018012016670,19.30,0.19,32.32586,-18.79220,54005.38185,0
1000661,1018012016670,19.16,0.18,32.32600,-18.79225,54005.39135,0
1000661,1018012016670,18.86,0.16,32.32559,-18.79211,54005.40084,0
1000661,1018012016670,19.40,0.20,32.32595,-18.79226,54005.41034,0
1000661,1018012016670,19.16,0.18,32.32607,-18.79210,54408.37073,0
1000661,1018012016670,19.58,0.23,32.32566,-18.79221,54408.37356,0
1000661,1018012016670,18.95,0.17,32.32586,-18.79243,54408.37643,0
1000661,1018012016670,19.07,0.18,32.32573,-18.79223,54408.37932,0
1000661,1018012016670,18.88,0.16,32.32623,-18.79220,54423.23665,0
1000661,1018012016670,19.70,0.23,32.32592,-18.79225,54423.24418,0
1000661,1018012016670,19.26,0.19,32.32596,-18.79223,54423.25170,0
1000661,1018012016670,19.66,0.23,32.32574,-18.79197,54423.25920,0
1000661,1018012016670,19.12,0.18,32.32596,-18.79198,54385.34016,0
1000661,1018012016670,18.89,0.16,32.32582,-18.79228,54385.34738,0
1000661,1018012016670,19.47,0.20,32.32571,-18.79217,54385.35455,0
1000661,1018012016670,19.37,0.20,32.32609,-18.79219,54385.36177,0
1000661,1018012016670,18.95,0.17,32.32600,-18.79208,54358.40054,0
1000661,1018012016670,19.08,0.18,32.32585,-18.79218,54358.40540,0
1000661,1018012016670,18.93,0.17,32.32619,-18.79218,54358.41023,0
1000661,1018012016670,19.02,0.18,32.32597,-18.79224,54358.41507,0
1000661,1018012016670,18.74,0.16,32.32630,-18.79257,54794.22938,0
1000661,1018012016670,19.01,0.19,32.32603,-18.79235,54794.23527,0
1000661,1018012016670,18.90,0.18,32.32558,-18.79205,54794.24502,0
1000661,1018012016670,19.41,0.23,32.32587,-18.79227,54794.27233,0
1000661,1018012016670,19.02,0.17,32.32603,-18.79229,54748.32426,0
1000661,1018012016670,19.53,0.21,32.32597,-18.79218,54748.33367,0
1000661,1018012016670,18.79,0.15,32.32569,-18.79198,54748.34337,0
1000661,1018012016670,19.38,0.20,32.32592,-18.79218,54748.35306,0
1000661,1018012016670,19.14,0.18,32.32601,-18.79224,54766.30782,0
1000661,1018012016670,19.13,0.18,32.32606,-18.79205,54766.31631,0
1000661,1018012016670,19.10,0.17,32.32566,-18.79221,54766.32478,0
1000661,1018012016670,19.08,0.17,32.32600,-18.79204,54766.33332,0
1000661,1018012016670,19.10,0.17,32.32587,-18.79231,54737.41219,0
1000661,1018012016670,18.71,0.15,32.32568,-18.79213,54737.41935,0
1000661,1018012016670,19.22,0.18,32.32602,-18.79228,54737.42668,0
1000661,1018012016670,19.15,0.18,32.32569,-18.79209,54737.43405,0
1000661,1018012016670,18.67,0.15,32.32601,-18.79200,55152.25486,0
1000661,1018012016670,18.79,0.15,32.32609,-18.79188,55152.26091,0
