InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000681,1115012038079,20.98,0.50,33.46102,16.00989,53733.14245,0
1000681,1115012038079,20.58,0.40,33.46068,16.01065,53733.14881,0
1000681,1115012038079,20.92,0.54,33.46087,16.00975,53649.33213,0
1000681,1115012038079,20.68,0.40,33.46105,16.01047,54056.26269,0
1000681,1115012038079,18.35,0.13,33.46307,16.01109,54421.34760,0
1000681,1115012038079,20.46,0.36,33.46068,16.01063,55160.16343,0
1000681,1115012038079,21.15,0.55,33.46134,16.01071,55482.27446,0
1000681,1115012038079,19.31,0.21,33.46067,16.01009,55497.25618,0
1000681,1115012038079,19.72,0.25,33.46017,16.00970,55469.36370,0
1000681,1115012038079,16.80,0.08,33.46222,16.00990,55469.38431,0
1000681,1115012038079,21.13,0.46,33.46114,16.01048,55598.10875,0
1000681,1115012038079,20.47,0.33,33.45996,16.00965,55621.12361,0
1000681,1115012038079,20.30,0.33,33.46153,16.00859,54820.22000,0
1000681,1115012038079,21.10,0.53,33.46063,16.00868,55925.14990,0
1000681,1115012038079,21.16,0.54,33.46149,16.00937,55945.13280,0
1000681,1115012038079,20.42,0.31,33.46043,16.01068,56267.18803,0
1000681,1115012038079,20.84,0.49,33.46104,16.01026,56536.46812,0
1000681,1115012038079,20.90,0.50,33.46060,16.01058,56549.36511,0
1000681,1115012038150,20.25,0.36,33.47658,16.01232,54079.28389,0
1000681,1115012038150,20.70,0.40,33.47609,16.01281,54056.25563,0
1000681,1115012038150,20.16,0.30,33.47608,16.01326,54056.26974,0
1000681,1115012038150,20.70,0.41,33.47614,16.01300,54448.20713,0
1000681,1115012038150,21.10,0.51,33.47625,16.01208,54393.29998,0
1000681,1115012038150,19.95,0.27,33.47671,16.01316,54393.30812,0
1000681,1115012038150,21.06,0.51,33.47687,16.01287,55925.15495,0
1000681,1115012038150,20.11,0.30,33.47657,16.01312,55925.16011,0
1000681,1115012038150,20.94,0.41,33.47652,16.01322,56186.34653,0
1000681,1115012038174,20.02,0.32,33.47233,16.01282,53727.11963,0
1000681,1115012038174,20.51,0.44,33.47249,16.01275,53727.12441,0
1000681,1115012038174,20.03,0.29,33.47189,16.01265,53733.14881,0
1000681,1115012038174,20.98,0.50,33.47259,16.01254,53733.16170,0
1000681,1115012038174,20.85,0.48,33.47244,16.01286,53699.18965,0
1000681,1115012038174,20.37,0.36,33.47251,16.01289,53699.20461,0
1000681,1115012038174,20.39,0.36,33.47242,16.01303,53699.21211,0
1000681,1115012038174,20.26,0.34,33.47211,16.01237,53671.29118,0
1000681,1115012038174,19.76,0.27,33.47226,16.01272,53671.29500,0
1000681,1115012038174,20.91,0.49,33.47218,16.01282,53671.29881,0
1000681,1115012038174,20.73,0.59,33.47216,16.01252,53619.42665,0
1000681,1115012038174,20.46,0.39,33.47227,16.01240,53638.33720,0
1000681,1115012038174,20.42,0.34,33.47237,16.01264,53975.42861,0
1000681,1115012038174,20.33,0.33,33.47241,16.01244,53975.43507,0
1000681,1115012038174,20.62,0.39,33.47229,16.01277,54081.23945,0
1000681,1115012038174,20.34,0.34,33.47186,16.01305,54081.24602,0
1000681,1115012038174,19.67,0.25,33.47258,16.01287,53758.11318,0
1000681,1115012038174,20.49,0.36,33.47227,16.01285,54050.28344,0
1000681,1115012038174,20.81,0.43,33.47223,16.01240,54050.31662,0
1000681,1115012038174,19.69,0.23,33.47231,16.01302,53993.45052,0
1000681,1115012038174,19.92,0.26,33.47226,16.01245,53993.45714,0
1000681,1115012038174,19.82,0.25,33.47194,16.01290,54448.19081,0
1000681,1115012038174,20.28,0.32,33.47204,16.01271,54448.20713,0
1000681,1115012038174,20.69,0.44,33.47222,16.01291,54140.09789,0
1000681,1115012038174,19.78,0.26,33.47182,16.01281,54140.10432,0
1000681,1115012038174,20.45,0.36,33.47248,16.01190,54140.11075,0
1000681,1115012038174,19.43,0.21,33.47171,16.01226,54108.17751,0
1000681,1115012038174,20.99,0.49,33.47200,16.01281,54108.19493,0
1000681,1115012038174,19.51,0.27,33.47185,16.01275,54407.25276,0
1000681,1115012038174,17.69,0.10,33.47252,16.01243,54421.34760,0
1000681,1115012038174,20.38,0.34,33.47242,16.01269,54388.29323,0
1000681,1115012038174,20.43,0.35,33.47248,16.01244,54388.29912,0
1000681,1115012038174,19.82,0.25,33.47190,16.01288,54388.30496,0
1000681,1115012038174,19.73,0.24,33.47237,16.01270,54393.29998,0
1000681,1115012038174,19.94,0.27,33.47210,16.01224,54393.30812,0
1000681,1115012038174,19.67,0.23,33.47181,16.01277,54393.32437,0
1000681,1115012038174,20.59,0.39,33.47238,16.01264,54403.34451,0
1000681,1115012038174,19.73,0.24,33.47183,16.01494,54403.36459,0
1000681,1115012038174,20.45,0.35,33.47252,16.01268,54363.33746,0
1000681,1115012038174,19.57,0.22,33.47146,16.01282,54363.35176,0
