InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000701,1115013004298,18.73,0.18,34.93603,14.31771,53649.32138,0
1000701,1115013004298,18.76,0.18,34.93599,14.31750,53649.32713,0
1000701,1115013004298,18.55,0.16,34.93607,14.31759,53649.33267,0
1000701,1115013004298,18.54,0.16,34.93617,14.31772,53649.33831,0
1000701,1115013004298,18.59,0.15,34.93619,14.31762,53673.24682,0
1000701,1115013004298,18.66,0.16,34.93591,14.31751,53673.25140,0
1000701,1115013004298,18.65,0.16,34.93599,14.31760,53673.25599,0
1000701,1115013004298,18.52,0.15,34.93603,14.31763,53673.26056,0
1000701,1115013004298,18.36,0.18,34.93627,14.31751,53619.41321,0
1000701,1115013004298,18.53,0.19,34.93617,14.31769,53619.41967,0
1000701,1115013004298,17.89,0.14,34.93596,14.31782,53619.42612,0
1000701,1115013004298,18.56,0.19,34.93609,14.31761,53619.43259,0
1000701,1115013004298,18.62,0.15,34.93619,14.31774,53975.43830,0
1000701,1115013004298,18.71,0.15,34.93603,14.31762,53975.44477,0
1000701,1115013004298,18.54,0.14,34.93594,14.31767,53975.45121,0
1000701,1115013004298,18.49,0.14,34.93623,14.31759,53975.45767,0
1000701,1115013004298,18.72,0.18,34.93596,14.31765,54079.28628,0
1000701,1115013004298,18.75,0.16,34.93624,14.31772,54081.23999,0
1000701,1115013004298,18.63,0.15,34.93612,14.31728,54081.24656,0
1000701,1115013004298,18.63,0.15,34.93602,14.31755,54081.25328,0
1000701,1115013004298,18.87,0.17,34.93583,14.31761,54081.25992,0
1000701,1115013004298,18.48,0.14,34.93607,14.31726,54094.18227,0
1000701,1115013004298,18.43,0.14,34.93590,14.31770,54094.19273,0
1000701,1115013004298,18.64,0.15,34.93588,14.31764,54094.20318,0
1000701,1115013004298,18.62,0.15,34.93594,14.31749,54094.21362,0
1000701,1115013004298,18.66,0.16,34.93594,14.31752,53786.10247,0
1000701,1115013004298,18.50,0.15,34.93592,14.31737,53786.10731,0
1000701,1115013004298,18.68,0.16,34.93599,14.31743,53786.11217,0
1000701,1115013004298,18.55,0.15,34.93597,14.31728,53786.11701,0
1000701,1115013004298,18.73,0.16,34.93624,14.31753,53755.08420,0
1000701,1115013004298,19.03,0.19,34.93605,14.31762,53755.08899,0
1000701,1115013004298,18.60,0.15,34.93600,14.31759,53755.09380,0
1000701,1115013004298,18.35,0.14,34.93603,14.31761,53755.09864,0
1000701,1115013004298,18.68,0.15,34.93616,14.31746,54050.28505,0
1000701,1115013004298,18.41,0.14,34.93634,14.31762,54050.29611,0
1000701,1115013004298,18.55,0.14,34.93611,14.31756,54050.30718,0
1000701,1115013004298,18.53,0.14,34.93607,14.31754,54050.31824,0
1000701,1115013004298,18.47,0.14,34.93619,14.31762,54056.24917,0
1000701,1115013004298,18.67,0.15,34.93603,14.31756,54056.25617,0
1000701,1115013004298,18.66,0.15,34.93624,14.31761,54056.26323,0
1000701,1115013004298,18.29,0.13,34.93597,14.31786,54056.27028,0
1000701,1115013004298,18.73,0.16,34.93609,14.31742,54066.21875,0
1000701,1115013004298,18.48,0.14,34.93611,14.31765,54066.22884,0
1000701,1115013004298,18.47,0.14,34.93615,14.31762,54066.23896,0
1000701,1115013004298,18.42,0.14,34.93609,14.31762,54066.24910,0
1000701,1115013004298,18.34,0.13,34.93610,14.31751,54012.39777,0
1000701,1115013004298,18.78,0.16,34.93596,14.31757,54012.40325,0
1000701,1115013004298,18.52,0.14,34.93616,14.31752,54012.40876,0
1000701,1115013004298,18.32,0.13,34.93592,14.31749,54012.41426,0
1000701,1115013004298,18.10,0.12,34.93622,14.31763,53993.43992,0
1000701,1115013004298,18.58,0.15,34.93606,14.31753,53993.44654,0
1000701,1115013004298,18.60,0.15,34.93603,14.31756,53993.45316,0
1000701,1115013004298,18.54,0.14,34.93599,14.31752,53993.45979,0
1000701,1115013004298,18.85,0.16,34.93598,14.31757,54437.26266,0
1000701,1115013004298,18.63,0.15,34.93586,14.31756,54437.27121,0
1000701,1115013004298,18.53,0.14,34.93600,14.31784,54437.27976,0
1000701,1115013004298,18.60,0.15,34.93590,14.31771,54437.28833,0
1000701,1115013004298,18.78,0.16,34.93609,14.31760,54448.19028,0
1000701,1115013004298,18.55,0.15,34.93605,14.31755,54448.19574,0
1000701,1115013004298,18.59,0.15,34.93608,14.31754,54448.20115,0
1000701,1115013004298,18.79,0.16,34.93595,14.31760,54448.20660,0
1000701,1115013004298,18.36,0.14,34.93583,14.31760,54144.10274,0
1000701,1115013004298,18.65,0.16,34.93621,14.31758,54144.10921,0
1000701,1115013004298,18.65,0.16,34.93608,14.31751,54144.11566,0
1000701,1115013004298,18.47,0.14,34.93599,14.31755,54144.12211,0
1000701,1115013004298,18.40,0.14,34.93632,14.31718,54108.16989,0
1000701,1115013004298,18.11,0.12,34.93601,14.31765,54108.17857,0
1000701,1115013004298,18.61,0.15,34.93587,14.31757,54108.18728,0
1000701,1115013004298,18.37,0.14,34.93620,14.31782,54108.19599,0
1000701,1115013004298,18.63,0.15,34.93602,14.31775,54124.09394,0
1000701,1115013004298,18.57,0.15,34.93604,14.31739,54124.09927,0
1000701,1115013004298,18.74,0.16,34.93611,14.31768,54124.10459,0
1000701,1115013004298,18.57,0.15,34.93612,14.31731,54124.10994,0
1000701,1115013004298,18.58,0.15,34.93585,14.31745,54130.14042,0
1000701,1115013004298,18.23,0.13,34.93589,14.31746,54130.14579,0
1000701,1115013004298,19.31,0.21,34.93565,14.31735,54130.15118,0
1000701,1115013004298,18.79,0.16,34.93578,14.31729,54130.15655,0
1000701,1115013004298,18.46,0.17,34.93642,14.31743,54300.44892,0
1000701,1115013004298,18.31,0.16,34.93593,14.31777,54300.45380,0
1000701,1115013004298,18.60,0.18,34.93611,14.31765,54300.45869,0
1000701,1115013004298,18.63,0.18,34.93623,14.31756,54300.46359,0
1000701,1115013004298,19.03,0.23,34.93603,14.31783,54168.09755,0
1000701,1115013004298,19.58,0.31,34.93592,14.31750,54168.10176,0
1000701,1115013004298,18.27,0.16,34.93586,14.31755,54168.10596,0
1000701,1115013004298,18.53,0.18,34.93583,14.31759,54168.11016,0
1000701,1115013004298,18.52,0.15,34.93601,14.31776,54411.32067,0
1000701,1115013004298,18.55,0.15,34.93611,14.31782,54411.33491,0
1000701,1115013004298,18.63,0.15,34.93591,14.31773,54411.34915,0
1000701,1115013004298,18.72,0.16,34.93603,14.31767,54411.36341,0
1000701,1115013004298,18.67,0.16,34.93599,14.31772,54421.31974,0
1000701,1115013004298,18.46,0.14,34.93591,14.31757,54421.32885,0
1000701,1115013004298,18.66,0.15,34.93593,14.31745,54421.33797,0
1000701,1115013004298,18.48,0.14,34.93607,14.31756,54421.34707,0
1000701,1115013004298,18.39,0.14,34.93612,14.31754,54388.34365,0
1000701,1115013004298,18.56,0.15,34.93621,14.31766,54388.35166,0
1000701,1115013004298,18.66,0.15,34.93615,14.31770,54388.35969,0
1000701,1115013004298,18.57,0.15,34.93607,14.31767,54388.36773,0
1000701,1115013004298,18.52,0.14,34.93598,14.31758,54393.29945,0
1000701,1115013004298,18.54,0.14,34.93620,14.31772,54393.30758,0
1000701,1115013004298,18.56,0.15,34.93616,14.31773,54393.31571,0
1000701,1115013004298,18.51,0.14,34.93604,14.31762,54393.32384,0
1000701,1115013004298,18.60,0.15,34.93594,14.31761,54403.34505,0
1000701,1115013004298,18.53,0.15,34.93600,14.31779,54403.35507,0
1000701,1115013004298,18.74,0.16,34.93599,14.31766,54403.36514,0
1000701,1115013004298,18.58,0.15,34.93581,14.31761,54403.37515,0
1000701,1115013004298,18.73,0.24,34.93595,14.31780,54351.40729,0
