InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000721,1101013038626,19.65,0.23,36.00189, 1.87247,53710.19820,0
1000721,1101013038626,20.42,0.36,36.00109, 1.87336,53696.29880,0
1000721,1101013038626,20.93,0.51,36.00113, 1.87328,53671.30533,0
1000721,1101013038626,21.06,0.49,36.00054, 1.87317,54421.27132,0
1000721,1101013038626,21.09,0.48,36.00119, 1.87420,54801.22365,0
1000721,1101013038626,21.03,0.48,36.00100, 1.87435,54498.15422,0
1000721,1101013038626,20.98,0.48,36.00080, 1.87393,55143.31797,0
1000721,1101013038626,21.31,0.58,36.00240, 1.87343,55539.22568,0
1000721,1101013038626,19.96,0.27,36.00137, 1.87345,55208.10332,0
1000721,1101013038626,20.76,0.44,36.00131, 1.87386,55472.41006,0
1000721,1101013038626,20.32,0.33,36.00047, 1.87346,55498.31454,0
1000721,1101013038626,21.10,0.57,36.00129, 1.87340,53648.37270,0
1000721,1101013038626,20.26,0.33,36.00065, 1.87301,55861.24638,0
1000721,1101013038626,20.29,0.32,36.00032, 1.87285,55851.24005,0
1000721,1101013038626,20.71,0.41,36.00115, 1.87338,55893.21198,0
1000721,1101013038626,21.16,0.53,36.00188, 1.87297,55922.18754,0
1000721,1101013038626,21.03,0.51,36.00090, 1.87354,56191.37188,0
1000721,1101013038626,21.25,0.58,36.00144, 1.87299,56191.38699,0
1000721,1101013038626,21.05,0.51,36.00092, 1.87329,56213.35008,0
1000721,1101013038626,20.56,0.38,35.99971, 1.87426,56233.23058,0
1000721,1101013038626,19.69,0.26,36.00107, 1.87322,56540.40418,0
1000721,1101013038626,20.09,0.33,36.00089, 1.87338,56541.43306,0
1000721,1101013038626,20.56,0.37,36.00133, 1.87354,56571.34130,0
1000721,1101013038627,21.11,0.49,36.01650, 1.87179,54058.23222,0
1000721,1101013038627,21.12,0.49,36.01542, 1.87337,54801.23951,0
1000721,1101013038627,20.62,0.40,36.01684, 1.87261,55061.40109,0
1000721,1101013038627,21.05,0.49,36.01663, 1.87259,55180.12960,0
1000721,1101013038627,20.17,0.30,36.01769, 1.87373,54881.12199,0
1000721,1101013038627,20.15,0.39,36.01495, 1.87330,55589.11311,0
1000721,1101013038627,20.42,0.38,36.01849, 1.87210,53648.35421,0
1000721,1101013038627,21.06,0.49,36.01842, 1.87158,55881.23936,0
1000721,1101013038627,20.40,0.34,36.01641, 1.87258,55851.24797,0
1000721,1101013038627,20.45,0.35,36.01783, 1.87156,55893.21198,0
1000721,1101013038627,21.26,0.59,36.01790, 1.87119,56191.37188,0
1000721,1101013038627,20.19,0.32,36.01619, 1.87325,56191.38699,0
1000721,1101013038627,20.62,0.40,36.01784, 1.87271,56213.36361,0
1000721,1101013038627,20.41,0.37,36.01442, 1.87293,56552.34741,0
1000721,1101013038688,21.24,0.54,36.02132, 1.87989,54392.31368,0
1000721,1101013038750,19.66,0.23,36.00132, 1.87828,53710.19820,0
1000721,1101013038750,19.87,0.26,35.99986, 1.87941,53733.17361,0
1000721,1101013038750,19.76,0.25,35.99975, 1.87983,53733.18049,0
