InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000741,1109014038657,20.42,0.41,37.09106,10.40467,53650.30995,0
1000741,1109014038657,19.97,0.28,37.09195,10.40401,54052.23679,0
1000741,1109014038657,21.06,0.51,37.09131,10.40460,54024.31385,0
1000741,1109014038657,20.32,0.34,37.09139,10.40460,54008.35640,0
1000741,1109014038657,20.70,0.43,37.09120,10.40468,54411.31586,0
1000741,1109014038657,20.66,0.42,37.09081,10.40562,54403.32150,0
1000741,1109014038657,20.99,0.52,37.09135,10.40453,54353.40172,0
1000741,1109014038657,21.02,0.50,37.09066,10.40357,54475.16180,0
1000741,1109014038657,20.03,0.35,37.09086,10.40463,55141.37815,0
1000741,1109014038657,20.31,0.35,37.09124,10.40475,55125.27769,0
1000741,1109014038657,20.45,0.39,37.08978,10.40331,55517.14189,0
1000741,1109014038657,21.16,0.57,37.09171,10.40465,55480.35896,0
1000741,1109014038657,21.30,0.48,37.09080,10.40402,55566.13767,0
1000741,1109014038657,20.16,0.27,37.09199,10.40427,55566.14521,0
1000741,1109014038657,20.80,0.61,37.09185,10.40498,55572.09423,0
1000741,1109014038657,19.98,0.30,37.09119,10.40441,55588.14652,0
1000741,1109014038657,19.29,0.16,37.09073,10.40209,55864.31502,0
1000741,1109014038657,19.89,0.28,37.09174,10.40525,55851.22584,0
1000741,1109014038657,19.67,0.25,37.09188,10.40473,55851.24173,0
1000741,1109014038657,19.79,0.27,37.09280,10.40511,55968.12894,0
1000741,1109014038657,19.92,0.29,37.09083,10.40395,56188.35651,0
1000741,1109014038657,19.95,0.24,37.09200,10.40370,56243.35340,0
1000741,1109014038657,19.90,0.24,37.09137,10.40458,56273.24673,0
1000741,1109014038657,21.19,0.49,37.09137,10.40430,56273.25376,0
1000741,1109014038657,20.55,0.34,37.09310,10.40541,56273.25376,1
1000741,1109014038657,19.80,0.23,37.09099,10.40477,56273.26081,0
1000741,1109014038657,20.37,0.38,37.09276,10.40427,56325.12071,0
1000741,1109014038657,20.92,0.49,37.09165,10.40452,55946.13077,0
1000741,1109014038657,20.44,0.40,37.09134,10.40329,56549.36285,0
1000741,1109014039090,19.79,0.27,37.08487,10.42257,53725.17696,0
1000741,1109014039090,19.66,0.25,37.08477,10.42275,53725.18335,0
1000741,1109014039090,19.97,0.29,37.08481,10.42262,53725.18977,0
1000741,1109014039090,19.66,0.25,37.08478,10.42289,53725.19618,0
1000741,1109014039090,19.43,0.22,37.08442,10.42247,53684.28969,0
1000741,1109014039090,20.71,0.45,37.08463,10.42275,53684.29613,0
1000741,1109014039090,19.80,0.27,37.08472,10.42267,53684.30900,0
1000741,1109014039090,19.84,0.28,37.08442,10.42282,53699.19387,0
1000741,1109014039090,19.80,0.27,37.08479,10.42278,53699.20137,0
1000741,1109014039090,20.07,0.32,37.08484,10.42291,53699.20884,0
1000741,1109014039090,19.83,0.28,37.08468,10.42299,53699.21635,0
1000741,1109014039090,19.36,0.22,37.08469,10.42275,53644.37495,0
1000741,1109014039090,19.50,0.24,37.08485,10.42283,53644.38438,0
1000741,1109014039090,19.49,0.24,37.08463,10.42283,53644.39377,0
1000741,1109014039090,19.46,0.24,37.08434,10.42278,53644.40318,0
1000741,1109014039090,20.32,0.39,37.08502,10.42270,53650.30995,0
1000741,1109014039090,20.04,0.33,37.08446,10.42268,53650.31821,0
1000741,1109014039090,20.11,0.35,37.08481,10.42273,53650.32649,0
1000741,1109014039090,19.26,0.22,37.08463,10.42268,53650.33485,0
1000741,1109014039090,20.00,0.29,37.08446,10.42287,54081.26392,0
1000741,1109014039090,20.15,0.31,37.08469,10.42263,54081.27083,0
1000741,1109014039090,19.74,0.25,37.08422,10.42237,54081.27771,0
1000741,1109014039090,19.61,0.24,37.08461,10.42249,54081.28458,0
1000741,1109014039090,19.18,0.22,37.08443,10.42227,53769.11837,0
1000741,1109014039090,19.56,0.26,37.08514,10.42303,53769.12476,0
1000741,1109014039090,19.24,0.22,37.08411,10.42329,53769.13112,0
1000741,1109014039090,19.77,0.27,37.08468,10.42283,53758.14679,0
1000741,1109014039090,19.60,0.25,37.08477,10.42269,53758.15280,0
1000741,1109014039090,20.19,0.34,37.08464,10.42261,53758.15879,0
1000741,1109014039090,19.93,0.29,37.08482,10.42300,53758.16480,0
1000741,1109014039090,19.67,0.26,37.08473,10.42284,54051.28139,0
1000741,1109014039090,19.47,0.24,37.08468,10.42285,54051.29011,0
1000741,1109014039090,19.62,0.23,37.08449,10.42258,54052.22384,0
1000741,1109014039090,19.94,0.27,37.08473,10.42268,54052.23032,0
1000741,1109014039090,19.46,0.21,37.08470,10.42298,54052.23679,0
1000741,1109014039090,19.31,0.20,37.08488,10.42275,54052.24324,0
1000741,1109014039090,19.46,0.21,37.08469,10.42269,54024.30310,0
1000741,1109014039090,19.91,0.27,37.08454,10.42285,54024.30848,0
1000741,1109014039090,19.39,0.21,37.08491,10.42223,54024.31385,0
1000741,1109014039090,19.74,0.25,37.08508,10.42275,54024.31921,0
1000741,1109014039090,18.91,0.17,37.08471,10.42243,53992.43231,0
1000741,1109014039090,19.62,0.23,37.08487,10.42270,53992.43881,0
1000741,1109014039090,19.05,0.18,37.08449,10.42287,53992.44530,0
1000741,1109014039090,19.24,0.20,37.08485,10.42258,53992.45180,0
1000741,1109014039090,19.55,0.23,37.08490,10.42254,54008.33249,0
1000741,1109014039090,19.56,0.23,37.08454,10.42266,54008.34442,0
1000741,1109014039090,19.60,0.23,37.08426,10.42289,54008.35640,0
1000741,1109014039090,19.76,0.25,37.08458,10.42252,54008.36833,0
1000741,1109014039090,19.26,0.19,37.08476,10.42285,54449.15862,0
1000741,1109014039090,19.67,0.24,37.08490,10.42270,54449.16452,0
1000741,1109014039090,19.51,0.22,37.08497,10.42278,54449.17043,0
1000741,1109014039090,19.21,0.19,37.08480,10.42262,54449.17632,0
1000741,1109014039090,19.59,0.24,37.08477,10.42252,54109.16278,0
1000741,1109014039090,19.17,0.19,37.08464,10.42217,54109.17047,0
1000741,1109014039090,19.67,0.25,37.08477,10.42282,54109.17805,0
1000741,1109014039090,20.25,0.34,37.08456,10.42290,54109.18556,0
1000741,1109014039090,19.54,0.23,37.08450,10.42290,54411.31586,0
1000741,1109014039090,19.72,0.25,37.08463,10.42264,54411.33007,0
1000741,1109014039090,19.73,0.25,37.08456,10.42282,54411.34431,0
1000741,1109014039090,19.78,0.26,37.08487,10.42287,54411.35856,0
1000741,1109014039090,19.88,0.27,37.08481,10.42291,54423.17150,0
1000741,1109014039090,19.39,0.21,37.08456,10.42275,54423.17561,0
1000741,1109014039090,18.84,0.16,37.08464,10.42241,54423.17976,0
1000741,1109014039090,20.53,0.38,37.08457,10.42336,54423.18387,0
1000741,1109014039090,19.16,0.19,37.08441,10.42314,54403.30525,0
1000741,1109014039090,19.81,0.26,37.08476,10.42239,54403.32150,0
1000741,1109014039090,19.70,0.25,37.08506,10.42263,54353.38467,0
1000741,1109014039090,19.74,0.26,37.08463,10.42264,54353.39319,0
1000741,1109014039090,19.40,0.22,37.08465,10.42245,54353.40172,0
1000741,1109014039090,19.71,0.25,37.08487,10.42281,54353.41030,0
1000741,1109014039090,19.71,0.24,37.08469,10.42288,54820.22882,0
1000741,1109014039090,19.66,0.24,37.08483,10.42306,54820.23620,0
1000741,1109014039090,20.00,0.28,37.08489,10.42247,54820.24546,0
1000741,1109014039090,19.61,0.23,37.08487,10.42271,54820.25501,0
1000741,1109014039090,19.48,0.22,37.08462,10.42295,54475.16180,0
1000741,1109014039090,19.74,0.25,37.08451,10.42284,54475.16821,0
1000741,1109014039090,19.87,0.27,37.08484,10.42270,54475.17466,0
1000741,1109014039090,20.13,0.31,37.08465,10.42265,54475.18106,0
1000741,1109014039090,19.25,0.20,37.08487,10.42264,54769.23533,0
1000741,1109014039090,19.13,0.19,37.08458,10.42244,54769.24190,0
1000741,1109014039090,19.92,0.28,37.08460,10.42270,54769.24865,0
1000741,1109014039090,19.77,0.25,37.08485,10.42283,54769.25522,0
1000741,1109014039090,19.76,0.25,37.08474,10.42263,54715.44593,0
1000741,1109014039090,19.61,0.23,37.08476,10.42284,54715.45246,0
1000741,1109014039090,19.81,0.26,37.08476,10.42272,54715.45904,0
1000741,1109014039090,19.51,0.22,37.08504,10.42288,54715.46557,0
1000741,1109014039090,19.40,0.28,37.08522,10.42301,55071.38411,0
1000741,1109014039090,19.96,0.38,37.08477,10.42290,55071.38898,0
1000741,1109014039090,19.12,0.24,37.08493,10.42279,55071.39377,0
1000741,1109014039090,20.53,0.52,37.08424,10.42279,55071.39867,0
1000741,1109014039090,20.12,0.47,37.08444,10.42301,54867.11336,0
1000741,1109014039090,19.94,0.33,37.08453,10.42266,55141.37224,0
1000741,1109014039090,18.98,0.22,37.08477,10.42316,55162.16699,0
1000741,1109014039090,19.59,0.30,37.08426,10.42267,55162.17072,0
1000741,1109014039090,20.16,0.42,37.08397,10.42291,55162.17463,0
1000741,1109014039090,20.01,0.30,37.08468,10.42250,55125.25775,0
1000741,1109014039090,18.92,0.17,37.08508,10.42258,55125.26446,0
1000741,1109014039090,20.00,0.30,37.08479,10.42248,55125.27111,0
1000741,1109014039090,19.35,0.21,37.08490,10.42249,55125.27769,0
1000741,1109014039090,19.56,0.24,37.08458,10.42275,55085.44772,0
1000741,1109014039090,19.44,0.22,37.08463,10.42268,55102.44005,0
1000741,1109014039090,19.15,0.19,37.08439,10.42278,55102.44745,0
1000741,1109014039090,19.41,0.22,37.08436,10.42258,55102.45492,0
1000741,1109014039090,19.33,0.21,37.08460,10.42301,55102.46229,0
1000741,1109014039090,19.48,0.18,37.08457,10.42273,55534.23532,0
1000741,1109014039090,19.74,0.23,37.08472,10.42274,55534.25185,0
1000741,1109014039090,19.19,0.16,37.08481,10.42256,55534.26004,0
1000741,1109014039090,19.54,0.30,37.08712,10.42322,55545.12775,0
1000741,1109014039090,19.64,0.25,37.08457,10.42276,55559.11925,0
1000741,1109014039090,19.21,0.20,37.08474,10.42282,55559.13635,0
1000741,1109014039090,19.32,0.21,37.08477,10.42316,55240.14270,0
1000741,1109014039090,19.37,0.22,37.08476,10.42274,55240.16503,0
1000741,1109014039090,19.58,0.34,37.08484,10.42234,55252.10969,0
1000741,1109014039090,19.08,0.18,37.08451,10.42244,55204.09879,0
1000741,1109014039090,19.28,0.20,37.08481,10.42276,55204.10396,0
1000741,1109014039090,19.34,0.21,37.08451,10.42267,55204.10915,0
1000741,1109014039090,19.82,0.26,37.08494,10.42256,55204.11438,0
1000741,1109014039090,19.76,0.26,37.08515,10.42267,55509.25420,0
1000741,1109014039090,19.68,0.25,37.08455,10.42250,55509.26456,0
1000741,1109014039090,19.58,0.24,37.08491,10.42277,55509.26969,0
1000741,1109014039090,19.51,0.24,37.08491,10.42309,55517.14189,0
1000741,1109014039090,19.17,0.24,37.08488,10.42261,55528.28726,0
1000741,1109014039090,19.61,0.31,37.08470,10.42306,55528.30109,0
1000741,1109014039090,19.77,0.33,37.08452,10.42250,55528.30801,0
1000741,1109014039090,18.91,0.18,37.08447,10.42271,55472.43851,0
1000741,1109014039090,20.02,0.31,37.08450,10.42270,55472.45340,0
1000741,1109014039090,18.93,0.18,37.08451,10.42256,55472.46093,0
1000741,1109014039090,19.51,0.23,37.08497,10.42276,55480.33867,0
1000741,1109014039090,19.32,0.21,37.08449,10.42313,55480.35223,0
1000741,1109014039090,18.85,0.17,37.08496,10.42253,55480.35896,0
1000741,1109014039090,19.52,0.23,37.08471,10.42317,55497.31277,0
1000741,1109014039090,19.26,0.20,37.08494,10.42300,55497.32772,0
1000741,1109014039090,20.38,0.37,37.08497,10.42260,55497.33525,0
1000741,1109014039090,19.87,0.27,37.08446,10.42287,55454.42398,0
1000741,1109014039090,19.43,0.21,37.08485,10.42253,55454.43885,0
1000741,1109014039090,19.29,0.20,37.08464,10.42266,55454.44634,0
1000741,1109014039090,19.43,0.18,37.08471,10.42270,55566.12280,0
1000741,1109014039090,19.41,0.18,37.08471,10.42273,55566.13019,0
1000741,1109014039090,19.33,0.17,37.08521,10.42272,55566.13767,0
1000741,1109014039090,19.88,0.23,37.08487,10.42245,55566.14521,0
1000741,1109014039090,19.02,0.23,37.08476,10.42276,55572.07264,0
1000741,1109014039090,20.38,0.48,37.08436,10.42224,55572.08704,0
1000741,1109014039090,19.08,0.23,37.08481,10.42284,55572.09423,0
1000741,1109014039090,20.15,0.33,37.08470,10.42275,55588.14136,0
1000741,1109014039090,19.40,0.22,37.08458,10.42290,55588.14652,0
1000741,1109014039090,19.65,0.25,37.08460,10.42290,55588.15171,0
1000741,1109014039090,19.15,0.20,37.08491,10.42282,55588.15691,0
1000741,1109014039090,19.13,0.15,37.08471,10.42282,55864.29077,0
1000741,1109014039090,19.44,0.18,37.08464,10.42276,55864.29878,0
1000741,1109014039090,19.43,0.18,37.08484,10.42269,55864.30685,0
1000741,1109014039090,19.47,0.18,37.08451,10.42276,55864.31502,0
1000741,1109014039090,20.03,0.29,37.08463,10.42265,55881.24270,0
1000741,1109014039090,18.72,0.15,37.08502,10.42221,55881.24775,0
1000741,1109014039090,19.28,0.20,37.08481,10.42271,55881.25281,0
1000741,1109014039090,18.59,0.15,37.08453,10.42265,55881.25788,0
1000741,1109014039090,19.27,0.20,37.08457,10.42270,55851.21797,0
1000741,1109014039090,19.48,0.22,37.08453,10.42279,55851.24173,0
1000741,1109014039090,19.65,0.24,37.08490,10.42277,55888.16661,0
1000741,1109014039090,19.30,0.21,37.08467,10.42265,55888.17687,0
1000741,1109014039090,19.33,0.21,37.08483,10.42290,55888.18713,0
1000741,1109014039090,18.86,0.17,37.08480,10.42234,55888.19745,0
1000741,1109014039090,19.67,0.25,37.08479,10.42266,55925.14256,0
1000741,1109014039090,19.23,0.20,37.08466,10.42263,55925.14768,0
1000741,1109014039090,19.14,0.19,37.08473,10.42249,55925.15269,0
1000741,1109014039090,19.54,0.23,37.08455,10.42301,55925.15780,0
1000741,1109014039090,19.91,0.28,37.08417,10.42246,55968.10488,0
1000741,1109014039090,19.31,0.21,37.08477,10.42273,55968.11284,0
1000741,1109014039090,19.31,0.21,37.08468,10.42270,55968.12098,0
1000741,1109014039090,19.16,0.19,37.08475,10.42272,55968.12894,0
1000741,1109014039090,18.89,0.17,37.08394,10.42299,56188.34157,0
1000741,1109014039090,19.75,0.27,37.08479,10.42268,56188.34899,0
1000741,1109014039090,18.91,0.18,37.08480,10.42234,56188.35651,0
1000741,1109014039090,19.51,0.23,37.08467,10.42263,56188.36396,0
1000741,1109014039090,19.59,0.20,37.08454,10.42261,56243.34618,0
1000741,1109014039090,19.68,0.21,37.08480,10.42248,56243.35340,0
1000741,1109014039090,20.10,0.27,37.08506,10.42278,56243.36070,0
1000741,1109014039090,19.92,0.24,37.08434,10.42271,56243.36802,0
1000741,1109014039090,19.95,0.29,37.08496,10.42301,56253.17255,0
1000741,1109014039090,18.87,0.17,37.08416,10.42272,56253.18270,0
1000741,1109014039090,19.17,0.20,37.08464,10.42285,56264.16543,0
1000741,1109014039090,19.57,0.24,37.08438,10.42247,56264.17095,0
1000741,1109014039090,19.08,0.19,37.08482,10.42272,56264.17649,0
1000741,1109014039090,19.33,0.21,37.08459,10.42290,56264.18204,0
1000741,1109014039090,19.36,0.18,37.08470,10.42256,56273.24673,0
1000741,1109014039090,19.66,0.21,37.08474,10.42266,56273.25376,0
1000741,1109014039090,19.54,0.20,37.08448,10.42284,56273.26081,0
1000741,1109014039090,19.35,0.18,37.08469,10.42241,56273.26786,0
1000741,1109014039090,19.08,0.19,37.08345,10.42280,56298.24721,0
1000741,1109014039090,19.14,0.20,37.08484,10.42267,56298.25506,0
1000741,1109014039090,19.41,0.22,37.08436,10.42261,56298.26300,0
1000741,1109014039090,19.85,0.28,37.08507,10.42335,56298.27120,0
1000741,1109014039090,19.72,0.22,37.08463,10.42252,56307.14967,0
1000741,1109014039090,19.96,0.25,37.08448,10.42271,56307.15374,0
1000741,1109014039090,20.31,0.30,37.08426,10.42269,56307.15783,0
1000741,1109014039090,19.17,0.17,37.08427,10.42235,56307.16189,0
1000741,1109014039090,19.77,0.27,37.08468,10.42270,56316.13543,0
1000741,1109014039090,20.30,0.35,37.08382,10.42249,56316.14561,0
1000741,1109014039090,18.65,0.15,37.08474,10.42297,56316.15071,0
1000741,1109014039090,19.36,0.22,37.08431,10.42268,56325.11038,0
1000741,1109014039090,19.67,0.26,37.08465,10.42281,56325.11541,0
1000741,1109014039090,19.90,0.29,37.08428,10.42268,56325.12071,0
1000741,1109014039090,19.94,0.29,37.08483,10.42293,56325.12579,0
1000741,1109014039090,19.54,0.25,37.08435,10.42271,56356.11396,0
1000741,1109014039090,19.60,0.27,37.08477,10.42275,56356.11847,0
1000741,1109014039090,19.45,0.22,37.08495,10.42282,55946.12176,0
1000741,1109014039090,19.53,0.23,37.08460,10.42303,55946.12624,0
1000741,1109014039090,18.94,0.17,37.08435,10.42269,55946.13077,0
1000741,1109014039090,19.45,0.22,37.08470,10.42277,55946.13532,0
1000741,1109014039090,19.83,0.29,37.08444,10.42271,56536.47243,0
1000741,1109014039090,19.70,0.27,37.08454,10.42279,56536.47586,0
1000741,1109014039090,19.68,0.27,37.08497,10.42267,56536.47931,0
1000741,1109014039090,19.36,0.23,37.08437,10.42285,56536.48268,0
1000741,1109014039090,19.38,0.23,37.08498,10.42273,56549.34717,0
1000741,1109014039090,19.44,0.24,37.08457,10.42272,56549.35505,0
1000741,1109014039090,19.43,0.23,37.08500,10.42275,56549.36285,0
1000741,1109014039090,19.58,0.25,37.08482,10.42267,56549.37071,0
1000741,1109014039090,19.80,0.26,37.08464,10.42288,56563.36630,0
1000741,1109014039090,19.79,0.26,37.08478,10.42261,56563.37299,0
1000741,1109014039090,19.69,0.25,37.08480,10.42290,56563.37978,0
1000741,1109014039090,19.13,0.19,37.08433,10.42264,56563.38648,0
1000741,1109014039090,18.87,0.19,37.08469,10.42269,56576.36724,0
1000741,1109014039090,19.77,0.31,37.08527,10.42304,56576.37222,0
1000741,1109014039090,20.47,0.47,37.08492,10.42301,56576.38389,0
1000741,1109014039095,20.14,0.32,37.10270,10.42503,53725.18335,0
1000741,1109014039095,20.84,0.48,37.10228,10.42461,53684.29613,0
1000741,1109014039095,21.05,0.55,37.10362,10.42591,53699.19387,0
1000741,1109014039095,20.32,0.36,37.10222,10.42435,53699.20137,0
1000741,1109014039095,20.62,0.44,37.10286,10.42562,53644.38438,0
1000741,1109014039095,20.64,0.45,37.10205,10.42550,53644.39377,0
1000741,1109014039095,20.68,0.46,37.10203,10.42451,53644.40318,0
1000741,1109014039095,20.95,0.48,37.10324,10.42537,54052.23679,0
1000741,1109014039095,20.47,0.36,37.10253,10.42449,54052.24324,0
1000741,1109014039095,20.38,0.35,37.10244,10.42488,54024.31385,0
1000741,1109014039095,20.97,0.49,37.10169,10.42367,54449.17043,0
1000741,1109014039095,20.28,0.33,37.10297,10.42516,54475.16180,0
1000741,1109014039095,20.57,0.40,37.10195,10.42491,54769.24865,0
1000741,1109014039095,19.89,0.27,37.10194,10.42440,54715.45246,0
1000741,1109014039095,20.59,0.39,37.10268,10.42537,54715.45904,0
1000741,1109014039095,20.58,0.41,37.10232,10.42449,55085.44772,0
1000741,1109014039095,19.51,0.30,37.10284,10.42466,55545.11596,0
1000741,1109014039095,19.76,0.27,37.10227,10.42499,55240.15006,0
1000741,1109014039095,20.94,0.49,37.10269,10.42581,55204.09879,0
1000741,1109014039095,19.82,0.27,37.10232,10.42475,55509.26969,0
1000741,1109014039095,20.55,0.42,37.10287,10.42501,55472.45340,0
1000741,1109014039095,20.58,0.42,37.10204,10.42469,55472.46093,0
1000741,1109014039095,20.46,0.38,37.10320,10.42522,55480.35896,0
1000741,1109014039095,20.10,0.32,37.10235,10.42410,55497.32772,0
1000741,1109014039095,20.47,0.37,37.10205,10.42442,55454.42398,0
1000741,1109014039095,20.47,0.37,37.10126,10.42484,55454.43885,0
1000741,1109014039095,20.41,0.36,37.10170,10.42411,55454.44634,0
1000741,1109014039095,20.62,0.33,37.10410,10.42673,55566.12280,0
1000741,1109014039095,19.61,0.31,37.10249,10.42416,55572.07264,0
1000741,1109014039095,20.12,0.32,37.10169,10.42492,55588.14136,0
1000741,1109014039095,20.37,0.37,37.10322,10.42540,55588.15171,0
1000741,1109014039095,18.89,0.14,37.10316,10.42512,55864.29077,0
1000741,1109014039095,20.16,0.25,37.10227,10.42491,55864.29878,0
1000741,1109014039095,19.55,0.19,37.10224,10.42379,55864.31502,0
1000741,1109014039095,19.01,0.18,37.10344,10.42503,55881.24270,0
1000741,1109014039095,20.10,0.31,37.10272,10.42483,55888.17687,0
1000741,1109014039095,20.32,0.35,37.10394,10.42544,55888.18713,0
1000741,1109014039095,19.66,0.25,37.10400,10.42473,55968.11284,0
1000741,1109014039095,19.92,0.29,37.10298,10.42523,56188.35651,0
1000741,1109014039095,19.92,0.30,37.10187,10.42427,56234.19420,0
1000741,1109014039095,20.85,0.48,37.10265,10.42506,56264.16543,0
1000741,1109014039095,19.66,0.21,37.10254,10.42452,56273.24673,0
1000741,1109014039095,20.29,0.29,37.10267,10.42475,56273.25376,0
1000741,1109014039095,20.08,0.26,37.10231,10.42502,56273.26081,0
1000741,1109014039095,19.78,0.23,37.10263,10.42493,56273.26786,0
