InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000781,1129013014909,20.05,0.32,39.46804,28.83432,53707.19816,0
1000781,1129013014909,19.92,0.29,39.46754,28.83417,53707.20799,0
1000781,1129013014909,20.26,0.39,39.46760,28.83345,53713.14319,0
1000781,1129013014909,19.61,0.21,39.46767,28.83384,53653.36974,0
1000781,1129013014909,20.09,0.33,39.46713,28.83473,53638.36701,0
1000781,1129013014909,21.02,0.57,39.46841,28.83439,53642.34092,0
1000781,1129013014909,20.23,0.36,39.46795,28.83428,53642.34909,0
1000781,1129013014909,20.27,0.37,39.46829,28.83434,53642.36545,0
1000781,1129013014909,20.18,0.32,39.46774,28.83446,54083.26766,0
1000781,1129013014909,20.17,0.32,39.46779,28.83460,54083.27425,0
1000781,1129013014909,20.45,0.39,39.46744,28.83364,53768.19008,0
1000781,1129013014909,20.03,0.30,39.46784,28.83437,53740.14512,0
1000781,1129013014909,19.87,0.28,39.46805,28.83415,53740.15158,0
1000781,1129013014909,20.79,0.47,39.46692,28.83469,53756.16347,0
1000781,1129013014909,20.97,0.51,39.46821,28.83446,53762.09275,0
1000781,1129013014909,19.92,0.29,39.46745,28.83425,53762.09912,0
1000781,1129013014909,20.42,0.35,39.46770,28.83422,54054.26399,0
1000781,1129013014909,20.00,0.28,39.46753,28.83446,54060.16939,0
1000781,1129013014909,20.23,0.32,39.46783,28.83404,54060.17593,0
1000781,1129013014909,20.62,0.40,39.46819,28.83425,54060.18249,0
1000781,1129013014909,20.35,0.34,39.46778,28.83406,54027.30353,0
1000781,1129013014909,20.29,0.33,39.46826,28.83443,54027.31372,0
1000781,1129013014909,20.24,0.32,39.46831,28.83396,54035.31401,0
1000781,1129013014909,19.76,0.25,39.46772,28.83439,54035.33335,0
1000781,1129013014909,20.33,0.34,39.46782,28.83476,53997.29922,0
1000781,1129013014909,20.05,0.29,39.46786,28.83389,54006.39643,0
1000781,1129013014909,20.22,0.32,39.46787,28.83425,54006.40936,0
1000781,1129013014909,20.12,0.31,39.46758,28.83443,54450.25448,0
1000781,1129013014909,20.32,0.34,39.46776,28.83432,54450.26111,0
1000781,1129013014909,20.14,0.31,39.46752,28.83435,54450.27441,0
1000781,1129013014909,20.60,0.40,39.46754,28.83409,54117.20823,0
1000781,1129013014909,19.54,0.23,39.46754,28.83424,54406.43898,0
1000781,1129013014909,20.69,0.43,39.46769,28.83451,54406.44563,0
1000781,1129013014909,21.06,0.52,39.46768,28.83469,54413.32410,0
1000781,1129013014909,19.86,0.27,39.46784,28.83441,54382.33719,0
1000781,1129013014909,21.07,0.52,39.46710,28.83424,54389.39977,0
1000781,1129013014909,20.40,0.35,39.46754,28.83443,54389.41518,0
1000781,1129013014909,19.87,0.27,39.46797,28.83436,54394.39990,0
1000781,1129013014909,20.30,0.34,39.46801,28.83420,54394.41049,0
1000781,1129013014909,20.31,0.34,39.46741,28.83402,54394.42112,0
1000781,1129013014909,20.37,0.35,39.46775,28.83414,54356.41343,0
1000781,1129013014909,20.19,0.32,39.46753,28.83419,54356.41949,0
1000781,1129013014909,20.54,0.39,39.46768,28.83436,54356.42551,0
1000781,1129013014909,20.14,0.31,39.46784,28.83433,54356.43152,0
1000781,1129013014909,20.38,0.35,39.46796,28.83403,54363.37786,0
1000781,1129013014909,19.78,0.25,39.46786,28.83420,54831.24066,0
1000781,1129013014909,19.99,0.28,39.46798,28.83448,54831.24964,0
1000781,1129013014909,20.45,0.37,39.46764,28.83411,54831.25874,0
1000781,1129013014909,20.36,0.35,39.46740,28.83402,54476.16210,0
1000781,1129013014909,20.00,0.29,39.46778,28.83454,54476.18155,0
1000781,1129013014909,19.78,0.23,39.46797,28.83425,54535.12963,0
1000781,1129013014909,19.66,0.24,39.46780,28.83416,54777.27371,0
1000781,1129013014909,19.68,0.24,39.46757,28.83430,54777.29217,0
1000781,1129013014909,20.44,0.36,39.46785,28.83438,54800.26570,0
