InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000801,1138012047614.0,20.41,0.35,40.71749000000001,38.08801,53706.33466,0.0
1000801,1138012047614.0,19.7,0.24,40.71847,38.088029999999996,53706.351389999996,0.0
1000801,1138012047614.0,20.82,0.44,40.71776,38.08797,53712.2684,0.0
1000801,1138012047614.0,19.49,0.21,40.71729000000001,38.088429999999995,53734.22911,0.0
1000801,1138012047614.0,20.4,0.34,40.71769000000001,38.08799000000001,53734.25069,0.0
1000801,1138012047614.0,19.91,0.27,40.71783,38.08832,53684.23713,0.0
1000801,1138012047614.0,20.17,0.31,40.71795,38.088029999999996,53684.24364,0.0
1000801,1138012047614.0,20.96,0.48,40.718109999999996,38.08865,53684.25016,0.0
1000801,1138012047614.0,20.69,0.41,40.718709999999994,38.088029999999996,53694.24898,0.0
1000801,1138012047614.0,19.81,0.25,40.71772,38.0881,53700.23353,0.0
1000801,1138012047614.0,20.11,0.3,40.71795,38.088429999999995,53700.246660000004,0.0
1000801,1138012047614.0,20.38,0.37,40.71763,38.088159999999995,53657.32685,0.0
1000801,1138012047614.0,19.97,0.3,40.71763,38.08778,53657.33771,0.0
1000801,1138012047614.0,21.0,0.49,40.7176,38.08849,53668.25957,0.0
1000801,1138012047614.0,20.25,0.32,40.71804,38.08809,53668.27686000001,0.0
1000801,1138012047614.0,20.24,0.32,40.718090000000004,38.088190000000004,53674.35887,0.0
1000801,1138012047614.0,19.58,0.22,40.71785,38.08794,53674.3688,0.0
1000801,1138012047614.0,19.91,0.26,40.71805,38.08825,53674.37367,0.0
1000801,1138012047614.0,19.54,0.23,40.71823,38.088159999999995,53643.41474,0.0
1000801,1138012047614.0,19.79,0.26,40.71819,38.08842,53643.42311,0.0
1000801,1138012047614.0,19.98,0.29,40.71817,38.08838,53643.43146,0.0
1000801,1138012047614.0,19.82,0.26,40.71902,38.088,53643.4397,0.0
1000801,1138012047614.0,20.17,0.29,40.717929999999996,38.0881,54095.21849,0.0
1000801,1138012047614.0,21.03,0.47,40.718059999999994,38.08822,54095.235889999996,0.0
1000801,1138012047614.0,19.97,0.26,40.71815,38.088229999999996,54095.244589999995,0.0
1000801,1138012047614.0,20.51,0.37,40.71846,38.08821,53790.109079999995,0.0
1000801,1138012047614.0,20.18,0.31,40.71788,38.088359999999994,53790.11386000001,0.0
1000801,1138012047614.0,20.46,0.35,40.71801,38.088359999999994,53742.175,0.0
1000801,1138012047614.0,19.85,0.26,40.71798,38.08835,53757.16172999999,0.0
1000801,1138012047614.0,20.43,0.35,40.71771,38.088609999999996,53757.17687999999,0.0
1000801,1138012047614.0,20.23,0.33,40.71798,38.08846,53765.115320000004,0.0
1000801,1138012047614.0,20.37,0.38,40.717729999999996,38.08851,53765.12506000001,0.0
1000801,1138012047614.0,20.19,0.32,40.71815,38.088229999999996,53765.14305,0.0
1000801,1138012047614.0,20.52,0.35,40.7181,38.08834,54011.38981,0.0
1000801,1138012047614.0,20.84,0.42,40.71818,38.08797,54011.39535,0.0
1000801,1138012047614.0,19.92,0.25,40.7179,38.0882,54031.34692999999,0.0
1000801,1138012047614.0,19.4,0.19,40.71781,38.08809,54031.35437000001,0.0
1000801,1138012047614.0,20.12,0.28,40.71825,38.08833,54031.35811,0.0
1000801,1138012047614.0,20.72,0.4,40.71756,38.087959999999995,54407.35653,0.0
1000801,1138012047614.0,20.12,0.29,40.71787,38.08811,54407.363939999996,0.0
1000801,1138012047614.0,19.63,0.22,40.71823,38.088429999999995,54407.37877,0.0
1000801,1138012047614.0,19.87,0.25,40.71796,38.08818,54416.40691000001,0.0
1000801,1138012047614.0,20.3,0.32,40.71769000000001,38.08787,54416.4151,0.0
1000801,1138012047614.0,20.1,0.29,40.718,38.08793,54422.166639999996,0.0
