InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1000981,1015018038872.0,19.69,0.25,50.0059,-14.76116,53705.28679,0.0
1000981,1015018038872.0,20.85,0.46,50.005720000000004,-14.7607,53705.295829999995,0.0
1000981,1015018038872.0,19.92,0.28,50.00571,-14.761,53705.30491,0.0
1000981,1015018038872.0,19.81,0.26,50.00602,-14.760539999999999,53711.24539,0.0
1000981,1015018038872.0,21.03,0.5,50.0055,-14.761420000000001,53711.25836,0.0
1000981,1015018038872.0,21.03,0.5,50.00567,-14.760660000000001,53711.264870000006,0.0
1000981,1015018038872.0,19.56,0.24,50.00581,-14.76074,53684.31895,0.0
1000981,1015018038872.0,20.91,0.48,50.00629,-14.76031,53684.32481000001,0.0
1000981,1015018038872.0,20.22,0.32,50.00575,-14.760710000000001,53684.33068,0.0
1000981,1015018038872.0,19.44,0.22,50.00557,-14.76058,53654.39907,0.0
1000981,1015018038872.0,19.8,0.27,50.006009999999996,-14.76061,53654.40444,0.0
1000981,1015018038872.0,19.95,0.28,50.00622,-14.760660000000001,53667.41667,0.0
1000981,1015018038872.0,19.61,0.24,50.006170000000004,-14.760329999999998,53667.43203,0.0
1000981,1015018038872.0,19.66,0.24,50.005990000000004,-14.76061,53674.30407,0.0
1000981,1015018038872.0,19.68,0.24,50.00595,-14.760639999999999,53674.31356,0.0
1000981,1015018038872.0,19.32,0.21,50.00586,-14.76055,53628.48741,0.0
1000981,1015018038872.0,19.32,0.22,50.00609,-14.76026,54084.25892000001,0.0
1000981,1015018038872.0,19.32,0.19,50.00582,-14.760779999999999,54093.19003,0.0
1000981,1015018038872.0,19.98,0.27,50.00569,-14.760729999999999,54093.19644,0.0
1000981,1015018038872.0,20.17,0.29,50.00607,-14.76085,54057.30647999999,0.0
1000981,1015018038872.0,19.73,0.23,50.00575,-14.7605,54057.322570000004,0.0
1000981,1015018038872.0,19.58,0.22,50.00577,-14.76075,54063.25557,0.0
1000981,1015018038872.0,19.96,0.26,50.00594,-14.76079,54063.26206,0.0
1000981,1015018038872.0,19.94,0.26,50.00602,-14.76092,54063.26857000001,0.0
1000981,1015018038872.0,20.33,0.32,50.00591,-14.760689999999999,54063.27506,0.0
1000981,1015018038872.0,19.62,0.22,50.006640000000004,-14.76079,54002.451329999996,0.0
1000981,1015018038872.0,20.02,0.27,50.00553,-14.760279999999998,54002.45716000001,0.0
1000981,1015018038872.0,20.42,0.34,50.00589,-14.760670000000001,54002.46302,0.0
1000981,1015018038872.0,20.17,0.3,50.00595,-14.760629999999999,54002.46887999999,0.0
1000981,1015018038872.0,20.05,0.28,50.005990000000004,-14.76041,54406.36083,0.0
1000981,1015018038872.0,19.6,0.22,50.00604000000001,-14.76079,54406.36791,0.0
1000981,1015018038872.0,19.94,0.26,50.006,-14.76077,54406.38157000001,0.0
1000981,1015018038872.0,19.79,0.24,50.006029999999996,-14.761029999999998,54417.295139999995,0.0
1000981,1015018038872.0,19.2,0.18,50.00566,-14.76089,54417.302379999994,0.0
1000981,1015018038872.0,19.48,0.21,50.00623,-14.76085,54417.3096,0.0
1000981,1015018038872.0,20.67,0.38,50.00551,-14.7604,54417.31688,0.0
1000981,1015018038872.0,19.69,0.23,50.00589,-14.76019,54423.29926,0.0
1000981,1015018038872.0,20.45,0.34,50.00571,-14.760829999999999,54423.3117,0.0
1000981,1015018038872.0,19.75,0.24,50.00585,-14.760660000000001,54423.32417000001,0.0
1000981,1015018038872.0,19.96,0.27,50.00558,-14.76114,54423.33672000001,0.0
1000981,1015018038872.0,19.98,0.27,50.00569,-14.7604,54385.3731,0.0
1000981,1015018038872.0,20.01,0.27,50.00587,-14.76051,54385.38076,0.0
1000981,1015018038872.0,19.66,0.23,50.00594,-14.76074,54385.39599,0.0
1000981,1015018038872.0,19.93,0.27,50.005520000000004,-14.76025,54358.43015,0.0
1000981,1015018038872.0,20.31,0.34,50.00559000000001,-14.760689999999999,54358.437679999995,0.0
1000981,1015018038872.0,20.13,0.3,50.0053,-14.760689999999999,54358.44522,0.0
1000981,1015018038872.0,19.4,0.2,50.006009999999996,-14.76048,54505.13867000001,0.0
1000981,1015018038872.0,20.43,0.35,50.0059,-14.76141,54505.14468,0.0
1000981,1015018038872.0,19.63,0.23,50.00573,-14.760420000000002,54505.150689999995,0.0
1000981,1015018038872.0,19.87,0.27,50.00635,-14.76101,54483.2365,0.0
1000981,1015018038872.0,20.17,0.29,50.00625,-14.760670000000001,54776.323229999995,0.0
1000981,1015018038872.0,19.69,0.23,50.00595,-14.760829999999999,54776.3304,0.0
1000981,1015018038872.0,19.89,0.25,50.00563,-14.7605,54776.33766000001,0.0
1000981,1015018038872.0,19.88,0.25,50.006029999999996,-14.76022,54776.34491,0.0
1000981,1015018038872.0,19.01,0.17,50.00593,-14.760320000000002,54791.32219,0.0
1000981,1015018038872.0,20.37,0.34,50.00632,-14.76021,54791.32952000001,0.0
