InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001061,1132017035236,20.74,0.51,54.66888,32.60888,53707.22245,0
1001061,1132017035236,20.29,0.39,54.66863000000001,32.60869,53735.22621,0
1001061,1132017035236,20.49,0.45,54.669019999999996,32.60893,53684.25955,0
1001061,1132017035236,19.93,0.28,54.66878000000001,32.60917,53647.43218,0
1001061,1132017035236,20.28,0.4,54.66878000000001,32.6089,53672.39076,0
1001061,1132017035236,20.3,0.4,54.66915,32.6091,53768.21301,0
1001061,1132017035236,20.62,0.47,54.668730000000004,32.60863,53742.163929999995,0
1001061,1132017035236,20.57,0.45,54.6689,32.60889,53742.17224,0
1001061,1132017035236,20.27,0.37,54.66899,32.60881,54804.247970000004,0
1001061,1132017035236,20.89,0.52,54.66921,32.608979999999995,54804.26277,0
1001061,1132017035236,20.23,0.36,54.66934000000001,32.608940000000004,54829.234339999995,0
1001061,1132017035236,20.38,0.4,54.6693,32.60906,54787.37646,0
1001061,1132017035236,20.11,0.34,54.668969999999995,32.608979999999995,55183.25345,0
1001061,1132017035236,20.88,0.56,54.66913,32.60927,55538.295289999995,0
1001061,1132017035236,20.8,0.53,54.66876,32.60876,55243.15833,0
1001061,1132017035236,19.73,0.28,54.66916,32.60903,55866.31823,0
1001061,1132017035236,19.8,0.3,54.669309999999996,32.60953,55920.28102,0
1001061,1132017035236,20.37,0.42,54.668369999999996,32.60886,56210.31841,0
1001061,1132017035236,19.77,0.25,54.6689,32.6088,56243.39257999999,0
1001061,1132017035236,20.19,0.31,54.6689,32.60897,56267.26691000001,0
1001061,1132017035236,19.96,0.32,54.66885,32.608979999999995,56282.28242,0
1001061,1132017035236,20.54,0.48,54.66864,32.609190000000005,56549.3991,0
1001061,1132017035236,19.93,0.32,54.668569999999995,32.60892,56567.33162999999,0
1001061,1132017035236,20.12,0.36,54.66933,32.608979999999995,56593.43522000001,0
1001061,1132017035369,19.29,0.23,54.66023000000001,32.61213,53707.22245,0
1001061,1132017035369,19.15,0.22,54.66008000000001,32.61197,53707.22786,0
1001061,1132017035369,20.25,0.48,54.660509999999995,32.6124,53707.23323,0
1001061,1132017035369,19.39,0.24,54.65931,32.61229,53714.19822000001,0
1001061,1132017035369,20.07,0.35,54.66013,32.6123,53714.20492999999,0
1001061,1132017035369,20.32,0.4,54.6598,32.611670000000004,53714.21165,0
1001061,1132017035369,19.81,0.3,54.660019999999996,32.61195,53735.219220000006,0
1001061,1132017035369,20.08,0.35,54.65976,32.61205,53735.22621,0
1001061,1132017035369,19.84,0.3,54.66033,32.61184,53735.233270000004,0
1001061,1132017035369,19.47,0.26,54.65987,32.61169,53735.24026000001,0
1001061,1132017035369,19.88,0.32,54.65994,32.61204,53684.25955,0
1001061,1132017035369,20.09,0.36,54.66015,32.611709999999995,53684.2706,0
1001061,1132017035369,19.82,0.31,54.66029,32.61221,53684.27616,0
1001061,1132017035369,19.62,0.27,54.66008000000001,32.61188,53695.28397999999,0
1001061,1132017035369,19.58,0.27,54.66016,32.61179,53695.297,0
1001061,1132017035369,19.23,0.22,54.66046,32.61202,53695.30355,0
1001061,1132017035369,19.86,0.27,54.66033,32.611709999999995,53647.42205,0
1001061,1132017035369,20.03,0.29,54.65987,32.611740000000005,53647.43218,0
1001061,1132017035369,19.37,0.21,54.66024,32.61213,53647.44231000001,0
1001061,1132017035369,20.17,0.32,54.660309999999996,32.61221,53647.4524,0
1001061,1132017035369,20.1,0.39,54.66041,32.61163,53657.371719999996,0
1001061,1132017035369,19.65,0.28,54.66032,32.61142,53672.396689999994,0
1001061,1132017035369,19.12,0.21,54.66035,32.61173,53672.40259,0
1001061,1132017035369,19.86,0.31,54.66032,32.611959999999996,53672.408489999994,0
1001061,1132017035369,19.6,0.29,54.6602,32.61168,53642.38274,0
1001061,1132017035369,19.53,0.28,54.66021,32.61179,53642.38982,0
1001061,1132017035369,19.15,0.23,54.66035,32.61189,53642.39693,0
1001061,1132017035369,19.95,0.32,54.66014000000001,32.61209,54083.2639,0
1001061,1132017035369,19.98,0.32,54.66025,32.61153,54083.27052000001,0
1001061,1132017035369,19.36,0.23,54.660109999999996,32.61165,54083.27711,0
1001061,1132017035369,19.29,0.22,54.66047,32.611959999999996,54083.2837,0
1001061,1132017035369,19.03,0.19,54.6605,32.61168,54094.129160000004,0
1001061,1132017035369,19.99,0.31,54.660509999999995,32.6114,54094.14031,0
1001061,1132017035369,20.22,0.36,54.660169999999994,32.6123,54094.16099999999,0
1001061,1132017035369,20.31,0.4,54.66014000000001,32.61197,53768.219470000004,0
1001061,1132017035369,19.72,0.29,54.660109999999996,32.61163,53768.225920000004,0
1001061,1132017035369,19.25,0.23,54.65994,32.61233,53768.23239,0
1001061,1132017035369,18.87,0.19,54.66033,32.61202,53742.15561,0
1001061,1132017035369,19.14,0.21,54.66019,32.61199000000001,53742.163929999995,0
1001061,1132017035369,19.15,0.21,54.65996,32.611959999999996,53742.17224,0
1001061,1132017035369,20.61,0.46,54.66001,32.61169,53742.18056,0
1001061,1132017035369,19.27,0.23,54.66035,32.6121,53757.19003,0
1001061,1132017035369,19.64,0.28,54.65994,32.61199000000001,53757.19802999999,0
1001061,1132017035369,19.66,0.28,54.660180000000004,32.61242,53757.20604,0
1001061,1132017035369,19.34,0.24,54.66035,32.61183,53757.21400000001,0
1001061,1132017035369,19.62,0.27,54.66004,32.61188,53763.19071,0
1001061,1132017035369,20.01,0.34,54.660059999999994,32.61177,53763.19725,0
1001061,1132017035369,20.03,0.34,54.659890000000004,32.61204,53763.20377000001,0
1001061,1132017035369,19.45,0.25,54.6602,32.61195,53763.21037000001,0
1001061,1132017035369,20.18,0.35,54.66028000000001,32.61177,54054.24676,0
1001061,1132017035369,19.67,0.26,54.65974,32.61177,54054.26078,0
1001061,1132017035369,20.08,0.33,54.66013,32.61184,54054.26779,0
1001061,1132017035369,19.74,0.28,54.66048000000001,32.61184,54060.23365,0
1001061,1132017035369,19.38,0.23,54.66044,32.61221,54060.240289999994,0
1001061,1132017035369,20.09,0.33,54.660309999999996,32.61215,54060.24685,0
1001061,1132017035369,19.51,0.25,54.66047,32.61179,54010.41447999999,0
1001061,1132017035369,20.2,0.36,54.66015,32.61197,54010.41942000001,0
1001061,1132017035369,19.61,0.26,54.66038,32.61208,54010.42431,0
1001061,1132017035369,19.88,0.29,54.65973,32.61183,54031.375329999995,0
1001061,1132017035369,19.62,0.26,54.660030000000006,32.611670000000004,54031.38400000001,0
1001061,1132017035369,19.5,0.24,54.659859999999995,32.61209,54031.39265,0
1001061,1132017035369,19.52,0.24,54.659890000000004,32.61215,54031.40115,0
1001061,1132017035369,19.34,0.25,54.65993,32.61209,54037.35612999999,0
1001061,1132017035369,19.23,0.23,54.66034000000001,32.611999999999995,54037.362610000004,0
1001061,1132017035369,20.03,0.34,54.6602,32.61201,54037.3691,0
1001061,1132017035369,19.53,0.25,54.66021,32.61183,54037.37553,0
1001061,1132017035369,19.82,0.29,54.6601,32.61158,54003.30493,0
1001061,1132017035369,20.02,0.32,54.66039,32.61173,54003.31337999999,0
1001061,1132017035369,19.65,0.26,54.66028000000001,32.61143,54003.32182000001,0
1001061,1132017035369,19.9,0.3,54.66024,32.61172,54003.33026,0
1001061,1132017035369,19.16,0.21,54.66016,32.61233,54452.22241,0
1001061,1132017035369,19.6,0.26,54.66032,32.61193,54452.228970000004,0
1001061,1132017035369,19.17,0.21,54.66,32.61215,54452.23556,0
1001061,1132017035369,19.17,0.21,54.66024,32.611709999999995,54452.242139999995,0
1001061,1132017035369,19.7,0.31,54.66034000000001,32.61172,54157.15347000001,0
1001061,1132017035369,19.4,0.26,54.65955,32.61145,54157.1623,0
1001061,1132017035369,20.29,0.38,54.6597,32.61168,54117.250289999996,0
1001061,1132017035369,19.62,0.26,54.65991999999999,32.61201,54117.2564,0
1001061,1132017035369,19.56,0.26,54.65996,32.611909999999995,54117.262539999996,0
1001061,1132017035369,19.05,0.2,54.65994,32.61197,54117.26867000001,0
1001061,1132017035369,20.43,0.42,54.6607,32.612109999999994,54406.506129999994,0
1001061,1132017035369,19.69,0.28,54.660180000000004,32.61235,54406.51276000001,0
1001061,1132017035369,19.7,0.28,54.66066,32.61166,54406.51615,0
1001061,1132017035369,19.7,0.28,54.66025,32.61163,54412.33671,0
1001061,1132017035369,19.54,0.26,54.66014000000001,32.61177,54412.34352,0
1001061,1132017035369,19.71,0.28,54.65981,32.6118,54412.35017000001,0
1001061,1132017035369,19.5,0.25,54.66048000000001,32.611959999999996,54412.35682000001,0
1001061,1132017035369,19.47,0.25,54.66016,32.611709999999995,54382.34097999999,0
1001061,1132017035369,20.35,0.39,54.66007,32.61225,54382.349579999995,0
1001061,1132017035369,19.36,0.23,54.66054000000001,32.611740000000005,54382.35819,0
1001061,1132017035369,19.54,0.25,54.66049,32.612140000000004,54389.354289999996,0
1001061,1132017035369,20.11,0.34,54.66033,32.61226,54389.362389999995,0
1001061,1132017035369,19.25,0.21,54.66061,32.61164,54389.37871000001,0
1001061,1132017035369,19.26,0.22,54.65971,32.61201,54363.359339999995,0
1001061,1132017035369,20.49,0.43,54.6605,32.61228,54363.36663,0
1001061,1132017035369,19.52,0.25,54.66028000000001,32.61217,54363.38118,0
1001061,1132017035369,19.16,0.2,54.660219999999995,32.611979999999996,54804.240639999996,0
1001061,1132017035369,18.96,0.19,54.66023000000001,32.61183,54804.247970000004,0
1001061,1132017035369,19.71,0.27,54.660090000000004,32.61202,54804.25543,0
1001061,1132017035369,19.76,0.28,54.660019999999996,32.611999999999995,54804.26277,0
1001061,1132017035369,20.03,0.33,54.6603,32.61184,54829.22829,0
1001061,1132017035369,19.66,0.27,54.66024,32.612190000000005,54829.234339999995,0
1001061,1132017035369,19.21,0.21,54.65993,32.61203,54829.24036,0
1001061,1132017035369,19.45,0.24,54.66005,32.61181,54829.24641,0
1001061,1132017035369,18.9,0.18,54.65968,32.611290000000004,54503.16824,0
1001061,1132017035369,19.35,0.23,54.66033,32.61186,54503.18399,0
1001061,1132017035369,19.47,0.24,54.6604,32.61192,54503.19184,0
1001061,1132017035369,19.88,0.36,54.661069999999995,32.61221,54514.2094,0
1001061,1132017035369,19.38,0.23,54.65975,32.61184,54476.18577999999,0
1001061,1132017035369,19.54,0.25,54.66027,32.61201,54476.19237999999,0
1001061,1132017035369,19.48,0.24,54.6603,32.61187,54476.1989,0
1001061,1132017035369,19.88,0.3,54.660030000000006,32.6121,54476.205429999995,0
1001061,1132017035369,19.77,0.25,54.66045,32.61161,54535.14464,0
1001061,1132017035369,20.01,0.28,54.65996,32.61227,54535.15068,0
1001061,1132017035369,19.54,0.25,54.66038,32.611779999999996,54787.37646,0
1001061,1132017035369,19.19,0.21,54.6603,32.61134000000001,54787.38315,0
1001061,1132017035369,19.76,0.31,54.660709999999995,32.611740000000005,54746.47915,0
1001061,1132017035369,19.79,0.32,54.6598,32.612109999999994,54746.48504,0
1001061,1132017035369,20.81,0.5,54.660180000000004,32.6118,54764.37832,0
1001061,1132017035369,19.69,0.27,54.66032,32.611670000000004,54764.38635,0
1001061,1132017035369,19.62,0.26,54.66036,32.61181,54764.39447000001,0
1001061,1132017035369,19.65,0.26,54.660759999999996,32.61175,54764.40259,0
1001061,1132017035369,19.87,0.3,54.66061,32.61225,54770.37131,0
1001061,1132017035369,20.82,0.51,54.66061,32.61206,54770.38501000001,0
