InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001201,1123021024314.0,19.68,0.28,62.90353,23.38714,53727.21186,0.0
1001201,1123021024314.0,19.63,0.26,62.90378000000001,23.38691,53733.26217,0.0
1001201,1123021024314.0,20.15,0.38,62.904090000000004,23.38722000000001,53648.38676,0.0
1001201,1123021024314.0,19.89,0.32,62.903819999999996,23.38723,53648.393,0.0
1001201,1123021024314.0,19.41,0.25,62.90378000000001,23.38717,53648.39925,0.0
1001201,1123021024314.0,20.13,0.37,62.903890000000004,23.387,53648.40569,0.0
1001201,1123021024314.0,19.93,0.31,62.90356,23.3869,53672.41895,0.0
1001201,1123021024314.0,20.42,0.4,62.90394000000001,23.38729,53672.42524,0.0
1001201,1123021024314.0,19.93,0.31,62.90358000000001,23.3872,53672.4317,0.0
1001201,1123021024314.0,19.39,0.23,62.90345,23.38711,53672.43792,0.0
1001201,1123021024314.0,19.37,0.24,62.9038,23.38693,53642.43843,0.0
1001201,1123021024314.0,19.54,0.27,62.90394000000001,23.38707,53642.4455,0.0
1001201,1123021024314.0,20.07,0.36,62.90414000000001,23.38723,53642.45263,0.0
1001201,1123021024314.0,19.78,0.3,62.90365,23.38712,53642.45974,0.0
1001201,1123021024314.0,20.46,0.39,62.90376,23.38711,53976.43962000001,0.0
1001201,1123021024314.0,19.52,0.23,62.90381,23.38719,53976.44719,0.0
1001201,1123021024314.0,20.0,0.3,62.9038,23.387079999999997,53976.454789999996,0.0
1001201,1123021024314.0,19.63,0.25,62.904109999999996,23.38713,53976.46242999999,0.0
1001201,1123021024314.0,20.3,0.37,62.90359,23.387620000000002,54081.351429999995,0.0
1001201,1123021024314.0,18.27,0.15,62.90394000000001,23.38703,53770.09835,0.0
1001201,1123021024314.0,19.56,0.25,62.90341,23.38661,53770.122429999996,0.0
1001201,1123021024314.0,19.52,0.24,62.90362,23.38714,53754.19979,0.0
1001201,1123021024314.0,19.29,0.22,62.90363000000001,23.38716,53754.21277000001,0.0
1001201,1123021024314.0,20.18,0.35,62.90384,23.38722000000001,53760.150279999994,0.0
1001201,1123021024314.0,19.95,0.31,62.903909999999996,23.38741,53760.1718,0.0
1001201,1123021024314.0,19.17,0.2,62.9038,23.386860000000002,54024.353279999996,0.0
1001201,1123021024314.0,19.27,0.21,62.90405,23.38723,54024.368689999996,0.0
1001201,1123021024314.0,18.98,0.18,62.904180000000004,23.38727,54024.37644,0.0
1001201,1123021024314.0,19.68,0.25,62.90391999999999,23.3869,53995.46973,0.0
1001201,1123021024314.0,19.52,0.23,62.90405,23.38719,53995.4786,0.0
1001201,1123021024314.0,20.28,0.35,62.903819999999996,23.38704,53996.46455,0.0
1001201,1123021024314.0,19.61,0.24,62.90388000000001,23.38726,53996.46966,0.0
1001201,1123021024314.0,19.34,0.21,62.90387,23.38715,53996.47479,0.0
1001201,1123021024314.0,19.89,0.28,62.903969999999994,23.38711,53996.47991,0.0
1001201,1123021024314.0,20.9,0.5,62.90381,23.38719,54438.215860000004,0.0
1001201,1123021024314.0,20.97,0.52,62.90347,23.38716,54438.222929999996,0.0
1001201,1123021024314.0,20.01,0.32,62.90401,23.38724,54464.24984,0.0
1001201,1123021024314.0,20.44,0.4,62.9038,23.38725,54464.25634,0.0
1001201,1123021024314.0,20.3,0.38,62.903890000000004,23.38716,54464.26934,0.0
1001201,1123021024314.0,19.09,0.19,62.90408000000001,23.38737,54146.09962000001,0.0
1001201,1123021024314.0,19.58,0.25,62.90387,23.38726,54146.1039,0.0
1001201,1123021024314.0,19.58,0.25,62.904180000000004,23.38713,54146.10821000001,0.0
1001201,1123021024314.0,18.64,0.16,62.9027,23.38756,54109.27534,0.0
1001201,1123021024314.0,19.62,0.25,62.90354,23.386979999999998,54124.160970000004,0.0
1001201,1123021024314.0,20.03,0.31,62.90396,23.38709,54124.16857,0.0
1001201,1123021024314.0,19.43,0.23,62.90391999999999,23.38747,54124.17617000001,0.0
1001201,1123021024314.0,19.54,0.24,62.90416,23.38703,54124.183789999995,0.0
1001201,1123021024314.0,19.14,0.2,62.903169999999996,23.386860000000002,54168.13853,0.0
1001201,1123021024314.0,19.64,0.26,62.90191,23.3876,54168.14496000001,0.0
1001201,1123021024314.0,19.87,0.29,62.90405,23.38735,54168.14496000001,1.0
1001201,1123021024314.0,19.89,0.3,62.90379,23.38702,54168.1578,0.0
1001201,1123021024314.0,19.22,0.2,62.90448000000001,23.3869,54381.344529999995,0.0
1001201,1123021024314.0,19.59,0.24,62.904,23.38726,54381.35724,0.0
1001201,1123021024314.0,20.7,0.45,62.903769999999994,23.38729,54381.37,0.0
1001201,1123021024314.0,19.95,0.29,62.90385,23.38725,54381.38271000001,0.0
1001201,1123021024314.0,19.1,0.2,62.90399,23.3868,54351.47773,0.0
1001201,1123021024314.0,18.58,0.16,62.90425,23.387420000000002,54351.48312999999,0.0
1001201,1123021024314.0,19.52,0.25,62.90406,23.3875,54351.48854,0.0
1001201,1123021024314.0,19.5,0.24,62.903659999999995,23.38714,54351.4941,0.0
1001201,1123021024314.0,20.57,0.42,62.90394000000001,23.387179999999997,54363.45732,0.0
1001201,1123021024314.0,20.02,0.3,62.90401,23.38721,54363.47159,0.0
1001201,1123021024314.0,19.65,0.25,62.90403000000001,23.38733,54363.47872000001,0.0
1001201,1123021024314.0,19.98,0.3,62.903980000000004,23.38703,54502.163010000004,0.0
1001201,1123021024314.0,19.33,0.22,62.90356,23.38707,54502.171270000006,0.0
1001201,1123021024314.0,20.2,0.34,62.903769999999994,23.38721,54502.17957000001,0.0
1001201,1123021024314.0,20.45,0.39,62.9038,23.386870000000002,54502.18781,0.0
1001201,1123021024314.0,20.01,0.31,62.9037,23.3872,54508.14067000001,0.0
1001201,1123021024314.0,20.61,0.43,62.90376,23.38745,54508.14874,0.0
1001201,1123021024314.0,19.56,0.24,62.90405,23.38673,54495.18298,0.0
1001201,1123021024314.0,20.02,0.31,62.90381,23.38702,54771.341539999994,0.0
1001201,1123021024314.0,20.04,0.31,62.904019999999996,23.38731,54771.34871000001,0.0
1001201,1123021024314.0,20.71,0.45,62.90374,23.38711,54771.355939999994,0.0
1001201,1123021024314.0,19.7,0.26,62.90374,23.38719,54771.3631,0.0
