InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001261,1104025022909.0,20.81,0.47,67.96913,3.83731,54052.329379999996,0.0
1001261,1104025022909.0,20.54,0.41,67.96925,3.83704,54452.265960000004,0.0
1001261,1104025022909.0,20.18,0.35,67.96958000000001,3.83696,54173.15689,0.0
1001261,1104025022909.0,20.87,0.5,67.96903,3.83757,54413.37475,0.0
1001261,1104025022909.0,20.89,0.5,67.9698,3.8369699999999995,54389.453279999994,0.0
1001261,1104025022909.0,20.7,0.46,67.96913,3.8378,54356.44525,0.0
1001261,1104025022909.0,19.32,0.21,67.97005,3.83757,54822.29222999999,0.0
1001261,1104025022909.0,20.4,0.37,67.96896,3.83751,54830.24372000001,0.0
1001261,1104025022909.0,20.91,0.52,67.96945,3.83702,54852.12841000001,0.0
1001261,1104025022909.0,19.16,0.21,67.96986,3.8355,54911.13179,0.0
1001261,1104025022909.0,20.97,0.54,67.96885999999999,3.83679,55833.41752,0.0
1001261,1104025022909.0,20.71,0.46,67.97028,3.83829,55887.31291,0.0
1001261,1104025022909.0,20.18,0.34,67.96847,3.83616,55887.338339999995,0.0
1001261,1104025022909.0,19.83,0.25,67.96929,3.83699,56274.27159,0.0
1001261,1104025022909.0,19.82,0.24,67.96977,3.83704,56274.28795,0.0
1001261,1104025022910.0,18.49,0.15,67.99472,3.83196,53709.27412,0.0
1001261,1104025022910.0,18.22,0.13,67.9948,3.8319699999999997,53709.28895,0.0
1001261,1104025022910.0,18.25,0.14,67.99484,3.8319900000000002,53733.28515,0.0
1001261,1104025022910.0,18.49,0.15,67.99465,3.8321199999999997,53733.290160000004,0.0
1001261,1104025022910.0,18.08,0.13,67.99471,3.8318800000000004,53733.29497,0.0
1001261,1104025022910.0,18.17,0.13,67.99475,3.83186,53733.29988,0.0
1001261,1104025022910.0,18.04,0.17,67.9947,3.8317900000000003,53678.42757,0.0
1001261,1104025022910.0,18.34,0.14,67.9948,3.8318199999999996,53686.3979,0.0
1001261,1104025022910.0,18.21,0.13,67.99484,3.8319,53686.4055,0.0
1001261,1104025022910.0,18.18,0.13,67.99479000000001,3.83196,53686.4131,0.0
1001261,1104025022910.0,18.64,0.17,67.99486999999999,3.8318,53696.34347000001,0.0
1001261,1104025022910.0,18.38,0.15,67.99498,3.8319300000000003,53696.34877999999,0.0
1001261,1104025022910.0,18.57,0.16,67.9949,3.8319400000000003,53696.35409,0.0
1001261,1104025022910.0,18.29,0.14,67.99481,3.83184,53696.35941000001,0.0
1001261,1104025022910.0,18.17,0.13,67.99471,3.8318800000000004,53703.23796000001,0.0
1001261,1104025022910.0,18.13,0.13,67.99483000000001,3.8319300000000003,53703.24656,0.0
1001261,1104025022910.0,18.33,0.14,67.99474000000001,3.8319699999999997,53703.25515,0.0
1001261,1104025022910.0,18.22,0.14,67.99474000000001,3.83201,53703.26377000001,0.0
1001261,1104025022910.0,18.36,0.15,67.99455999999999,3.83195,53644.44015,0.0
1001261,1104025022910.0,18.21,0.14,67.99481999999999,3.83198,53644.4478,0.0
1001261,1104025022910.0,18.47,0.16,67.99481,3.83183,53644.45544,0.0
1001261,1104025022910.0,18.2,0.14,67.99481,3.83206,53644.46305,0.0
1001261,1104025022910.0,18.22,0.13,67.9948,3.832,53668.41456000001,0.0
1001261,1104025022910.0,18.36,0.14,67.99484,3.83187,53668.42658,0.0
1001261,1104025022910.0,18.22,0.14,67.99476999999999,3.83195,53668.43872,0.0
1001261,1104025022910.0,18.22,0.14,67.99491,3.83196,53668.45076,0.0
1001261,1104025022910.0,18.36,0.14,67.99491,3.8320199999999995,53674.38219,0.0
1001261,1104025022910.0,18.19,0.13,67.99488000000001,3.8318,53674.38962,0.0
