InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001281,1101025017361.0,20.46,0.37,69.62425999999999,0.6885600000000001,53709.273579999994,0.0
1001281,1101025017361.0,20.42,0.31,69.62429,0.68903,53675.38685,0.0
1001281,1101025017361.0,20.77,0.45,69.62498000000001,0.68898,53686.41257,0.0
1001281,1101025017361.0,21.07,0.55,69.62434,0.68858,53703.25462000001,0.0
1001281,1101025017361.0,19.71,0.26,69.62447,0.68853,53703.26323,0.0
1001281,1101025017361.0,20.66,0.41,69.62491999999999,0.68871,54080.36634,0.0
1001281,1101025017361.0,20.04,0.29,69.62496,0.68834,54090.31092999999,0.0
1001281,1101025017361.0,20.22,0.29,69.62463000000001,0.6886,54055.37149,0.0
1001281,1101025017361.0,20.03,0.26,69.62425999999999,0.68876,54055.384210000004,0.0
1001281,1101025017361.0,20.44,0.35,69.62510999999999,0.68882,53997.47931,0.0
1001281,1101025017361.0,20.4,0.34,69.62453000000001,0.6886399999999999,53997.49877000001,0.0
1001281,1101025017361.0,19.95,0.27,69.62529,0.68845,53998.47911,0.0
1001281,1101025017361.0,20.9,0.46,69.62483,0.68858,54452.26761,0.0
1001281,1101025017361.0,20.31,0.35,69.62448,0.68903,54173.15309,0.0
1001281,1101025017361.0,20.29,0.34,69.62459,0.68865,54173.15956,0.0
1001281,1101025017361.0,21.11,0.54,69.62501999999999,0.68779,54419.272489999996,0.0
1001281,1101025017361.0,20.92,0.49,69.62471,0.68921,54383.38673,0.0
1001281,1101025017361.0,20.22,0.32,69.62489000000001,0.68884,54390.39008,0.0
1001281,1101025017361.0,20.98,0.49,69.62465999999999,0.6884600000000001,54363.42337999999,0.0
1001281,1101025017361.0,20.11,0.29,69.62469,0.6887300000000001,54830.238939999996,0.0
1001281,1101025017361.0,21.19,0.55,69.62467,0.68911,54477.22419,0.0
1001281,1101025017361.0,20.72,0.43,69.62488,0.68892,54532.12342,0.0
1001281,1101025017361.0,19.65,0.23,69.62458000000001,0.6884100000000001,54763.4135,0.0
1001281,1101025017361.0,20.3,0.34,69.62482,0.6886800000000001,55158.284629999995,0.0
1001281,1101025017361.0,20.28,0.34,69.62432,0.68903,55125.461129999996,0.0
1001281,1101025017361.0,19.95,0.29,69.62462,0.68903,55091.41345,0.0
1001281,1101025017361.0,20.76,0.45,69.62444,0.68867,55091.42932999999,0.0
1001281,1101025017361.0,20.55,0.39,69.62456,0.68862,55512.326239999995,0.0
1001281,1101025017361.0,21.11,0.54,69.6243,0.68871,55512.3504,0.0
1001281,1101025017361.0,20.37,0.36,69.62529,0.6887300000000001,55481.46061,0.0
1001281,1101025017361.0,19.72,0.26,69.62474,0.68866,55498.3829,0.0
1001281,1101025017361.0,20.48,0.38,69.62435,0.6892,55498.39675,0.0
1001281,1101025017361.0,20.69,0.44,69.62535,0.68834,55590.199179999996,0.0
1001281,1101025017361.0,20.18,0.32,69.62425,0.6895100000000001,55862.41405,0.0
1001281,1101025017361.0,19.55,0.23,69.62456999999999,0.68826,55895.26202,0.0
1001281,1101025017361.0,20.07,0.3,69.62494000000001,0.68893,55895.28046,0.0
1001281,1101025017361.0,20.78,0.45,69.62413000000001,0.68879,55922.241539999995,0.0
1001281,1101025017361.0,19.92,0.28,69.62483,0.68898,55922.24879,0.0
1001281,1101025017361.0,20.08,0.31,69.62406,0.6885100000000001,55975.12171,0.0
1001281,1101025017361.0,20.33,0.36,69.62458000000001,0.6893199999999999,56003.13389,0.0
1001281,1101025017361.0,19.88,0.28,69.62444,0.6885899999999999,56211.34035,0.0
1001281,1101025017361.0,21.04,0.45,69.62425999999999,0.68914,56219.41291,0.0
1001281,1101025017361.0,20.07,0.26,69.62472,0.6893199999999999,56272.30615,0.0
1001281,1101025017361.0,19.92,0.29,69.62434,0.68875,56310.18038,0.0
