InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001301,1107026005126.0,20.89,0.49,71.05969,5.81076,53705.38239,0.0
1001301,1107026005126.0,21.07,0.58,71.05965,5.8103,53648.42931,0.0
1001301,1107026005126.0,20.79,0.46,71.05941999999997,5.81055,53798.15697999999,0.0
1001301,1107026005126.0,20.33,0.32,71.05966,5.81045,54058.3901,0.0
1001301,1107026005126.0,20.98,0.46,71.05991,5.81053,54028.38534,0.0
1001301,1107026005126.0,21.16,0.52,71.05963,5.8109699999999975,54438.37952,0.0
1001301,1107026005126.0,21.13,0.51,71.05974,5.81051,54438.38597999999,0.0
1001301,1107026005126.0,20.19,0.3,71.05948000000002,5.8109800000000025,54452.2523,0.0
1001301,1107026005126.0,20.94,0.48,71.0587,5.812069999999999,54140.22034,0.0
1001301,1107026005126.0,21.01,0.49,71.05978,5.81045,54413.365,0.0
1001301,1107026005126.0,19.95,0.28,71.06011,5.81088,54419.28382999999,0.0
1001301,1107026005126.0,20.5,0.37,71.05969,5.8106300000000015,54356.43867,0.0
1001301,1107026005126.0,20.28,0.33,71.05928,5.8110599999999994,54356.44581000001,0.0
1001301,1107026005126.0,21.25,0.57,71.06000999999998,5.81094,54356.46017000001,0.0
1001301,1107026005126.0,20.25,0.33,71.05922,5.81125,54555.1267,0.0
1001301,1107026005126.0,20.95,0.46,71.05951999999998,5.81053,54773.3853,0.0
1001301,1107026005126.0,19.09,0.18,71.05986999999998,5.810309999999999,54908.11025,0.0
1001301,1107026005126.0,20.56,0.43,71.05988,5.8098,55586.21256,0.0
1001301,1107026005126.0,20.88,0.38,71.0596,5.8105199999999995,55889.38926,0.0
1001301,1107026005126.0,20.87,0.39,71.05956,5.81071,56274.28591000001,0.0
1001301,1107026005206.0,20.52,0.39,71.06593000000002,5.81497,53705.39275,0.0
1001301,1107026005206.0,20.24,0.31,71.06621,5.81502,53997.47451,0.0
1001301,1107026005206.0,19.87,0.27,71.06563,5.81513,54382.428289999996,0.0
1001301,1107026005206.0,20.37,0.35,71.06575,5.81487,54382.439029999994,0.0
1001301,1107026005206.0,21.25,0.57,71.06541999999997,5.81502,54356.45301000001,0.0
1001301,1107026005206.0,20.28,0.33,71.06569,5.81494,54356.46017000001,0.0
1001301,1107026005206.0,20.86,0.45,71.06555,5.81494,54524.1567,0.0
1001301,1107026005206.0,20.06,0.28,71.06536,5.8146,54763.45627,0.0
1001301,1107026005206.0,19.81,0.24,71.06537,5.81492,54763.46619,0.0
1001301,1107026005206.0,19.49,0.21,71.06523,5.81492,54860.21626,0.0
1001301,1107026005206.0,20.06,0.3,71.06452,5.81499,55538.35815,0.0
1001301,1107026005206.0,19.86,0.26,71.06664,5.81429,55246.16322,0.0
1001301,1107026005206.0,20.4,0.36,71.06586,5.81495,55589.227289999995,0.0
1001301,1107026005206.0,18.88,0.16,71.06604,5.81492,55881.44714,0.0
1001301,1107026005206.0,19.9,0.28,71.06600999999998,5.8144,56222.45565,0.0
1001301,1107026005206.0,19.31,0.18,71.06553000000002,5.81533,56256.39182999999,0.0
1001301,1107026005729.0,18.93,0.17,71.07987,5.82368,53705.39275,0.0
1001301,1107026005729.0,18.78,0.16,71.07987,5.82383,53711.27571,0.0
1001301,1107026005729.0,18.87,0.16,71.07987,5.82386,53711.28322999999,0.0
1001301,1107026005729.0,18.73,0.16,71.07989,5.82372,53726.234379999994,0.0
1001301,1107026005729.0,19.01,0.18,71.07981,5.8238,53726.24175,0.0
1001301,1107026005729.0,19.2,0.19,71.0796,5.82385,53733.27261,0.0
1001301,1107026005729.0,18.94,0.2,71.07983,5.82399,53684.4387,0.0
1001301,1107026005729.0,18.56,0.15,71.0798,5.82375,53684.44951000001,0.0
1001301,1107026005729.0,18.97,0.18,71.07964,5.82377,53648.42332,0.0
1001301,1107026005729.0,19.05,0.19,71.07996999999997,5.8238,53648.42931,0.0
1001301,1107026005729.0,18.57,0.15,71.07999000000002,5.82378,53648.43538,0.0
1001301,1107026005729.0,19.2,0.19,71.07978,5.82362,53668.422210000004,0.0
1001301,1107026005729.0,18.75,0.16,71.07986,5.823519999999999,53668.434330000004,0.0
1001301,1107026005729.0,19.17,0.19,71.08001999999998,5.82377,53668.44644,0.0
1001301,1107026005729.0,19.08,0.18,71.0798,5.82388,53674.398160000004,0.0
1001301,1107026005729.0,18.94,0.18,71.08001,5.82372,53643.48024,0.0
1001301,1107026005729.0,18.64,0.2,71.07983,5.82333,54070.20548,0.0
1001301,1107026005729.0,18.6,0.14,71.07983,5.82376,54080.39114,0.0
1001301,1107026005729.0,19.32,0.2,71.07982,5.8234699999999995,54080.39772000001,0.0
1001301,1107026005729.0,17.64,0.1,71.07885999999998,5.82346,54080.40426,0.0
1001301,1107026005729.0,18.24,0.13,71.07945,5.82378,54080.41082000001,0.0
1001301,1107026005729.0,18.68,0.15,71.07976,5.8235,54090.27276,0.0
1001301,1107026005729.0,18.56,0.14,71.07961999999998,5.82366,54090.27978,0.0
1001301,1107026005729.0,19.06,0.17,71.07975,5.82366,54090.28676,0.0
1001301,1107026005729.0,18.52,0.14,71.07977,5.82378,54090.293789999996,0.0
1001301,1107026005729.0,19.06,0.18,71.07978,5.82386,53758.20335,0.0
1001301,1107026005729.0,19.6,0.26,71.07970999999998,5.82364,53765.190070000004,0.0
1001301,1107026005729.0,18.5,0.15,71.07953,5.82421,53765.20302000001,0.0
1001301,1107026005729.0,18.67,0.15,71.07993,5.8236099999999995,53798.15697999999,0.0
1001301,1107026005729.0,19.05,0.18,71.07979,5.82365,53798.16383,0.0
1001301,1107026005729.0,18.92,0.17,71.07969,5.82386,53798.16996,0.0
1001301,1107026005729.0,18.73,0.15,71.08006999999998,5.8238900000000005,54052.310829999995,0.0
1001301,1107026005729.0,18.46,0.13,71.07985,5.823869999999999,54052.317370000004,0.0
1001301,1107026005729.0,18.66,0.14,71.07966,5.82399,54052.32391,0.0
1001301,1107026005729.0,18.77,0.15,71.07977,5.82376,54052.33046000001,0.0
1001301,1107026005729.0,19.14,0.18,71.07948,5.82369,54058.37809,0.0
