InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001381,1004028063049.0,19.06,0.18,77.53783,-3.4548400000000004,53729.29607999999,0.0
1001381,1004028063049.0,19.56,0.23,77.53779,-3.4551300000000005,53704.37044,0.0
1001381,1004028063049.0,19.08,0.18,77.53792,-3.45479,53670.43316,0.0
1001381,1004028063049.0,19.3,0.29,77.53824,-3.4553300000000005,54070.22272000001,0.0
1001381,1004028063049.0,20.36,0.36,77.5381,-3.45479,53790.15902000001,0.0
1001381,1004028063049.0,19.62,0.24,77.53747,-3.45495,53739.27707999999,0.0
1001381,1004028063049.0,20.07,0.3,77.5375,-3.45516,53739.292089999995,0.0
1001381,1004028063049.0,19.93,0.28,77.53771,-3.45485,53758.23077,0.0
1001381,1004028063049.0,19.76,0.26,77.53786,-3.4549199999999995,53758.25169,0.0
1001381,1004028063049.0,18.98,0.17,77.53793,-3.4547800000000004,54061.38787000001,0.0
1001381,1004028063049.0,19.54,0.22,77.53779,-3.4548900000000002,54031.44536000001,0.0
1001381,1004028063049.0,19.86,0.25,77.53768000000002,-3.45491,54031.45244,0.0
1001381,1004028063049.0,19.86,0.26,77.5378,-3.4549,54439.33815,0.0
1001381,1004028063049.0,19.44,0.21,77.53766999999998,-3.45486,54506.164789999995,0.0
1001381,1004028063049.0,20.03,0.28,77.53772,-3.4548900000000002,54506.177639999994,0.0
1001381,1004028063049.0,19.55,0.22,77.53775999999998,-3.45482,54466.2918,0.0
1001381,1004028063049.0,18.95,0.17,77.53775,-3.4549199999999995,54533.168,0.0
1001381,1004028063049.0,19.26,0.19,77.5377,-3.4549,54777.37179,0.0
1001381,1004028063049.0,20.0,0.29,77.53751,-3.45496,55855.42951,0.0
1001381,1004028063049.0,19.58,0.23,77.53738,-3.4551300000000005,55929.15234,0.0
1001381,1004028063049.0,19.61,0.23,77.53804000000002,-3.45506,55929.16039,0.0
1001381,1004028063049.0,19.8,0.23,77.53796,-3.45474,56220.36848,0.0
1001381,1004028063049.0,19.98,0.24,77.53761999999998,-3.45486,56273.385879999994,0.0
1001381,1004028063122.0,18.88,0.16,77.53728000000002,-3.45365,53710.32372000001,0.0
1001381,1004028063122.0,19.96,0.28,77.5367,-3.4527,53710.33095,0.0
1001381,1004028063122.0,19.55,0.23,77.53728000000002,-3.45482,53710.33095,1.0
1001381,1004028063122.0,20.02,0.29,77.53644,-3.4526199999999996,53710.3382,0.0
1001381,1004028063122.0,18.34,0.13,77.53748,-3.4548400000000004,53710.3382,1.0
1001381,1004028063122.0,19.53,0.22,77.53636999999998,-3.45263,53710.345579999994,0.0
1001381,1004028063122.0,19.83,0.26,77.53765,-3.4546099999999997,53710.345579999994,1.0
1001381,1004028063122.0,19.66,0.24,77.53647,-3.45261,53729.28751,0.0
1001381,1004028063122.0,18.08,0.12,77.53622,-3.4523599999999997,53729.29607999999,0.0
1001381,1004028063122.0,18.96,0.18,77.5366,-3.45245,53729.3107,0.0
1001381,1004028063122.0,18.02,0.12,77.5373,-3.4545199999999996,53729.3193,0.0
1001381,1004028063122.0,19.58,0.25,77.53697,-3.45245,53677.39427,0.0
1001381,1004028063122.0,18.94,0.18,77.53761,-3.45433,53677.39427,1.0
1001381,1004028063122.0,19.75,0.29,77.53735,-3.4547199999999996,53677.40027,0.0
1001381,1004028063122.0,19.37,0.24,77.53793,-3.45453,53677.40617,0.0
1001381,1004028063122.0,19.5,0.22,77.53645,-3.4524800000000004,53686.42248,0.0
