InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001481,1009032015994,20.27,0.35,90.66634,-10.772260000000001,54040.42565,0
1001481,1009032015994,19.23,0.21,90.66554000000001,-10.77176,54062.32226,0
1001481,1009032015994,20.67,0.45,90.6654,-10.77219,54390.4839,0
1001481,1009032015994,20.5,0.43,90.66601999999999,-10.77322,55145.4747,0
1001481,1009032015994,19.3,0.23,90.66568000000001,-10.77235,55245.20628,0
1001481,1009032015994,20.65,0.46,90.66582,-10.77243,55508.42781,0
1001481,1009032015994,19.19,0.21,90.66596,-10.77219,55508.448789999995,0
1001481,1009032015994,19.55,0.25,90.66565,-10.77235,55603.13196,0
1001481,1009032015994,20.23,0.37,90.66605,-10.77245,55603.14166,0
1001481,1009032015994,20.49,0.41,90.66514000000001,-10.77195,55889.40292000001,0
1001481,1009032015994,19.96,0.31,90.66655,-10.77171,55889.41078,0
1001481,1009032015994,19.06,0.2,90.66523000000001,-10.771139999999999,55979.17305,0
1001481,1009032015994,20.17,0.35,90.6662,-10.77192,56008.1281,0
1001481,1009032015994,19.51,0.25,90.66626,-10.7721,56305.23182000001,0
1001481,1009032015994,19.8,0.29,90.66526,-10.77165,56305.24871,0
1001481,1009032015994,20.4,0.43,90.66530999999999,-10.771989999999999,56311.17887999999,0
1001481,1009032015994,19.81,0.32,90.66651999999999,-10.77172,56311.18223,0
1001481,1009032016212,17.68,0.11,90.68494,-10.76857,53708.34737,0
1001481,1009032016212,17.69,0.11,90.68495,-10.76863,53708.35439,0
1001481,1009032016212,17.72,0.11,90.68495,-10.76856,53708.361529999995,0
1001481,1009032016212,17.65,0.11,90.68484000000001,-10.7686,53708.36872000001,0
1001481,1009032016212,17.64,0.11,90.68493000000001,-10.76867,53675.41759,0
1001481,1009032016212,17.64,0.11,90.68489,-10.76858,53675.42407,0
1001481,1009032016212,17.79,0.11,90.68496999999999,-10.76858,53675.43051000001,0
1001481,1009032016212,17.7,0.11,90.68488,-10.76844,53675.43695,0
1001481,1009032016212,17.72,0.13,90.68491999999999,-10.76856,53676.39477,0
1001481,1009032016212,17.71,0.13,90.68493000000001,-10.76848,53676.40185,0
1001481,1009032016212,17.67,0.13,90.68496,-10.76858,53676.4089,0
1001481,1009032016212,17.4,0.13,90.68483,-10.76849,53676.41594,0
1001481,1009032016212,17.72,0.11,90.68493000000001,-10.76858,53699.40087000001,0
1001481,1009032016212,17.68,0.11,90.68495,-10.768510000000001,53699.40848,0
1001481,1009032016212,17.6,0.11,90.6848,-10.76839,53699.416079999995,0
1001481,1009032016212,17.74,0.11,90.68482,-10.768460000000001,53699.42371,0
1001481,1009032016212,17.72,0.11,90.6847,-10.76848,53767.1651,0
1001481,1009032016212,17.81,0.12,90.68488,-10.76861,53767.16994,0
1001481,1009032016212,17.73,0.11,90.68498000000001,-10.76858,53767.174779999994,0
1001481,1009032016212,17.7,0.11,90.68486999999999,-10.76855,53767.17963,0
1001481,1009032016212,17.78,0.12,90.68493000000001,-10.76855,53791.180570000004,0
1001481,1009032016212,17.7,0.11,90.68489,-10.768410000000001,53791.18539,0
1001481,1009032016212,17.59,0.11,90.68505,-10.76849,53791.190239999996,0
1001481,1009032016212,17.77,0.11,90.68479,-10.76853,53791.1951,0
1001481,1009032016212,16.84,0.08,90.68474,-10.768469999999999,53739.29712999999,0
1001481,1009032016212,17.18,0.09,90.68494,-10.768460000000001,53739.30356,0
1001481,1009032016212,17.79,0.11,90.68495,-10.76869,53739.31001,0
1001481,1009032016212,17.61,0.11,90.68488,-10.76853,53739.31646,0
1001481,1009032016212,17.77,0.12,90.6849,-10.76844,53764.248589999996,0
1001481,1009032016212,17.84,0.12,90.68486,-10.76848,53764.255020000004,0
1001481,1009032016212,17.62,0.11,90.68473,-10.76845,53764.26143,0
1001481,1009032016212,17.59,0.1,90.68489,-10.76843,54040.42565,0
1001481,1009032016212,17.71,0.11,90.68495,-10.76859,54040.43165,0
1001481,1009032016212,17.72,0.11,90.68491,-10.768469999999999,54040.44345,0
1001481,1009032016212,17.65,0.1,90.68482,-10.76848,54056.38996,0
1001481,1009032016212,17.8,0.11,90.68488,-10.768469999999999,54056.39725,0
1001481,1009032016212,17.8,0.11,90.6848,-10.76854,54056.40451,0
1001481,1009032016212,17.8,0.11,90.68481,-10.76854,54056.41179,0
1001481,1009032016212,17.82,0.11,90.68493000000001,-10.76854,54062.32226,0
1001481,1009032016212,17.61,0.1,90.68498000000001,-10.768469999999999,54062.32977999999,0
1001481,1009032016212,17.59,0.1,90.68486,-10.768510000000001,54062.337329999995,0
1001481,1009032016212,17.68,0.11,90.68481,-10.768419999999999,54062.34486000001,0
1001481,1009032016212,17.61,0.11,90.68486999999999,-10.76867,54010.506160000004,0
1001481,1009032016212,17.73,0.11,90.68491,-10.76843,54010.51059,0
1001481,1009032016212,18.04,0.13,90.68504,-10.768460000000001,54010.519479999995,0
