InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001601,1109041086929.0,18.19,0.11,114.73863,10.66571,53466.16326,0.0
1001601,1109041086929.0,18.22,0.12,114.7386,10.6657,53466.17129,0.0
1001601,1109041086929.0,18.06,0.11,114.73848000000001,10.66577,53466.17942,0.0
1001601,1109041086929.0,18.1,0.11,114.73863,10.66555,53466.18764,0.0
1001601,1109041086929.0,18.26,0.18,114.73853000000001,10.66565,54083.42193,0.0
1001601,1109041086929.0,17.97,0.15,114.73846999999999,10.66575,54083.42526,0.0
1001601,1109041086929.0,17.98,0.16,114.73858,10.66571,54083.428570000004,0.0
1001601,1109041086929.0,17.86,0.15,114.73871000000001,10.66569,54083.43189,0.0
1001601,1109041086929.0,18.48,0.32,114.73846999999999,10.66563,54453.36068,0.0
1001601,1109041086929.0,18.24,0.28,114.73845,10.665560000000001,54453.36552000001,0.0
1001601,1109041086929.0,18.45,0.28,114.73861000000001,10.66554,54453.369979999996,0.0
1001601,1109041086929.0,17.96,0.24,114.73852,10.66583,54453.374639999995,0.0
1001601,1109041086929.0,18.08,0.11,114.73861000000001,10.66577,54391.45546000001,0.0
1001601,1109041086929.0,18.05,0.11,114.73866000000001,10.66571,54391.4621,0.0
1001601,1109041086929.0,18.15,0.11,114.73857,10.66572,54391.468629999996,0.0
1001601,1109041086929.0,18.12,0.11,114.7389,10.66583,54391.47519,0.0
1001601,1109041086929.0,18.18,0.11,114.73861000000001,10.66579,54821.40776,0.0
1001601,1109041086929.0,18.15,0.11,114.73858999999999,10.66578,54821.41442000001,0.0
1001601,1109041086929.0,18.24,0.11,114.73861000000001,10.66577,54821.42116000001,0.0
1001601,1109041086929.0,18.27,0.12,114.73852,10.66565,54821.42775,0.0
1001601,1109041086929.0,18.02,0.12,114.73872,10.66569,54775.44075,0.0
1001601,1109041086929.0,18.13,0.12,114.7386,10.66573,54775.44685,0.0
1001601,1109041086929.0,18.05,0.12,114.73857,10.66575,54775.45306,0.0
1001601,1109041086929.0,18.09,0.12,114.73848000000001,10.66581,54775.45918,0.0
1001601,1109041086929.0,18.05,0.11,114.73861000000001,10.66565,55204.33666,0.0
1001601,1109041086929.0,18.27,0.12,114.73858,10.66568,55204.3418,0.0
1001601,1109041086929.0,18.17,0.11,114.73853999999999,10.66569,55204.34701000001,0.0
1001601,1109041086929.0,18.22,0.12,114.73851,10.66569,55204.35217000001,0.0
1001601,1109041086929.0,18.22,0.12,114.73856,10.6657,55204.35732,0.0
1001601,1109041086929.0,18.02,0.1,114.73862,10.66573,55679.15561,0.0
1001601,1109041086929.0,18.11,0.11,114.73863999999999,10.6657,55679.1631,0.0
1001601,1109041086929.0,18.19,0.11,114.73851,10.66566,55679.17065,0.0
1001601,1109041086929.0,18.26,0.11,114.73858,10.66576,55679.17821000001,0.0
1001601,1109041086929.0,17.99,0.11,114.73867,10.66583,55570.32148,0.0
1001601,1109041086929.0,18.03,0.12,114.73878,10.66585,55570.32833,0.0
1001601,1109041086929.0,18.09,0.13,114.73863,10.66585,55570.33523,0.0
1001601,1109041086929.0,17.73,0.12,114.73863999999999,10.66575,55570.34212,0.0
1001601,1109041086929.0,18.1,0.11,114.73878,10.66592,55621.19412000001,0.0
1001601,1109041086929.0,18.21,0.12,114.73868,10.66587,55621.2026,0.0
1001601,1109041086929.0,18.14,0.12,114.73877,10.66597,55621.21112000001,0.0
1001601,1109041086929.0,18.08,0.11,114.73871000000001,10.66595,55621.219679999995,0.0
1001601,1109041086929.0,18.31,0.12,114.73863999999999,10.66571,55930.28346000001,0.0
1001601,1109041086929.0,18.28,0.12,114.7386,10.66563,55930.29086,0.0
1001601,1109041086929.0,18.09,0.11,114.7387,10.66573,55930.29825,0.0
1001601,1109041086929.0,18.22,0.12,114.7386,10.66573,55930.30562000001,0.0
1001601,1109041086929.0,18.23,0.12,114.73862,10.66582,56304.27202999999,0.0
1001601,1109041086929.0,18.12,0.11,114.73868999999999,10.66564,56304.27767999999,0.0
1001601,1109041086929.0,18.2,0.12,114.73853999999999,10.66579,56304.28331,0.0
1001601,1109041086929.0,18.15,0.12,114.73856,10.66576,56304.28898,0.0
