InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001621,1121040019332.0,20.08,0.3,117.0815,20.380489999999998,54138.18863,0.0
1001621,1121040019332.0,20.45,0.29,117.08265,20.38072,55541.42133,0.0
1001621,1121040019332.0,19.52,0.22,117.08258000000001,20.38027,56048.14589,0.0
1001621,1121040019661.0,20.23,0.32,117.05433000000001,20.38833,56213.424479999994,0.0
1001621,1121040019737.0,18.51,0.13,117.06782,20.380010000000002,53469.15908,0.0
1001621,1121040019737.0,18.4,0.13,117.06783,20.380029999999998,53469.17575,0.0
1001621,1121040019737.0,18.63,0.14,117.06764,20.38032,53480.195439999996,0.0
1001621,1121040019737.0,18.37,0.13,117.06771,20.37995,53480.20359,0.0
1001621,1121040019737.0,18.14,0.12,117.06681999999999,20.37995,53480.21177,0.0
1001621,1121040019737.0,18.62,0.14,117.06783,20.3801,53714.309239999995,0.0
1001621,1121040019737.0,18.47,0.13,117.0677,20.3802,53714.31621000001,0.0
1001621,1121040019737.0,18.24,0.12,117.06777,20.38012,53714.32316,0.0
1001621,1121040019737.0,18.43,0.13,117.06768999999998,20.380110000000002,53714.3301,0.0
1001621,1121040019737.0,18.3,0.13,117.0676,20.38012,53725.233589999996,0.0
1001621,1121040019737.0,18.55,0.14,117.06755,20.37977,53725.24161000001,0.0
1001621,1121040019737.0,18.38,0.13,117.06765,20.38,53725.24963,0.0
1001621,1121040019737.0,18.43,0.13,117.06776,20.38006,53725.25766,0.0
1001621,1121040019737.0,18.8,0.16,117.06765,20.3804,53506.14905,0.0
1001621,1121040019737.0,18.48,0.14,117.06768999999998,20.38041,53506.15881,0.0
1001621,1121040019737.0,18.6,0.15,117.06763000000001,20.380020000000002,53506.16366000001,0.0
1001621,1121040019737.0,18.78,0.15,117.06773999999999,20.380010000000002,53688.368279999995,0.0
1001621,1121040019737.0,18.52,0.14,117.06808000000001,20.38,53688.37571,0.0
1001621,1121040019737.0,18.8,0.15,117.06773999999999,20.38026,53688.38312000001,0.0
1001621,1121040019737.0,19.04,0.17,117.06801000000002,20.38029,53688.39061,0.0
1001621,1121040019737.0,18.21,0.12,117.06791000000001,20.380010000000002,53699.44869,0.0
1001621,1121040019737.0,18.71,0.15,117.06782,20.38021,53699.45852000001,0.0
1001621,1121040019737.0,18.67,0.14,117.0679,20.38004,53699.46844,0.0
1001621,1121040019737.0,18.28,0.13,117.06798,20.38007,53650.48133,0.0
1001621,1121040019737.0,18.45,0.14,117.06748,20.379939999999998,53650.485160000004,0.0
1001621,1121040019737.0,18.39,0.14,117.06761999999999,20.38019,53650.489,0.0
1001621,1121040019737.0,18.73,0.16,117.06778,20.38019,53650.49284,0.0
1001621,1121040019737.0,18.48,0.14,117.0679,20.38004,53655.41604,0.0
1001621,1121040019737.0,18.52,0.14,117.06775,20.38026,53655.42086000001,0.0
1001621,1121040019737.0,18.64,0.15,117.06783999999999,20.38007,53655.42573,0.0
1001621,1121040019737.0,18.38,0.14,117.06805,20.380029999999998,53655.43058,0.0
1001621,1121040019737.0,18.3,0.12,117.06758,20.3802,53669.47791,0.0
1001621,1121040019737.0,18.44,0.13,117.06752,20.38009,53669.48488,0.0
1001621,1121040019737.0,18.66,0.14,117.06786000000001,20.38004,53669.4919,0.0
1001621,1121040019737.0,18.4,0.14,117.06788999999999,20.3799,53636.46314,0.0
1001621,1121040019737.0,18.69,0.16,117.06745,20.380129999999998,53636.46802,0.0
1001621,1121040019737.0,18.2,0.13,117.06761999999999,20.38014,53636.47289,0.0
1001621,1121040019737.0,18.83,0.17,117.06761999999999,20.38,53636.47773,0.0
1001621,1121040019737.0,18.32,0.13,117.06776,20.380020000000002,53827.14638,0.0
1001621,1121040019737.0,18.73,0.15,117.06754,20.380029999999998,53827.152839999995,0.0
