InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001661,1118042069964.0,18.39,0.13,120.14908999999999,19.42191,53469.15304,0.0
1001661,1118042069964.0,18.06,0.11,120.14911000000001,19.42199,53469.16122,0.0
1001661,1118042069964.0,16.75,0.08,120.14991,19.41951,53469.16934,0.0
1001661,1118042069964.0,18.15,0.12,120.1492,19.42205,53469.17789,0.0
1001661,1118042069964.0,18.36,0.13,120.14906,19.42199,53480.19704,0.0
1001661,1118042069964.0,18.18,0.12,120.14901,19.42216,53480.20519,0.0
1001661,1118042069964.0,18.17,0.12,120.14917,19.42209,53480.21336,0.0
1001661,1118042069964.0,18.18,0.12,120.1489,19.42195,53480.22153,0.0
1001661,1118042069964.0,18.08,0.11,120.14922,19.42209,53725.476239999996,0.0
1001661,1118042069964.0,18.22,0.12,120.14931999999999,19.42212,53725.48411000001,0.0
1001661,1118042069964.0,18.37,0.13,120.14918,19.422,53725.491989999995,0.0
1001661,1118042069964.0,18.19,0.12,120.14923,19.42193,53725.499939999994,0.0
1001661,1118042069964.0,16.77,0.08,120.1499,19.41959,53731.397529999995,0.0
1001661,1118042069964.0,16.8,0.08,120.14992,19.41947,53731.40311,0.0
1001661,1118042069964.0,16.69,0.08,120.14988000000001,19.41935,53731.408789999994,0.0
1001661,1118042069964.0,16.8,0.08,120.14984,19.41955,53731.41426000001,0.0
1001661,1118042069964.0,18.1,0.12,120.14935,19.42181,53506.167239999995,0.0
1001661,1118042069964.0,18.17,0.12,120.14933,19.42202,53506.17262,0.0
1001661,1118042069964.0,18.08,0.12,120.14883,19.42209,53506.17799,0.0
1001661,1118042069964.0,18.3,0.13,120.14931999999999,19.42178,53506.18335,0.0
1001661,1118042069964.0,18.07,0.11,120.14908,19.42193,53688.398239999995,0.0
1001661,1118042069964.0,17.88,0.11,120.14936999999999,19.42204,53688.41436,0.0
1001661,1118042069964.0,18.2,0.13,120.14934,19.421960000000002,53688.42247000001,0.0
1001661,1118042069964.0,18.06,0.11,120.14934,19.42209,53699.44102000001,0.0
1001661,1118042069964.0,18.08,0.11,120.14928,19.42211,53699.450829999994,0.0
1001661,1118042069964.0,18.04,0.11,120.14927,19.42216,53699.4607,0.0
1001661,1118042069964.0,18.17,0.12,120.1492,19.421979999999998,53699.4706,0.0
1001661,1118042069964.0,18.0,0.12,120.14913999999999,19.422060000000002,53655.43599,0.0
1001661,1118042069964.0,18.01,0.12,120.1492,19.422060000000002,53655.44091000001,0.0
1001661,1118042069964.0,18.08,0.12,120.14923999999999,19.421979999999998,53655.44575,0.0
1001661,1118042069964.0,18.0,0.12,120.14916000000001,19.42213,53655.45068,0.0
1001661,1118042069964.0,18.18,0.12,120.1493,19.42209,53669.47199,0.0
1001661,1118042069964.0,18.14,0.12,120.1492,19.42213,53669.47896,0.0
1001661,1118042069964.0,18.06,0.11,120.14935,19.4221,53669.48595,0.0
1001661,1118042069964.0,18.12,0.12,120.14922,19.4221,53669.49296,0.0
1001661,1118042069964.0,18.07,0.12,120.14918,19.42223,53636.46421000001,0.0
1001661,1118042069964.0,18.29,0.13,120.14925,19.42216,53636.46909,0.0
1001661,1118042069964.0,18.03,0.12,120.14907,19.42205,53636.47395,0.0
1001661,1118042069964.0,16.7,0.08,120.14986999999999,19.41955,53636.47879,0.0
1001661,1118042069964.0,18.08,0.12,120.14925,19.422060000000002,53827.14796,0.0
1001661,1118042069964.0,18.12,0.12,120.14931000000001,19.422060000000002,53827.154429999995,0.0
1001661,1118042069964.0,18.14,0.12,120.1493,19.42193,53827.16086,0.0
1001661,1118042069964.0,18.2,0.12,120.14913,19.42209,53827.1673,0.0
1001661,1118042069964.0,18.3,0.14,120.14917,19.42211,53834.15586,0.0
1001661,1118042069964.0,18.26,0.14,120.14908999999999,19.422079999999998,53834.1636,0.0
1001661,1118042069964.0,18.0,0.12,120.14912,19.42185,53834.17134,0.0
1001661,1118042069964.0,18.34,0.14,120.1492,19.42197,53834.179079999994,0.0
1001661,1118042069964.0,18.1,0.12,120.14926000000001,19.421979999999998,53843.12205,0.0
1001661,1118042069964.0,18.06,0.12,120.14911000000001,19.42212,53843.12691,0.0
1001661,1118042069964.0,18.11,0.12,120.14925,19.42212,53843.131779999996,0.0
1001661,1118042069964.0,16.76,0.08,120.14983000000001,19.419520000000002,53843.13665,0.0
1001661,1118042069964.0,17.68,0.22,120.1492,19.421960000000002,54080.481929999994,0.0
1001661,1118042069964.0,17.98,0.26,120.14931999999999,19.421789999999998,54080.48293,0.0
1001661,1118042069964.0,18.08,0.27,120.14943000000001,19.421870000000002,54080.48392000001,0.0
1001661,1118042069964.0,18.45,0.33,120.14912,19.42182,54080.4849,0.0
1001661,1118042069964.0,18.05,0.11,120.14923,19.421960000000002,54081.40021,0.0
1001661,1118042069964.0,18.14,0.11,120.14943000000001,19.421889999999998,54081.406839999996,0.0
1001661,1118042069964.0,18.07,0.11,120.14921000000001,19.42201,54081.41349,0.0
1001661,1118042069964.0,17.95,0.11,120.14927,19.42205,54081.42016,0.0
1001661,1118042069964.0,18.23,0.12,120.1492,19.422079999999998,54094.240529999995,0.0
1001661,1118042069964.0,18.04,0.11,120.14925,19.42191,54094.252010000004,0.0
1001661,1118042069964.0,18.34,0.12,120.14922,19.422079999999998,54094.26167000001,0.0
1001661,1118042069964.0,18.08,0.11,120.14925,19.42209,54094.271329999996,0.0
1001661,1118042069964.0,16.84,0.08,120.14978,19.41957,53768.26934,0.0
1001661,1118042069964.0,16.81,0.08,120.14988000000001,19.419520000000002,53768.27582,0.0
1001661,1118042069964.0,16.78,0.08,120.14983000000001,19.419439999999998,53768.282329999995,0.0
1001661,1118042069964.0,16.76,0.08,120.14986,19.41943,53768.28879,0.0
1001661,1118042069964.0,16.79,0.08,120.14993,19.4194,53786.177489999995,0.0
1001661,1118042069964.0,18.06,0.11,120.14936000000002,19.42191,53786.187079999996,0.0
1001661,1118042069964.0,18.43,0.13,120.14931999999999,19.42214,53745.42101000001,0.0
1001661,1118042069964.0,18.14,0.12,120.14923999999999,19.42201,53745.42804,0.0
1001661,1118042069964.0,18.14,0.12,120.14926000000001,19.422079999999998,53745.4351,0.0
1001661,1118042069964.0,16.75,0.08,120.14986,19.41955,53745.44211,0.0
