InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001721,1104045065593.0,20.06,0.28,124.57068000000001,4.78863,53464.160410000004,0.0
1001721,1104045065593.0,18.27,0.12,124.57311000000001,4.7887900000000005,53464.16861,0.0
1001721,1104045065593.0,19.5,0.21,124.57088999999999,4.78819,53464.1769,0.0
1001721,1104045065593.0,19.58,0.21,124.57094,4.78875,53464.18552,0.0
1001721,1104045065593.0,19.95,0.26,124.57051000000001,4.78825,53710.43044,0.0
1001721,1104045065593.0,19.74,0.24,124.57072,4.78832,53726.39785,0.0
1001721,1104045065593.0,19.62,0.23,124.57068999999998,4.78817,53732.352739999995,0.0
1001721,1104045065593.0,19.59,0.24,124.57045,4.7884,53732.37704,0.0
1001721,1104045065593.0,20.5,0.38,124.5707,4.7884699999999984,53494.150239999995,0.0
1001721,1104045065593.0,18.36,0.13,124.57291000000001,4.78886,53703.39226,0.0
1001721,1104045065593.0,18.31,0.13,124.57298,4.78889,53703.39872000001,0.0
1001721,1104045065593.0,20.02,0.31,124.57105,4.7885300000000015,53651.47272,0.0
1001721,1104045065593.0,19.72,0.24,124.57101999999999,4.78835,53669.50757,0.0
1001721,1104045065593.0,18.95,0.17,124.57068000000001,4.78876,53845.13899,0.0
1001721,1104045065593.0,20.41,0.32,124.57083,4.78814,54090.36465,0.0
1001721,1104045065593.0,20.47,0.33,124.57064,4.78838,54090.370039999994,0.0
1001721,1104045065593.0,19.54,0.21,124.57088999999999,4.78857,54090.38092,0.0
1001721,1104045065593.0,19.86,0.26,124.57061000000002,4.78837,53773.273929999996,0.0
1001721,1104045065593.0,19.63,0.29,124.57023000000001,4.78841,53789.21154,0.0
1001721,1104045065593.0,19.59,0.24,124.57066999999999,4.78861,53789.21907000001,0.0
1001721,1104045065593.0,20.24,0.3,124.57078999999999,4.7884199999999995,53739.32427000001,0.0
1001721,1104045065593.0,19.87,0.26,124.57073000000001,4.78834,53753.3047,0.0
1001721,1104045065593.0,19.63,0.23,124.57066,4.78857,53753.31141,0.0
1001721,1104045065593.0,19.83,0.25,124.57048,4.7884,53760.26222999999,0.0
1001721,1104045065593.0,20.19,0.31,124.57061000000002,4.78822,53760.26866,0.0
1001721,1104045065593.0,19.38,0.2,124.57082,4.78835,53760.2751,0.0
1001721,1104045065593.0,18.43,0.13,124.57311999999999,4.78886,53760.28156,0.0
1001721,1104045065593.0,19.89,0.26,124.57086000000001,4.78866,53766.22927999999,0.0
1001721,1104045065593.0,20.25,0.31,124.57088999999999,4.78859,53766.23995,0.0
1001721,1104045065593.0,19.77,0.24,124.57027,4.78828,53766.24533,0.0
1001721,1104045065593.0,19.79,0.25,124.57056999999999,4.78808,53797.27045,0.0
1001721,1104045065593.0,20.05,0.28,124.57072,4.78829,53797.277070000004,0.0
1001721,1104045065593.0,20.38,0.34,124.57068000000001,4.78819,53797.28384,0.0
1001721,1104045065593.0,19.74,0.25,124.57094,4.7884699999999984,53856.14264,0.0
